Time,Block,NR/2023/16187/A,NR/2023/17901/A/1104,NR/2023/18033/C,NR/2023/17064/A,NR/2023/17905/A/1083,WR/2023/18560/A,NR/2023/18036/C,WR/2023/18560/A/II,WR/2023/20254/A/1124,NR/2023/18034/C,WR/2023/20256/A/1125,Total
30,07:15-07:30,0.000000,0.580000,2.850000,100.000000,1.930000,0.000000,0,100.000000,0.000000,0,0.000000,205.36

31,07:30-07:45,0.000000,0.580000,2.850000,100.000000,1.930000,0.000000,0,100.000000,0.000000,0,0.000000,205.36

32,07:45:08:00,0.000000,0.580000,2.850000,100.000000,1.930000,0.000000,0,100.000000,0.000000,0,0.000000,205.36

33,08:00-08:15,0.000000,0.960000,2.850000,50.000000,1.930000,0.000000,0,100.000000,0.000000,1.81,0.000000,157.55

34,08:15-08:30,0.000000,0.960000,2.850000,50.000000,1.930000,0.000000,0,100.000000,0.000000,2.15,0.000000,157.89

35,08:30-08:45,0.000000,0.960000,2.850000,50.000000,1.930000,0.000000,0,100.000000,0.000000,2.59,0.000000,158.33

36,08:45:09:00,0.000000,0.960000,2.850000,50.000000,1.930000,0.000000,0,100.000000,0.000000,3.04,0.000000,158.78

37,09:00:09:15,0.000000,0.960000,2.850000,50.000000,1.930000,0.000000,24.1,100.000000,0.000000,3.45,0.000000,183.29

38,09:15-09:30,0.000000,0.960000,2.850000,50.000000,1.930000,0.000000,24.1,100.000000,0.000000,3.81,0.000000,183.65

39,09:30-09:45,0.000000,0.960000,2.850000,50.000000,1.930000,0.000000,24.1,100.000000,0.000000,4.31,0.000000,184.15

40,09:45-10:00,0.000000,0.960000,2.850000,50.000000,1.930000,0.000000,24.1,100.000000,0.000000,4.47,0.000000,184.31

41,10:00-10:15,0.000000,0.960000,2.850000,50.000000,1.930000,0.000000,24.1,100.000000,0.000000,4.93,0.000000,184.77

42,10:15-10:30,0.000000,0.960000,2.850000,50.000000,1.930000,0.000000,24.1,100.000000,0.000000,5.22,0.000000,185.06

43,10:30-10:45,0.000000,0.960000,2.850000,50.000000,1.930000,0.000000,24.1,100.000000,0.000000,5.45,0.000000,185.29

44,10:45-11:00,0.000000,0.960000,2.850000,50.000000,1.930000,0.000000,24.1,100.000000,0.000000,5.7,0.000000,185.54

45,11:00-11:15,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,5.78,0.000000,235.62

46,11:15-11:30,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,6.18,0.000000,236.02

47,11:30-11:45,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,5.86,0.000000,235.7

48,11:45-12:00,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,6.1,0.000000,235.94

49,12:00-12:15,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,6.33,0.000000,236.17

50,12:15-12:30,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,6.48,0.000000,236.32

51,12:30-12:45,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,6.31,0.000000,236.15

52,12:45-13:00,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,6.44,0.000000,236.28

53,13:00-13:15,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,6.5,0.000000,236.34

54,13:15-13:30,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,5.51,0.000000,235.35

55,13:30-13:45,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,5.93,0.000000,235.77

56,13:45-14:00,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,5.58,0.000000,235.42

57,14:00-14:15,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,5.26,0.000000,235.1

58,14:15-14:30,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,5.15,0.000000,234.99

59,14:30-14:45,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,4.97,0.000000,234.81

60,14:45-15:00,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,3.93,0.000000,233.77

61,15:00-15:15,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,4.16,0.000000,234

62,15:15-15:30,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,3.3,0.000000,233.14

63,15:30-15:45,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,24.1,100.000000,0.000000,2.94,0.000000,232.78

64,15:45-16:00,0.000000,0.960000,2.850000,100.000000,1.930000,0.000000,20.25,100.000000,0.000000,2.36,0.000000,228.35

65,16:00-16:15,0.000000,0.630000,2.850000,100.000000,1.930000,0.000000,16.39,100.000000,0.000000,1.51,0.000000,223.31

66,16:15-16:30,0.000000,0.630000,2.850000,100.000000,1.930000,0.000000,12.53,100.000000,0.000000,1.19,0.000000,219.13

67,16:30-16:45,0.000000,0.630000,2.850000,100.000000,1.930000,0.000000,0,100.000000,0.000000,1.05,0.000000,206.46

68,16:45-17:00,0.000000,0.630000,2.850000,100.000000,1.930000,0.000000,0,100.000000,0.000000,0.76,0.000000,206.17

69,17:00-17:15,0.000000,0.580000,2.940000,100.000000,1.930000,0.000000,0,100.000000,0.000000,0.46,0.000000,205.91

70,17:15-17:30,0.000000,0.580000,2.940000,100.000000,1.930000,0.000000,0,100.000000,0.000000,0.23,0.000000,205.68

71,17:30-17:45,0.000000,0.580000,2.940000,100.000000,1.930000,0.000000,0,100.000000,0.000000,0.12,0.000000,205.57

72,17:45-18:00,0.000000,0.580000,2.940000,100.000000,1.930000,0.000000,0,100.000000,0.000000,0,0.000000,205.45

73,18:00-18:15,0.000000,0.630000,2.940000,100.000000,1.930000,100.000000,0,0.000000,55.000000,0,25.000000,285.5

74,18:15-18:30,0.000000,0.630000,2.940000,100.000000,1.930000,100.000000,0,0.000000,55.000000,0,25.000000,285.5

75,18:30-18:45,0.000000,0.630000,2.940000,100.000000,1.930000,100.000000,0,0.000000,55.000000,0,25.000000,285.5

76,18:45-19:00,0.000000,0.630000,2.940000,100.000000,1.930000,100.000000,0,0.000000,55.000000,0,25.000000,285.5

77,19:00-19:15,0.000000,0.630000,2.940000,100.000000,1.930000,100.000000,0,0.000000,55.000000,0,25.000000,285.5

78,19:15-19:30,0.000000,0.630000,2.940000,100.000000,1.930000,100.000000,0,0.000000,55.000000,0,25.000000,285.5

79,19:30-19:45,0.000000,0.630000,2.940000,100.000000,1.930000,100.000000,0,0.000000,55.000000,0,25.000000,285.5

80,19:45-20:00,0.000000,0.630000,2.940000,100.000000,1.930000,100.000000,0,0.000000,55.000000,0,25.000000,285.5

81,20:00-20:15,0.000000,0.580000,2.850000,0.000000,1.930000,100.000000,0,0.000000,55.000000,0,25.000000,185.36

82,20:15-20:30,0.000000,0.580000,2.850000,0.000000,1.930000,100.000000,0,0.000000,55.000000,0,25.000000,185.36

83,20:30-20:45,0.000000,0.580000,2.850000,0.000000,1.930000,100.000000,0,0.000000,55.000000,0,25.000000,185.36

84,20:45-21:00,0.000000,0.580000,2.850000,0.000000,1.930000,100.000000,0,0.000000,55.000000,0,25.000000,185.36

85,21:00-21:15,0.000000,0.580000,2.850000,0.000000,1.930000,100.000000,0,0.000000,55.000000,0,25.000000,185.36

86,21:15-21:30,0.000000,0.580000,2.850000,0.000000,1.930000,100.000000,0,0.000000,55.000000,0,25.000000,185.36

87,21:30-21:45,0.000000,0.580000,2.850000,0.000000,1.930000,100.000000,0,0.000000,55.000000,0,25.000000,185.36

88,21:45-22:00,0.000000,0.580000,2.850000,0.000000,1.930000,100.000000,0,0.000000,55.000000,0,25.000000,185.36

89,22:00-22:15,76.880000,0.580000,2.850000,0.000000,1.930000,100.000000,0,0.000000,55.000000,0,0.000000,237.24

90,22:15-22:30,76.880000,0.580000,2.850000,0.000000,1.930000,100.000000,0,0.000000,55.000000,0,0.000000,237.24

91,22:30-22:45,76.880000,0.580000,2.850000,0.000000,1.930000,100.000000,0,0.000000,55.000000,0,0.000000,237.24

92,22:45-23:00,76.880000,0.580000,2.850000,0.000000,1.930000,100.000000,0,0.000000,55.000000,0,0.000000,237.24

93,23:00-23:15,76.880000,0.580000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.24

94,23:15-23:30,76.880000,0.580000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.24

95,23:30-23:45,76.880000,0.580000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.24

96,23:45-24:00,76.880000,0.580000,2.850000,0.000000,1.930000,100.000000,0,0.000000,0.000000,0,0.000000,182.24

