Time,Block,NR/2023/13253/A,NR/2023/13242/A,NR/2023/16073/A,NR/2023/17143/C,NR/2023/13165/A,NR/2023/17145/C,NR/2023/13254/A,NR/2023/16993/F,NR/2023/16291/F,NR/2023/16185/A,NR/2023/17140/D,NR/2023/15770/A,NR/2023/13150/A,NR/2023/13148/A,NR/2023/13387/A,NR/2023/13383/A,NR/2023/16077/A,NR/2023/17155/C,NR/2023/16191/A,NR/2023/17151/C,NR/2023/13385/A,NR/2023/17153/C,ER/2023/10953/C,NR/2023/17144/C,Total
39,09:30-09:45,47.980000,0.000000,23.990000,5.990000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,5.73,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.350000,0.000000,28.790000,735.9

40,09:45-10:00,47.980000,0.000000,23.990000,5.990000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,5.48,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.350000,0.000000,28.790000,735.65

41,10:00-10:15,47.980000,0.000000,23.990000,5.990000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,5.06,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.250000,0.000000,28.790000,735.13

42,10:15-10:30,47.980000,0.000000,23.990000,5.990000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,5.65,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.250000,0.000000,28.790000,735.72

43,10:30-10:45,47.980000,0.000000,23.990000,5.990000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,6.31,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.250000,0.000000,28.790000,736.38

44,10:45-11:00,47.980000,0.000000,23.990000,5.990000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,5.67,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.250000,0.000000,28.790000,735.74

45,11:00-11:15,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,7.09,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.170000,0.000000,28.790000,741.07

46,11:15-11:30,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,5.83,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.170000,0.000000,28.790000,739.81

47,11:30-11:45,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,4.87,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.170000,0.000000,28.790000,738.85

48,11:45-12:00,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,3.96,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.170000,0.000000,28.790000,737.94

49,12:00-12:15,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,3.65,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.070000,0.000000,28.790000,737.53

50,12:15-12:30,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,5.27,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.070000,0.000000,28.790000,739.15

51,12:30-12:45,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,5.47,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.070000,0.000000,28.790000,739.35

52,12:45-13:00,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,7.14,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.070000,0.000000,28.790000,741.02

53,13:00-13:15,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,6.37,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.170000,0.000000,28.790000,740.35

54,13:15-13:30,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,5.48,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.170000,0.000000,28.790000,739.46

55,13:30-13:45,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,5.92,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.170000,0.000000,28.790000,739.9

56,13:45-14:00,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,5.8,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.170000,0.000000,28.790000,739.78

57,14:00-14:15,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,3.82,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.170000,0.000000,28.790000,737.8

58,14:15-14:30,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,4.45,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.170000,0.000000,28.790000,738.43

59,14:30-14:45,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,3.57,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.170000,0.000000,28.790000,737.55

60,14:45-15:00,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.960000,38.390000,3.38,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.170000,0.000000,28.790000,737.36

61,15:00-15:15,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.860000,38.390000,2.86,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.250000,0.000000,28.790000,736.82

62,15:15-15:30,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.860000,38.390000,2.43,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.250000,0.000000,28.790000,736.39

63,15:30-15:45,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.860000,38.390000,3.35,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.250000,0.000000,28.790000,737.31

64,15:45-16:00,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.860000,38.390000,3.79,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.250000,0.000000,28.790000,737.75

65,16:00-16:15,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.820000,38.390000,3.61,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.350000,0.000000,28.790000,737.63

66,16:15-16:30,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.820000,38.390000,3.47,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.350000,0.000000,28.790000,737.49

67,16:30-16:45,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.820000,38.390000,3.23,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.350000,0.000000,28.790000,737.25

68,16:45-17:00,47.980000,0.000000,23.990000,9.980000,22.070000,8.160000,19.470000,157.500000,0.820000,38.390000,2.39,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,15.84,77.740000,0.000000,49.660000,9.350000,0.000000,28.790000,736.41

69,17:00-17:15,47.980000,0.000000,23.990000,9.980000,22.070000,0.000000,19.470000,157.500000,0.820000,38.390000,1.39,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,0,77.740000,0.000000,49.660000,9.430000,0.000000,0.000000,682.7

70,17:15-17:30,47.980000,0.000000,23.990000,9.980000,22.070000,0.000000,19.470000,157.500000,0.820000,38.390000,1.06,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,0,77.740000,0.000000,49.660000,9.430000,0.000000,0.000000,682.37

71,17:30-17:45,47.980000,0.000000,23.990000,9.980000,22.070000,0.000000,19.470000,157.500000,0.820000,38.390000,0.8,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,0,77.740000,0.000000,49.660000,9.430000,0.000000,0.000000,682.11

72,17:45-18:00,47.980000,0.000000,23.990000,9.980000,22.070000,0.000000,19.470000,157.500000,0.820000,38.390000,0.44,62.380000,62.570000,0.000000,99.330000,0.000000,0.000000,0,77.740000,0.000000,49.660000,9.430000,0.000000,0.000000,681.75

73,18:00-18:15,47.980000,0.000000,0.000000,9.980000,22.070000,0.000000,19.470000,157.500000,0.820000,38.390000,0.18,62.380000,62.570000,36.210000,99.330000,0.000000,0.000000,0,77.740000,135.320000,49.660000,9.530000,0.000000,0.000000,829.13

74,18:15-18:30,47.980000,0.000000,0.000000,9.980000,22.070000,0.000000,19.470000,157.500000,0.820000,38.390000,0,62.380000,62.570000,36.210000,99.330000,0.000000,0.000000,0,77.740000,160.270000,49.660000,9.530000,0.000000,0.000000,853.9

75,18:30-18:45,47.980000,0.000000,0.000000,9.980000,22.070000,0.000000,19.470000,157.500000,0.820000,38.390000,0,62.380000,62.570000,36.210000,99.330000,0.000000,0.000000,0,77.740000,150.670000,49.660000,9.530000,0.000000,0.000000,844.3

76,18:45-19:00,47.980000,0.000000,0.000000,9.980000,22.070000,0.000000,19.470000,157.500000,0.820000,38.390000,0,62.380000,62.570000,36.210000,99.330000,0.000000,0.000000,0,77.740000,174.670000,49.660000,9.530000,0.000000,0.000000,868.3

77,19:00-19:15,47.980000,0.000000,0.000000,9.980000,22.070000,0.000000,19.470000,157.500000,0.820000,38.390000,0,62.380000,62.570000,36.210000,99.330000,0.000000,0.000000,0,77.740000,166.990000,49.660000,9.530000,15.000000,0.000000,875.62

78,19:15-19:30,47.980000,0.000000,0.000000,9.980000,22.070000,0.000000,19.470000,157.500000,0.820000,38.390000,0,62.380000,62.570000,36.210000,99.330000,0.000000,0.000000,0,77.740000,168.910000,49.660000,9.530000,15.000000,0.000000,877.54

79,19:30-19:45,47.980000,0.000000,0.000000,9.980000,22.070000,0.000000,19.470000,157.500000,0.820000,38.390000,0,62.380000,62.570000,36.210000,99.330000,0.000000,0.000000,0,77.740000,165.070000,49.660000,9.530000,15.000000,0.000000,873.7

80,19:45-20:00,47.980000,0.000000,0.000000,9.980000,22.070000,0.000000,19.470000,157.500000,0.820000,38.390000,0,62.380000,62.570000,36.210000,99.330000,0.000000,0.000000,0,77.740000,166.990000,49.660000,9.530000,15.000000,0.000000,875.62

81,20:00-20:15,47.980000,29.370000,0.000000,9.980000,22.070000,0.000000,19.470000,157.500000,0.770000,38.390000,0,62.380000,62.570000,36.210000,99.330000,0.000000,0.000000,0,77.740000,134.360000,49.660000,9.530000,15.000000,0.000000,872.31

82,20:15-20:30,47.980000,29.370000,0.000000,9.980000,22.070000,0.000000,19.470000,157.500000,0.770000,38.390000,0,62.380000,62.570000,36.210000,99.330000,0.000000,0.000000,0,77.740000,100.770000,49.660000,9.530000,15.000000,0.000000,838.72

83,20:30-20:45,47.980000,29.370000,0.000000,9.980000,22.070000,0.000000,19.470000,157.500000,0.770000,38.390000,0,62.380000,62.570000,36.210000,99.330000,0.000000,0.000000,0,77.740000,111.330000,49.660000,9.530000,15.000000,0.000000,849.28

84,20:45-21:00,47.980000,29.370000,0.000000,9.980000,22.070000,0.000000,19.470000,157.500000,0.770000,38.390000,0,62.380000,62.570000,36.210000,99.330000,0.000000,0.000000,0,77.740000,143.000000,49.660000,9.530000,15.000000,0.000000,880.95

85,21:00-21:15,47.980000,29.370000,0.000000,9.980000,22.070000,0.000000,19.470000,157.500000,0.770000,38.390000,0,62.380000,62.570000,36.210000,99.330000,0.000000,0.000000,0,77.740000,148.750000,49.660000,9.530000,15.000000,0.000000,886.7

86,21:15-21:30,47.980000,29.370000,0.000000,9.980000,22.070000,0.000000,19.470000,157.500000,0.770000,38.390000,0,62.380000,62.570000,36.210000,99.330000,0.000000,0.000000,0,77.740000,180.420000,49.660000,9.530000,15.000000,0.000000,918.37

87,21:30-21:45,47.980000,29.370000,0.000000,9.980000,22.070000,0.000000,19.470000,157.500000,0.770000,38.390000,0,62.380000,62.570000,36.210000,99.330000,0.000000,0.000000,0,77.740000,218.810000,49.660000,9.530000,15.000000,0.000000,956.76

88,21:45-22:00,47.980000,29.370000,0.000000,9.980000,22.070000,0.000000,19.470000,157.500000,0.770000,38.390000,0,62.380000,62.570000,36.210000,99.330000,0.000000,0.000000,0,77.740000,230.330000,49.660000,9.530000,15.000000,0.000000,968.28

89,22:00-22:15,47.980000,29.370000,0.000000,5.990000,22.070000,0.000000,19.470000,157.500000,0.770000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,103.650000,49.660000,9.350000,0.000000,0.000000,990.37

90,22:15-22:30,47.980000,29.370000,0.000000,5.990000,22.070000,0.000000,19.470000,157.500000,0.770000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,144.910000,49.660000,9.350000,0.000000,0.000000,1031.63

91,22:30-22:45,47.980000,29.370000,0.000000,5.990000,22.070000,0.000000,19.470000,157.500000,0.770000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,167.950000,49.660000,9.350000,0.000000,0.000000,1054.67

92,22:45-23:00,47.980000,29.370000,0.000000,5.990000,22.070000,0.000000,19.470000,157.500000,0.770000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,198.660000,49.660000,9.350000,0.000000,0.000000,1085.38

93,23:00-23:15,47.980000,29.370000,0.000000,4.990000,22.070000,0.000000,19.470000,157.500000,0.770000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,224.570000,49.660000,9.170000,0.000000,0.000000,1110.11

94,23:15-23:30,47.980000,29.370000,0.000000,4.990000,22.070000,0.000000,19.470000,157.500000,0.770000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,227.450000,49.660000,9.170000,0.000000,0.000000,1112.99

95,23:30-23:45,47.980000,29.370000,0.000000,4.990000,22.070000,0.000000,19.470000,157.500000,0.770000,38.390000,0,62.380000,62.570000,36.210000,99.330000,50.380000,117.560000,0,77.740000,212.090000,49.660000,9.170000,0.000000,0.000000,1097.63

