Column1,Block,NR/2025/31137/A/91340,NR/2025/31136/A/91328,NR/2025/29985/A/90989,NR/2025/31137/A/91339,NR/2025/31347/A/90869,GNARE/NR/2024/12/20/3668,NR/2025/31138/A/91341,NR/2025/31136/A/91330,NR/2025/31138/A/91342,NR/2025/32157/C,NR/2025/29352/A/91057,NR/2025/30082/A/91394,NR/2025/30086/A/91384,NR/2025/29992/A/90945,NR/2025/30121/A/90872,NR/2025/29915/A/90891,NR/2025/29167/A/90892,NR/2025/27975/A/91332,NR/2025/27973/A/91331,NR/2025/32148/C/Alternate/1,NR/2025/29439/A/90947,NR/2025/32149/C,NR/2025/32128/C,NR/2025/32150/C,NR/2025/27965/A/91327,NR/2025/27966/A/91329,NR/2025/29628/A/91395,NR/2025/32114/C,NR/2025/30067/A/91368,NR/2025/32172/C,NR/2025/32115/C,NR/2025/29353/A/91055,NR/2025/31870/A/90950,NR/2025/29440/A/90829,NR/2025/30084/A/91385,NR/2025/29910/A/91389,NR/2025/31419/A/91046,NR/2025/31420/A/91045,NR/2025/32171/C,NR/2025/32161/C,NR/2025/32162/C,NR/2025/32168/C,NR/2025/32169/C,NR/2025/30217/A/91382,NR/2025/32074/C,NR/2025/27978/A/91412,GNARE/SR/2025/07/24/1197,NR/2025/30083/A/91386,NR/2025/32062/C,NR/2025/31780/A/90987,NR/2025/32099/C,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/01/8139,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/16/7255,NR/2025/32109/C,NR/2025/28728/A/91337,GNA/NR/2025/07/24/8741,NR/2025/30105/A/91383,GNA/NR/2025/07/01/2786,NR/2025/32059/C,NR/2025/30191/A/90870,GNA/NR/2025/07/01/8154,NR/2025/32148/C,NR/2025/30101/A/91408,NR/2025/32170/C,NR/2025/32151/C,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,20.42,54.06,0,96.11,192.22,25.07,0,0,0,96.11,0,105.72,0,204.23,0,0,81.69,12.49,0.91,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,96.11,0,134.79,0,30,19.22,49.02,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,0,48.06,0,0,8.25,13.61,1989.6599999999996

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,20.42,54.06,0,96.11,192.22,25.07,0,0,0,96.11,0,105.72,0,204.23,0,0,81.69,12.49,0.91,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,96.11,0,134.79,0,30,19.22,49.02,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,0,48.06,0,0,8.25,13.61,1989.6599999999996

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,20.42,54.06,0,96.11,192.22,25.07,0,0,0,96.11,0,105.72,0,204.23,0,0,81.69,12.49,0.77,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,96.11,0,134.79,0,30,19.22,49.02,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,0,48.06,0,0,8.25,13.61,1989.5199999999998

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,20.42,54.06,0,96.11,192.22,25.07,0,0,0,96.11,0,105.72,0,204.23,0,0,81.69,12.49,0.77,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,96.11,0,134.79,0,30,19.22,49.02,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,0,48.06,0,0,8.25,13.61,1989.5199999999998

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,20.42,54.06,0,96.11,192.22,25.07,0,0,0,96.11,0,105.72,0,204.23,0,0,81.69,12.49,0.77,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,96.11,0,134.79,0,22.63,19.22,49.02,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,0,48.06,0,0,22.63,13.61,1996.53

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,20.42,54.06,0,96.11,192.22,25.07,0,0,0,96.11,0,105.72,0,204.23,0,0,81.69,12.49,0.77,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,96.11,0,134.79,0,22.63,19.22,49.02,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,0,48.06,0,0,22.63,13.61,1996.53

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,20.42,54.06,0,96.11,192.22,0,0,0,0,96.11,0,105.72,0,204.23,0,0,81.69,12.49,0.67,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,49.02,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,0,48.06,0,0,26.55,13.61,1883.0899999999997

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,20.42,54.06,0,96.11,192.22,0,0,0,0,96.11,0,105.72,0,204.23,0,0,81.69,12.49,0.67,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,49.02,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,0,48.06,0,0,26.55,13.61,1883.0899999999997

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,20.42,54.06,0,96.11,192.22,0,0,0,0,96.11,0,105.72,0,204.23,0,0,81.69,12.49,0.67,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,49.02,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,0,48.06,0,0,26.55,13.61,1883.0899999999997

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,20.42,54.06,0,96.11,192.22,0,0,0,0,96.11,0,105.72,0,204.23,0,0,81.69,12.49,0.67,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,49.02,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,0,48.06,0,0,26.55,13.61,1883.0899999999997

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,0,54.06,0,96.11,0,0,0,0,0,96.11,0,76.52,0,0,0,0,81.69,12.49,0.62,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,13.61,1580.1699999999998

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,0,54.06,0,96.11,0,0,0,0,0,96.11,0,76.52,0,0,0,0,81.69,12.49,0.62,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,13.61,1580.1699999999998

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,0,54.06,0,96.11,0,0,0,0,0,96.11,0,76.52,0,0,0,0,81.69,12.49,0.62,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,13.61,1580.1699999999998

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,0,54.06,0,96.11,0,0,0,0,0,96.11,0,76.52,0,0,0,0,81.69,12.49,0.62,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,13.61,1580.1699999999998

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,12.49,0.62,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.75,1338.03

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,12.49,0.62,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.75,1338.03

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,12.49,0.62,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.75,1338.03

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,12.49,0.62,26.21,19.22,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.75,1338.03

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,12.49,0.62,26.21,16.57,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.67,1335.3

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,12.49,0.62,26.21,16.57,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.67,1335.3

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,11.53,0.62,26.21,16.57,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.67,1334.34

24,05:45-06:00,0,0,1,0,0,0.23,0,0,0,0,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,11.53,0.62,26.21,16.57,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.67,1335.57

25,06:00-06:15,0,0,3,0.02,0,0.6,0.02,0.07,0,0,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,11.53,0.82,26.21,16.57,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.57,1338.1499999999999

26,06:15-06:30,0,0,7,0.04,0,2.77,0.04,0.16,0,0,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,11.53,0.82,26.21,16.57,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.57,1344.4499999999998

27,06:30-06:45,0,0,11,0.12,0,4.11,0.06,0.24,0,0.84,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,11.53,0.82,26.21,16.57,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.57,1350.8099999999997

28,06:45-07:00,0.05,0.07,14,0.16,0,7.19,0.08,0.33,0.05,1.37,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,11.53,0.82,26.21,16.57,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.57,1357.7399999999998

29,07:00-07:15,0.11,0.17,21,0.19,0,11.35,0.1,0.38,0.11,1.97,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,11.53,0.86,26.21,16.57,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.47,1369.7599999999998

30,07:15-07:30,0.18,0.3,28,0.19,0,16.08,0.19,0.38,0.18,2.97,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,11.53,0.86,26.21,16.57,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.47,1382.85

31,07:30-07:45,0.35,0.45,49,0.19,0,20.98,0.19,0.38,0.3,3.85,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,11.53,0.86,26.21,16.57,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.47,1410.07

32,07:45-08:00,0.44,0.62,63,0.29,0,25.91,0.19,0.38,0.37,5.25,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,11.53,0.86,26.21,16.57,0,0,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.47,1430.83

33,08:00-08:15,0.54,0.77,63,0.29,9.61,31.15,0.19,0.38,0.46,6.18,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,11.53,0.96,26.21,16.57,0,1.63,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.39,1448.6

34,08:15-08:30,0.7,0.87,70,0.29,9.61,36.53,0.19,0.38,0.52,8.52,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,11.53,0.96,26.21,16.57,0,1.63,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.39,1463.6399999999999

35,08:30-08:45,0.77,0.96,84,0.29,9.61,42.54,0.19,0.38,0.58,5.87,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,13.46,0.96,26.21,16.57,0,1.63,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.39,1483.1499999999999

36,08:45-09:00,0.77,0.96,95,0.29,9.61,49.12,0.19,0.48,0.67,5.87,28.59,48.06,26.21,44.21,6.73,0,0,0,0,0,0,0,0,0,0,0,76.52,0,0,0,0,81.69,13.46,0.96,26.21,16.57,0,1.63,0,0,0,0,0,7.69,0,96.11,0,8.74,0,0,0,134.79,0,26.55,19.22,0,40.62,15.23,163.39,0,40.62,0,17.47,43.68,0,48.06,20.73,192.22,48.06,0,0,26.55,17.39,1500.9199999999998

37,09:00-09:15,0.77,0.96,105,0.29,9.61,56.14,0.19,0.48,0.67,5.87,28.59,0,0,0,0,0,0,0,0,0,0,0,0.96,96.11,0,0,0,0,0,37.14,0,81.69,13.46,0,0,0,0,1.63,7.69,76.52,16.57,14.56,43.68,0,44.21,0,0,0,6.73,0,48.06,134.79,0,26.63,19.22,0,40.62,15.23,163.39,40.62,0,0,0,43.68,48.06,0,20.73,192.22,0,29.12,48.06,26.63,17.29,1563.87

38,09:15-09:30,0.77,0.96,119,0.29,9.61,62.39,0.19,0.48,0.67,6.85,28.59,0,0,0,0,0,0,0,0,0,0,0,0.96,96.11,0,0,0,0,0,37.14,0,81.69,13.46,0,0,0,0,1.63,7.69,76.52,16.57,14.56,43.68,0,44.21,0,0,0,6.73,0,48.06,134.79,0,26.63,19.22,0,40.62,15.23,163.39,40.62,0,0,0,43.68,48.06,0,20.73,192.22,0,29.12,48.06,26.63,17.29,1585.1

