Column1,Block,NR/2025/26861/A/83728,NR/2025/26085/A/83314,NR/2025/27782/A/83730,NR/2025/28774/A/83272,NR/2025/29954/C,NR/2025/29954/C/Alternate/1,NR/2025/29955/C,NR/2025/29987/C,NR/2025/29988/C,NR/2025/29989/C,NR/2025/27100/A/83355,NR/2025/27281/A/83834,NR/2025/27242/A/83378,NR/2025/27157/A/83354,NR/2025/26562/A/83672,NR/2025/29816/A/83665,NR/2025/28719/A/83364,NR/2025/27500/A/83277,NR/2025/26889/A/83755,NR/2025/29947/C,NR/2025/26571/A/83675,NR/2025/27167/A/83394,NR/2025/29824/C,NR/2025/27088/A/83762,NR/2025/26975/A/83740,NR/2025/27499/A/83754,NR/2025/29837/C,NR/2025/26785/A/83278,NR/2025/29905/C,NR/2025/26860/A/83636,NR/2025/29906/C,NR/2025/27506/A/83276,NR/2025/27727/A/83731,NR/2025/29909/C,NR/2025/26952/A/83238,NR/2025/27168/A/83397,NR/2025/26777/A/83347,NR/2025/29904/C,NR/2025/26445/A/83765,NR/2025/27176/A/83739,NR/2025/27728/A/83732,NR/2025/27726/A/83733,NR/2025/27187/A/83737,NR/2025/26566/A/83674,NR/2025/27185/A/83738,NR/2025/27725/A/83734,NR/2025/26572/A/83677,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/4444,NR/30092023/26122029/SH-06,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/26/5163,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/9257,NR/2025/27356/A/83708,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/5280,NR/2025/29957/C,NR/2025/29979/C,NR/2025/26565/A/83673,NR/2025/29981/C,NR/2025/29983/C,NR/2025/29984/C,NR/2025/29451/A/83705,NR/2025/29918/C,NR/2025/30002/C,NR/2025/29974/C,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2868,GNARE/NR/2024/12/20/3668,Total
3,00:30-00:45,164.29,0.68,7.73,0,103.29,61.24,28.03,0,0,0,25.2,24.88,41.07,217.34,144.96,1.93,10.63,7.73,5.8,0,144.96,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,106.3,26.35,26.35,19.33,0,19.33,8.78,0,20.54,0,30,19.33,0,23.64,20.54,0,20.54,14.61,11.92,0,0,144.96,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,2473.359999999999

4,00:45-01:00,164.29,0.68,7.73,0,103.67,60.86,28.03,0,0,0,25.2,24.88,41.07,217.34,144.96,1.93,10.63,7.73,5.8,0,144.96,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,106.3,26.35,26.35,19.33,0,19.33,8.78,0,20.54,0,30,19.33,0,23.64,20.54,0,20.54,14.61,11.92,0,0,144.96,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,2473.359999999999

5,01:00-01:15,164.29,0.68,7.73,0,55.35,109.18,28.03,0,0,0,25.2,24.88,41.07,217.34,144.96,1.93,10.63,7.73,5.8,0,144.96,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,106.3,26.35,26.35,19.33,0,19.33,8.78,0,20.54,0,26.5,19.33,0,26.5,20.54,0,20.54,14.61,11.92,0,0,144.96,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,2472.7199999999993

6,01:15-01:30,164.29,0.68,7.73,0,57.28,107.25,28.03,0,0,0,25.2,24.88,41.07,217.34,144.96,1.93,10.63,7.73,5.8,0,144.96,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,106.3,26.35,26.35,19.33,0,19.33,8.78,0,20.54,0,26.5,19.33,0,26.5,20.54,0,20.54,14.61,11.92,0,0,144.96,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,2472.7199999999993

7,01:30-01:45,164.29,0.68,7.73,0,61.59,102.94,28.03,0,0,0,25.2,24.88,41.07,217.34,144.96,1.93,10.63,7.73,5.8,0,144.96,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,106.3,26.35,26.35,19.33,0,19.33,8.78,0,20.54,0,26.5,19.33,0,26.5,20.54,0,20.54,14.61,11.92,0,0,144.96,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,2472.7199999999993

8,01:45-02:00,164.29,0.68,7.73,0,63.42,101.11,28.03,0,0,0,25.2,24.88,41.07,217.34,144.96,1.93,10.63,7.73,5.8,0,144.96,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,106.3,26.35,26.35,19.33,0,19.33,8.78,0,20.54,0,26.5,19.33,0,26.5,20.54,0,20.54,14.61,11.92,0,0,144.96,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,2472.7199999999993

9,02:00-02:15,0,0.63,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,217.34,144.96,1.93,10.63,7.73,0,0,144.96,20.54,0,164.29,27.06,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,106.3,26.35,26.35,19.33,0,19.33,8.78,0,20.54,164.29,26.5,19.33,0,26.5,20.54,0,20.54,14.61,11.92,0,0,144.96,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,2432.9699999999993

10,02:15-02:30,0,0.63,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,217.34,144.96,1.93,10.63,7.73,0,0,144.96,20.54,0,164.29,27.06,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,106.3,26.35,26.35,19.33,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,0,20.54,14.61,11.92,0,0,144.96,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,2433.8299999999995

11,02:30-02:45,0,0.63,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,217.34,144.96,1.93,10.63,7.73,0,0,144.96,20.54,0,164.29,27.06,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,106.3,26.35,26.35,19.33,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,0,20.54,14.61,11.92,0,0,144.96,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,2433.8299999999995

12,02:45-03:00,0,0.63,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,217.34,144.96,1.93,10.63,7.73,0,0,144.96,20.54,0,164.29,27.06,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,106.3,26.35,26.35,19.33,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,0,20.54,14.61,11.92,0,0,144.96,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,2433.8299999999995

13,03:00-03:15,0,0.53,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,217.34,144.96,1.93,10.63,7.73,0,0,144.96,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,19.33,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,0,20.54,14.61,11.92,0,0,144.96,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,2383.1099999999997

14,03:15-03:30,0,0.53,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,217.34,144.96,1.93,10.63,7.73,0,0,144.96,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,19.33,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,0,20.54,14.61,11.92,0,0,144.96,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,2383.1099999999997

15,03:30-03:45,0,0.53,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,217.34,144.96,1.93,10.63,7.73,0,0,144.96,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,19.33,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,0,20.54,14.61,11.92,0,0,144.96,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,2383.1099999999997

16,03:45-04:00,0,0.53,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,217.34,144.96,1.93,10.63,7.73,0,0,144.96,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,19.33,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,0,20.54,14.61,11.92,0,0,144.96,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,2383.1099999999997

17,04:00-04:15,0,0.53,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,1.93,10.63,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,19.33,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,0,20.54,12.3,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,1873.5399999999993

18,04:15-04:30,0,0.53,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,1.93,10.63,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,19.33,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,0,20.54,12.3,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,1873.5399999999993

19,04:30-04:45,0,0.53,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,1.93,10.63,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,19.33,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,0,20.54,12.3,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,1873.5399999999993

20,04:45-05:00,0,0.53,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,1.93,10.63,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,19.33,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,0,20.54,12.3,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,1873.5399999999993

21,05:00-05:15,0,0.63,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,1.93,10.63,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,0,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,0,20.54,12.3,11.92,0,0,0,0,0,0,0,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,1757.6699999999994

22,05:15-05:30,0,0.63,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,1.93,10.63,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,0,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,0,20.54,12.3,11.92,0,0,0,0,0,0,0,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,1757.6699999999994

23,05:30-05:45,0,0.63,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,0.97,10.63,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,0,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,0,20.54,12.3,11.92,0,0,0,0,0,0,0,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0,1756.7099999999994

24,05:45-06:00,0,0.63,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,1.93,9.66,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,0,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,1,20.54,12.3,11.92,0,0,0,0,0,0,0,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,0.4,1758.0999999999995

25,06:00-06:15,0,0.68,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,1.93,9.66,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,0,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,3,20.54,12.3,11.92,0,0,0,0,0,0,0,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,1.05,1760.7999999999993

26,06:15-06:30,0,0.68,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,1.93,9.66,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,0,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,7,20.54,12.3,11.92,0,0,0,0,0,0,0,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,1.7,1765.4499999999994

27,06:30-06:45,0,0.68,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,1.93,9.66,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,0,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,11,20.54,12.3,11.92,0,0,0,0,0,0,0,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,4.57,1772.3199999999993

28,06:45-07:00,0,0.68,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,0.97,9.66,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,0,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,14,20.54,12.3,11.92,0,0,0,0,0,0,0,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,6.44,1776.2299999999993

29,07:00-07:15,0,0.87,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,0.97,9.66,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,0,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,21,20.54,12.3,11.92,0,0,0,0,0,0,0,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,8.89,1785.8699999999994

30,07:15-07:30,0,0.87,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,0.97,9.66,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,0,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,28,20.54,12.3,11.92,0,0,0,0,0,0,0,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,11.36,1795.3399999999992

31,07:30-07:45,0,0.87,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,0.97,9.66,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,0,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,18,20.54,12.3,11.92,0,0,0,0,0,0,0,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,13.88,1787.8599999999994

32,07:45-08:00,0,0.87,7.73,0,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,0.97,9.66,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,26.35,0,0,20.54,164.29,0,96.64,76.94,26.35,26.35,0,0,19.33,8.78,0,20.54,164.29,26.93,19.33,0,26.93,20.54,25,20.54,12.3,11.92,0,0,0,0,0,0,0,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,16.68,1797.6599999999994

33,08:00-08:15,0,0.97,7.73,4.75,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,1.93,9.66,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,76.94,37.34,43.92,0,0,19.33,14.64,0,20.54,164.29,26.93,19.33,0,26.93,20.54,28,20.54,15.54,11.92,0,0,0,0,0,0,0,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,36.06,1881.0799999999997

