Block,Time,L_NR_2012_02,L_NR_2012_04,L_NR_2012_01,L_NR_2018_61,LT-59,L_NR_2020_02,L_NR_2019_19,LT_MEJA_Delhi,LT-36,L_NR_2019_11,LT-05,LT-35,L_NR_2012_07,SH-07,SH-06,LT-31,L_NR_2022_10,L_NR_2020_05,L_NR_2020_06,L_NR_2021_12,L_NR_2021_14,L_NR_2022_09,L_NR_2021_16,L_NR_2021_13,L_NR_2019_05,L_NR_2020_07,L_NR_2022_08,L_NR_2021_15,L_NR_2019_07,L_NR_2019_06,L_NR_2021_17
59,14:30-14:45,90.700000,132.270000,100.040000,24.88,4.940000,3.610000,115.940000,6.360000,16.570000,0.000000,115.610000,16.160000,56.060000,26.010000,26.010000,16.160000,48.08,54.49,18.16,229.38,92.52,48.08,89.34,45.87,31.33,18.18,9.58,50,31.33,31.34,44.66

60,14:45-15:00,90.700000,132.270000,100.040000,27.19,4.940000,3.610000,109.070000,6.360000,15.940000,0.000000,115.610000,15.550000,56.060000,26.010000,26.010000,15.550000,48.54,55.41,18.47,229.38,90.64,48.54,87.34,45.87,31.33,18.47,9.74,49.38,31.33,31.34,43.66

61,15:00-15:15,90.700000,132.270000,100.040000,29.33,4.940000,3.890000,102.080000,6.360000,15.210000,0.000000,115.610000,14.830000,56.060000,26.010000,26.010000,14.830000,48.81,55.94,18.65,229.38,86.34,48.81,82.67,45.87,31.33,18.65,9.9,46.95,31.33,31.34,41.33

62,15:15-15:30,90.700000,132.270000,100.040000,31.08,4.940000,3.890000,94.700000,6.360000,14.450000,0.000000,115.610000,14.090000,56.060000,26.010000,26.010000,14.090000,48.88,56.87,18.96,225.21,81.39,48.88,78,45.04,31.33,18.94,10.17,44.27,31.33,31.34,39

63,15:30-15:45,90.700000,132.270000,100.040000,14.66,4.940000,3.890000,86.730000,6.360000,13.710000,0.000000,115.610000,13.370000,56.520000,26.010000,26.010000,13.370000,55.87,58.05,19.35,207.99,76.8,55.87,74.67,41.6,31.33,19.35,8.55,43.8,31.33,31.34,37.33

64,15:45-16:00,90.700000,132.270000,100.040000,15.79,4.940000,3.890000,78.320000,11.320000,12.700000,0.000000,115.610000,12.390000,56.520000,26.010000,26.010000,12.390000,56.51,58.79,19.6,195.91,70.84,56.51,72.67,39.18,31.33,19.6,8.88,41.15,31.33,31.34,36.33

65,16:00-16:15,90.700000,132.270000,100.040000,16.91,4.940000,4.070000,69.410000,11.320000,11.560000,0.000000,115.610000,11.280000,56.520000,26.010000,26.010000,11.280000,58.77,60.35,20.12,178.37,64.85,58.77,70.67,35.67,31.33,20.12,9.22,37.85,31.33,31.34,35.33

66,16:15-16:30,114.770000,132.270000,100.040000,18.16,4.940000,4.070000,59.880000,11.320000,10.340000,0.000000,115.610000,10.090000,56.520000,26.010000,26.010000,10.090000,61.82,61.88,20.63,178.61,58.83,61.82,66,35.72,31.33,20.62,9.55,33.96,31.33,31.34,33

67,16:30-16:45,90.700000,132.270000,100.040000,19.56,4.940000,4.070000,49.550000,11.320000,9.190000,0.000000,115.610000,8.970000,47.290000,26.010000,26.010000,8.970000,62.17,63.27,21.09,162.95,52.2,62.17,60,32.59,31.33,21.09,9.88,29.84,31.33,31.34,30

68,16:45-17:00,90.700000,132.270000,100.040000,20.85,4.940000,4.070000,39.050000,11.320000,7.930000,0.000000,115.610000,7.730000,47.290000,26.010000,26.010000,7.730000,62.91,65.07,21.69,140.35,45.05,62.91,53.34,28.07,31.33,21.7,10.22,25.65,31.33,31.34,26.66

69,17:00-17:15,90.700000,132.270000,100.040000,33.14,4.940000,4.170000,29.450000,11.320000,6.370000,0.000000,115.610000,6.210000,47.290000,26.010000,26.010000,6.210000,61.35,89.06,29.69,118.28,37.57,61.35,47.34,23.65,33,29.68,14.12,22.64,22.43,33,23.66

70,17:15-17:30,90.700000,132.270000,100.040000,33.34,4.940000,4.170000,21.230000,11.320000,4.760000,0.000000,115.610000,4.650000,47.290000,26.010000,26.010000,4.650000,61.53,88.89,29.63,97.38,30.43,61.53,39.34,19.48,20.18,29.62,13.88,18.4,15.59,33,19.66

71,17:30-17:45,103.210000,132.270000,100.040000,32.94,4.940000,4.170000,14.350000,11.320000,3.170000,0.000000,115.610000,3.100000,47.290000,26.010000,26.010000,3.100000,61.7,88.24,29.41,76.99,23.19,61.7,26.67,15.4,8.89,29.41,13.53,14.05,8.79,18.27,13.33

72,17:45-18:00,109.950000,132.270000,100.040000,32.54,4.940000,4.170000,8.590000,11.320000,2.040000,0.000000,115.610000,1.980000,56.000000,26.010000,26.010000,1.980000,61.88,88.58,29.53,56.23,16.32,61.88,20,11.25,4.45,29.52,13.18,9.92,2.74,11.58,10

73,18:00-18:15,130.280000,132.270000,100.040000,18.67,4.940000,4.170000,4.330000,11.320000,1.090000,0.000000,115.610000,1.070000,75.990000,26.090000,26.090000,1.070000,62.06,89.99,30,40.14,10.47,62.06,13.33,8.03,0,29.99,12.85,6.44,0,0,6.67

74,18:15-18:30,130.280000,132.270000,100.040000,17.74,4.940000,4.170000,1.940000,11.320000,0.390000,0.000000,115.610000,0.380000,75.990000,26.090000,26.090000,0.380000,62.38,90.9,30.3,24.33,6.05,62.38,6.67,4.86,0,30.31,13,3.83,0,0,3.33

75,18:30-18:45,130.280000,132.270000,100.040000,17.43,4.940000,4.170000,0.680000,11.320000,0.040000,0.000000,115.610000,0.040000,75.990000,19.590000,19.590000,0.040000,63.46,91.36,30.45,12.55,3.01,63.46,3.33,2.51,0,30.46,12.98,1.42,0,0,1.67

76,18:45-19:00,130.280000,132.270000,100.040000,9.19,4.940000,4.170000,0.000000,11.320000,0.000000,0.000000,115.610000,0.000000,75.990000,19.590000,19.590000,0.000000,65,91.01,30.34,4.84,0.93,65,1.33,0.97,0,30.33,12.98,0.22,0,0,0.67

77,19:00-19:15,130.280000,132.270000,100.040000,8.96,4.940000,4.070000,0.000000,11.320000,0.000000,0.000000,115.610000,0.000000,75.990000,29.370000,7.880000,0.000000,66.6,92.73,30.91,0.43,0.03,66.6,0,0.09,0,30.91,12.93,0,0,0,0

78,19:15-19:30,130.280000,132.270000,100.040000,8.77,4.940000,4.070000,0.000000,11.320000,0.000000,0.000000,115.610000,0.000000,75.990000,29.370000,7.880000,0.000000,66.9,93.33,31.11,0.03,0.03,66.9,0,0.01,0,31.12,12.71,0,0,0,0

79,19:30-19:45,130.280000,132.270000,100.040000,8.47,4.940000,4.070000,0.000000,11.320000,0.000000,0.000000,115.610000,0.000000,75.990000,22.990000,22.990000,0.000000,66.88,92.45,30.82,0,0.03,66.88,0,0,0,30.81,12.66,0,0,0,0

80,19:45-20:00,130.280000,132.270000,100.040000,8.23,4.940000,4.070000,0.000000,11.320000,0.000000,0.000000,115.610000,0.000000,75.990000,22.990000,22.990000,0.000000,66.4,91.36,30.45,0,0,66.4,0,0,0,30.46,15.41,0,0,0,0

81,20:00-20:15,130.280000,132.270000,100.040000,7.98,4.940000,4.070000,0.000000,11.320000,0.000000,0.000000,115.610000,0.000000,75.990000,22.040000,22.040000,0.000000,66.26,89.37,29.79,0,0,66.26,0,0,0,29.79,15.36,0,0,0,0

82,20:15-20:30,130.280000,132.270000,100.040000,7.92,4.940000,4.070000,0.000000,11.320000,0.000000,0.000000,115.610000,0.000000,75.990000,22.040000,22.040000,0.000000,66.51,88.64,29.55,0,0,66.51,0,0,0,29.55,15.35,0,0,0,0

83,20:30-20:45,130.280000,132.270000,100.040000,7.77,4.940000,4.070000,0.000000,11.320000,0.000000,0.000000,115.610000,0.000000,75.990000,22.040000,22.040000,0.000000,66.94,90.31,30.1,0,0,66.94,0,0,0,30.1,15.3,0,0,0,0

84,20:45-21:00,130.280000,132.270000,100.040000,7.46,4.940000,4.070000,0.000000,11.320000,0.000000,0.000000,115.610000,0.000000,75.990000,22.040000,22.040000,0.000000,65.65,91.46,30.49,0,0,65.65,0,0,0,30.49,15.29,0,0,0,0

85,21:00-21:15,130.280000,157.920000,100.040000,7.02,4.940000,3.890000,0.000000,11.320000,0.000000,4.590000,115.610000,0.000000,75.990000,29.850000,14.230000,0.000000,63.52,93.08,31.03,0,0,63.52,0,0,0,31.03,15.28,0,0,0,0

86,21:15-21:30,130.280000,170.430000,100.040000,6.87,4.940000,3.890000,0.000000,11.320000,0.000000,4.590000,115.610000,0.000000,75.990000,29.850000,14.230000,0.000000,63.46,91.85,30.62,0,0,63.46,0,0,0,30.61,15.23,0,0,0,0

87,21:30-21:45,130.280000,183.430000,100.040000,6.76,4.940000,3.890000,0.000000,11.320000,0.000000,4.590000,115.610000,0.000000,75.990000,29.850000,14.230000,0.000000,61.8,85.87,28.62,0,0,61.8,0,0,0,28.63,15.2,0,0,0,0

88,21:45-22:00,130.280000,196.430000,100.040000,7.03,4.940000,3.890000,0.000000,11.320000,0.000000,4.590000,115.610000,0.000000,75.990000,29.850000,14.230000,0.000000,61.43,85.73,28.58,0,0,61.43,0,0,0,28.57,15.1,0,0,0,0

89,22:00-22:15,130.280000,208.950000,100.040000,6.7,4.940000,3.890000,0.000000,11.320000,0.000000,4.440000,115.610000,0.000000,75.990000,30.330000,23.640000,0.000000,61.12,85.93,28.64,0,0,61.12,0,0,0,28.64,15.08,0,0,0,0

90,22:15-22:30,130.280000,208.950000,100.040000,6.21,4.940000,3.890000,0.000000,11.320000,0.000000,4.440000,115.610000,0.000000,75.990000,30.330000,23.640000,0.000000,60.54,86.11,28.7,0,0,60.54,0,0,0,28.7,15.01,0,0,0,0

91,22:30-22:45,130.280000,208.950000,100.040000,5.94,4.940000,3.890000,0.000000,11.320000,0.000000,4.440000,115.610000,0.000000,75.990000,30.330000,23.640000,0.000000,59.96,86.22,28.74,0,0,59.96,0,0,0,28.75,14.97,0,0,0,0

92,22:45-23:00,130.280000,208.950000,100.040000,5.76,4.940000,3.890000,0.000000,11.320000,0.000000,4.440000,115.610000,0.000000,75.990000,30.330000,23.640000,0.000000,60.03,84.88,28.29,0,0,60.03,0,0,0,28.3,14.94,0,0,0,0

93,23:00-23:15,130.280000,208.950000,100.040000,5.46,4.280000,3.710000,0.000000,11.320000,0.000000,4.440000,115.610000,0.000000,75.990000,30.330000,23.640000,0.000000,59.39,84.42,28.14,0,0,59.39,0,0,0,28.14,14.93,0,0,0,0

94,23:15-23:30,130.280000,208.950000,100.040000,5.09,4.280000,3.710000,0.000000,11.320000,0.000000,4.440000,115.610000,0.000000,75.990000,30.330000,23.640000,0.000000,58.81,83.51,27.84,0,0,58.81,0,0,0,27.83,14.92,0,0,0,0

95,23:30-23:45,130.280000,208.950000,100.040000,4.63,4.280000,3.710000,0.000000,11.320000,0.000000,4.440000,115.610000,0.000000,75.990000,24.720000,24.720000,0.000000,58.14,82.46,27.49,0,0,58.14,0,0,0,27.47,14.88,0,0,0,0

