Column1,Time,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,GNARE/SR/2025/01/13/4532,L_NR_2019_19,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/2868,GNA/NR/2025/04/01/8456,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7786,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/06/01/5280,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9719,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/07/5932,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/01/9257,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/8964,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/14/1761,GNA/NR/2025/06/14/5424,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2569,NR/01102023/06022042/L_NR_2012_02
6,01:15-01:30,61.5,20,0,0,20.5,0,0,0,0,0,0,0,0,0,20.5,0,27.81,0,32,29.16,10.34,0,0,48.32,87.16,0,10.78,10.3,11.91,15.17,24.16,0,15.35,-0,30.27,100.67,24.16,32,273.22,0,0,0,48.32,11.9,24.16,48.32,33.53,57.96,10.6,48.32,62.81,129.67

7,01:30-01:45,61.5,20.67,0,0,20.5,0,0,0,0,0,0,0,0,0,20.5,0,30.41,0,32,29.16,10.34,0,0,48.32,87.16,0,10.78,10.3,11.91,15.17,24.16,0,15.35,-0,30.27,100.67,24.16,32,273.22,0,0,0,48.32,11.9,24.16,48.32,33.53,57.96,10.6,48.32,62.81,129.67

8,01:45-02:00,61.5,21,0,0,20.5,0,0,0,0,0,0,0,0,0,20.5,0,30.01,0,32,29.16,10.34,0,0,48.32,87.16,0,10.78,10.3,11.91,15.17,24.16,0,15.35,-0,30.27,100.67,24.16,32,273.22,0,0,0,48.32,11.9,24.16,48.32,33.53,57.96,10.6,48.32,62.81,129.67

9,02:00-02:15,67.01,21,0,0,22.33,0,0,0,0,0,0,0,0,0,22.33,0,23.61,0,32,29.16,10.34,0,193.26,48.32,87.16,0,10.78,9.84,11.91,14.79,24.16,0,15.35,-0,30.27,100.67,24.16,32,273.22,0,0,0,48.32,11.9,24.16,48.32,33.53,57.96,10.6,48.32,62.81,129.67

10,02:15-02:30,66,21.33,0,0,22,0,0,0,0,0,0,0,0,0,22,0,23.21,0,32,29.16,10.34,0,193.26,48.32,87.16,0,10.78,9.84,11.91,14.79,24.16,0,15.35,-0,30.27,100.67,24.16,32,273.22,0,0,0,48.32,11.9,24.16,48.32,33.53,57.96,10.6,48.32,62.81,129.67

11,02:30-02:45,64.99,18,0,0,21.67,0,0,0,0,0,0,0,0,0,21.67,0,16.41,0,32,29.16,10.34,0,193.26,48.32,87.16,0,10.78,9.84,11.91,14.79,24.16,0,15.35,-0,30.27,100.67,24.16,32,273.22,0,0,0,48.32,11.9,24.16,48.32,33.53,57.96,10.6,48.32,62.81,129.67

12,02:45-03:00,64.5,18,0,0,21.5,0,0,0,0,0,0,0,0,0,21.5,0,15.61,0,32,29.16,10.34,0,193.26,48.32,87.16,0,10.78,9.84,11.91,14.79,24.16,0,15.35,-0,30.27,100.67,24.16,32,273.22,0,0,0,48.32,11.9,24.16,48.32,33.53,57.96,10.28,48.32,62.81,129.67

13,03:00-03:15,64.01,18.33,0,0,21.33,0,0,0,0,0,0,0,0,0,21.33,0,15.21,0,32,29.16,10.34,0,193.26,48.32,87.16,0,10.63,8.44,11.91,14.52,24.16,0,15.35,-0,30.27,100.67,24.16,32,273.22,0,0,0,48.32,11.9,24.16,0,0,57.96,10.28,48.32,62.81,129.67

14,03:15-03:30,64.01,18,0,0,21.33,0,0,0,0,0,0,0,0,0,21.33,0,15.01,0,32,29.16,10.34,0,193.26,48.32,87.16,0,10.63,8.44,11.91,14.52,24.16,0,15.35,-0,30.27,100.67,24.16,32,273.22,0,0,0,48.32,11.9,24.16,0,0,57.96,10.28,48.32,62.81,129.67

15,03:30-03:45,63.49,18,0,0,21.17,0,0,0,0,0,0,0,0,0,21.17,0,16.01,0,32,29.16,10.34,0,193.26,48.32,87.16,0,10.63,8.44,11.91,14.52,24.16,0,15.35,-0,30.27,100.67,24.16,32,273.22,0,0,0,48.32,11.9,24.16,0,0,57.96,10.28,48.32,62.81,129.67

16,03:45-04:00,63,18.67,0,0,21,0,0,0,0,0,0,0,0,0,21,0,16.01,0,32,29.16,10.34,0,193.26,48.32,87.16,0,10.63,8.44,11.91,14.52,24.16,0,15.35,-0,30.27,100.67,24.16,32,273.22,0,0,0,48.32,11.9,24.16,0,0,57.96,10.28,48.32,62.81,129.67

17,04:00-04:15,42.49,18,0,0,14.17,0,0,0,0,0,0,0,0,0,14.17,0,16.01,0,14.66,29.16,10.34,0,193.26,48.32,87.16,0,10.4,7.96,11.91,14.15,24.16,0,15.35,-0,30.27,100.67,24.16,14.66,273.22,0,0,0,48.32,11.9,24.16,0,0,57.96,9.82,48.32,62.81,129.67

18,04:15-04:30,42.49,18,0,0,14.17,0,0,0,0,0,0,0,0,0,14.17,0,16.01,0,14.66,29.16,10.34,0,193.26,48.32,87.16,0,10.4,7.96,11.91,14.15,24.16,0,15.35,-0,30.27,100.67,24.16,14.66,273.22,0,0,0,48.32,11.9,24.16,0,0,57.96,9.82,48.32,62.81,129.67

19,04:30-04:45,30,8.67,0,0,10,0,0,0,0,0,0,0,0,0,10,0,26.01,0,14.66,29.16,10.34,0,193.26,48.32,87.16,0,10.4,7.96,11.91,14.15,24.16,0,15.35,-0,30.27,100.67,24.16,14.66,273.22,0,0,0,48.32,11.9,24.16,0,0,57.96,9.82,48.32,62.81,129.67

20,04:45-05:00,29.51,8.67,0,0,9.83,0,0,0,0,0,0,0,0,0,9.83,0,25.61,0,19.46,29.16,10.34,0,193.26,48.32,87.16,0,10.4,7.96,11.91,14.15,24.16,0,15.35,-0,30.27,100.67,24.16,19.46,273.22,0,0,0,48.32,11.9,24.16,0,0,57.96,9.82,48.32,62.81,129.67

21,05:00-05:15,29.51,14,0,0,9.83,0,0,0,0,0,0,0,0,0,9.83,0,28.81,0,19.46,29.16,10.34,0,193.26,48.32,87.16,0,10.24,7.5,11.91,13.78,24.16,0,15.35,-0,30.27,100.67,24.16,19.46,273.22,0,0,0,48.32,11.9,24.16,0,0,57.96,9.82,48.32,62.81,129.67

22,05:15-05:30,29.51,14,0,0,9.83,0,0,0,0,0,0,0,0,0,9.83,0,27.61,0,19.46,29.16,10.34,0,193.26,48.32,87.16,0,10.24,7.5,11.91,13.78,24.16,0,15.35,-0,30.27,100.67,24.16,19.46,273.22,0,0,0,48.32,11.9,24.16,0,0,57.96,9.82,48.32,62.81,129.67

23,05:30-05:45,28.99,10,0,0,9.67,0,0,0,0,0,0,0,0,0,9.67,0,32.41,1.49,19.46,29.16,10.34,0,193.26,48.32,87.16,0,10.24,7.5,11.91,13.78,24.16,0,15.35,-0,30.28,100.67,24.16,19.46,273.22,0,0,0,48.32,11.9,24.16,0,0,53.7,9.82,48.32,62.81,129.67

24,05:45-06:00,28.01,10,0,0,9.33,0,0,0,0,0,0,0,0,0,9.33,0,32.21,4.32,19.46,29.16,10.34,0,193.26,48.32,87.16,0,10.24,7.5,11.91,13.78,24.16,0,15.35,-0,30.28,100.67,24.16,19.46,273.22,0,0,0,48.32,11.9,24.16,0,0,49.44,9.82,48.32,62.81,129.67

25,06:00-06:15,39.49,10,1,0.3,13.17,0,0,8.65,0,0.25,0,1,1,7.95,13.17,0,31.21,7.26,19.46,29.16,10.34,0,193.26,48.32,87.16,0,10.02,7.22,11.91,13.41,24.16,0,15.35,-0,30.28,100.67,24.16,19.46,273.22,0,1.25,1,48.32,11.9,24.16,0,0,45.17,9.97,48.32,62.81,129.67

26,06:15-06:30,37.99,10,3,0.83,12.67,0,1,29.65,0,1.08,0,2,2,28.65,12.67,0,30.81,10.72,19.46,29.16,7.77,1.1,193.26,48.32,69.17,0.85,10.02,7.22,11.91,13.41,24.16,1.1,11.07,-0,30.28,100.67,24.16,19.46,273.22,0,5.4,2,48.32,11.9,24.16,0,0,57.96,9.97,48.32,62.81,98.75

27,06:30-06:45,37.01,10,4,3.5,12.33,0,2,33,3,1.82,0,3,3,33,12.33,0,30.01,15.1,19.46,29.16,7.77,0.32,193.26,48.32,69.17,0.25,10.63,7.22,11.91,13.41,24.16,0.32,11.07,-0,29.27,100.67,24.16,19.46,273.22,0,9.08,3,48.32,11.9,24.16,0,0,57.96,9.97,48.32,62.81,98.75

28,06:45-07:00,34.5,10,7,7.36,11.5,0,3,33,6,3.07,0,7,5,33,11.5,0,29.21,20.63,19.46,29.16,7.77,0.76,193.26,48.32,69.17,0.59,10.63,7.22,11.91,13.41,24.16,0.76,11.07,-0,30.27,100.67,24.16,19.46,273.22,0,15.32,6,48.32,11.9,24.16,0,0,35.23,9.97,48.32,62.81,98.75

29,07:00-07:15,32.51,10,12,10.67,10.83,0,7,33,10,4.67,0,15,6,33,10.83,0,36.01,27.15,19.46,29.16,3.24,1.37,193.26,48.32,49.19,1.05,10.4,6.93,11.91,13.23,24.16,1.37,4.35,-0,30.27,100.67,24.16,19.46,234.57,0,23.36,9,48.32,11.9,24.16,0,0,35.23,9.66,48.32,62.81,87.3

30,07:15-07:30,28.99,10,18,13.96,9.67,0,9,33,16,6.33,0,19,7,33,9.67,0,36.01,34.76,19.46,29.16,3.24,2.56,193.26,48.32,38.65,1.98,10.4,6.93,11.91,13.23,24.16,2.56,4.35,-0,30.27,100.67,24.16,19.46,222.26,0,31.63,13,48.32,11.9,24.16,0,0,35.23,9.66,48.32,62.81,98.75

31,07:30-07:45,25.01,10,22,16.35,8.33,0,13,33,24,8.26,0,27,12,33,8.33,0,36.01,41.92,19.46,29.16,3.24,3.89,193.26,48.32,38.65,3,10.4,7.73,11.91,13.23,24.16,3.89,4.35,-0,30.27,72.47,24.16,19.46,183.61,0,41.27,21,48.32,11.9,24.16,0,0,35.23,9.66,48.32,62.81,53.15

32,07:45-08:00,23.51,10,28,18.73,7.83,0,17,32.67,32.66,10.4,0,33,16,32.67,7.83,0,36.01,49.57,19.46,29.16,3.24,5.38,193.26,48.32,38.65,4.15,10.4,7.73,11.91,13.23,24.16,5.38,4.35,-0,31.29,53.15,24.16,19.46,165.65,0,52,25,48.32,11.9,24.16,0,0,35.23,9.66,48.32,62.81,53.15

33,08:00-08:15,23.51,10,33,24.42,7.83,0,18,32.67,32.66,11.85,0,37,14,32.67,7.83,0,36.01,57.13,19.46,29.16,3.24,6.41,193.26,48.32,38.65,4.95,10.18,7.73,11.91,13.23,24.16,6.41,4.35,-0,31.29,53.15,24.16,19.46,165.65,0,59.23,29,48.32,11.9,24.16,0,0,35.23,9.35,48.32,62.81,53.15

34,08:15-08:30,24,10,39,30.11,8,0,22,33,33,14.02,0,43,16,33,8,0,36.01,65.16,19.46,29.16,3.24,7.46,193.26,48.32,38.65,5.77,10.18,7.73,11.91,13.23,24.16,7.46,4.35,-0,31.29,53.15,24.16,19.46,165.65,0,70.08,33,48.32,11.9,24.16,0,0,35.23,9.35,48.32,62.81,53.15

35,08:30-08:45,24.49,10,45,35.8,8.17,0,23,33,33,16.16,0,47,19,33,8.17,0,36.01,73.96,19.46,29.16,3.24,8.51,193.26,48.32,38.65,6.58,10.18,7.73,11.91,13.23,24.16,8.51,4.35,-0,30.27,53.15,24.16,19.46,165.65,0,80.81,33,48.32,11.9,24.16,0,0,35.23,9.35,48.32,62.81,53.15

36,08:45-09:00,24,10,51,41.49,8,0,27,33,33,18.24,0,53,22,33,8,0,36.01,76.32,19.46,29.16,3.24,9.56,193.26,48.32,38.65,7.39,10.18,7.73,11.91,13.23,24.16,9.56,4.35,-0,30.27,53.15,24.16,19.46,165.65,0,91.2,38,48.32,11.9,24.16,0,0,35.23,9.35,48.32,62.81,53.15

37,09:00-09:15,22.5,3.33,57,52.39,7.5,0,30,33,33,24.49,0,60,23,33,7.5,0,28.61,82.34,19.46,17.39,3.24,10.61,193.26,48.32,38.65,8.2,10.02,7.5,11.91,13.04,24.16,10.61,4.35,-77.48,30.27,53.15,24.16,19.46,165.65,0,122.44,42,48.32,11.9,24.16,0,0,35.23,9.03,48.32,62.81,53.15

38,09:15-09:30,22.5,3.33,63,57.16,7.5,0,33,33,33,26.78,0,66,25,33,7.5,0,27.41,91.91,19.46,17.39,3.24,11.66,193.26,48.32,38.65,9.02,10.02,7.5,11.91,13.04,24.16,11.66,4.35,-77.48,30.27,53.15,24.16,19.46,165.65,0,133.88,45,48.32,11.9,24.16,0,0,35.23,9.03,48.32,62.81,53.15

39,09:30-09:45,22.5,3.33,67,61.75,7.5,0,36,33,33,28.93,0,71,29,33,7.5,0,26.21,98.43,19.46,17.39,3.24,12.71,193.26,48.32,38.65,9.83,10.02,7.5,11.91,13.04,24.16,12.71,4.35,-77.48,28.26,53.15,24.16,19.46,165.65,0,144.66,42,48.32,11.9,24.16,0,0,35.23,9.03,48.32,62.81,53.15

40,09:45-10:00,22.5,3.33,72,65.79,7.5,0,38,33,33,30.94,0,77,31,33,7.5,0,25.01,103.38,19.46,17.39,3.24,13.76,193.26,48.32,38.65,10.64,10.02,7.5,11.91,13.04,24.16,13.76,4.35,-77.48,28.26,53.15,24.16,19.46,165.65,0,154.69,45,48.32,11.9,24.16,0,0,35.23,9.03,48.32,62.81,53.15

41,10:00-10:15,28.01,6,75,65.36,9.33,0,40,33,33,32.8,0,80,30,33,9.33,0,28.01,109.26,19.46,17.39,3.24,14.39,193.26,48.32,38.65,11.13,10.02,7.26,11.91,12.85,24.16,14.39,4.35,-77.48,28.26,53.15,24.16,19.46,150.27,0,164.02,53,48.32,11.9,24.16,0,0,35.23,9.03,48.32,62.81,53.15

42,10:15-10:30,28.99,6,76,68.8,9.67,0,42,33,33,33.33,0,83,31,33,9.67,0,28.81,119.96,19.46,17.39,5.81,15.12,193.26,48.32,38.65,11.68,10.02,7.26,11.91,12.85,24.16,15.12,4.35,-77.48,28.26,53.15,24.16,19.46,150.27,0,166.62,57,48.32,11.9,24.16,0,0,35.23,9.03,48.32,62.81,53.15

43,10:30-10:45,30,6.33,78,43.62,10,0,43,33,33,34.14,0,87,27,33,10,0,30.61,119.96,19.46,17.39,5.81,12.49,193.26,48.32,38.65,9.65,10.02,7.26,11.91,12.85,24.16,12.49,4.35,-77.48,28.26,53.15,24.16,19.46,150.27,0,170.71,63,48.32,11.9,24.16,0,0,35.23,9.03,48.32,62.81,53.15

44,10:45-11:00,31.5,6.67,79,45.48,10.5,0,45,33,33,34.44,0,90,30,33,10.5,0,35.41,124.84,19.46,17.39,5.81,12.61,193.26,48.32,38.65,9.74,10.02,7.26,11.91,12.85,24.16,12.61,4.35,-77.48,28.26,53.15,24.16,19.46,150.27,0,172.21,67,48.32,11.9,24.16,0,0,35.23,9.03,48.32,62.81,53.15

45,11:00-11:15,31.99,3.33,81,45.91,10.67,0,47,33,33,22.96,0,93,25,33,10.67,0,29.44,124.84,19.46,17.39,5.81,12.61,193.26,48.32,38.65,9.74,9.87,5.86,11.91,12.67,24.16,12.61,4.35,-77.48,28.26,86.97,24.16,19.46,150.27,0,114.78,71,48.32,11.9,24.16,0,0,35.23,8.8,48.32,62.81,53.15

46,11:15-11:30,32.51,3.67,81,46.67,10.83,0,47,33,33,23.33,0,93,27,33,10.83,0,30.32,124.84,19.46,17.39,5.81,12.61,193.26,48.32,38.65,9.74,9.87,5.86,11.91,12.67,24.16,12.61,4.35,-77.48,28.26,100.67,24.16,19.46,150.27,0,116.67,75,48.32,11.9,24.16,0,0,35.23,8.8,48.32,62.81,53.15

47,11:30-11:45,32.51,4,81,47.56,10.83,0,46,33,33,23.78,0,92,27,33,10.83,0,31.47,124.84,19.46,17.39,5.81,11.09,193.26,48.32,38.65,8.58,9.87,5.86,11.91,12.67,24.16,11.09,8.63,-77.48,28.26,100.67,24.16,19.46,150.27,0,118.91,67,48.32,11.9,24.16,0,0,28.41,8.8,48.32,62.81,53.15

48,11:45-12:00,33,4.33,81,48.52,11,0,46,33,33,24.26,0,92,27,33,11,0,32.73,105.33,19.46,17.39,5.81,11.09,193.26,48.32,38.65,8.58,9.87,5.86,11.91,12.67,24.16,11.09,8.63,-77.48,28.26,100.67,24.16,19.46,150.27,0,121.29,67,48.32,11.9,24.16,0,0,28.41,8.8,48.32,62.81,53.15

49,12:00-12:15,29.94,0.67,75,48.73,9.98,0,44,33,33,15.74,0,89,25,33,9.98,0,42.02,105.33,19.46,17.39,5.81,11.09,193.26,48.32,56.64,8.58,9.87,6.65,11.91,12.58,24.16,11.09,8.63,-77.48,28.26,100.67,24.16,19.46,150.27,0,78.71,62,48.32,11.9,24.16,0,0,28.41,8.8,48.32,62.81,85.15

50,12:15-12:30,31.97,0.67,73,49.43,10.65,0,44,33,33,15.72,0,89,25,33,10.65,0,42.02,105.33,19.46,17.39,5.81,11.09,193.26,48.32,56.64,8.58,9.87,6.65,11.91,12.58,24.16,11.09,8.63,-77.48,28.26,100.67,24.16,19.46,150.27,0,78.57,62,48.32,11.9,24.16,0,0,28.41,8.8,48.32,62.81,85.15

51,12:30-12:45,21.7,0.67,73,38.39,7.24,0,44,33,33,15.77,0,89,21,33,7.24,0,42.02,105.33,19.46,28.99,5.81,11.09,193.26,48.32,56.64,8.58,9.87,7.03,11.91,12.58,24.16,11.09,8.63,-77.48,28.26,100.67,24.16,19.46,150.27,0,78.82,50,48.32,11.9,24.16,0,0,28.41,8.8,48.32,62.81,85.15

52,12:45-13:00,24.07,0.67,73,38.6,8.02,0,44,33,33,15.9,0,88,21,33,8.02,0,42.02,105.33,19.46,28.99,5.81,11.09,193.26,48.32,56.64,8.58,9.87,7.03,11.91,12.58,24.16,11.09,8.63,-77.48,28.77,100.67,24.16,19.46,183.6,0,79.48,50,48.32,11.9,24.16,0,0,28.41,8.8,48.32,62.81,85.15

53,13:00-13:15,22.5,0.67,73,38.74,7.5,0,44,33,33,16.48,0,87,21,33,7.5,0,42.02,105.33,19.46,28.99,5.81,11.09,193.26,48.32,56.64,8.58,10.4,7.31,11.91,12.39,24.16,11.09,8.63,-77.48,28.77,100.67,24.16,19.46,222.25,0,82.41,35,48.32,11.9,24.16,0,0,28.41,8.96,48.32,62.81,102.87

54,13:15-13:30,22.99,0.67,73,38.85,7.67,0,44,33,33,17.06,0,87,21,33,7.67,0,42.02,117.56,19.46,28.99,5.81,11.09,193.26,48.32,56.64,8.58,10.4,7.31,11.91,12.39,24.16,11.09,8.63,-77.48,28.77,100.67,24.16,19.46,222.25,0,85.29,35,48.32,11.9,24.16,0,0,28.41,8.96,48.32,62.81,102.87

55,13:30-13:45,23.51,0.67,73,39.02,7.83,0,44,33,33,13.4,0,87,20,33,7.83,0,42.02,106.31,19.46,28.99,5.81,11.09,193.26,48.32,56.64,8.58,10.4,7.31,11.91,12.39,24.16,11.09,15.35,-0,28.77,100.67,24.16,19.46,222.25,0,66.97,30,48.32,11.9,24.16,0,0,28.41,8.96,48.32,62.81,102.87

56,13:45-14:00,24,0.67,73,39.21,8,0,43,33,33,13.76,0,87,20,33,8,0,42.02,106.31,19.46,28.99,5.81,11.09,193.26,48.32,56.64,8.58,10.4,7.31,11.91,12.39,24.16,11.09,15.35,-0,29.27,100.67,24.16,19.46,222.25,0,68.8,28,48.32,11.9,24.16,0,0,28.41,8.96,48.32,62.81,102.87

57,14:00-14:15,22.5,0.67,70,32.95,7.5,0,43,33,33,12.83,0,85,18,33,7.5,0,42.02,106.04,19.46,28.99,5.81,11.09,193.26,48.32,67.19,8.58,10.78,7.68,11.91,12.39,24.16,11.09,15.35,-0,30.28,100.67,24.16,19.46,260.9,0,64.15,27,48.32,11.9,24.16,0,0,28.41,9.35,48.32,62.81,102.87

58,14:15-14:30,22.99,0.67,69,34.73,7.67,0,42,33,33,14.65,0,83,17,33,7.67,0,42.02,25.36,19.46,28.99,5.81,11.09,193.26,48.32,67.19,8.58,10.78,7.68,11.91,12.39,24.16,11.09,15.35,-0,30.28,100.67,24.16,19.46,273.22,0,73.25,25,48.32,11.9,24.16,0,0,28.41,9.35,48.32,62.81,102.87

59,14:30-14:45,23.51,0.67,57,36.37,7.83,0,33,33,33,16.47,0,67,18,33,7.83,0,42.02,25.36,32,28.99,5.81,11.09,193.26,48.32,87.16,8.57,10.78,7.68,11.91,12.39,24.16,11.09,15.35,-0,30.28,100.67,24.16,6.93,273.22,0,82.35,23,48.32,11.9,24.16,0,0,28.41,9.35,48.32,62.81,130.74

60,14:45-15:00,24,0.67,54,37.69,8,0,32,33,33,18.29,0,63,18,33,8,0,42.02,25.36,32,28.99,5.81,10.92,193.26,48.32,87.16,8.43,10.78,7.68,11.91,12.39,24.16,10.92,15.35,-0,30.28,100.67,24.16,6.93,273.22,0,91.46,23,48.32,11.9,24.16,0,0,28.41,9.35,48.32,62.81,130.74

61,15:00-15:15,27,1,51,38.02,9,0,30,33,33,13.5,0,60,16,33,9,0,42.02,29.26,32,28.99,5.81,10.63,193.26,48.32,87.16,8.21,10.78,8.15,11.91,12.67,24.16,10.63,15.35,-0,31.29,100.67,24.16,0,273.22,0,67.5,20,48.32,11.9,24.16,0,0,57.96,9.74,48.32,62.81,130.74

62,15:15-15:30,28.5,1.33,46,38.56,9.5,0,28,33,33,13.5,0,57,15,33,9.5,0,42.02,29.26,32,28.99,5.81,9.99,193.26,48.32,87.16,7.73,10.78,8.15,11.91,12.67,24.16,9.99,15.35,-0,31.29,100.67,24.16,0,273.22,0,67.5,18,48.32,11.9,24.16,0,0,57.96,9.74,48.32,62.81,130.74

63,15:30-15:45,30,1.67,42,37.27,10,0,27,33,33,13.5,0,53,12,33,10,0,42.02,29.26,32,28.99,5.81,9.36,193.26,48.32,87.16,7.23,10.78,8.15,11.91,12.67,24.16,9.36,15.35,-0,31.29,100.67,24.16,0,273.22,0,67.5,13,48.32,11.9,24.16,0,0,57.96,10.13,48.32,62.81,130.74

64,15:45-16:00,31.99,2,37,37.79,10.67,0,25,33,33,13.5,0,50,10,33,10.67,0,42.02,21.46,32,28.99,5.81,8.72,193.26,48.32,87.16,6.73,10.78,8.15,11.91,12.67,24.16,8.72,15.35,-0,31.29,100.67,24.16,0,273.22,0,67.5,12,48.32,11.9,24.16,0,0,57.96,10.13,48.32,62.81,130.74

65,16:00-16:15,34.99,2.33,42,31.91,11.67,0,23,33,30,13.5,0,47,10,33,11.67,0,42.02,21.46,32,28.99,5.81,7.96,193.26,48.32,87.16,6.15,10.78,8.62,11.91,13.04,24.16,7.96,15.35,-0,31.29,100.67,24.16,0,273.22,0,67.5,18,48.32,11.9,24.16,0,0,57.96,10.28,48.32,62.81,130.74

