Time,Block,NR/2024/19172/A/15289,NR/2024/18996/A/15122,NR/2024/19043/A/14657,NR/2024/18919/A/15170,NR/2024/18976/A/14591,NR/2024/19121/A/14691,NR/2024/19075/A/14649,NR/2024/19418/C,NR/2024/19143/A/14644,NR/2024/18978/A/14593,NR/2024/19419/C,NR/2024/19245/A/15084,NR/2024/19024/A/15089,NR/2024/18855/A/14695,NR/2024/19290/A/15288,NR/2024/19030/A/14663,NR/2024/18934/A/14581,NR/2024/19115/A/14646,NR/2024/18935/A/14582,NR/2024/18986/A/14666,NR/2024/19337/A/14703,NR/2024/18936/A/14583,NR/2024/18977/A/14592,Total
30,07:15-07:30,116.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,1.79,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.630000,1.930000,0.000000,0.000000,312.33

31,07:30-07:45,116.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,2.38,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.630000,1.930000,0.000000,0.000000,312.92

32,07:45:08:00,116.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,3.04,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.630000,1.930000,0.000000,0.000000,313.58

33,08:00-08:15,116.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,3.63,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.970000,1.930000,0.000000,0.000000,314.51

34,08:15-08:30,116.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,4.31,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.970000,1.930000,0.000000,0.000000,315.19

35,08:30-08:45,116.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,4.7,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.970000,1.930000,0.000000,0.000000,315.58

36,08:45:09:00,116.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,5.5,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.970000,1.930000,0.000000,0.000000,316.38

37,09:00:09:15,116.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,6.01,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.970000,1.930000,0.000000,0.000000,316.89

38,09:15-09:30,116.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,6.48,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.970000,1.930000,0.000000,0.000000,317.36

39,09:30-09:45,116.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,6.89,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.970000,1.930000,0.000000,0.000000,317.77

40,09:45-10:00,116.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,52.590000,0.000000,0.000000,7.18,0.000000,4.830000,0.000000,67.670000,0.000000,0.000000,0.000000,0.000000,0.970000,1.930000,0.000000,0.000000,318.06

41,10:00-10:15,116.000000,48.340000,46.400000,0.000000,0.000000,66.890000,0.000000,45.050000,0.000000,0.000000,7.76,0.000000,4.830000,0.000000,67.670000,0.000000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,529.58

42,10:15-10:30,116.000000,48.340000,46.400000,0.000000,0.000000,66.890000,0.000000,45.050000,0.000000,0.000000,7.69,0.000000,4.830000,0.000000,67.670000,0.000000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,529.51

43,10:30-10:45,116.000000,48.340000,46.400000,0.000000,0.000000,66.890000,0.000000,45.050000,0.000000,0.000000,8.36,0.000000,4.830000,0.000000,67.670000,0.000000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,530.18

44,10:45-11:00,116.000000,48.340000,46.400000,0.000000,0.000000,66.890000,0.000000,45.050000,0.000000,0.000000,8.66,0.000000,4.830000,0.000000,67.670000,0.000000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,530.48

45,11:00-11:15,116.000000,48.340000,46.400000,0.000000,0.000000,0.000000,0.000000,45.050000,0.000000,0.000000,8.85,0.000000,4.830000,66.890000,67.670000,0.000000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,530.67

46,11:15-11:30,116.000000,48.340000,46.400000,0.000000,0.000000,0.000000,0.000000,45.050000,0.000000,0.000000,8.98,0.000000,4.830000,66.890000,67.670000,0.000000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,530.8

47,11:30-11:45,116.000000,48.340000,46.400000,0.000000,0.000000,0.000000,0.000000,45.050000,0.000000,0.000000,9.11,0.000000,4.830000,66.890000,67.670000,0.000000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,530.93

48,11:45-12:00,116.000000,48.340000,46.400000,0.000000,0.000000,0.000000,0.000000,45.050000,0.000000,0.000000,9.14,0.000000,4.830000,66.890000,67.670000,0.000000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,530.96

49,12:00-12:15,116.000000,48.340000,46.400000,0.000000,39.630000,0.000000,19.330000,45.050000,0.000000,14.500000,9.21,1.930000,4.830000,66.890000,67.670000,19.330000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,625.75

50,12:15-12:30,116.000000,48.340000,46.400000,0.000000,39.630000,0.000000,19.330000,45.050000,0.000000,14.500000,9.24,1.930000,4.830000,66.890000,67.670000,19.330000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,625.78

51,12:30-12:45,116.000000,48.340000,46.400000,0.000000,39.630000,0.000000,19.330000,45.050000,0.000000,14.500000,9.3,1.930000,4.830000,66.890000,67.670000,19.330000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,625.84

52,12:45-13:00,116.000000,48.340000,46.400000,0.000000,39.630000,0.000000,19.330000,45.050000,0.000000,14.500000,9.23,1.930000,4.830000,66.890000,67.670000,19.330000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,625.77

53,13:00-13:15,116.000000,48.340000,46.400000,0.000000,39.630000,0.000000,19.330000,45.050000,0.000000,14.500000,9.18,1.930000,4.830000,66.890000,67.670000,19.330000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,625.72

54,13:15-13:30,116.000000,48.340000,46.400000,0.000000,39.630000,0.000000,19.330000,45.050000,0.000000,14.500000,8.98,1.930000,4.830000,66.890000,67.670000,19.330000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,625.52

55,13:30-13:45,116.000000,48.340000,46.400000,0.000000,39.630000,0.000000,19.330000,45.050000,0.000000,14.500000,8.71,1.930000,4.830000,66.890000,67.670000,19.330000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,625.25

56,13:45-14:00,116.000000,48.340000,46.400000,0.000000,39.630000,0.000000,19.330000,45.050000,0.000000,14.500000,8.45,1.930000,4.830000,66.890000,67.670000,19.330000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,624.99

57,14:00-14:15,116.000000,48.340000,46.400000,0.000000,39.630000,0.000000,19.330000,45.050000,0.000000,14.500000,8.19,1.930000,4.830000,66.890000,67.670000,19.330000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,624.73

58,14:15-14:30,116.000000,48.340000,46.400000,0.000000,39.630000,0.000000,19.330000,45.050000,0.000000,14.500000,7.94,1.930000,4.830000,66.890000,67.670000,19.330000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,624.48

59,14:30-14:45,116.000000,48.340000,46.400000,0.000000,39.630000,0.000000,19.330000,45.050000,0.000000,14.500000,7.72,1.930000,4.830000,66.890000,67.670000,19.330000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,624.26

60,14:45-15:00,116.000000,48.340000,46.400000,0.000000,39.630000,0.000000,19.330000,45.050000,0.000000,14.500000,7.43,1.930000,4.830000,66.890000,67.670000,19.330000,4.830000,48.340000,5.800000,0.970000,1.930000,6.770000,58.000000,623.97

61,15:00-15:15,116.000000,48.340000,46.400000,0.000000,39.630000,0.000000,19.330000,45.050000,0.000000,14.500000,6.9,1.930000,4.830000,66.890000,67.670000,19.330000,4.830000,48.340000,5.800000,0.730000,1.930000,6.770000,58.000000,623.2

62,15:15-15:30,116.000000,48.340000,46.400000,0.000000,39.630000,0.000000,19.330000,45.050000,0.000000,14.500000,6.52,1.930000,4.830000,66.890000,67.670000,19.330000,4.830000,48.340000,5.800000,0.730000,1.930000,6.770000,58.000000,622.82

63,15:30-15:45,116.000000,48.340000,46.400000,0.000000,39.630000,0.000000,19.330000,45.050000,0.000000,14.500000,5.86,1.930000,4.830000,66.890000,67.670000,19.330000,4.830000,48.340000,5.800000,0.730000,1.930000,6.770000,58.000000,622.16

64,15:45-16:00,116.000000,48.340000,46.400000,0.000000,39.630000,0.000000,19.330000,45.050000,0.000000,14.500000,5.38,1.930000,4.830000,66.890000,67.670000,19.330000,4.830000,48.340000,5.800000,0.730000,1.930000,6.770000,58.000000,621.68

65,16:00-16:15,116.000000,48.340000,46.400000,0.000000,0.000000,0.000000,0.000000,52.590000,0.000000,0.000000,4.83,1.930000,4.830000,66.890000,67.670000,0.000000,4.830000,48.340000,5.800000,0.730000,1.930000,6.770000,58.000000,535.88

66,16:15-16:30,116.000000,48.340000,46.400000,0.000000,0.000000,0.000000,0.000000,52.590000,0.000000,0.000000,4.22,1.930000,4.830000,66.890000,67.670000,0.000000,4.830000,48.340000,5.800000,0.730000,1.930000,6.770000,58.000000,535.27

67,16:30-16:45,116.000000,48.340000,46.400000,0.000000,0.000000,0.000000,0.000000,52.590000,0.000000,0.000000,3.64,1.930000,4.830000,66.890000,67.670000,0.000000,4.830000,48.340000,5.800000,0.730000,1.930000,6.770000,58.000000,534.69

68,16:45-17:00,116.000000,48.340000,46.400000,0.000000,0.000000,0.000000,0.000000,52.590000,0.000000,0.000000,3.02,1.930000,4.830000,66.890000,67.670000,0.000000,4.830000,48.340000,5.800000,0.730000,1.930000,6.770000,58.000000,534.07

69,17:00-17:15,116.000000,48.340000,0.000000,0.000000,0.000000,0.000000,0.000000,108.850000,0.000000,0.000000,2.4,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,419.52

70,17:15-17:30,116.000000,48.340000,0.000000,0.000000,0.000000,0.000000,0.000000,108.850000,0.000000,0.000000,1.81,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,418.93

71,17:30-17:45,116.000000,48.340000,0.000000,0.000000,0.000000,0.000000,0.000000,142.680000,0.000000,0.000000,1.31,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,452.26

72,17:45-18:00,116.000000,48.340000,0.000000,0.000000,0.000000,0.000000,0.000000,142.680000,0.000000,0.000000,0.89,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,451.84

73,18:00-18:15,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,167.240000,0.000000,0.000000,0.52,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,427.69

74,18:15-18:30,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,167.240000,0.000000,0.000000,0.22,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,427.39

75,18:30-18:45,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,167.240000,0.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,427.17

76,18:45-19:00,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,167.240000,0.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,427.17

77,19:00-19:15,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,167.240000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,429.17

78,19:15-19:30,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,167.240000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,429.17

79,19:30-19:45,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,167.240000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,429.17

80,19:45-20:00,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,167.240000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,429.17

81,20:00-20:15,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,167.240000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,429.17

82,20:15-20:30,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,167.240000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,429.17

83,20:30-20:45,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,167.240000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,429.17

84,20:45-21:00,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,167.240000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,429.17

85,21:00-21:15,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,150.130000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,412.06

86,21:15-21:30,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,150.130000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,412.06

87,21:30-21:45,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,150.130000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,412.06

88,21:45-22:00,116.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,150.130000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,412.06

89,22:00-22:15,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,105.080000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,376.68

90,22:15-22:30,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,105.080000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,376.68

91,22:30-22:45,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,324.19

92,22:45-23:00,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.680000,1.930000,0.000000,0.000000,324.19

93,23:00-23:15,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.630000,1.930000,0.000000,0.000000,324.14

94,23:15-23:30,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.630000,1.930000,0.000000,0.000000,324.14

95,23:30-23:45,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.630000,1.930000,0.000000,0.000000,324.14

96,23:45-24:00,116.000000,0.000000,0.000000,9.670000,0.000000,0.000000,0.000000,52.590000,2.000000,0.000000,0,1.930000,4.830000,66.890000,67.670000,0.000000,0.000000,0.000000,0.000000,0.630000,1.930000,0.000000,0.000000,324.14

