Column1,Block,NR/2024/24040/C,NR/2024/24041/C,GNA/NR/2024/11/01/4503,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/11/01/4200,GNA/NR/2024/11/01/9061,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/1868,NR/2024/23963/A/43769,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/3646,NR/2024/23809/A/43743,WR/2024/24788/A/43896,NR/2024/23769/A/43744,NR/30092023/26122029/SH-06,NR/2024/23420/A/43745,GNA/NR/2024/11/01/5474,NR/2024/23918/A/43742,Total
87,21:30-21:45,0,0,8.64,2.38,50,34.57,200,34.57,34.57,17.29,8.64,0,0,0,4.8,38.42,5.76,0,0.62,0,0,440.26000000000005

88,21:45-22:00,0,0,8.64,2.38,50,34.57,200,34.57,34.57,17.29,8.64,0,0,0,4.8,38.42,5.76,0,0.62,0,0,440.26000000000005

89,22:00-22:15,0,0,8.64,2.38,50,25.93,200,25.93,25.93,17.29,8.64,0,0,47.56,4.8,38.42,5.76,0,0.62,142.69,0,604.59

90,22:15-22:30,0,0,8.64,2.38,50,25.93,200,25.93,25.93,17.29,8.64,0,0,47.56,4.8,38.42,5.76,0,0.62,142.69,0,604.59

91,22:30-22:45,0,0,8.64,2.38,50,25.93,200,25.93,25.93,17.29,8.64,0,0,47.56,4.8,38.42,5.76,0,0.62,142.69,0,604.59

92,22:45-23:00,0,0,8.64,2.38,50,25.93,200,25.93,25.93,17.29,8.64,0,0,47.56,4.8,38.42,5.76,0,0.62,142.69,0,604.59

93,23:00-23:15,0,0,8.64,2.3,50,25.93,200,25.93,25.93,17.29,8.64,0,0,47.56,4.8,38.42,5.76,0,0.62,142.69,0,604.51

94,23:15-23:30,0,0,8.64,2.3,50,25.93,200,25.93,25.93,17.29,8.64,0,0,47.56,4.8,38.42,5.76,0,0.62,142.69,0,604.51

95,23:30-23:45,0,0,8.64,2.3,50,25.93,200,25.93,25.93,17.29,8.64,0,0,47.56,4.8,38.42,5.76,0,0.62,142.69,0,604.51

96,23:45-24:00,0,0,8.64,2.3,50,25.93,200,25.93,25.93,17.29,8.64,0,0,47.56,4.8,38.42,5.76,0,0.62,142.69,0,604.51

