Block,Time,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01112023/30112023/HP-10,NR/03112023/30112023/IEX-231101-05680,NR/01102023/06022042/L_NR_2012_07,NR/01112023/30112023/HP-09,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/26072023/25122043/L_NR_2023_10,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01112023/30112023/KSEB_BYPL-NOV23,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02012046/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/21112023/30112023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13
19,04:30-04:45,0.000000,26.020000,1.320000,0.000000,23.140000,149.130000,71.730000,1.530000,0.000000,50.130000,26.020000,48.200000,98.350000,48.200000,31.290000,76.640000,0.000000,110.870000,2.000000,0,16.25,0,144.62,17.35,0,22.5,0,7.5,0,0,6.66,0,96.410000,7.5,0,0,0,0,17.35,0,0,0

20,04:45-05:00,0.000000,26.020000,1.320000,0.000000,23.140000,192.820000,71.730000,1.530000,0.000000,50.130000,26.020000,48.200000,98.350000,48.200000,31.290000,76.640000,0.000000,133.050000,2.000000,0,16.55,0,144.62,18.34,0,22.5,0,7.5,0,0,6.66,0,96.410000,7.5,0,0,0,0,18.34,0,0,0

21,05:00-05:15,0.000000,26.020000,1.320000,0.000000,23.140000,231.380000,71.730000,1.530000,0.000000,50.130000,26.020000,48.200000,98.350000,48.200000,31.290000,76.640000,0.000000,137.870000,2.000000,0,16.89,0,144.62,18.5,0,22.5,0,7.5,0,0,6.66,0,96.410000,7.5,0,0,0,0,18.5,0,0,0

22,05:15-05:30,0.000000,26.020000,1.320000,0.000000,23.140000,271.150000,71.730000,1.530000,0.000000,50.130000,26.020000,48.200000,98.350000,48.200000,31.290000,76.640000,0.000000,163.900000,2.000000,0,17.33,0,144.62,19.18,0,22.5,0,7.5,0,0,6.79,0,96.410000,7.5,0,0,0,0,19.18,0,0,0

23,05:30-05:45,0.000000,26.020000,1.320000,0.000000,23.140000,271.150000,71.730000,1.530000,0.000000,50.130000,26.020000,48.200000,98.350000,48.200000,38.560000,76.640000,0.000000,205.270000,2.000000,0,17.24,0,144.62,13.36,0,22.7,0,7.57,0,0,6.92,0,96.410000,7.57,0,0,0,0,13.36,0,0,0

24,05:45-06:00,0.000000,26.020000,1.320000,0.000000,23.140000,271.150000,71.730000,1.530000,0.000000,50.130000,26.020000,48.200000,98.350000,48.200000,55.550000,76.640000,0.000000,205.270000,2.000000,0,16.99,0,144.62,13.36,0,23.72,0,7.91,0,0,7.31,0,96.410000,7.91,0,0,0,0,13.36,0,0,0

25,06:00-06:15,0.000000,26.020000,1.320000,0.000000,24.100000,271.150000,71.730000,1.530000,0.000000,100.980000,26.020000,48.200000,176.100000,48.200000,68.000000,0.000000,0.000000,205.270000,2.000000,0,17.26,0,144.62,13.36,0,22.5,0,7.5,0,0,6.66,0,96.410000,7.5,0,0,0,0,13.36,0,0,0

26,06:15-06:30,0.000000,26.020000,1.320000,0.000000,24.100000,271.150000,71.730000,1.530000,0.000000,100.980000,26.020000,48.200000,176.100000,48.200000,68.000000,0.000000,0.000000,205.270000,2.000000,0,17.83,0,144.62,13.36,0,22.5,0,7.5,0,0,6.66,0,96.410000,7.5,0,0,0,0,13.36,0,0,0

27,06:30-06:45,0.000000,26.020000,1.320000,0.000000,24.100000,271.150000,71.730000,1.530000,0.000000,100.980000,26.020000,48.200000,176.100000,48.200000,68.000000,0.000000,0.000000,234.190000,2.000000,0,18.44,1.25,144.62,13.36,0,23.86,0,7.95,0,0,6.66,2,96.410000,7.96,0,0,0,0,13.36,0,1.22,0

28,06:45-07:00,0.000000,26.020000,1.320000,0.000000,24.100000,271.150000,71.730000,1.530000,0.000000,100.980000,26.020000,48.200000,176.100000,48.200000,68.000000,0.000000,0.000000,260.890000,2.000000,0,18.93,4.25,144.62,13.36,0,24.66,0,8.22,0,0,6.66,7,96.410000,8.22,0.661164,0,0,0,13.36,0,4.58,0

29,07:00-07:15,0.000000,26.020000,1.320000,0.050000,23.140000,231.380000,71.730000,1.530000,0.050000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,0.050000,260.890000,1.950000,0.3,18.99,8.49,144.62,22.7,0,25.69,0,8.56,0,0.02,6.66,14,96.410000,8.57,3.189144,0.01,0.7,0,22.7,0,10.42,0

30,07:15-07:30,0.000000,25.470000,1.320000,0.210000,23.140000,231.380000,71.730000,1.530000,0.220000,100.980000,30.850000,48.200000,176.100000,48.200000,86.960000,0.000000,0.210000,260.890000,1.950000,0.6,18.93,16.48,144.62,22.64,0,26.58,1.1,8.86,0,2.88,6.94,25,96.410000,8.85,6.475518,0.45,1.4,0,22.64,0.3,18.42,0.58

31,07:30-07:45,0.000000,25.470000,1.320000,0.510000,23.140000,271.150000,71.730000,1.530000,0.530000,100.980000,30.850000,48.200000,176.100000,48.200000,86.960000,0.000000,0.510000,260.890000,1.950000,1.8,20.4,26.45,144.62,23.22,0,29.19,1.1,9.73,0,8.42,7.1,32.35,96.410000,9.74,10.432779,5,4.2,1.1,23.22,1.5,28.42,1.68

32,07:45:08:00,0.000000,25.470000,1.320000,0.940000,21.210000,271.150000,71.730000,1.530000,0.960000,100.980000,30.850000,48.200000,176.100000,48.200000,86.960000,0.000000,0.940000,260.890000,1.950000,3.9,20.04,30,144.62,23.53,0,31.95,3.3,10.65,0,18.48,7.44,30,96.410000,10.65,14.720622,6,9.1,2.2,23.53,5,30,3.7

33,08:00-08:15,0.000000,25.470000,1.400000,1.510000,21.210000,271.150000,80.410000,1.530000,1.550000,100.980000,30.850000,48.200000,176.100000,48.200000,86.960000,0.000000,1.510000,260.890000,1.950000,6.3,19.85,30.17,144.62,25.87,0,36.2,6.6,12.07,0,26.48,7.77,30.17,96.410000,12.06,19.34877,7,14.7,3.3,25.87,6.67,30.16,5.29

34,08:15-08:30,0.000000,25.470000,1.400000,1.980000,21.210000,271.150000,89.080000,1.530000,2.020000,100.980000,30.850000,48.200000,176.100000,48.200000,86.960000,0.000000,1.980000,260.890000,1.950000,9,20.18,30.17,144.62,28.56,0,38.76,9.9,12.92,0,36.69,8.55,30.17,96.410000,12.91,24.463068,9,21,4.4,28.56,10,30.16,7.34

35,08:30-08:45,0.000000,25.470000,1.400000,2.910000,21.210000,271.150000,97.760000,1.530000,2.990000,100.980000,30.850000,48.200000,176.100000,48.200000,86.960000,0.000000,2.910000,260.890000,1.950000,10,20.4,31.67,144.62,30.49,0,42.05,12.1,14.02,0,41.53,9.88,31.67,96.410000,14.01,29.907948,10,25,6.6,30.49,11.67,31.66,8.31

36,08:45:09:00,0.000000,25.470000,1.400000,3.120000,21.210000,271.150000,106.440000,1.530000,3.200000,100.980000,30.850000,48.200000,176.100000,48.200000,86.960000,0.000000,3.120000,260.890000,1.950000,12,20.19,31.67,144.62,30.73,0,48.01,15.4,16,0,45.55,10.77,31.67,96.410000,16.01,35.313936,10,28,7.7,30.73,13.33,31.66,9.11

37,09:00:09:15,0.000000,25.470000,1.400000,3.310000,21.210000,271.150000,115.110000,1.530000,3.400000,100.980000,30.850000,48.200000,176.100000,48.200000,86.960000,0.000000,3.310000,260.890000,1.950000,13,19.49,31.67,144.62,31.88,0,29.01,15,9.67,0,49.39,12.21,31.67,96.410000,9.67,29.353737,10,29,7,31.88,15,31.66,9.88

38,09:15-09:30,0.000000,23.300000,1.400000,2.870000,21.210000,271.150000,117.620000,1.530000,2.940000,100.980000,30.850000,48.200000,176.100000,48.200000,86.960000,0.000000,2.870000,260.890000,1.950000,15,19.41,31.67,144.62,33.07,0,30.12,17,10.04,0,53.23,13.36,31.67,96.410000,10.05,33.486012,12,35,8,33.07,16.67,31.66,10.64

39,09:30-09:45,0.000000,23.300000,1.480000,3.160000,22.170000,271.150000,117.620000,1.530000,3.240000,100.980000,30.850000,48.200000,176.100000,48.200000,86.960000,0.000000,3.160000,260.890000,1.950000,12,18.61,31.67,144.62,21.75,0,27.01,19,9,0,57.07,8.84,31.67,96.410000,9.01,37.929423,13,28,9,21.75,20,31.66,11.41

40,09:45-10:00,0.000000,23.300000,1.480000,3.350000,23.140000,271.150000,117.620000,1.530000,3.440000,100.980000,30.850000,48.200000,176.100000,48.200000,86.960000,0.000000,3.350000,260.890000,1.950000,13,17.75,32.17,144.62,22.75,0,27.51,20,9.17,0,60.9,9.01,32.17,96.410000,9.17,42.343665,13,32,10,22.75,25,32.16,12.18

41,10:00-10:15,0.000000,26.020000,1.480000,3.540000,24.100000,271.150000,117.620000,1.530000,3.630000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,3.540000,260.890000,1.950000,13,13.1,32.17,144.62,23.01,0,28.01,19,9.34,0,70.83,8.68,32.17,96.410000,9.33,46.174527,13.5,32,9,23.01,30,32.16,14.17

42,10:15-10:30,0.000000,26.020000,1.480000,3.730000,24.100000,271.150000,117.620000,1.530000,3.830000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,3.730000,260.890000,1.950000,15,12.71,32.17,144.62,23.34,0,28.51,19,9.5,0,74.17,10.23,32.17,96.410000,9.51,48.80946,16,35,10,23.34,36.67,32.16,14.83

43,10:30-10:45,0.000000,26.020000,1.400000,4.120000,26.030000,271.150000,117.620000,1.530000,4.220000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,4.120000,260.890000,1.950000,15,16.78,32.17,144.62,23.99,0,28.76,18,9.59,0,76.67,7.47,32.17,96.410000,9.58,64.123185,12,35,9,23.99,43.33,32.16,15.33

44,10:45-11:00,0.000000,26.020000,1.400000,4.500000,26.030000,271.150000,117.620000,1.530000,4.610000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,4.500000,260.890000,1.950000,16,16.47,32,144.62,24.34,0,29.01,19,9.67,0,78.33,8.23,32,96.410000,9.67,65.746926,17,39,10,24.34,50,32,15.67

45,11:00-11:15,0.000000,26.020000,1.400000,4.940000,25.070000,271.150000,117.620000,1.610000,5.060000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,4.940000,260.890000,1.950000,20,16.38,32,144.62,20.01,0,22.5,19,7.5,0,87.5,7.34,32,96.410000,7.5,67.57485,17,48,9,20.01,46.67,32,17.5

46,11:15-11:30,0.000000,26.020000,1.400000,5.450000,25.070000,271.150000,117.620000,1.610000,5.590000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,5.450000,260.890000,1.950000,24,16.11,32,144.62,21.17,0,22.5,20,7.5,0,93.33,7.34,32,96.410000,7.5,69.363882,18,56,10,21.17,50,32,18.67

47,11:30-11:45,0.000000,26.020000,1.400000,8.510000,25.070000,271.150000,117.620000,1.610000,8.720000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,8.510000,260.890000,1.950000,27,15.64,32,144.62,15,0,22.5,25,7.5,0,130.86,7.34,32,96.410000,7.5,70.987623,17,63,12,15,43.33,32,26.17

48,11:45-12:00,0.000000,26.020000,1.400000,8.950000,24.100000,271.150000,117.620000,1.610000,9.180000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,8.950000,260.890000,1.950000,30,15.49,32,144.62,15,0,22.5,26,7.5,0,133.44,7.77,32,96.410000,7.5,72.43635,17,70,13,15,46.67,32,26.69

49,12:00-12:15,0.000000,26.020000,1.480000,4.780000,24.100000,271.150000,117.620000,1.610000,4.900000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,4.780000,260.890000,1.950000,28,16.88,32,144.62,15,0,22.5,30,7.5,0,134.59,7,32,96.410000,7.5,124.590522,17,67,15,15,63.33,32,26.92

50,12:15-12:30,0.000000,26.020000,1.480000,5.260000,24.100000,271.150000,117.620000,1.610000,5.400000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,5.260000,260.890000,1.950000,30,16.88,32,144.62,15,0,22.5,31,7.5,0,134.51,7,32,96.410000,7.5,122.363955,17,70,16,15,68.33,32,26.9

51,12:30-12:45,0.000000,26.020000,1.480000,5.640000,24.100000,271.150000,117.620000,1.610000,5.790000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,5.640000,260.890000,1.950000,28,16.88,32,144.62,15,0,22.5,35,7.5,0,104.17,7,32,96.410000,7.5,119.233149,12,67,17,15,73.33,32,20.83

52,12:45-13:00,0.000000,26.020000,1.480000,6.030000,24.100000,271.150000,117.620000,1.610000,6.180000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,6.030000,260.890000,1.950000,30,16.45,32,144.62,15,0,22.5,35,7.5,0,104.17,7,32,96.410000,7.5,114.993921,13,70,18,15,76.67,32,20.83

53,13:00-13:15,0.000000,26.020000,1.480000,6.410000,24.100000,271.150000,86.770000,1.690000,6.570000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,6.410000,260.890000,2.000000,21,15.81,32,144.62,24.69,0,28.19,35,9.4,0,104.17,6.73,32,96.410000,9.4,110.181036,13,49,17,24.69,43.33,32,20.83

54,13:15-13:30,0.000000,26.020000,1.480000,6.790000,24.100000,271.150000,67.490000,1.690000,6.960000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,6.790000,260.890000,2.000000,21,15.34,32,144.62,25.01,0,30.58,33,10.19,0,104.17,7.4,32,96.410000,10.2,105.193137,13,49,17,25.01,45,32,20.83

55,13:30-13:45,0.000000,26.020000,1.480000,7.170000,24.100000,271.150000,67.490000,1.690000,7.350000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,7.170000,260.890000,2.000000,20,12.29,32,144.62,26.34,0,32.91,18,10.97,0,153.61,7.86,32,96.410000,10.97,102.295683,11,48,9,26.34,33.33,32,30.72

56,13:45-14:00,0.000000,26.020000,1.480000,4.780000,24.100000,271.150000,96.410000,1.690000,4.900000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,4.780000,260.890000,2.000000,20,12.37,32,144.62,27.4,0,34.85,18,11.62,0,148.31,8.46,32,96.410000,11.62,91.824012,10,46,9,27.4,35,32,29.66

57,14:00-14:15,0.000000,26.020000,1.550000,4.990000,22.170000,271.150000,117.620000,1.690000,5.110000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,4.990000,260.890000,2.000000,16,12.25,32,144.62,28.01,0,37.71,16,12.57,0,143.91,8.96,32,96.410000,12.56,86.029104,11,39,8,28.01,36.67,32,28.78

58,14:15-14:30,0.000000,26.020000,1.550000,5.130000,22.170000,271.150000,117.620000,1.690000,5.250000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,5.130000,260.890000,2.000000,16,12.17,32,144.62,28.34,0,40.67,16,13.56,0,138.31,9.37,32,96.410000,13.54,79.475802,11,36,8,28.34,33.33,32,27.66

59,14:30-14:45,0.000000,25.670000,1.550000,3.540000,22.170000,271.150000,117.620000,1.690000,3.630000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,3.540000,260.890000,2.000000,15,12.18,32,144.62,28.67,0,32.51,15,10.84,0,161.12,9.77,32,96.410000,10.83,72.280782,11,35,8,28.67,31.67,32,32.22

60,14:45-15:00,0.000000,25.670000,1.550000,3.610000,22.170000,271.150000,117.620000,1.690000,3.700000,100.980000,26.020000,48.200000,176.100000,48.200000,86.960000,0.000000,3.610000,260.890000,2.000000,14,12.23,32,144.62,29.42,0,33.01,15,11,0,150.08,10.23,32,96.410000,11.01,64.677396,12,33,8,29.42,30,32,30.01

61,15:00-15:15,0.000000,25.670000,1.550000,3.680000,22.170000,271.150000,117.620000,1.760000,3.760000,100.980000,25.670000,48.200000,176.100000,48.200000,86.960000,0.000000,3.680000,260.890000,2.040000,12,10.78,32,144.62,25.01,0,34.01,15,11.34,0,92.48,10.77,32,96.410000,11.33,59.767281,11,28,8,25.01,28.33,32,18.5

62,15:15-15:30,0.000000,25.670000,1.550000,3.730000,22.170000,271.150000,117.620000,1.760000,3.830000,100.980000,25.670000,48.200000,176.100000,48.200000,86.960000,0.000000,3.730000,260.890000,2.040000,10,10.47,32,144.62,25.01,0,34.26,13,11.42,0,85.01,11.33,32,96.410000,11.42,51.5319,11,25,7,25.01,26.67,32,17

63,15:30-15:45,0.000000,25.670000,1.550000,3.360000,22.170000,271.150000,117.620000,1.760000,3.450000,100.980000,25.670000,48.200000,176.100000,48.200000,86.960000,0.000000,3.360000,260.890000,2.040000,9,7.96,32.17,144.62,18.67,0,34.51,13,11.5,0,112.97,9.38,32.17,96.410000,11.51,42.547848,13,21,6,18.67,25,32.16,22.59

64,15:45-16:00,0.000000,25.670000,1.550000,2.910000,22.170000,271.150000,117.620000,1.760000,2.980000,100.980000,25.670000,48.200000,176.100000,48.200000,86.960000,0.000000,2.910000,260.890000,2.040000,9,7.84,30.48,144.62,18.98,0,34.26,12,11.42,0,102.13,9.34,33,96.410000,11.42,33.661026,11,21,6,18.98,23.33,32.41,20.43

65,16:00-16:15,0.000000,25.670000,1.630000,2.430000,22.170000,271.150000,117.620000,1.840000,2.490000,100.980000,25.670000,48.200000,176.100000,48.200000,86.960000,0.000000,2.430000,260.890000,2.040000,13,7.77,20.8,144.62,19.42,0,26.44,11,8.81,0,90.46,9.44,26,96.410000,8.81,25.338138,10,32,6,19.42,21.67,22.15,18.09

66,16:15-16:30,0.000000,24.030000,1.630000,1.800000,22.170000,271.150000,117.620000,1.840000,1.850000,100.980000,24.030000,48.200000,176.100000,48.200000,86.960000,0.000000,1.800000,260.890000,2.040000,13,7.69,12.48,144.62,19.83,0,26.65,11,8.89,0,74.06,9.57,12,96.410000,8.88,16.402701,8,32,6,19.83,20.13,14.74,14.81

67,16:30-16:45,0.000000,24.030000,1.630000,1.300000,22.170000,271.150000,117.620000,1.840000,1.330000,100.980000,24.030000,48.200000,176.100000,48.200000,86.960000,0.000000,1.300000,260.890000,2.040000,10,7.55,6.48,144.62,20.41,0,27.68,11,9.23,0,55.19,9.81,4,96.410000,9.22,10.277211,7.5,25,6,20.41,13.86,6.88,11.04

68,16:45-17:00,0.000000,24.030000,1.630000,0.830000,22.170000,271.150000,117.620000,1.840000,0.850000,100.980000,24.030000,48.200000,176.100000,48.200000,86.960000,0.000000,0.830000,260.890000,2.040000,9,7.47,2.44,144.62,21.1,0,28.58,10,9.53,0,36.56,10.01,1,96.410000,9.51,3.626679,5,21,5,21.1,7.65,2.55,7.31

