Time,Block,NR/2023/12813/F,NR/2023/11447/A,NR/2023/12923/F,NR/2023/12917/F,NR/2023/12906/F,NR/2023/12872/F,NR/2023/12814/F,NR/2023/10432/A,NR/2023/12922/F,NR/2023/10947/A,NR/2023/13115/C,NR/2023/12915/F,NR/2023/10651/A,NR/2023/12921/F,NR/2023/12916/F,NR/2023/11266/A,SR/2023/5873/C,SR/2023/5870/C,NR/2023/13084/D,NR/2023/12661/A,ER/2023/7999/C,NR/2023/10435/A,NR/2023/13126/C,NR/2023/12924/F,NR/2023/12919/F,NR/2023/11712/A,NR/2023/10956/A,NR/2023/11709/A,NR/2023/13106/D,NR/2023/13110/C,NR/2023/10460/A,NR/2023/12169/A,NR/2023/12956/F,NR/2023/10436/A,NR/2023/13127/C,NR/2023/10561/A,NR/2023/10720/A,NR/2023/10959/A,NR/2023/12706/A,NR/2023/10786/A,NR/2023/13103/D,ER/2023/7996/C,NR/2023/13108/D,NR/2023/11953/A,NR/2023/10488/A,NR/2023/11507/A,ER/2023/7990/C,NR/2023/12920/F,NR/2023/13125/C,NR/2023/13101/D,Total

3,00:30-00:45,62.890000,14.960000,0.420000,0.720000,0.000000,0.480000,78.370000,43.540000,0.700000,27.860000,17.370000,0.360000,63.130000,0.640000,0.370000,17.200000,0.00,0.00,42.640000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1602.72

4,00:45-01:00,62.890000,14.960000,0.420000,0.720000,0.000000,0.480000,78.370000,43.540000,0.700000,27.860000,17.370000,0.360000,63.130000,0.640000,0.370000,17.200000,0.00,0.00,42.640000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1602.72

5,01:00-01:15,62.890000,14.960000,0.420000,0.720000,0.000000,0.530000,78.370000,43.540000,0.700000,27.860000,17.370000,0.360000,63.130000,0.640000,0.370000,27.530000,0.00,0.00,32.310000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1602.77

6,01:15-01:30,62.890000,14.960000,0.420000,0.720000,0.000000,0.530000,78.370000,43.540000,0.700000,27.860000,17.370000,0.360000,63.130000,0.640000,0.370000,27.530000,0.00,0.00,32.310000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1602.77

7,01:30-01:45,62.890000,14.960000,0.420000,0.720000,0.000000,0.530000,78.370000,43.540000,0.700000,27.860000,17.370000,0.360000,63.130000,0.640000,0.370000,27.530000,0.00,0.00,32.310000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1602.77

8,01:45-02:00,62.890000,14.960000,0.420000,0.720000,0.000000,0.530000,78.370000,43.540000,0.700000,27.860000,17.370000,0.360000,63.130000,0.640000,0.370000,27.530000,0.00,0.00,32.310000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1602.77

9,02:00-02:15,62.890000,14.960000,0.420000,0.720000,0.000000,0.480000,78.370000,43.540000,0.700000,27.860000,17.370000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1602.72

10,02:15-02:30,62.890000,14.960000,0.420000,0.720000,0.000000,0.480000,78.370000,43.540000,0.700000,27.860000,17.370000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1602.72

11,02:30-02:45,62.890000,14.960000,0.420000,0.720000,0.000000,0.480000,78.370000,43.540000,0.700000,27.860000,17.370000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1602.72

12,02:45-03:00,62.890000,14.960000,0.420000,0.720000,0.000000,0.480000,78.370000,43.540000,0.700000,27.860000,17.370000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1602.72

13,03:00-03:15,62.890000,14.960000,0.420000,0.720000,0.000000,0.440000,78.370000,43.540000,0.700000,27.860000,17.270000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,28.530000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0,1571.11

14,03:15-03:30,62.890000,14.960000,0.420000,0.720000,0.000000,0.440000,78.370000,43.540000,0.700000,27.860000,17.270000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,28.530000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0,1571.11

15,03:30-03:45,62.890000,14.960000,0.420000,0.720000,0.000000,0.440000,78.370000,43.540000,0.700000,27.860000,17.270000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,28.530000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0,1571.11

16,03:45-04:00,62.890000,14.960000,0.420000,0.720000,0.000000,0.440000,78.370000,43.540000,0.700000,27.860000,17.270000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,28.530000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0,1571.11

17,04:00-04:15,62.890000,14.960000,0.420000,0.720000,0.000000,0.440000,78.370000,43.540000,0.700000,27.860000,17.180000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,28.530000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0,1571.02

18,04:15-04:30,62.890000,14.960000,0.420000,0.720000,0.000000,0.440000,78.370000,43.540000,0.700000,27.860000,17.180000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,28.530000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0,1571.02

19,04:30-04:45,62.890000,14.960000,0.420000,0.720000,0.000000,0.440000,78.370000,43.540000,0.700000,27.860000,17.180000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,28.530000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0,1571.02

20,04:45-05:00,62.890000,14.960000,0.420000,0.720000,0.000000,0.440000,78.370000,43.540000,0.700000,27.860000,17.180000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,100.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,28.530000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,98.680000,20.050000,100.000000,0,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0,1571.02

21,05:00-05:15,62.890000,14.960000,0.420000,0.720000,0.000000,0.480000,78.370000,43.540000,0.700000,27.860000,17.000000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,28.530000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,100.000000,0,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0,1372.2

22,05:15-05:30,62.890000,14.960000,0.420000,0.720000,0.000000,0.480000,78.370000,43.540000,0.700000,27.860000,17.000000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,28.530000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,100.000000,0,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0,1372.2

23,05:30-05:45,62.890000,14.960000,0.420000,0.720000,0.000000,0.480000,78.370000,43.540000,0.700000,27.860000,17.000000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,28.530000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,100.000000,0,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0,1372.2

24,05:45-06:00,62.890000,14.960000,0.420000,0.720000,0.000000,0.480000,78.370000,43.540000,0.700000,27.860000,17.000000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,28.530000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,100.000000,0,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0,1372.2

25,06:00-06:15,62.890000,14.960000,0.420000,0.720000,0.000000,0.530000,78.370000,43.540000,0.700000,0.000000,16.900000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,28.530000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,0.000000,0,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0,1179.27

26,06:15-06:30,62.890000,14.960000,0.420000,0.720000,0.000000,0.530000,78.370000,43.540000,0.700000,0.000000,16.900000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,3.5,28.530000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,0.000000,1.5,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0,1184.27

27,06:30-06:45,62.890000,14.960000,0.420000,0.720000,0.000000,0.530000,78.370000,43.540000,0.700000,0.000000,16.900000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,7,28.530000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,0.000000,3,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0,1189.27

28,06:45-07:00,62.890000,14.960000,0.420000,0.720000,0.000000,0.530000,78.370000,43.540000,0.700000,0.000000,16.900000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,14,28.530000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,0.000000,6,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0.12,1199.39

29,07:00-07:15,62.890000,14.960000,0.420000,0.720000,0.000000,0.680000,78.370000,43.540000,0.700000,0.000000,16.810000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,21,27.520000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,0.000000,9,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0.48,1208.8

30,07:15-07:30,62.890000,14.960000,0.420000,0.720000,0.000000,0.680000,78.370000,43.540000,0.700000,0.000000,16.810000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,28,27.520000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,0.000000,12,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,0.71,1219.03

31,07:30-07:45,62.890000,14.960000,0.420000,0.720000,0.000000,0.680000,78.370000,43.540000,0.700000,0.000000,16.810000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,42,27.520000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,0.000000,18,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,1.23,1239.55

32,07:45:08:00,62.890000,14.960000,0.420000,0.720000,0.000000,0.680000,78.370000,43.540000,0.700000,0.000000,16.810000,0.360000,63.130000,0.640000,0.370000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,52.5,27.520000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,0.000000,22.5,0.000000,48.380000,300.400000,29.220000,0.640000,0.000000,2.08,1255.4

33,08:00-08:15,62.890000,14.960000,0.420000,0.710000,0.000000,0.970000,78.370000,43.540000,0.690000,0.000000,16.720000,0.360000,63.130000,0.660000,0.350000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,59.5,27.520000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,0.000000,25.5,0.000000,48.380000,300.400000,29.220000,0.660000,0.000000,2.56,1266.08

34,08:15-08:30,62.890000,14.960000,0.420000,0.710000,0.000000,0.970000,78.370000,43.540000,0.690000,0.000000,16.720000,0.360000,63.130000,0.660000,0.350000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,77,27.520000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,0.000000,33,0.000000,48.380000,300.400000,29.220000,0.660000,0.000000,3.05,1291.57

35,08:30-08:45,62.890000,14.960000,0.420000,0.710000,0.000000,0.970000,78.370000,43.540000,0.690000,0.000000,16.720000,0.360000,63.130000,0.660000,0.350000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,91,27.520000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,0.000000,39,0.000000,48.380000,300.400000,29.220000,0.660000,0.000000,3.53,1312.05

36,08:45:09:00,62.890000,14.960000,0.420000,0.710000,0.000000,0.970000,78.370000,43.540000,0.690000,0.000000,16.720000,0.360000,63.130000,0.660000,0.350000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,105,27.520000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,0.000000,45,0.000000,48.380000,300.400000,29.220000,0.660000,0.000000,3.93,1332.45

37,09:00:09:15,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.620000,0.360000,63.130000,0.660000,0.350000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,115.5,28.530000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,0.000000,49.5,0.000000,48.380000,300.400000,29.220000,0.660000,0.000000,3.77,1372.39

38,09:15-09:30,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.620000,0.360000,63.130000,0.660000,0.350000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,126,28.530000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,0.000000,54,0.000000,48.380000,300.400000,29.220000,0.660000,0.000000,4.2,1387.82

39,09:30-09:45,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.620000,0.360000,63.130000,0.660000,0.350000,37.850000,0.00,0.00,21.990000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,136.5,28.530000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,0.000000,58.5,0.000000,48.380000,300.400000,29.220000,0.660000,0.000000,4.45,1403.07

40,09:45-10:00,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.620000,0.360000,63.130000,0.660000,0.350000,25.810000,0.00,0.00,34.030000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,147,28.530000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,0.000000,20.050000,0.000000,63,0.000000,48.380000,300.400000,29.220000,0.660000,0.000000,4.6,1418.22

41,10:00-10:15,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.530000,0.360000,63.130000,0.660000,0.350000,0.000000,0.00,0.00,59.840000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,156.8,28.530000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,90.940000,20.050000,0.000000,67.2,0.000000,48.380000,300.400000,29.220000,0.660000,0.000000,4.64,1523.11

42,10:15-10:30,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.530000,0.360000,63.130000,0.660000,0.350000,0.000000,0.00,0.00,59.840000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,170.8,28.530000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,90.940000,20.050000,0.000000,73.2,0.000000,48.380000,300.400000,29.220000,0.660000,0.000000,4.64,1543.11

