Block,Time,CHAMERA1,KHSTPP-II,ANTA_RF,AURY_GF,BSIUL,DHAULIGNGA,DULHASTI,JHAJJAR,KKNP,KKNPPU2,KUDGI,NAPP,NLCIIST2,NNTPP,RIHAND3,RSTPSU1TO6,TEHRI,DADRI_GF,CHAMERA3,NLCEXP,PARBATI3,RAPPB,TALA,TANAKPUR,ANTA_CRF,ANTA_GF,DADRI_LF,DADRT2,KHSTPP-I,KOLDAM,NLCIIST1,RAPPC,SIMHST1,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,AURY_LF,NJPC,RIHAND1,RIHAND2,SEWA2,SINGRAULI,TANDA2,UNCHAHAR4,URI,BRBCL,CHAMERA2,KISHANGANGA,MAPS,NTPL,RSTPSU7,SASAN,SIMHST2,TelanganaSTPP,VALLURNTECL,NLCTS2EXP,RAMPUR,SALAL,SINGRAULI_HYDRO,AURY_RF,FSTPP I & II,KGSU1AND2,KGSU3AND4,KOTESHWR,TALST2,URI2,ANTA_LF,AURY_CRF,DADRI_CRF,DADRI_RF
15,03:30-03:45,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,1.11,20,0,0,0,0,0,416.25,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

16,03:45-04:00,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,1.11,20,0,0,0,0,0,416.25,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

17,04:00-04:15,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,1.11,20,0,0,0,0,0,416.25,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

18,04:15-04:30,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,1.11,20,0,0,0,0,0,416.25,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

19,04:30-04:45,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,1.11,20,0,0,0,0,0,416.25,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

20,04:45-05:00,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,23.39,92,118.76,0,139.68,0,0,1.11,20,0,0,0,0,0,416.25,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

21,05:00-05:15,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,16.38,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,46.78,92,118.76,0,139.68,0,0,35.33,20,0,0,0,0,0,416.25,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

22,05:15-05:30,0,98.87,42.84,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,30.87,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,70.17,92,118.76,0,139.68,0,0,35.33,20,0,0,0,0,0,416.25,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

23,05:30-05:45,0,98.87,42.84,0,0,9.13,16.48,654.31,0,0,0,42.29,0,0,124.32,0,30.87,0,0,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,93.56,92,118.76,0,139.68,0,0,2.76,20,1.6,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

24,05:45-06:00,0,98.87,42.84,0,0,18.27,16.48,654.31,0,0,0,42.29,0,0,124.32,0,46.31,0,9.68,0,0,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,116.95,92,118.76,0,139.68,0,0,1.11,20,3.73,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

25,06:00-06:15,11.85,98.87,42.84,0,2.2,27.4,32.96,654.31,0,0,0,42.29,0,0,124.32,0,62.24,0,19.36,0,3.82,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,116.95,92,118.76,0,139.68,0,0,1.11,20,8,0,0,0,0,418.77,0,0,0,0,0,12.78,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

26,06:15-06:30,28.05,98.87,42.84,0,13.04,36.55,49.43,654.31,0,0,0,42.29,0,0,124.32,0,62.24,0,29.06,0,16.55,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,140.34,92,118.76,5.27,139.68,0,0,1.11,20,39.51,0,0,0,0,418.77,0,0,0,0,0,69.72,0,70.37,20.8,0,0,19.72,0,4.57,0,0,0,66.85

27,06:30-06:45,42.1,98.87,42.84,0,13.04,36.55,49.43,654.31,0,0,0,42.29,0,0,124.32,0,62.24,0,29.06,0,16.55,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,140.34,92,118.76,10.54,139.68,0,0,2.21,20,39.51,0,0,0,0,418.77,0,0,0,0,0,69.72,0,70.37,20.8,0,0,19.72,0,4.57,0,0,0,66.85

28,06:45-07:00,42.1,98.87,42.84,0,13.04,36.55,49.43,654.31,0,0,0,42.29,0,0,124.32,0,62.24,0,29.06,0,16.55,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,140.34,92,118.76,10.54,139.68,0,0,35.33,20,39.51,0,0,0,0,418.77,0,0,0,0,0,69.72,0,70.37,20.8,0,0,19.72,0,4.57,0,0,0,66.85

29,07:00-07:15,39.5,98.87,42.84,0,13.04,36.55,49.43,654.31,0,0,0,42.29,0,0,124.32,0,62.24,0,29.06,0,16.55,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,140.34,92,118.76,10.54,139.68,0,0,35.33,20,39.51,0,0,0,0,418.77,0,0,0,0,0,69.72,0,70.37,20.8,0,0,19.72,0,4.57,0,0,0,66.85

30,07:15-07:30,28.05,98.87,42.84,0,13.04,36.55,49.43,654.31,0,0,0,42.29,0,0,124.32,0,62.24,0,29.06,0,16.55,0,0,5.13,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,140.34,92,118.76,5.27,139.68,0,0,2.76,20,39.51,0,0,0,0,418.77,0,0,0,0,0,13.95,0,70.37,20.8,0,0,19.72,0,4.57,0,0,0,66.85

31,07:30-07:45,11.85,98.87,42.84,0,0,27.4,32.96,654.31,0,0,0,42.29,0,0,124.32,0,46.31,0,19.36,0,16.55,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,116.95,92,118.76,0,139.68,0,0,1.21,20,4,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

32,07:45-08:00,11.85,98.87,42.84,0,0,18.27,16.48,654.31,0,0,0,42.29,0,0,124.32,0,30.87,0,9.68,0,3.56,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,93.56,92,118.76,0,139.68,0,0,1.21,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

33,08:00-08:15,0,98.87,42.63,0,0,9.13,16.48,654.31,0,0,0,42.29,0,0,124.32,0,30.87,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,70.17,92,118.76,0,139.68,0,0,1.21,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

34,08:15-08:30,0,98.87,42.63,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,16.89,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,40.91,92,118.76,0,139.68,0,0,1.21,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

35,08:30-08:45,0,98.87,42.63,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,23.39,92,118.76,0,139.68,0,0,2.21,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

36,08:45-09:00,0,98.87,42.63,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,35.33,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

37,09:00-09:15,0,98.87,42.42,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,35.33,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,18.83,0,0,0,66.85

38,09:15-09:30,0,98.87,42.42,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,10.25,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,2.76,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,18.83,0,0,0,66.85

39,09:30-09:45,0,98.87,42.42,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,1.11,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,18.83,0,0,0,66.85

40,09:45-10:00,0,98.87,42.42,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,1.11,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,18.83,0,0,0,66.85

41,10:00-10:15,0,98.87,42,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,2.21,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,18.83,0,0,0,66.85

42,10:15-10:30,0,98.87,42,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,2.21,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,18.83,0,0,0,66.85

43,10:30-10:45,0,98.87,42,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,2.21,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

44,10:45-11:00,0,98.87,42,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,2.21,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

45,11:00-11:15,0,98.87,42,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,2.21,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

46,11:15-11:30,0,98.87,42,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,2.21,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

47,11:30-11:45,0,98.87,42,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,1.33,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

48,11:45-12:00,0,98.87,42,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,1.33,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

49,12:00-12:15,0,98.87,41.37,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,3.86,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

50,12:15-12:30,0,98.87,41.37,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,3.86,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

51,12:30-12:45,0,98.87,41.37,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,8.28,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

52,12:45-13:00,0,98.87,41.37,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,8.28,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

53,13:00-13:15,0,98.87,41.37,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,13.91,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

54,13:15-13:30,0,98.87,41.37,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,10.25,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,13.91,20,0,0,0,0,0,418.77,0,0,0,0,0,2.33,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

55,13:30-13:45,0,98.87,41.37,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,3.98,20,0,0,0,0,0,418.77,0,0,0,0,0,12.78,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

56,13:45-14:00,0,98.87,41.37,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,3.98,20,0,0,0,0,0,418.77,0,0,0,0,0,12.78,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

57,14:00-14:15,0,98.87,40.95,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,3.98,20,0,0,0,0,0,418.77,0,0,0,0,0,12.78,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

58,14:15-14:30,0,98.87,40.95,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,10.25,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,3.98,20,0,0,0,0,0,418.77,0,0,0,0,0,12.78,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

59,14:30-14:45,0,98.87,40.95,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,6.63,20,0,0,0,0,0,418.77,0,0,0,0,0,12.78,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

60,14:45-15:00,0,98.87,40.95,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,6.63,20,0,0,0,0,0,418.77,0,0,0,0,0,12.78,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

61,15:00-15:15,0,98.87,40.95,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,10.25,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,2.21,20,0,0,0,0,0,418.77,0,0,0,0,0,12.78,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

62,15:15-15:30,0,98.87,40.95,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,4.48,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,2.21,20,0,0,0,0,0,418.77,0,0,0,0,0,12.78,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

63,15:30-15:45,0,98.87,40.95,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,3.85,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,2.21,20,0,0,0,0,0,418.77,0,0,0,0,0,12.78,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

64,15:45-16:00,0,98.87,40.95,0,0,0,16.48,654.31,0,0,0,42.29,0,0,124.32,0,0,0,0,0,0,0,0,3.85,0,0,22.47,683.14,44.31,0,0,52.66,0,20.56,21.19,26.39,0,0,92,118.76,0,139.68,0,0,2.21,20,0,0,0,0,0,418.77,0,0,0,0,0,12.78,0,70.37,20.8,0,0,8.87,0,4.57,0,0,0,66.85

