Block,Time Block,DHAULIGNGA,DADRT2,DULHASTI,JHAJJAR,KGSU1AND2,KHSTPP-I,KISHANGANGA,KGSU3AND4,KHSTPP-II,DADRI_RF,FSTPP I & II,TEHRI,UNCHAHAR1,UNCHAHAR2,TelanganaSTPP,UNCHAHAR3,DADRI_GF,ANTA_LF,DADRI_LF,VALLURNTECL,AURY_GF,UNCHAHAR4,DADRI_CRF,ANTA_GF,URI2,AURY_CRF,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,URI,BSIUL,BRBCL,CHAMERA1,CHAMERA3,CHAMERA2,NLCTS2EXP,RAMPUR,NAPP,RAPPC,NNTPP,NTPL,PARBATI3,NLCEXP,RAPPB,NLCIIST1,NJPC,NLCIIST2,RIHAND1,TANDA2,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,SIMHST2,RSTPSU7,TALST2,SALAL,SEWA2,SINGRAULI,TANAKPUR,RIHAND3,TALA,RIHAND2,SASAN,KOTESHWR,KUDGI,MAPS,KKNP,KKNPPU2,KOLDAM,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
48,11:45-12:00,39.1,365.23,52.06,111.41,0,24.51,2.79,0,69.42,0,9.88,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,35.18,0,0,0,0,0,42.74,6.31,19.36,0,20.68,28.53,0,3.43,43.65,58.3,0,0,14.96,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,104.82,11.4,123.5,12.04,117.8,402.89,28.05,0,0,0,0,3.52,0,0,0,0,0

49,12:00-12:15,39.1,365.23,52.06,111.41,0,24.51,2.79,0,69.42,0,9.88,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,42.74,6.31,19.36,0,20.68,28.53,0,3.43,43.65,58.3,0,0,14.96,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,104.82,11.4,113.15,11.92,104.1,402.89,28.05,0,0,0,0,3.52,0,0,0,0,0

50,12:15-12:30,39.1,365.23,52.06,111.41,0,24.51,2.79,0,69.42,0,9.88,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,42.74,6.31,19.36,0,20.68,28.53,0,3.43,43.65,58.3,0,0,14.96,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,104.82,11.4,100.62,11.92,104.1,402.89,28.05,0,0,0,0,3.52,0,0,0,0,0

51,12:30-12:45,39.1,365.23,52.06,111.41,0,24.51,2.79,0,69.42,0,9.88,74.43,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,42.74,6.31,19.36,0,20.68,28.53,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,104.82,11.4,100.62,11.92,104.1,402.89,28.05,0,0,0,0,2.86,0,0,0,0,0

52,12:45-13:00,39.1,365.23,52.06,111.41,0,24.51,2.79,0,69.42,0,9.88,69.44,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,42.74,6.31,19.36,0,20.68,28.53,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,104.82,11.4,100.62,11.92,104.1,402.89,28.05,0,0,0,0,1.9,0,0,0,0,0

53,13:00-13:15,39.1,365.23,52.06,111.41,0,18.53,2.79,0,52.63,0,7.73,66.66,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,42.74,6.31,19.36,0,20.68,28.53,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,11.92,117.8,402.89,28.05,0,0,0,0,1.9,0,0,0,0,0

54,13:15-13:30,39.1,365.23,52.06,111.41,0,18.53,2.79,0,52.63,0,7.73,66.66,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,42.74,6.31,19.36,0,20.68,28.53,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,11.92,117.8,402.89,28.05,0,0,0,0,1.9,0,0,0,0,0

55,13:30-13:45,39.1,365.23,52.06,111.41,0,18.53,2.79,0,52.63,0,7.73,66.66,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,42.74,6.31,19.36,0,20.68,28.53,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,11.92,117.8,402.89,28.05,0,0,0,0,1.9,0,0,0,0,0

56,13:45-14:00,39.1,365.23,52.06,111.41,0,24.51,2.79,0,69.42,0,9.88,66.66,11.85,23.27,0,14.47,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,42.74,6.31,19.36,0,20.68,28.53,0,3.43,43.65,58.3,0,0,17,0,0,0,161.74,0,43.82,0,0,0,0,0,0,0,77.04,0,135.71,11.4,123.5,11.92,117.8,402.89,28.05,0,0,0,0,1.9,0,0,0,0,0

