Time,Block,NR/2023/11954/A,NR/2023/11654/A,NR/2023/15158/C,NR/2023/11328/A,NR/2023/11325/A,NR/2023/15157/C,NR/2023/13573/A,NR/2023/11458/A,NR/2023/15195/C,ER/2023/9283/C,NR/2023/15162/C,NR/2023/15163/C,NR/2023/11315/A,NR/2023/13859/A,NR/2023/15134/D,NR/2023/11739/A,NR/2023/15149/C,NR/2023/15156/C,NR/2023/13983/F,NR/2023/11697/A,NR/2023/14688/F,NR/2023/11470/A,NR/2023/15125/D,NR/2023/12646/A,NR/2023/14187/F,NR/2023/13283/A,NR/2023/13983/F/II,NR/2023/15136/D,NR/2023/11469/A,NR/2023/14688/F/II,NR/2023/13858/A,NR/2023/15169/C,NR/2023/13284/A,NR/2023/15159/C,NR/2023/15122/D,NR/2023/15127/D,NR/2023/15121/D,NR/2023/11203/A,Total

3,00:30-00:45,36.450000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,564.140000,22.220000,188.370000,0.000000,42.490000,3.190000,0.000000,0.630000,35.070000,24.150000,21.240000,0,23.120000,3.860000,24.150000,0.240000,0.000000,84.990000,0.000000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1890.04

4,00:45-01:00,36.450000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,533.230000,22.220000,188.370000,0.000000,42.490000,3.190000,0.000000,0.630000,35.070000,24.150000,21.240000,0,23.120000,3.860000,24.150000,0.240000,0.000000,84.990000,0.000000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1859.13

5,01:00-01:15,36.450000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,497.490000,22.220000,188.370000,0.000000,42.490000,3.190000,0.000000,0.490000,35.070000,24.150000,21.240000,0,23.120000,3.860000,24.150000,0.180000,0.000000,84.990000,0.000000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1823.19

6,01:15-01:30,36.450000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,460.780000,22.220000,188.370000,0.000000,42.490000,3.190000,0.000000,0.490000,35.070000,24.150000,21.240000,0,23.120000,3.860000,24.150000,0.180000,0.000000,84.990000,0.000000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1786.48

7,01:30-01:45,36.450000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,430.840000,22.220000,188.370000,0.000000,42.490000,3.190000,0.000000,0.490000,35.070000,24.150000,21.240000,0,23.120000,3.860000,24.150000,0.180000,0.000000,84.990000,0.000000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1756.54

8,01:45-02:00,36.450000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,399.920000,22.220000,188.370000,0.000000,42.490000,3.190000,0.000000,0.490000,35.070000,24.150000,21.240000,0,23.120000,3.860000,24.150000,0.180000,0.000000,84.990000,0.000000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1725.62

9,02:00-02:15,36.450000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,307.190000,22.220000,188.370000,0.000000,42.490000,3.190000,0.000000,0.420000,35.070000,24.150000,21.240000,0,23.120000,3.860000,24.150000,0.160000,0.000000,84.990000,0.000000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1632.8

10,02:15-02:30,36.450000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,276.280000,22.220000,188.370000,0.000000,42.490000,3.190000,0.000000,0.420000,35.070000,24.150000,21.240000,0,23.120000,3.860000,24.150000,0.160000,0.000000,84.990000,0.000000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1601.89

11,02:30-02:45,36.450000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,240.530000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.420000,35.070000,24.150000,21.240000,0,23.120000,3.860000,24.150000,0.160000,0.000000,84.990000,0.000000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1565.17

12,02:45-03:00,36.450000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,211.550000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.420000,35.070000,24.150000,21.240000,0,23.120000,3.860000,24.150000,0.160000,0.000000,84.990000,0.000000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1536.19

13,03:00-03:15,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,149.730000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.530000,35.070000,3.860000,21.240000,0,0.000000,3.860000,24.150000,0.000000,0.000000,84.990000,20.290000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1414.75

14,03:15-03:30,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,124.610000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.530000,35.070000,3.860000,21.240000,0,0.000000,3.860000,24.150000,0.000000,0.000000,84.990000,20.290000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1389.63

15,03:30-03:45,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,85.010000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.530000,35.070000,3.860000,21.240000,0,0.000000,3.860000,24.150000,0.000000,0.000000,84.990000,20.290000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1350.03

16,03:45-04:00,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,48.300000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.530000,35.070000,3.860000,21.240000,0,0.000000,3.860000,24.150000,0.000000,0.000000,84.990000,20.290000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1313.32

17,04:00-04:15,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.530000,35.070000,0.000000,21.240000,0,0.000000,3.860000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1265.02

18,04:15-04:30,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.530000,35.070000,0.000000,21.240000,0,0.000000,3.860000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1265.02

19,04:30-04:45,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.530000,35.070000,0.000000,21.240000,0,0.000000,3.860000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1265.02

20,04:45-05:00,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,98.530000,0.000000,0.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.530000,35.070000,0.000000,21.240000,0,0.000000,3.860000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1265.02

21,05:00-05:15,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,0.000000,0.000000,0.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.530000,35.070000,0.000000,21.240000,0,0.000000,3.860000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1166.49

22,05:15-05:30,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,0.000000,0.000000,0.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.530000,35.070000,0.000000,21.240000,0,0.000000,3.860000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1166.49

23,05:30-05:45,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,0.000000,0.000000,0.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.530000,35.070000,0.000000,21.240000,0,0.000000,3.860000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1166.49

24,05:45-06:00,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,0.000000,0.000000,0.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.530000,35.070000,0.000000,21.240000,0,0.000000,3.860000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,81.820000,6.760000,0,0,193.200000,63.030000,1166.49

25,06:00-06:15,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,0.000000,0.000000,0.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.680000,0.000000,0.000000,21.240000,0.6,0.000000,3.860000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,0,1.4,193.200000,63.030000,1051.75

26,06:15-06:30,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,0.000000,0.000000,0.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.680000,0.000000,0.000000,21.240000,2.7,0.000000,3.860000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,0,6.3,193.200000,63.030000,1058.75

27,06:30-06:45,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,0.000000,0.000000,0.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.680000,0.000000,0.000000,21.240000,4.5,0.000000,3.860000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,0.35,10.5,193.200000,63.030000,1065.1

28,06:45-07:00,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,0.000000,0.000000,0.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,2.220000,0.000000,0.680000,0.000000,0.000000,21.240000,7.5,0.000000,3.860000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,0.53,17.5,193.200000,63.030000,1075.28

29,07:00-07:15,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,0.000000,0.000000,0.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,5.120000,0.000000,0.680000,0.000000,0.000000,21.240000,13.5,0.000000,0.970000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,0.66,31.5,193.200000,63.030000,1125.42

30,07:15-07:30,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,0.000000,0.000000,0.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,5.120000,0.000000,0.680000,0.000000,0.000000,21.240000,16.5,0.000000,0.970000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,1.78,38.5,193.200000,63.030000,1136.54

31,07:30-07:45,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,0.000000,0.000000,0.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,5.120000,0.000000,0.680000,0.000000,0.000000,21.240000,18.6,0.000000,0.970000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,2.13,43.4,193.200000,63.030000,1143.89

32,07:45:08:00,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,0.000000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,5.120000,0.000000,0.680000,0.000000,0.000000,21.240000,24,0.000000,0.970000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,1.47,56,193.200000,63.030000,1191.23

33,08:00-08:15,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,0.000000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,6.090000,0.000000,0.970000,0.000000,0.000000,21.240000,26.4,0.000000,0.970000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,2.09,61.6,193.200000,63.030000,1201.11

34,08:15-08:30,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,0.000000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,6.090000,0.000000,0.970000,0.000000,0.000000,21.240000,30.3,0.000000,0.970000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,2.67,70.7,193.200000,63.030000,1214.69

35,08:30-08:45,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,0.000000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,6.090000,0.000000,0.970000,0.000000,0.000000,21.240000,34.2,0.000000,0.970000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,2.17,79.8,193.200000,63.030000,1227.19

36,08:45:09:00,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,0.000000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,0.000000,42.490000,6.090000,0.000000,0.970000,0.000000,0.000000,21.240000,36.6,0.000000,0.970000,24.150000,0.000000,0.000000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,2.36,85.4,193.200000,63.030000,1235.38

37,09:00:09:15,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,0.000000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,6.090000,0.000000,0.970000,0.000000,0.000000,21.240000,40.5,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,2.77,94.5,193.200000,63.030000,1272.94

38,09:15-09:30,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,0.000000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,6.090000,0.000000,0.970000,0.000000,0.000000,21.240000,43.2,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,4.83,100.8,193.200000,63.030000,1284

39,09:30-09:45,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,0.000000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,8.020000,0.000000,0.970000,0.000000,0.000000,21.240000,48,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,4.03,112,193.200000,63.030000,1301.13

40,09:45-10:00,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,0.000000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,8.020000,0.000000,0.970000,0.000000,0.000000,21.240000,52.5,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,4.26,122.5,193.200000,63.030000,1316.36

41,10:00-10:15,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,90.800000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,8.980000,0.000000,0.970000,0.000000,0.000000,21.240000,54,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,5.76,126,193.200000,63.030000,1414.62

42,10:15-10:30,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,90.800000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,8.980000,0.000000,0.970000,0.000000,0.000000,21.240000,55.5,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,4.4,129.5,193.200000,63.030000,1418.26

43,10:30-10:45,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,90.800000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,8.980000,0.000000,0.970000,0.000000,0.000000,21.240000,55.5,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,4.26,129.5,193.200000,63.030000,1418.12

44,10:45-11:00,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,90.800000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,8.980000,0.000000,0.970000,0.000000,0.000000,21.240000,57,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,7.11,133,193.200000,63.030000,1425.97

45,11:00-11:15,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,90.800000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,8.980000,0.000000,0.970000,0.000000,0.000000,21.240000,57,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,6.47,133,193.200000,63.030000,1425.33

46,11:15-11:30,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,90.800000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,8.980000,0.000000,0.970000,0.000000,0.000000,21.240000,58.2,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,5.82,135.8,193.200000,63.030000,1428.68

47,11:30-11:45,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,90.800000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,8.980000,0.000000,0.970000,0.000000,0.000000,21.240000,60,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,5.41,140,193.200000,63.030000,1434.27

48,11:45-12:00,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,90.800000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,8.980000,0.000000,0.970000,0.000000,0.000000,21.240000,61.5,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,4.06,143.5,193.200000,63.030000,1437.92

49,12:00-12:15,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,90.800000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,9.660000,0.000000,0.970000,0.000000,0.000000,21.240000,61.5,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,2.82,143.5,193.200000,63.030000,1437.36

50,12:15-12:30,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,90.800000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,9.660000,0.000000,0.970000,0.000000,0.000000,21.240000,61.5,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,2.47,143.5,193.200000,63.030000,1437.01

51,12:30-12:45,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,90.800000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,9.660000,0.000000,0.970000,0.000000,0.000000,21.240000,61.5,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,2.98,143.5,193.200000,63.030000,1437.52

52,12:45-13:00,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,90.800000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,9.660000,0.000000,0.970000,0.000000,0.000000,21.240000,58.5,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,2.06,136.5,193.200000,63.030000,1426.6

53,13:00-13:15,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,90.800000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,9.660000,0.000000,0.970000,0.000000,0.000000,21.240000,57,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,4.33,133,193.200000,63.030000,1423.87

54,13:15-13:30,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,90.800000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,9.660000,0.000000,0.970000,0.000000,0.000000,21.240000,55.2,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,4.21,128.8,193.200000,63.030000,1417.75

55,13:30-13:45,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,90.800000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,9.660000,0.000000,0.970000,0.000000,0.000000,21.240000,53.7,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,3.39,125.3,193.200000,63.030000,1411.93

56,13:45-14:00,0.000000,152.630000,0.000000,48.300000,24.150000,30.000000,62.790000,90.800000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,9.660000,0.000000,0.970000,0.000000,0.000000,21.240000,52.5,0.000000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,3.49,122.5,193.200000,63.030000,1408.03

57,14:00-14:15,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,106.260000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,9.660000,0.000000,0.970000,0.000000,0.000000,21.240000,52.5,23.120000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,4.06,122.5,193.200000,63.030000,1417.18

58,14:15-14:30,0.000000,152.630000,0.000000,48.300000,24.150000,0.000000,62.790000,106.260000,0.000000,30.000000,0.000000,0.000000,22.220000,188.370000,15.940000,42.490000,9.660000,0.000000,0.970000,0.000000,0.000000,21.240000,51.9,23.120000,0.970000,24.150000,0.000000,8.210000,84.990000,24.150000,84.520000,0.000000,0.000000,6.760000,3.42,121.1,193.200000,63.030000,1414.54

