Time,Block,NR/2023/11738/C,NR/2023/11343/F,NR/2023/10197/A,NR/2023/11104/F,NR/2023/11099/F,NR/2023/11694/D,NR/2023/11711/C,NR/2023/11154/F,NR/2023/11732/C,NR/2023/10486/A,NR/2023/10433/A,NR/2023/11096/F,NR/2023/10181/A,NR/2023/11221/F,NR/2023/11730/C,NR/2023/11097/F,NR/2023/11367/F,NR/2023/11733/C,NR/2023/11102/F,NR/2023/11720/C,NR/2023/11369/F,NR/2023/11718/C,NR/2023/11368/F,NR/2023/11726/C,NR/2023/11729/C,NR/2023/11100/F,NR/2023/10182/A,NR/2023/11341/F,NR/2023/11166/F,NR/2023/11731/C,NR/2023/11095/F,NR/2023/11704/D,NR/2023/11707/D,NR/2023/11736/C,NR/2023/11705/D,Total
17,04:00-04:15,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.470000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,561.39

18,04:15-04:30,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.470000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,561.39

19,04:30-04:45,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.470000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,561.39

20,04:45-05:00,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.470000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,561.39

21,05:00-05:15,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.470000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,561.39

22,05:15-05:30,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.470000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,561.39

23,05:30-05:45,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.470000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,561.39

24,05:45-06:00,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,48.140000,0.600000,0.000000,0.610000,9.470000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,561.39

25,06:00-06:15,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,0.000000,0.600000,0.000000,0.610000,9.380000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,513.16

26,06:15-06:30,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,0.000000,0.600000,0.000000,0.610000,9.380000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,513.16

27,06:30-06:45,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,0.000000,0.600000,0.000000,0.610000,9.380000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,513.16

28,06:45-07:00,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,28.530000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,0.000000,0.600000,0.000000,0.610000,9.380000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,1.5,3.5,0,0,518.16

29,07:00-07:15,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,27.520000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,0.000000,0.600000,0.000000,0.610000,9.280000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,4.8,11.2,0,0,528.05

30,07:15-07:30,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,27.520000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,0.000000,0.600000,0.000000,0.610000,9.280000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,10.2,23.8,0,0.1,546.15

31,07:30-07:45,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,27.520000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,0.000000,0.600000,0.000000,0.610000,9.280000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,16.2,37.8,0,0.42,566.47

32,07:45:08:00,0.000000,48.140000,49.830000,0.450000,0.360000,19.260000,27.520000,9.630000,0.000000,20.560000,24.070000,0.530000,99.660000,17.330000,0.000000,0.360000,0.310000,0.000000,0.600000,0.000000,0.610000,9.280000,0.310000,0.000000,0.000000,0.530000,49.830000,115.550000,14.440000,0.000000,2.890000,21,49,0,0.86,582.91

33,08:00-08:15,0.000000,48.140000,49.830000,0.440000,0.350000,19.260000,27.520000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,0.000000,0.610000,9.200000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,27,63,0,1.16,603.14

34,08:15-08:30,0.000000,48.140000,49.830000,0.440000,0.350000,19.260000,27.520000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,0.000000,0.610000,9.200000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,33.6,78.4,0,1.4,625.38

35,08:30-08:45,0.000000,48.140000,49.830000,0.440000,0.350000,19.260000,27.520000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,0.000000,0.610000,9.200000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,39.9,93.1,0,1.83,646.81

36,08:45:09:00,0.000000,48.140000,49.830000,0.440000,0.350000,19.260000,27.520000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,0.000000,0.610000,9.200000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,45.6,106.4,0,2.35,666.33

37,09:00:09:15,0.000000,48.140000,49.830000,0.440000,0.350000,19.260000,27.520000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,9.200000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,49.5,115.5,0,3.65,704.7

38,09:15-09:30,0.000000,48.140000,49.830000,0.440000,0.350000,19.260000,27.520000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,9.200000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,54.6,127.4,0,4.32,722.37

39,09:30-09:45,0.000000,48.140000,49.830000,0.440000,0.350000,19.260000,27.520000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,9.200000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,58.5,136.5,0,4.42,735.47

40,09:45-10:00,0.000000,48.140000,49.830000,0.440000,0.350000,19.260000,27.520000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,9.200000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,63,147,0,4.52,750.57

41,10:00-10:15,0.000000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,9.100000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,67.5,157.5,0,4.71,767.69

42,10:15-10:30,0.000000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,9.100000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,72,168,0,5,782.98

43,10:30-10:45,0.000000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,9.100000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,73.5,171.5,0,5.19,788.17

44,10:45-11:00,0.000000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,9.100000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,75,175,0,5.57,793.55

45,11:00-11:15,0.000000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,9.010000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,78,182,0,5.76,803.65

46,11:15-11:30,0.000000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,9.010000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,78.6,183.4,0,5.96,805.85

47,11:30-11:45,0.000000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,9.010000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,78.6,183.4,0,6.34,806.23

48,11:45-12:00,0.000000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,9.010000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,78.6,183.4,0,6.53,806.42

49,12:00-12:15,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.920000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,78.6,183.4,0,7.21,809.32

50,12:15-12:30,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.920000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,78.6,183.4,0,7.65,809.76

51,12:30-12:45,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.920000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,78.6,183.4,0,7.69,809.8

52,12:45-13:00,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.920000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,78.6,183.4,0,8.17,810.28

53,13:00-13:15,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.820000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,78.6,183.4,0,8.45,810.46

54,13:15-13:30,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.820000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,78.6,183.4,0,8.55,810.56

55,13:30-13:45,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.820000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,78.6,183.4,0,8.66,810.67

56,13:45-14:00,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.820000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,79.2,184.8,0,8.64,812.65

57,14:00-14:15,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.730000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,78,182,0,8.45,808.37

58,14:15-14:30,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.730000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,76.5,178.5,0,8.17,803.09

59,14:30-14:45,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.730000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,74.4,173.6,0,7.69,795.61

60,14:45-15:00,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.730000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,72,168,0,7.01,786.93

61,15:00-15:15,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.640000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,68.4,159.6,0,6.24,774.07

62,15:15-15:30,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.640000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,64.8,151.2,0,5.57,761.4

63,15:30-15:45,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.640000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,58.5,136.5,4.81,4.71,744.35

64,15:45-16:00,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,29.550000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.640000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,54,126,19.26,3.84,742.93

65,16:00-16:15,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,31.590000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.640000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,48.9,114.1,24.07,3.82,732.76

