Column1,Time,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/8036,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,GNARE/SR/2025/01/13/4532,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/1906,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/03/01/2563,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/6891,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/3469,NR/30092023/26122029/SH-06,GNA/SR/2025/03/01/7500,NR/01102023/22052037/LT-59,GNA/NR/2025/03/01/5143,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36
31,07:30-07:45,21.85,10,86.52,0,0,23.02,7,6.67,14,4.4,6,10,5,25.9,14.33,5,4.37,7,5.94,22.23,21,22.23,14.34,22.24,114.72,32,99.93,259.56,0,23.02,1.21,23.02,271.21,0.16,5.76,17.27,0,5.05,6.71,32,0,1.08,0,0.16,0,1.23,0.12

32,07:45-08:00,39.27,15,86.52,0,0,23.02,7,6.67,25,4.4,10,17,7,36.21,14.33,8,7.86,7,12.22,23.4,21,23.4,14.34,23.4,65.82,32,99.93,259.56,0,23.02,1.21,23.02,271.21,0.65,5.76,17.27,0,5.05,6.71,32,0,1.08,0,0.65,0,1.23,0.5

33,08:00-08:15,60.1,20,86.52,0,0,23.02,7,6.67,49,4.4,21,25,12,46.77,14.33,13,12.02,7,20.24,24.5,21,24.5,14.34,24.5,65.82,32,99.93,224.38,0,23.02,1.21,23.02,271.21,4.1,5.76,17.27,0,5.05,6.71,32,0,1.08,0,4.1,0,1.23,3.71

34,08:15-08:30,82.02,29,76.05,0,0,23.02,7,6.67,69,4.4,30,37,16,57.38,14.33,18,16.4,7,28.83,24.5,21,24.5,14.34,24.5,65.82,32,99.93,193.98,0,23.02,1.21,23.02,271.21,5.51,5.76,17.27,0,5.05,6.71,32,0,1.08,0,5.51,0,1.23,4.99

35,08:30-08:45,103.71,37,86.52,0,0,23.02,7,6.67,91,8.4,39,43,21,67.45,14.33,22,20.74,7,37.96,24.93,21,24.93,14.34,24.94,65.82,26.99,99.93,229.16,0,23.02,1.21,23.02,271.21,6.96,5.76,17.27,0,5.05,6.71,26.99,0,1.08,0,6.96,0,1.23,6.29

36,08:45-09:00,124.78,45,86.52,0,0,23.02,7,6.67,109,8.4,46,53,25,77.22,14.33,27,24.96,7,46.54,25.43,21,25.43,14.34,25.44,65.82,26.99,99.93,229.16,0,23.02,1.21,23.02,271.21,8.38,5.76,17.27,0,5.05,6.71,26.99,0,1.08,0,8.38,0,1.23,7.59

37,09:00-09:15,144.68,53,74.37,0,0,23.02,7,6.67,123,8.4,52,60,29,86.66,14.33,30,28.94,7,54.83,25.43,21,25.43,14.34,25.44,65.82,26.99,99.93,229.16,0,23.02,1.21,23.02,271.21,9.75,5.76,17.27,0,4.96,6.71,26.99,0,1.24,0,9.75,0,1.15,8.82

38,09:15-09:30,163.72,61,74.37,0,0,23.02,7,6.67,139,8.4,59,67,32,95.4,14.33,33,32.74,7,62.7,25.1,21,25.1,14.34,25.1,65.82,26.99,99.93,229.16,0,23.02,1.21,23.02,271.21,10.97,5.76,17.27,0,4.96,6.71,26.99,0,1.24,0,10.97,0,1.15,9.92

39,09:30-09:45,181.9,67,63.9,0,0,23.02,7,6.67,153,8.4,65,73,34,103.57,14.33,37,36.38,7,70.42,25.43,21,25.43,14.34,25.44,65.82,26.99,99.93,193.98,0,23.02,1.21,23.02,271.21,12.11,5.76,17.27,0,4.96,6.71,26.99,0,1.24,0,12.11,0,1.15,10.95

40,09:45-10:00,198.77,73,63.43,0,0,23.02,7,6.67,167,8.4,71,80,37,111.31,14.33,40,39.76,7,77.43,25.93,21,25.93,14.34,25.94,65.82,26.99,99.93,172.66,0,23.02,1.21,23.02,271.21,13.1,5.76,17.27,0,4.96,6.71,26.99,0,1.24,0,13.1,0,1.15,11.86

41,10:00-10:15,214.17,78,46.28,0,0,23.02,7,6.67,172,8.4,73,87,39,118.08,14.33,43,42.83,7,82.1,25.93,21,25.93,14.34,25.94,65.82,26.99,52.76,134.29,0,23.02,1.26,23.02,271.21,14.06,5.76,17.27,0,4.86,6.71,26.99,0,1.24,0,14.06,0,1.15,12.72

42,10:15-10:30,228.17,83,46.28,0,0,23.02,7,6.67,182,8.4,78,90,41,123.63,14.33,45,45.63,7,88.2,25.93,21,25.93,14.34,25.94,65.82,26.99,52.76,134.29,0,23.02,1.26,23.02,271.21,14.82,5.76,17.27,0,4.86,6.71,26.99,0,1.24,0,14.82,0,1.15,13.41

43,10:30-10:45,229.17,93,46.28,0,0,23.02,7,6.67,193,8.4,82,90,45,132.15,14.33,45,45.83,7,93.4,26.1,21,26.1,14.34,26.1,65.82,26.99,52.76,134.29,0,23.02,1.26,23.02,271.21,15.53,5.76,17.27,0,4.86,6.71,26.99,0,1.24,0,15.53,0,1.15,14.05

44,10:45-11:00,229.17,95,46.28,0,0,23.02,7,6.67,200,7.2,85,90,47,135.72,14.33,45,45.83,7,100,26.1,21,26.1,14.34,26.1,65.82,26.99,52.76,134.29,0,23.02,1.26,23.02,271.21,16.21,5.76,17.27,0,4.86,6.71,26.99,0,1.24,0,16.21,0,1.15,14.66

45,11:00-11:15,229.17,97,46.28,0,0,23.02,7,6.67,207,7.2,88,90,49,138.93,14.33,45,45.83,7,96.67,26.1,21,26.1,14.34,26.1,69.95,26.99,99.93,134.29,0,23.02,1.26,23.02,271.21,16.77,5.76,17.27,0,4.86,6.71,26.99,0,1.24,0,16.77,0,1.15,15.17

46,11:15-11:30,229.17,97,46.28,0,0,23.02,7,6.67,210,7.2,90,90,50,151.9,14.33,45,45.83,7,96.67,26.93,21,26.93,14.34,26.94,69.95,26.99,99.93,134.29,0,23.02,1.26,23.02,271.21,17.14,5.76,17.27,0,4.86,6.71,26.99,0,1.24,0,17.14,0,1.15,15.52

47,11:30-11:45,229.17,96,46.28,0,0,23.02,2.67,2.67,200,7.2,85,90,49,153.84,5,45,45.83,2.67,96.67,26.93,7.99,26.93,5,26.94,69.95,26.99,99.93,134.29,0,23.02,1.26,23.02,271.21,17.14,5.76,17.27,0,4.86,6.71,26.99,0,1.24,0,17.14,0,1.15,15.52

48,11:45-12:00,229.17,96,46.28,0,0,23.02,2.67,2.67,200,7.2,85,90,49,153.84,5,45,45.83,2.67,96.67,27.1,7.99,27.1,5,27.1,69.95,26.99,99.93,134.29,0,23.02,1.26,23.02,230.21,17.14,5.76,17.27,0,4.86,6.71,26.99,0,1.24,0,17.14,0,1.15,15.52

49,12:00-12:15,229.17,96,46.28,0,0,23.02,2.67,2.67,200,8,85,93,49,155.79,5,47,45.83,2.67,96.67,27.77,7.99,27.77,5,27.76,69.95,26.99,52.76,134.29,0,23.02,0,23.02,191.84,17.14,5.76,17.27,0,4.78,6.71,26.99,0,1.24,0,17.14,0,1.23,15.52

50,12:15-12:30,229.17,96,46.28,0,0,23.02,2.67,2.67,200,8.2,85,93,49,155.79,5.67,47,45.83,2.67,96.67,27.77,7.99,27.77,5.66,27.76,69.95,26.99,52.76,134.29,0,23.02,0,23.02,149.17,17.14,5.76,17.27,0,4.78,6.71,26.99,0,1.24,0,17.14,0,1.23,15.52

51,12:30-12:45,229.17,96,46.28,0,0,23.02,2.67,3,200,9,85,93,49,154.82,6.33,47,45.83,2.67,96.67,27.77,7.99,27.77,6.34,27.76,69.95,26.99,52.76,134.29,0,23.02,0,23.02,149.17,17.14,5.76,17.27,0,4.78,6.71,26.99,0,1.24,0,17.14,0,1.23,15.52

52,12:45-13:00,229.17,96,46.28,0,0,23.02,2.67,3,200,10.2,85,93,49,154.82,6.67,47,45.83,2.67,96.67,27.77,7.99,27.77,6.66,27.76,69.95,26.99,52.76,134.29,0,23.02,0,23.02,149.17,17.14,5.76,17.27,0,4.78,6.71,26.99,0,1.24,0,17.14,0,1.23,15.52

53,13:00-13:15,237.09,96,46.28,0,0,23.02,2.67,3,200,11.41,85,93,49,155.79,7,47,47.42,2.67,98.33,27.67,7.99,27.67,7,27.66,69.95,26.99,52.76,134.29,0,23.02,0,23.02,149.17,17.14,5.76,17.27,0,4.78,6.71,26.99,0,1.24,0,17.14,0,1.23,15.52

54,13:15-13:30,237.09,96,46.28,0,0,23.02,2.67,3.33,200,12.21,85,93,49,155.79,7,47,47.42,2.67,98.33,27.67,7.99,27.67,7,27.66,69.95,26.99,52.76,134.29,0,23.02,0,23.02,149.17,17.14,5.76,17.27,0,4.78,6.71,26.99,0,1.24,0,17.14,0,1.23,15.52

55,13:30-13:45,237.17,96,46.28,0,0,23.02,2.67,3.33,193,13.61,82,93,49,154.82,7,47,47.44,2.67,98.33,27.67,7.99,27.67,7,27.66,69.95,26.99,52.76,134.29,0,23.02,0,23.02,149.17,17.14,5.76,17.27,0,4.78,6.71,26.99,0,1.24,0,17.14,0,1.23,15.52

56,13:45-14:00,237.48,96,46.28,0,0,23.02,2.67,3.33,193,14.61,82,93,49,152.87,7,47,47.5,2.67,98.33,27.67,7.99,27.67,7,27.66,69.95,26.99,52.76,134.29,0,23.02,0,23.02,149.17,17.14,5.76,17.27,0,4.78,6.71,26.99,0,1.24,0,17.14,0,1.23,15.52

57,14:00-14:15,236.97,96,46.28,0,0,23.02,3,3.67,186,15.81,79,93,48,150.92,7,47,47.4,3,98.33,27.67,9,27.67,7,27.66,69.95,26.99,52.76,134.29,0,23.02,0,23.02,149.17,17.14,5.76,17.27,0,4.68,6.71,26.99,0,1.24,0,17.14,19.17,1.23,15.52

58,14:15-14:30,237.03,95,46.28,0,0,23.02,3,4,186,17.21,79,75,47,146.06,7.33,37,47.41,3,98.33,28,9,28,7.34,28,69.95,26.99,52.76,134.29,0,23.02,0,23.02,149.17,16.79,5.76,17.27,0,4.68,6.71,26.99,0,1.24,0,16.79,19.68,1.23,15.19

59,14:30-14:45,237.34,92,46.28,0,0,23.02,3.33,4,189,19.01,81,90,46,141.19,7.33,45,47.47,3.33,98.33,28.17,10.01,28.17,7.34,28.16,69.95,26.99,52.76,134.29,0,23.02,0,23.02,149.17,16.24,5.76,17.27,0,4.68,6.71,26.99,0,1.24,0,16.24,19.68,1.23,14.7

60,14:45-15:00,236.87,91,46.28,0,0,23.02,3.33,4.33,182,19.01,78,88,44,137.19,7.33,44,47.37,3.33,98.33,28.17,10.01,28.17,7.34,28.16,69.95,26.99,52.76,134.29,0,23.02,0,23.02,149.17,15.63,5.76,17.27,0,4.68,6.71,26.99,0,1.24,0,15.63,21.2,1.23,14.14

61,15:00-15:15,220.13,87,46.28,0,0,23.02,3.67,4.67,179,18.81,76,85,41,130.38,9,43,44.03,3.67,90.88,28.33,10.99,28.33,9,28.34,69.95,26.99,52.76,134.29,0,23.02,0,23.02,149.17,14.92,5.76,17.27,0,4.68,6.71,26.99,0,1.24,0,14.92,21.2,1.3,13.49

62,15:15-15:30,211.67,83,46.28,0,0,23.02,3.67,5,172,18.81,73,80,39,122.59,9,40,42.34,3.67,88.47,28.33,10.99,28.33,9,28.34,69.95,26.99,52.76,134.29,0,23.02,0,23.02,149.17,14.15,5.76,17.27,0,4.68,6.71,26.99,0,1.24,0,14.15,21.7,1.3,12.8

63,15:30-15:45,197.61,77,46.28,0,0,23.02,3.67,5,161,19.61,69,75,36,111.98,9.33,38,39.52,3.67,82.62,28.33,10.99,28.33,9.34,28.34,69.95,26.99,52.76,134.29,0,23.02,0,23.02,149.17,13.26,5.76,17.27,0,4.68,6.71,26.99,0,1.24,0,13.26,21.7,1.3,11.99

64,15:45-16:00,182.58,71,46.28,0,0,23.02,3.83,5.33,151,20.41,64,70,33,102.24,9.67,35,36.52,3.83,77.05,28.67,11.51,28.67,9.66,28.66,69.95,26.99,52.76,134.29,0,23.02,0,23.02,149.17,12.28,5.76,17.27,0,4.68,6.71,26.99,0,1.24,0,12.28,22.21,1.3,11.12

65,16:00-16:15,165.97,55,46.28,0,0,23.02,4.5,5.33,137,21.61,58,63,27,92.5,10,32,33.2,4.5,71.18,28.67,13.5,28.67,10,28.66,69.95,26.99,52.76,134.29,0,23.02,0,23.02,191.84,11.2,5.76,17.27,0,4.68,6.71,26.99,0,1.39,0,11.2,23.21,1.3,10.13

66,16:15-16:30,148.47,48,46.28,0,0,23.02,4.83,5.33,123,22.41,52,55,24,80.82,10.33,28,29.7,4.83,64.22,29,14.51,29,10.34,29,69.95,26.99,52.76,134.29,0,23.02,0,23.02,230.21,10.07,5.76,17.27,0,4.68,6.71,26.99,0,1.39,0,10.07,23.21,1.3,9.11

67,16:30-16:45,129.07,40,46.28,0,0,23.02,5,5.67,105,23.61,45,47,21,70.11,10.67,23,25.82,5,57.32,29,15,29,10.66,29,69.95,26.99,99.93,134.29,0,23.02,0,23.02,271.21,8.85,5.76,17.27,0,4.68,6.71,26.99,0,1.39,0,8.85,24.22,1.3,8.01

68,16:45-17:00,109.07,33,46.28,0,0,23.02,5,5.67,88,24.61,37,39,16,59.4,11,19,21.82,5,49.81,29,15,29,11,29,69.95,26.99,99.93,134.29,0,23.02,0,23.02,271.21,7.51,5.76,17.27,0,4.68,6.71,26.99,0,1.39,0,7.51,24.73,1.3,6.8

69,17:00-17:15,89.4,28,46.28,0,0,23.02,5,6,70,25.61,30,27,12,48.68,11.67,13,17.88,5,41.71,29,15,29,11.66,29,69.95,26.99,99.93,134.29,100,23.02,0,23.02,271.21,6.14,5.76,17.27,0,4.78,6.71,26.99,0,1.39,0,6.14,25.24,1.38,5.56

70,17:15-17:30,68.67,20,46.28,0,0,23.02,5.17,6,53,26.01,22,19,9,36.03,12.33,9,13.74,5.17,33.64,31.19,15.49,18,12.34,31.34,69.95,26.99,99.93,134.29,100,23.02,0,23.02,271.21,4.69,5.76,17.27,0,4.78,6.71,26.99,0,1.39,0,4.69,26.24,1.38,4.24

71,17:30-17:45,48.04,13,74.37,0,0,23.02,5.17,6.33,35,29.61,15,13,6,25.32,13,7,9.61,5.17,23.84,18.56,15.49,8,13,18.89,65.82,25.87,99.93,169.47,100,23.02,0,23.02,271.21,3.34,5.76,17.27,0,4.78,6.71,32,0,1.39,0,3.34,26.74,1.38,3.02

72,17:45-18:00,28.4,10,74.37,0,0,23.02,5.17,6.67,18,30.41,7,10,5,15.58,13.67,5,5.68,5.17,15.07,5.94,15.49,1,13.66,6.05,65.82,25.87,99.93,204,100,23.02,0,23.02,271.21,2.04,5.76,17.27,0,4.78,6.71,32,0,1.39,0,2.04,27.25,1.38,1.85

73,18:00-18:15,1.77,8,74.37,0,100,23.02,5.67,7,7,31.01,3,5,3,8.76,13,3,0.36,5.67,7.54,0,16.99,0,13,0,65.82,32,99.93,229.16,100,23.02,1.39,23.02,271.21,1.04,5.76,17.27,0,4.86,6.71,32,0,1.39,0,1.04,27.76,1.38,0.95

74,18:15-18:30,1.77,5,86.52,0,100,23.02,5.83,7.33,4,31.21,1,1,1,3.89,12.67,1,0.36,5.83,0.19,0,17.51,0,12.66,0,65.82,32,99.93,259.56,100,23.02,1.39,23.02,271.21,0.34,5.76,17.27,0,4.86,6.71,32,0,1.39,0,0.34,27.76,1.38,0.31

75,18:30-18:45,1.77,2,86.52,0,100,23.02,5.83,7.33,1,30.41,0,1,0,0,11.67,0,0.36,5.83,0.19,0,17.51,0,11.66,0,65.82,32,99.93,259.56,100,23.02,1.39,23.02,271.21,0.05,5.76,17.27,0,4.86,6.71,32,50,1.39,0,0.05,28.77,1.38,0.04

