Column1,Block,NR/2025/27356/A/81935,GNARE/NR/2024/12/20/3668,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/2868,NR/2025/27281/A/82119,NR/2025/29371/C,NR/2025/29395/C,NR/2025/26785/A/81528,NR/2025/29423/C,NR/2025/26777/A/81610,NR/2025/29425/C,NR/2025/26860/A/81906,NR/2025/29426/C,NR/2025/27727/A/81940,NR/2025/26565/A/82095,NR/2025/27168/A/81794,NR/2025/27185/A/81947,NR/2025/26566/A/82094,NR/2025/26952/A/81555,NR/30092023/31122025/SH-07,NR/2025/29420/C,NR/2025/27176/A/81948,NR/2025/27167/A/81791,NR/2025/27506/A/81524,NR/2025/29404/C,NR/2025/27157/A/81617,NR/2025/27725/A/81943,NR/2025/27728/A/81941,NR/2025/27726/A/81942,NR/2025/27088/A/82138,NR/2025/26572/A/82092,NR/2025/27162/A/81949,NR/2025/26571/A/82093,NR/2025/29445/C,NR/2025/29286/C,NR/2025/29446/C,NR/2025/26975/A/81950,NR/2025/29431/C,SR/2025/17651/C,NR/2025/29297/C,NR/2025/28774/A/81517,NR/2025/29356/C,NR/2025/29432/C,NR/2025/27499/A/82017,NR/2025/26861/A/82091,NR/2025/27500/A/81526,NR/2025/27187/A/81946,NR/2025/26085/A/81578,NR/2025/26445/A/82147,NR/2025/27242/A/81692,NR/2025/28719/A/81628,NR/2025/26889/A/82016,NR/2025/29162/A/81882,NR/2025/27782/A/81939,NR/2025/29447/C,NR/2025/26562/A/82096,NR/2025/27100/A/81899,NR/2025/29448/C,NR/2025/29421/C,NR/2025/29444/C,Total
3,00:30-00:45,0,0,19.35,0,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.94,24.7,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,24.7,0,106.41,20.56,1.93,0,217.57,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,27.09,0,0,0,0,0,0,8.71,164.46,7.74,19.35,0.68,70.11,41.11,10.64,5.8,1.93,8.79,0,0,25.23,0,164.7,0,1960.64

4,00:45-01:00,0,0,19.35,0,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.94,24.7,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,24.7,0,106.41,20.56,1.93,0,217.57,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,27.09,0,0,0,0,0,0,8.71,164.46,7.74,19.35,0.68,70.11,41.11,10.64,5.8,1.93,8.79,0,0,25.23,0,164.7,0,1960.64

5,01:00-01:15,0,0,19.35,0,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.85,26.7,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.7,0,106.41,20.56,1.93,0,217.57,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,27.09,0,0,0,0,0,0,8.71,164.46,7.74,19.35,0.68,70.11,41.11,10.64,5.8,1.93,8.79,0,0,25.23,0,164.7,0,1964.5500000000002

6,01:15-01:30,0,0,19.35,0,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.85,26.7,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.7,0,106.41,20.56,1.93,0,217.57,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,27.09,0,0,0,0,0,0,8.71,164.46,7.74,19.35,0.68,70.11,41.11,10.64,5.8,1.93,8.79,0,0,25.23,0,164.7,0,1964.5500000000002

7,01:30-01:45,0,0,19.35,0,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.85,26.7,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.7,0,106.41,20.56,1.93,0,217.57,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,27.09,0,0,0,0,0,0,8.71,164.46,7.74,19.35,0.68,70.11,41.11,10.64,5.8,1.93,8.79,0,0,25.23,0,164.7,0,1964.5500000000002

8,01:45-02:00,0,0,19.35,0,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.85,26.7,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.7,0,106.41,20.56,1.93,0,217.57,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,27.09,0,0,0,0,0,0,8.71,164.46,7.74,19.35,0.68,70.11,41.11,10.64,5.8,1.93,8.79,0,0,25.23,0,164.7,0,1964.5500000000002

9,02:00-02:15,0,0,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.67,26.7,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.7,0,106.41,20.56,1.93,0,217.57,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,27.09,0,0,0,0,0,0,0,0,7.74,19.35,0.63,70.11,41.11,10.64,0,1.93,8.79,0,0,0,0,164.7,0,1924.58

10,02:15-02:30,0,0,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.67,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,106.41,20.56,1.93,0,217.57,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,27.09,0,0,0,0,0,0,0,0,7.74,19.35,0.63,70.11,41.11,10.64,0,1.93,8.79,0,0,0,0,164.7,0,1925.06

11,02:30-02:45,0,0,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.67,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,106.41,20.56,1.93,0,217.57,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,27.09,0,0,0,0,0,0,0,0,7.74,19.35,0.63,70.11,41.11,10.64,0,1.93,8.79,0,0,0,0,164.7,0,1925.06

12,02:45-03:00,0,0,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.67,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,106.41,20.56,1.93,0,217.57,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,27.09,0,0,0,0,0,0,0,0,7.74,19.35,0.63,70.11,41.11,10.64,0,1.93,8.79,0,0,0,0,164.7,0,1925.06

13,03:00-03:15,0,0,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.39,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,217.57,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,19.35,0.53,70.11,41.11,10.64,0,1.93,8.79,0,0,0,0,164.7,0,1874

14,03:15-03:30,0,0,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.39,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,217.57,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,19.35,0.53,70.11,41.11,10.64,0,1.93,8.79,0,0,0,0,164.7,0,1874

15,03:30-03:45,0,0,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.39,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,217.57,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,19.35,0.53,70.11,41.11,10.64,0,1.93,8.79,0,0,0,0,164.7,0,1874

16,03:45-04:00,0,0,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.39,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,217.57,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,19.35,0.53,70.11,41.11,10.64,0,1.93,8.79,0,0,0,0,164.7,0,1874

17,04:00-04:15,0,0,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.02,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,19.35,0.53,70.11,41.11,10.64,0,1.93,8.79,0,0,0,0,164.7,0,1656.06

18,04:15-04:30,0,0,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.02,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,19.35,0.53,70.11,41.11,10.64,0,1.93,8.79,0,0,0,0,164.7,0,1656.06

19,04:30-04:45,0,0,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.02,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,19.35,0.53,70.11,41.11,10.64,0,1.93,8.79,0,0,0,0,164.7,0,1656.06

20,04:45-05:00,0,0,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.02,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,19.35,0.53,70.11,41.11,10.64,0,1.93,8.79,0,0,0,0,164.7,0,1656.06

21,05:00-05:15,0,0,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.74,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,0,0.63,70.11,41.11,10.64,0,1.93,8.79,0,0,0,0,164.7,0,1636.5300000000002

22,05:15-05:30,0,0,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.74,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,0,0.63,70.11,41.11,10.64,0,1.93,8.79,0,0,0,0,164.7,0,1636.5300000000002

23,05:30-05:45,0,0,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.74,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,0,0.63,70.11,41.11,10.64,0,0.97,8.79,0,0,0,0,164.7,0,1635.5700000000002

24,05:45-06:00,1,0.7,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.74,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,0,0.63,70.11,41.11,9.67,0,1.93,8.79,0,0,0,0,164.7,0,1637.2600000000002

25,06:00-06:15,2,2.07,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.56,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,0,0.68,70.11,41.11,9.67,0,1.93,8.79,0,0,0,0,164.7,0,1639.5000000000002

26,06:15-06:30,4,3.45,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.56,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,0,0.68,70.11,41.11,9.67,0,1.93,8.79,0,0,0,0,164.7,0,1642.88

27,06:30-06:45,7,7.88,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.56,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,0,0.68,70.11,41.11,9.67,0,1.93,8.79,0,0,0,0,164.7,0,1650.3100000000002

28,06:45-07:00,18,11.1,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.56,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,0,0.68,70.11,41.11,9.67,0,0.97,8.79,0,0,0,0,164.7,0,1663.5700000000002

29,07:00-07:15,28,15.64,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.46,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,0,0.87,70.11,41.11,9.67,0,0.97,8.79,0,0,0,0,164.7,0,1678.2

30,07:15-07:30,39,20.59,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.46,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,0,0.87,70.11,41.11,9.67,0,0.97,8.79,0,0,0,0,164.7,0,1694.1499999999999

31,07:30-07:45,35,25.84,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.46,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,0,0.87,70.11,41.11,9.67,0,0.97,8.79,0,0,0,0,164.7,0,1695.3999999999999

32,07:45-08:00,46,31.44,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.46,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,26.38,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,8.79,26.38,26.38,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,0,0.87,70.11,41.11,9.67,0,0.97,8.79,0,0,0,0,164.7,0,1712

33,08:00-08:15,46,37.07,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.28,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,0,0,4.76,0,0,0,0,7.74,0,0.97,70.11,41.11,9.67,0,1.93,14.66,0,0,0,0,164.7,0,1781.19

34,08:15-08:30,56,42.73,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.28,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,0,0,5.5,0,0,0,0,7.74,0,0.97,70.11,41.11,10.64,0,0.97,14.66,0,0,0,0,164.7,0,1797.6000000000001

35,08:30-08:45,77,48.32,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.28,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,0,0,5.8,0,0,0,0,7.74,0,0.97,70.11,41.11,10.64,0,1.93,14.66,0,0,0,0,164.7,0,1825.45

36,08:45-09:00,88,53.78,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.28,26.94,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,26.94,0,77.02,20.56,1.93,0,0,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,0,0,5.8,0,0,0,0,7.74,0,0.97,70.11,41.11,10.64,0,1.93,14.66,0,0,0,0,164.7,0,1841.91

