Time,Block,NR/2023/12661/A,NR/2023/12169/A,NR/2023/10705/A,NR/2023/12872/F,NR/2023/10947/A,NR/2023/12916/F,NR/2023/12923/F,NR/2023/14132/D,NR/2023/14137/D,NR/2023/14131/D,NR/2023/14155/C,NR/2023/11507/A,NR/2023/12706/A,NR/2023/12917/F,NR/2023/12915/F,NR/2023/11266/A,NR/2023/13985/F,NR/2023/14148/C,NR/2023/10786/A,NR/2023/13679/F,NR/2023/10460/A,NR/2023/14150/C,NR/2023/14130/D,NR/2023/10720/A,NR/2023/12814/F,NR/2023/12919/F,NR/2023/14128/D,NR/2023/11068/A,NR/2023/10488/A,NR/2023/11712/A,NR/2023/10436/A,NR/2023/10651/A,NR/2023/14129/D,NR/2023/11709/A,NR/2023/10432/A,NR/2023/11953/A,NR/2023/12813/F,NR/2023/10561/A,NR/2023/12920/F,NR/2023/10650/A,NR/2023/13369/F,NR/2023/12921/F,NR/2023/10956/A,NR/2023/10435/A,NR/2023/12924/F,NR/2023/12922/F,NR/2023/10959/A,Total

3,00:30-00:45,62.920000,54.210000,232.430000,0.480000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1880.89

4,00:45-01:00,62.920000,54.210000,232.430000,0.480000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1880.89

5,01:00-01:15,62.920000,54.210000,232.430000,0.530000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1880.94

6,01:15-01:30,62.920000,54.210000,232.430000,0.530000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1880.94

7,01:30-01:45,62.920000,54.210000,232.430000,0.530000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1880.94

8,01:45-02:00,62.920000,54.210000,232.430000,0.530000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1880.94

9,02:00-02:15,62.920000,54.210000,232.430000,0.480000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.500000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1880.8

10,02:15-02:30,62.920000,54.210000,232.430000,0.480000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.500000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1880.8

11,02:30-02:45,62.920000,54.210000,232.430000,0.480000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.500000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1880.8

12,02:45-03:00,62.920000,54.210000,232.430000,0.480000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.500000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1880.8

13,03:00-03:15,62.920000,54.210000,232.430000,0.440000,23.230000,0.520000,0.610000,0,0,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.410000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,48.400000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1816.13

14,03:15-03:30,62.920000,54.210000,232.430000,0.440000,23.230000,0.520000,0.610000,0,0,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.410000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,48.400000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1816.13

15,03:30-03:45,62.920000,54.210000,232.430000,0.440000,23.230000,0.520000,0.610000,0,0,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.410000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,48.400000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1816.13

16,03:45-04:00,62.920000,54.210000,232.430000,0.440000,23.230000,0.520000,0.610000,0,0,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.410000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,48.400000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1816.13

17,04:00-04:15,62.920000,54.210000,232.430000,0.440000,23.230000,0.520000,0.610000,0,0,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.220000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,48.400000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1815.94

18,04:15-04:30,62.920000,54.210000,232.430000,0.440000,23.230000,0.520000,0.610000,0,0,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.220000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,48.400000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1815.94

19,04:30-04:45,62.920000,54.210000,232.430000,0.440000,23.230000,0.520000,0.610000,0,0,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.220000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,48.400000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1815.94

20,04:45-05:00,62.920000,54.210000,232.430000,0.440000,23.230000,0.520000,0.610000,0,0,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,98.740000,4.840000,23.230000,19.220000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,48.400000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1815.94

21,05:00-05:15,62.920000,54.210000,232.430000,0.480000,23.230000,0.520000,0.610000,0,0,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,0.000000,4.840000,23.230000,19.220000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,48.400000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1717.24

22,05:15-05:30,62.920000,54.210000,232.430000,0.480000,23.230000,0.520000,0.610000,0,0,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,0.000000,4.840000,23.230000,19.220000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,48.400000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1717.24

23,05:30-05:45,62.920000,54.210000,232.430000,0.480000,23.230000,0.520000,0.610000,0,0,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,0.000000,4.840000,23.230000,19.220000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,48.400000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1717.24

24,05:45-06:00,62.920000,54.210000,232.430000,0.480000,23.230000,0.520000,0.610000,0,0,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,0.000000,4.840000,23.230000,19.220000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,48.400000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1717.24

25,06:00-06:15,62.920000,0.000000,15.810000,0.530000,0.000000,0.520000,0.610000,1.4,0.6,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,33.630000,0.000000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,7.740000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1383.37

26,06:15-06:30,62.920000,0.000000,15.810000,0.530000,0.000000,0.520000,0.610000,6.3,2.7,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,33.630000,0.000000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,7.740000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1390.37

27,06:30-06:45,62.920000,0.000000,15.810000,0.530000,0.000000,0.520000,0.610000,10.5,4.5,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,33.630000,0.000000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,7.740000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1396.37

28,06:45-07:00,62.920000,0.000000,15.810000,0.530000,0.000000,0.520000,0.610000,17.5,7.5,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,33.630000,0.000000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.820000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,7.740000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1406.37

29,07:00-07:15,62.920000,0.000000,15.810000,0.680000,0.000000,0.520000,0.610000,24.5,10.5,0,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,32.610000,0.000000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.820000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,7.740000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1386.46

30,07:15-07:30,62.920000,0.000000,15.810000,0.680000,0.000000,0.520000,0.610000,28,12,0.19,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,32.610000,0.000000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.820000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,7.740000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1391.65

31,07:30-07:45,62.920000,0.000000,15.810000,0.680000,0.000000,0.520000,0.610000,35,15,0.44,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,32.610000,0.000000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.820000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,7.740000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1401.9

32,07:45:08:00,62.920000,0.000000,15.810000,0.680000,0.000000,0.520000,0.610000,42,18,0.8,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,32.610000,0.000000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.820000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.930000,7.740000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1412.26

33,08:00-08:15,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,54.6,23.4,1.27,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,32.610000,0.000000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,0.000000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1431.27

34,08:15-08:30,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,70,30,1.73,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,32.610000,0.000000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,0.000000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1453.73

35,08:30-08:45,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,81.2,34.8,2.23,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,32.610000,0.000000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,0.000000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1470.23

36,08:45:09:00,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,95.2,40.8,2.56,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,32.610000,0.000000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,0.000000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1490.56

37,09:00:09:15,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,108.5,46.5,3.19,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,0.000000,4.840000,23.230000,16.730000,90.360000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1499.15

38,09:15-09:30,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,116.9,50.1,3.65,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,0.000000,4.840000,23.230000,16.730000,90.360000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1511.61

39,09:30-09:45,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,126,54,4.08,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,0.000000,4.840000,23.230000,16.730000,90.360000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1525.04

40,09:45-10:00,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,140,60,4.54,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,0.000000,4.840000,23.230000,16.730000,90.360000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1545.5

41,10:00-10:15,62.920000,0.000000,15.810000,0.970000,0.000000,0.000000,0.000000,147,63,5.01,30.000000,255.460000,6.780000,0.000000,0.000000,63.620000,24.200000,36.690000,90.990000,4.840000,23.230000,16.730000,90.360000,23.720000,85.670000,0.000000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.000000,7.740000,24.200000,0.000000,85.150000,24.200000,0.000000,0.000000,21.280000,1642.02

42,10:15-10:30,62.920000,0.000000,15.810000,0.970000,0.000000,0.000000,0.000000,154,66,5.03,30.000000,255.460000,6.780000,0.000000,0.000000,63.620000,24.200000,36.690000,90.990000,4.840000,23.230000,16.730000,90.360000,23.720000,85.670000,0.000000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.000000,7.740000,24.200000,0.000000,85.150000,24.200000,0.000000,0.000000,21.280000,1652.04

43,10:30-10:45,62.920000,0.000000,15.810000,0.970000,0.000000,0.000000,0.000000,159.6,68.4,5.13,30.000000,255.460000,6.780000,0.000000,0.000000,63.620000,24.200000,36.690000,90.990000,4.840000,23.230000,16.730000,90.360000,23.720000,85.670000,0.000000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.000000,7.740000,24.200000,0.000000,85.150000,24.200000,0.000000,0.000000,21.280000,1660.14

44,10:45-11:00,62.920000,0.000000,15.810000,0.970000,0.000000,0.000000,0.000000,168,72,5.32,30.000000,255.460000,6.780000,0.000000,0.000000,63.620000,24.200000,36.690000,90.990000,4.840000,23.230000,16.730000,90.360000,23.720000,85.670000,0.000000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.000000,7.740000,24.200000,0.000000,85.150000,24.200000,0.000000,0.000000,21.280000,1672.33

45,11:00-11:15,62.920000,0.000000,15.810000,0.970000,0.000000,0.000000,0.000000,171.5,73.5,5.61,30.000000,255.460000,6.780000,0.000000,0.000000,63.620000,24.200000,36.690000,90.990000,4.840000,23.230000,16.730000,90.360000,23.720000,85.670000,0.000000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.000000,7.740000,24.200000,0.000000,85.150000,24.200000,0.000000,0.000000,21.280000,1677.62

