Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/29985/A/89543,NR/2025/31828/C,NR/2025/31420/A/89590,NR/2025/31136/A/89892,NR/2025/31137/A/89895,NR/2025/31137/A/89896,NR/2025/31136/A/89890,NR/2025/31138/A/89906,NR/2025/31419/A/89591,NR/2025/31138/A/89907,NR/2025/31347/A/89432,NR/2025/30082/A/89930,NR/2025/29628/A/89862,NR/2025/27975/A/89917,NR/2025/30083/A/89855,NR/2025/27973/A/89916,NR/2025/30105/A/89852,NR/2025/30067/A/89991,NR/2025/31126/A/89497,NR/2025/31821/C,NR/2025/27978/A/89953,NR/2025/29353/A/89678,NR/2025/27965/A/89914,NR/2025/30086/A/89853,NR/2025/27966/A/89915,NR/2025/28728/A/89904,NR/2025/30084/A/89854,NR/2025/31782/C,NR/2025/31815/C,NR/2025/30121/A/89424,NR/2025/29352/A/89680,NR/2025/31816/C,NR/2025/29167/A/89458,NR/2025/31819/C,NR/2025/29992/A/89526,NR/2025/29439/A/89527,NR/2025/31826/C,NR/2025/29440/A/89448,NR/2025/31339/A/89542,NR/2025/31786/C,NR/2025/31822/C,NR/2025/30191/A/89429,NR/2025/29910/A/89860,NR/2025/31823/C,NR/2025/29915/A/89457,NR/2025/31823/C/Alternate/1,NR/2025/31824/C,NR/2025/30217/A/89851,NR/2025/31807/C,NR/2025/31809/C,NR/2025/31762/C,NR/2025/30101/A/89935,NR/2025/31722/C,NR/2025/31725/C,NR/2025/31775/C,NR/2025/31817/C,NR/2025/31781/C,NR/2025/31770/C,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2786,NR/30092023/31122025/SH-07,GNA/NR/2025/07/16/5917,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/3109,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,0,8.74,96.14,17.48,204.3,12.5,28.84,96.14,81.72,96.14,26.22,0,81.72,26.22,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,0,20.43,162.04,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,0,81.72,30,134.84,19.23,18.68,20.74,15.24,49.03,2090.4000000000005

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,0,8.74,96.14,17.48,204.3,12.5,28.84,96.14,81.72,96.14,26.22,0,81.72,26.22,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,0,20.43,162.04,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,0,81.72,30,134.84,19.23,18.68,20.74,15.24,49.03,2090.4000000000005

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,0,8.74,96.14,17.48,204.3,12.5,28.84,96.14,81.72,96.14,26.22,0,81.72,26.22,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.77,134.6,0,0,48.07,19.23,0,20.43,162.04,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,22.13,81.72,22.13,134.84,19.23,18.4,20.74,15.24,49.03,2104.2400000000007

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,0,8.74,96.14,17.48,204.3,12.5,28.84,96.14,81.72,96.14,26.22,0,81.72,26.22,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.77,134.6,0,0,48.07,19.23,0,20.43,162.04,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,22.13,81.72,22.13,134.84,19.23,18.4,20.74,15.24,49.03,2104.2400000000007

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,0,8.74,96.14,17.48,204.3,12.5,28.84,96.14,81.72,96.14,26.22,0,81.72,26.22,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.77,134.6,0,0,48.07,19.23,0,20.43,162.04,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,18.4,20.74,15.24,49.03,2113.38

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,0,8.74,96.14,17.48,204.3,12.5,28.84,96.14,81.72,96.14,26.22,0,81.72,26.22,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.77,134.6,0,0,48.07,19.23,0,20.43,162.04,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,18.4,20.74,15.24,49.03,2113.38

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,0,8.74,96.14,17.48,204.3,12.5,28.84,96.14,81.72,96.14,26.22,0,81.72,26.22,0,0,6.73,28.6,0,54.08,0,44.22,0,0,0.67,134.6,0,0,48.07,19.23,48.53,20.43,113.51,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,18.22,20.74,15.24,49.03,2088.0300000000007

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,0,8.74,96.14,17.48,204.3,12.5,28.84,96.14,81.72,96.14,26.22,0,81.72,26.22,0,0,6.73,28.6,0,54.08,0,44.22,0,0,0.67,134.6,0,0,48.07,19.23,50.12,20.43,111.93,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,18.22,20.74,15.24,49.03,2088.0400000000004

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,0,8.74,96.14,17.48,204.3,12.5,28.84,96.14,81.72,96.14,26.22,0,81.72,26.22,0,0,6.73,28.6,0,54.08,0,44.22,0,0,0.67,134.6,0,0,48.07,19.23,50.86,20.43,111.19,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,18.22,20.74,15.24,49.03,2088.0400000000004

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,0,8.74,96.14,17.48,204.3,12.5,28.84,96.14,81.72,96.14,26.22,0,81.72,26.22,0,0,6.73,28.6,0,54.08,0,44.22,0,0,0.67,134.6,0,0,48.07,19.23,51.9,20.43,110.15,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,18.22,20.74,15.24,49.03,2088.040000000001

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,0,8.74,96.14,17.48,0,12.5,28.84,96.14,81.72,96.14,26.22,0,81.72,26.22,0,0,6.73,28.6,0,54.08,0,44.22,0,0,0.62,0,0,0,48.07,19.23,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,18.04,20.74,15.24,0,1650.2400000000005

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,0,8.74,96.14,17.48,0,12.5,28.84,96.14,81.72,96.14,26.22,0,81.72,26.22,0,0,6.73,28.6,0,54.08,0,44.22,0,0,0.62,0,0,0,48.07,19.23,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,18.04,20.74,15.24,0,1650.2400000000005

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,0,8.74,96.14,17.48,0,12.5,28.84,96.14,81.72,96.14,26.22,0,81.72,26.22,0,0,6.73,28.6,0,54.08,0,44.22,0,0,0.62,0,0,0,48.07,19.23,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,18.04,20.74,15.24,0,1650.2400000000005

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,0,8.74,96.14,17.48,0,12.5,28.84,96.14,81.72,96.14,26.22,0,81.72,26.22,0,0,6.73,28.6,0,54.08,0,44.22,0,0,0.62,0,0,0,48.07,19.23,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,18.04,20.74,15.24,0,1650.2400000000005

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,0,8.74,0,17.48,0,12.5,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.62,0,0,0,48.07,19.23,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.76,20.74,15.24,0,1403.6000000000004

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,0,8.74,0,17.48,0,12.5,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.62,0,0,0,48.07,19.23,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.76,20.74,15.24,0,1403.6000000000004

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,0,8.74,0,17.48,0,12.5,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.62,0,0,0,48.07,19.23,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.76,20.74,15.24,0,1403.6000000000004

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,0,8.74,0,17.48,0,12.5,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.62,0,0,0,48.07,19.23,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.76,20.74,15.24,0,1403.6000000000004

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,0,8.74,0,17.48,0,12.5,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.62,0,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.48,20.74,15.24,0,1400.6600000000003

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,0,8.74,0,17.48,0,12.5,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.62,0,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.48,20.74,15.24,0,1400.6600000000003

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,0,8.74,0,17.48,0,11.54,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.62,0,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.48,20.74,15.24,0,1399.7000000000005

24,05:45-06:00,0.49,1,0,0,0,0,0,0,0,0,0,0,48.07,76.55,0,8.74,0,17.48,0,11.54,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.62,0,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.48,20.74,15.24,0,1401.1900000000003

25,06:00-06:15,1.61,3,0,0,0.03,0.03,0,0,0.03,0,0,0,48.07,76.55,0,8.74,0,17.48,0,11.54,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.82,0,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.39,20.74,15.24,0,1404.5100000000004

26,06:15-06:30,2.73,7,0,0,0.06,0.06,0,0,0.06,0,0,0,48.07,76.55,0,8.74,0,17.48,0,11.54,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.82,0,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.39,20.74,15.24,0,1409.7200000000005

27,06:30-06:45,4.16,11,0.84,0,0.09,0.09,0,0,0.09,0,0,0,48.07,76.55,0,8.74,0,17.48,0,11.54,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.82,0,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.39,20.74,15.24,0,1416.0800000000006

28,06:45-07:00,6.56,14,1.37,0,0.19,0.1,0.02,0.02,0.1,0,0.02,0,48.07,76.55,0,8.74,0,17.48,0,11.54,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.82,0,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.39,20.74,15.24,0,1422.1900000000005

29,07:00-07:15,9.26,21,0.44,0,0.19,0.1,0.09,0.09,0.1,0,0.07,0,48.07,76.55,0,8.74,0,17.48,0,11.54,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.87,0,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.3,20.74,15.24,0,1431.1100000000004

30,07:15-07:30,12.22,25,0.59,0,0.19,0.19,0.14,0.18,0.1,0,0.12,0,48.07,76.55,0,8.74,0,17.48,0,11.54,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.87,0,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.3,20.74,15.24,0,1438.5000000000002

31,07:30-07:45,15.39,39,0.72,0,0.29,0.19,0.25,0.25,0.1,0,0.14,0,48.07,76.55,0,8.74,0,17.48,0,11.54,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.87,0,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.3,20.74,15.24,0,1456.1000000000004

32,07:45-08:00,18.96,56,0.83,0,0.29,0.19,0.3,0.42,0.1,0,0.24,0,48.07,76.55,0,8.74,0,17.48,0,11.54,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.87,0,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.3,20.74,15.24,0,1477.1000000000004

33,08:00-08:15,23.5,60,0.89,1.63,0.29,0.19,0.37,0.52,0.1,0,0.3,8.65,48.07,76.55,0,8.74,0,17.48,0,11.54,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.96,0,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.21,20.74,15.24,0,1496.2100000000005

34,08:15-08:30,28.35,74,1.05,1.63,0.29,0.19,0.44,0.62,0.1,0,0.36,9.61,48.07,76.55,0,8.74,0,17.48,0,11.54,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.96,0,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.21,20.74,15.24,0,1516.4100000000005

35,08:30-08:45,33.45,74,1.24,1.63,0.29,0.19,0.58,0.67,0.1,0,0.48,9.61,48.07,76.55,0,8.74,0,17.48,0,13.46,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.96,0,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.21,20.74,15.24,0,1523.9300000000005

36,08:45-09:00,38,84,1.47,1.63,0.29,0.19,0.58,0.67,0.1,0,0.48,9.61,48.07,76.55,0,8.74,0,17.48,0,13.46,28.84,96.14,81.72,0,26.22,0,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,0,0,0.96,0,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.7,81.72,26.7,134.84,19.23,17.21,20.74,15.24,0,1538.7100000000005

37,09:00-09:15,49.15,88,1.74,1.63,0.38,0.19,0.58,0.67,0.1,0,0.48,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,26.22,0,0,26.22,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.75,81.72,26.75,134.84,19.23,17.11,20.74,15.24,0,1554.2200000000003

38,09:15-09:30,53.47,98,1.87,1.63,0.38,0.19,0.58,0.67,0.1,0,0.48,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,26.22,0,0,26.22,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.75,81.72,26.75,134.84,19.23,17.11,20.74,15.24,0,1568.6700000000003

39,09:30-09:45,57.44,91,1.96,1.63,0.38,0.19,0.58,0.67,0.1,0,0.48,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,26.22,0,0,26.22,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.75,81.72,26.75,134.84,19.23,17.11,20.74,15.24,0,1565.7300000000002

