Block,Time Block,KGSU3AND4,NLCIIST1,NLCIIST2,TALA,RAPPD,SINGRAULI_HYDRO,RSTPSU7,SALAL,SEWA2,SIMHST2,RIHAND3,RAPPC,SINGRAULI,RIHAND2,SASAN,RIHAND1,SIMHST1,RSTPSU1TO6,UNCHAHAR3,TEHRI,TelanganaSTPP,TANDA2,UNCHAHAR2,URI,UNCHAHAR1,TALST2,UNCHAHAR4,VALLURNTECL,TANAKPUR,TEHRIPSP,URI2,KGSU1AND2,JHAJJAR,NLCEXP,NJPC,NAPP,RAMPUR,NNTPP,NTPL,PARBATI3,PARBATI2,RAPPB,FSTPP I & II,NLCTS2EXP,MAPS,DHAULIGNGA,DADRT2,DULHASTI,KUDGI,KOTESHWR,KKNPPU2,KOLDAM,KISHANGANGA,KKNP,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,DADRI_GF,BRBCL,CHAMERA1,BSIUL,CHAMERA2,CHAMERA3,ANTA_GF,AURY_CRF,ANTA_CRF,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,KHSTPP-II,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
8,01:45-02:00,0,0,0,18.52,23.58,0.89,0,81.02,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,29.73,20.82,0,3.1,0,10.6,0,16.49,0,222.24,0,169.07,22.08,5.48,0,0,18.58,0,0,17.38,0,0,40.84,528.39,53.26,0,39.02,0,8.29,6.78,0,0,19.42,19.24,0,0,13.55,40.54,12.54,45.32,32.64,0,0,0,12.55,0,0,0,142.63,43.79,0,0,0,0,0

9,02:00-02:15,0,0,0,18.52,23.58,0.89,0,81.02,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,25.48,20.82,0,3.1,0,10.6,0,16.49,0,222.24,0,169.07,22.08,5.48,0,0,18.58,0,0,17.38,0,0,40.84,528.39,53.26,0,39.02,0,8.29,6.78,0,0,1.63,2.01,0,0,13.55,40.54,12.54,45.32,32.64,0,0,0,1.31,0,0,0,142.63,43.79,0,0,0,0,0

10,02:15-02:30,0,0,0,18.52,23.58,0.89,0,81.02,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,25.48,20.82,0,3.1,0,10.6,0,16.49,0,222.24,0,169.07,22.08,5.48,0,0,18.58,0,0,17.38,0,0,40.84,528.39,53.26,0,39.02,0,8.29,6.78,0,0,0,0,0,0,13.56,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

11,02:30-02:45,0,0,0,18.8,23.58,0.89,0,81.02,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,25.48,20.82,0,3.1,0,11.58,0,16.49,0,222.24,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,40.84,466.91,53.26,0,39.02,0,8.29,6.78,0,0,0,0,0,0,13.56,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

12,02:45-03:00,0,0,0,18.8,23.58,0.89,0,81.02,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,25.48,20.82,0,3.1,0,11.58,0,16.49,0,222.24,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,40.84,399.58,53.26,0,39.02,0,8.29,6.78,0,0,0,0,0,0,14.36,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

13,03:00-03:15,0,0,0,18.8,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,25.48,20.82,0,3.1,0,10.84,0,16.49,0,222.24,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,40.84,417.91,53.26,0,29.27,0,8.29,6.78,0,0,0,0,0,0,14.78,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

14,03:15-03:30,0,0,0,18.8,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,25.48,20.82,0,3.1,0,10.84,0,16.49,0,222.24,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,40.84,362.43,53.26,0,29.27,0,8.29,6.78,0,0,0,0,0,0,14.18,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

15,03:30-03:45,0,0,0,21.35,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,25.48,20.82,0,3.1,0,10.84,0,37.48,0,222.24,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,40.84,314.34,53.26,0,29.27,0,8.29,6.78,0,0,0,0,0,0,17.38,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

16,03:45-04:00,0,0,0,21.35,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,25.48,20.82,0,3.1,0,10.84,0,37.48,0,222.24,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,40.84,266.25,53.26,0,29.27,0,8.29,6.78,0,0,0,0,0,0,16.09,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

17,04:00-04:15,0,0,0,21.35,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,25.48,20.82,0,3.1,0,10.84,0,37.48,0,189.51,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,0,234.16,53.26,0,29.27,0,8.29,6.78,0,0,0,0,0,0,15.75,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

18,04:15-04:30,0,0,0,21.32,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,25.48,20.82,0,3.1,0,10.84,0,37.48,0,189.51,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,0,234.16,53.26,0,29.27,0,8.29,6.78,0,0,0,0,0,0,14.95,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

19,04:30-04:45,0,0,0,21.27,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,25.48,20.82,0,3.1,0,10.84,0,37.48,0,186.13,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,0,234.16,53.26,0,29.27,0,8.29,6.78,0,0,0,0,0,0,19.18,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

20,04:45-05:00,0,0,0,21.15,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,25.48,20.82,0,3.1,0,10.84,0,37.48,0,186.13,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,0,224.54,53.26,0,29.27,0,8.29,6.78,0,0,0,0,0,0,21.66,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

21,05:00-05:15,0,0,0,21.02,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,50.36,20.82,0,3.1,0,8.62,0,20.99,0,186.13,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,0,214.92,53.26,0,29.27,0,8.29,6.78,0,0,0,0,0,0,23.18,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

22,05:15-05:30,0,0,0,20.83,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,50.36,20.82,0,3.1,0,8.62,0,20.99,0,186.13,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,0,243.78,53.26,0,29.27,0,8.29,6.78,0,0,0,0,0,0,23.65,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

23,05:30-05:45,0,0,0,20.16,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,50.36,20.82,0,3.1,0,8.62,0,20.99,0,186.13,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,0,262.19,53.26,0,29.27,0,8.29,6.78,0,0,0,0,0,0,22.55,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

24,05:45-06:00,0,0,0,20.02,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,294.85,94.56,0,0,26.63,53.99,0,5.34,43.28,21.24,20.82,0,3.1,0,8.62,0,20.99,0,207.29,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,0,199.4,53.26,0,29.27,0,8.29,6.78,0,0,0,0,0,0,24.04,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

25,06:00-06:15,0,0,0,19.91,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,305.67,94.56,0,0,20.66,53.99,0,5.34,33.82,21.24,15.99,0,2.22,0,8.62,0,20.99,0,207.29,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,0,199.4,53.26,0,19.51,0,8.29,6.78,0,0,0,0,0,0,22.51,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

26,06:15-06:30,0,0,0,19.81,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,321.9,94.56,0,0,20.66,53.99,0,5.34,33.82,21.24,15.99,0,2.22,0,8.62,0,20.99,0,207.29,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,0,151.31,53.26,0,19.51,0,8.29,6.78,0,0,0,0,0,0,24.04,40.54,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

27,06:30-06:45,0,0,0,19.71,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,331.07,94.56,0,0,20.66,53.99,0,5.34,33.82,21.24,15.99,0,2.22,0,9.86,0,20.99,0,207.29,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,0,151.31,53.26,0,19.51,0,8.29,6.78,0,0,0,0,0,0,21.59,27.03,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

28,06:45-07:00,0,0,0,19.66,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,331.1,94.56,0,0,20.66,53.99,0,5.34,33.82,21.24,15.99,0,2.22,0,8.62,0,20.99,0,178.43,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,0,166.01,53.26,0,19.51,0,8.29,6.78,0,0,0,0,0,0,22.58,13.51,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

29,07:00-07:15,0,0,0,19.59,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,331.1,94.56,0,0,20.66,53.99,0,5.34,33.82,21.24,15.99,0,2.22,0,9.86,0,20.99,0,149.58,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,0,166.01,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,23.12,0,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

30,07:15-07:30,0,0,0,19.54,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,331.1,94.56,0,0,20.66,53.99,0,5.34,33.82,21.24,15.99,0,2.22,0,9.86,0,20.99,0,149.58,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,0,166.01,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,24.04,0,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

31,07:30-07:45,0,0,0,19.77,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,331.1,94.56,0,0,20.66,53.99,0,5.34,33.82,21.24,15.99,0,2.22,0,9.86,0,21.74,0,134.72,0,169.07,22.08,5.48,0,0,18.58,0,0,18.72,0,0,0,166.01,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,24.04,0,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

32,07:45-08:00,0,0,0,20.81,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,331.1,94.56,0,0,17.16,53.99,0,5.34,28.19,50.36,13.22,0,2.22,0,9.86,0,21.74,0,134.72,0,169.07,22.08,5.48,0,0,18.58,0,0,16.35,0,0,0,166.01,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,21.81,0,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,37.74,0,0,0,0,0

33,08:00-08:15,0,0,0,21.06,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,333.12,94.56,0,0,16.43,53.99,0,5.34,30.24,50.36,13.05,0,2.22,0,9.86,0,21.74,0,124.57,0,169.07,22.08,5.48,0,0,18.58,0,0,16.35,0,0,0,99.44,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,20.27,0,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,37.74,0,0,0,0,0

34,08:15-08:30,0,0,0,21.06,23.58,0.89,0,78.23,0,0,125.84,62.92,141.01,120.48,333.26,94.56,0,0,16.43,53.99,0,5.34,30.24,50.36,13.05,0,2.22,0,9.86,0,21.74,0,124.57,0,169.07,22.08,5.48,0,0,18.58,0,0,16.35,0,0,0,50.46,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,20.31,0,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,37.74,0,0,0,0,0

35,08:30-08:45,0,0,0,20.5,23.58,0.92,0,78.23,0,0,125.84,62.92,141.01,120.48,333.26,94.56,0,0,16.43,40.49,0,5.34,30.24,25.48,13.05,0,2.22,0,9.86,0,21.74,0,124.57,0,169.07,22.08,5.48,0,0,17.87,0,0,16.35,0,0,0,50.46,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,22.16,0,18.81,45.32,32.64,0,0,0,0,0,0,0,142.63,37.74,0,0,0,0,0

36,08:45-09:00,0,0,0,20.5,23.58,0.92,0,78.23,0,0,125.84,62.92,141.01,120.48,333.26,94.56,0,0,16.43,13.49,0,5.34,30.24,25.48,13.05,0,2.22,0,9.86,0,21.74,0,124.57,0,169.07,22.08,5.48,0,0,17.87,0,0,16.35,0,0,0,50.46,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,23.22,0,18.81,45.32,32.64,0,0,0,0,0,0,0,142.63,37.74,0,0,0,0,0

37,09:00-09:15,0,0,0,20.48,23.58,0.92,0,78.23,0,0,125.84,62.92,141.01,120.48,333.26,94.56,0,0,16.43,0,0,5.34,30.24,25.48,13.05,0,2.22,0,9.86,0,37.48,0,124.57,0,169.07,22.08,5.48,0,0,17.87,0,0,15.39,0,0,0,50.46,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,21.31,0,18.81,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

38,09:15-09:30,0,0,0,20.5,23.58,0.92,0,78.23,0,0,125.84,62.92,141.01,120.48,333.26,94.56,0,0,16.43,0,0,5.34,30.24,25.48,13.05,0,2.22,0,9.86,0,37.48,0,124.57,0,169.07,22.08,5.48,0,0,17.87,0,0,15.39,0,0,0,50.46,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,22.61,0,18.81,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

39,09:30-09:45,0,0,0,20.48,23.58,0.92,0,78.23,0,0,125.84,62.92,141.01,120.48,333.26,94.56,0,0,16.43,0,0,5.34,30.24,25.48,13.05,0,2.22,0,3.7,0,16.49,0,124.57,0,169.07,22.08,5.48,0,0,17.87,0,0,16.49,0,0,0,50.46,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,22.46,0,18.81,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

40,09:45-10:00,0,0,0,20.48,23.58,0.92,0,78.23,0,0,125.84,62.92,141.01,120.48,333.26,94.56,0,0,17.39,0,0,5.34,30.24,25.48,13.53,0,2.22,0,3.7,0,16.49,0,124.57,0,169.07,22.08,5.48,0,0,17.87,0,0,16.49,0,0,0,50.46,53.26,0,17.35,0,8.29,6.78,0,0,0,0,0,0,22.28,0,18.81,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

41,10:00-10:15,0,0,0,21.89,23.58,0.92,0,78.23,0,0,125.84,62.92,141.01,120.48,333.26,94.56,0,0,17.39,0,0,5.34,30.24,27.61,13.53,0,2.22,0,1.72,0,16.49,0,124.57,0,169.07,22.08,5.48,0,0,17.87,0,0,16.49,0,0,0,50.46,53.26,0,19.51,0,8.29,6.78,0,0,0,0,0,0,20.7,0,18.81,45.32,32.64,0,0,0,0,0,0,0,129.54,38.44,0,0,0,0,0

42,10:15-10:30,0,0,0,21.92,23.58,0.92,0,78.23,0,0,125.84,62.92,141.01,120.48,333.26,94.56,0,0,17.39,0,0,5.34,30.24,27.61,13.53,0,2.22,0,7.89,0,16.49,0,124.57,0,169.07,22.08,5.48,0,0,17.87,0,0,16.49,0,0,0,50.46,53.26,0,19.51,0,8.29,6.78,0,0,0,0,0,0,20.09,0,18.81,45.32,32.64,0,0,0,0,0,0,0,124.68,38.44,0,0,0,0,0

43,10:30-10:45,0,0,0,21.92,23.58,0.92,0,78.23,0,0,125.84,62.92,141.01,120.48,333.26,94.56,0,0,17.39,0,0,5.34,30.24,31.85,13.53,0,2.22,0,7.89,0,16.49,0,124.57,0,169.07,22.08,5.48,0,0,15.73,0,0,16.49,0,0,0,50.46,53.26,0,19.51,0,8.29,6.78,0,0,0,0,0,0,17,0,18.81,45.32,32.64,0,0,0,0,0,0,0,124.68,38.44,0,0,0,0,0

44,10:45-11:00,0,0,0,21.97,23.58,0.92,0,78.23,0,0,125.84,62.92,141.01,120.48,333.26,94.56,0,0,17.39,0,0,5.34,30.24,31.85,13.53,0,2.22,0,7.89,0,16.49,0,124.57,0,169.07,22.08,5.48,0,0,15.73,0,0,16.49,0,0,0,50.46,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,15.77,0,18.81,45.32,32.64,0,0,0,0,0,0,0,124.68,38.44,0,0,0,0,0

45,11:00-11:15,0,0,0,22,23.58,0.92,0,50.28,0,0,125.84,62.92,141.01,120.48,335.65,94.56,0,0,17.39,0,0,5.34,30.24,31.85,13.53,0,2.22,0,7.89,0,22.49,0,124.57,0,169.07,22.08,5.48,0,0,17.87,0,0,16.49,0,0,0,50.46,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,17.55,0,18.81,45.32,32.64,0,0,0,0,0,0,0,124.68,38.44,0,0,0,0,0

46,11:15-11:30,0,0,0,22.05,23.58,0.92,0,50.28,0,0,125.84,62.92,141.01,120.48,335.65,94.56,0,0,17.39,0,0,5.34,30.24,31.85,13.53,0,2.22,0,7.89,0,22.49,0,124.57,0,169.07,22.08,5.48,0,0,17.87,0,0,16.49,0,0,0,50.46,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,17.38,0,18.81,45.32,32.64,0,0,0,0,0,0,0,124.68,38.44,0,0,0,0,0

47,11:30-11:45,0,0,0,22.08,23.58,0.92,0,61.48,0,0,125.84,62.92,141.01,120.48,335.65,94.56,0,0,17.39,0,0,5.34,30.24,31.85,13.53,0,2.22,0,8.5,0,23.99,0,152.03,0,169.07,22.08,5.48,0,0,17.87,0,0,16.49,0,0,0,50.46,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,18.76,0,18.81,45.32,32.64,0,0,0,0,0,0,0,124.68,38.44,0,0,0,0,0

48,11:45-12:00,0,0,0,22.15,23.58,0.92,0,79.35,0,0,125.84,62.92,141.01,120.48,335.65,94.56,0,0,17.39,0,0,5.34,30.24,31.85,13.53,0,2.22,0,8.5,0,23.99,0,180.89,0,169.07,22.08,5.48,0,0,17.87,0,0,16.49,0,0,0,50.46,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,23.98,0,18.81,45.32,32.64,0,0,0,0,0,0,0,124.68,38.44,0,0,0,0,0

49,12:00-12:15,0,0,0,20.76,23.58,0.92,0,79.35,0,0,125.84,62.92,141.01,120.48,335.65,94.56,0,0,17.39,0,0,5.34,30.24,38.23,13.53,0,2.22,0,8.5,0,23.99,0,206.85,0,169.07,22.08,5.48,0,0,17.87,0,0,16.49,0,0,0,50.46,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,23.78,0,18.81,45.32,32.64,0,0,0,0,0,0,0,124.68,38.44,0,0,0,0,0

50,12:15-12:30,0,0,0,20.81,23.58,0.92,0,79.35,0,0,125.84,62.92,141.01,120.48,335.65,94.56,0,0,17.39,0,0,5.34,30.24,38.23,13.53,0,2.22,0,8.5,0,23.99,0,206.85,0,169.07,22.08,5.48,0,0,17.87,0,0,16.49,0,0,0,50.46,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,23.32,0,18.81,45.32,32.64,0,0,0,0,0,0,0,124.68,38.44,0,0,0,0,0

51,12:30-12:45,0,0,0,20.9,23.58,0.92,0,79.35,0,0,125.84,62.92,141.01,120.48,335.65,94.56,0,0,17.1,0,0,5.34,28.27,38.23,12.81,0,2.22,0,9.48,0,23.99,0,195.31,0,169.07,22.08,5.48,0,0,17.87,0,0,16.61,0,0,0,8.14,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,19.2,0,18.81,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

52,12:45-13:00,0,0,0,20.93,23.58,0.92,0,79.35,0,0,125.84,62.92,141.01,120.48,335.65,94.56,0,0,17.1,0,0,5.34,28.27,38.23,12.81,0,2.22,0,9.48,0,23.99,0,195.31,0,169.07,22.08,5.48,0,0,17.87,0,0,16.61,0,0,0,8.14,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,20.7,0,18.81,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

53,13:00-13:15,0,0,0,21.03,23.58,0.92,0,79.35,0,0,125.84,62.92,141.01,120.48,335.65,94.56,0,0,17.1,0,0,5.34,28.27,40.35,12.81,0,2.22,0,9.48,0,37.48,0,166.46,0,169.07,22.08,5.48,0,0,17.87,0,0,16.61,0,0,0,8.14,53.26,0,9.75,0,8.29,6.78,0,0,0,0,0,0,19.69,0,12.54,45.32,32.64,0,0,0,0,0,0,0,142.63,43.79,0,0,0,0,0

