Column1,Block,NR/01082024/31082024/jitpl,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/31082024/SKS-Raigarh,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/22827/C,NR/2024/22610/A/34298,NR/2024/22611/A/34299,NR/2024/21911/A/34535,NR/2024/21814/A/34579,NR/2024/22010/A/34637,NR/2024/22814/C,NR/2024/21860/A/34521,NR/2024/21966/A/34510,NR/2024/21968/A/34575,NR/2024/22042/A/34277,NR/2024/21983/A/34287,NR/2024/21938/A/34547,NR/2024/22498/A/34638,NR/2024/21974/A/34578,NR/2024/22279/A/34274,NR/2024/21971/A/34577,NR/2024/21933/A/34288,NR/2024/22014/A/34278,NR/30092023/26122029/SH-06,NR/2024/22623/A/34317,NR/2024/21943/A/34582,NR/2024/22828/C,NR/2024/21961/A/34550,NR/2024/21956/A/34590,NR/2024/21918/A/34635,NR/2024/22829/C,NR/2024/21954/A/34583,SR/2024/14005/C,NR/2024/21940/A/34585,NR/2024/21658/A/34243,NR/2024/21970/A/34576,Total
3,00:30-00:45,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,38.76,24.22,0,11.84,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,0,84.47,0.63,12.48,1555.1216

4,00:45-01:00,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,38.76,24.22,0,11.84,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,0,84.47,0.63,12.48,1555.1216

5,01:00-01:15,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,38.76,24.22,0,11.84,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,0,84.47,0.58,12.48,1555.0715999999998

6,01:15-01:30,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,38.76,24.22,0,11.84,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,0,84.47,0.58,12.48,1555.0715999999998

7,01:30-01:45,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,38.76,24.22,0,11.84,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,23.25,84.47,0.58,12.48,1578.3215999999998

8,01:45-02:00,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,38.76,24.22,0,11.84,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,53.29,84.47,0.58,12.48,1608.3615999999997

9,02:00-02:15,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,38.76,24.22,0,11.84,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,77.51,84.47,0.58,12.48,1632.5815999999998

10,02:15-02:30,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,38.76,24.22,0,11.84,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,96.89,84.47,0.58,12.48,1651.9615999999999

11,02:30-02:45,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,38.76,24.22,0,11.84,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,130.8,84.47,0.58,12.48,1685.8715999999997

12,02:45-03:00,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,38.76,24.22,0,11.84,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,140.49,84.47,0.58,12.48,1695.5615999999998

13,03:00-03:15,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,11.84,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,155.02,84.47,0.58,12.48,1671.3315999999998

14,03:15-03:30,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,11.84,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,164.71,84.47,0.58,12.48,1681.0215999999998

15,03:30-03:45,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,11.84,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,169.56,84.47,0.58,12.48,1685.8715999999997

16,03:45-04:00,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,11.84,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,179.25,84.47,0.58,12.48,1695.5615999999998

17,04:00-04:15,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,13.69,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,193.78,84.47,0.53,12.48,1711.8916

18,04:15-04:30,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,13.69,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,213.16,84.47,0.53,12.48,1731.2716

19,04:30-04:45,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,13.69,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,222.85,84.47,0.53,12.48,1740.9615999999999

20,04:45-05:00,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,13.69,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,67.82,91.08,28.1,24.14,218,84.47,0.53,12.48,1736.1116

21,05:00-05:15,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,13.69,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,24.22,91.08,28.1,24.14,179.25,84.47,0.53,12.48,1653.7616

22,05:15-05:30,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,13.69,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,24.22,91.08,28.1,24.14,184.09,84.47,0.53,12.48,1658.6016

23,05:30-05:45,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,13.69,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,98.1,24.22,91.08,28.1,24.14,193.78,84.47,0.53,12.48,1668.2916

24,05:45-06:00,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,13.69,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,32.7,0,37.43,4.84,37.43,0,1.94,26.8708,7.75,38.76,164.96,98.1,24.22,91.08,28.1,24.14,198.62,84.47,0.53,12.48,1672.1616

25,06:00-06:15,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,15.08,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,0,0,37.43,4.84,37.43,0,1.94,26.8708,7.75,38.76,164.96,0,24.22,91.08,28.1,24.14,184.09,84.47,0.63,12.48,1528.3216

26,06:15-06:30,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,15.08,0,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,0,0,37.43,4.84,37.43,0,1.94,26.8708,7.75,38.76,164.96,0,24.22,91.08,28.1,24.14,174.4,84.47,0.63,12.48,1518.6316000000002

27,06:30-06:45,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,15.08,0.16,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,0,0,37.43,4.84,37.43,0,1.94,26.8708,7.75,38.76,164.96,0,24.22,91.08,28.1,24.14,169.56,84.47,0.63,12.48,1513.9516

28,06:45-07:00,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,15.08,0.6,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,0,0,37.43,4.84,37.43,0,1.94,26.8708,7.75,38.76,164.96,0,24.22,91.08,28.1,24.14,169.56,84.47,0.63,12.48,1514.3916000000002

29,07:00-07:15,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,15.08,1.02,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,0,0,37.43,4.84,37.43,0,1.94,26.8708,7.75,38.76,164.96,0,24.22,91.08,28.1,24.14,164.71,84.47,0.73,12.48,1510.0616

30,07:15-07:30,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,15.08,1.46,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,0,0,37.43,4.84,37.43,0,1.94,26.8708,7.75,38.76,164.96,0,24.22,91.08,28.1,24.14,159.87,84.47,0.73,12.48,1505.6616000000001

31,07:30-07:45,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,15.08,1.9,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,0,0,37.43,4.84,37.43,0,1.94,26.8708,7.75,38.76,164.96,0,24.22,91.08,28.1,24.14,164.71,84.47,0.73,12.48,1510.9416

32,07:45-08:00,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,15.08,2.21,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,0,0,37.43,4.84,37.43,0,1.94,26.8708,7.75,38.76,164.96,0,24.22,91.08,28.1,24.14,169.56,84.47,0.73,12.48,1516.1016

33,08:00-08:15,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,14.8,2.73,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,0,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,0,24.22,91.08,28.1,24.14,0,84.47,0.97,12.48,1347.9916

34,08:15-08:30,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,14.8,3.1,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,0,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,0,24.22,91.08,28.1,24.14,0,84.47,0.97,12.48,1348.3616000000002

35,08:30-08:45,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,14.8,2.71,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,0,0,37.43,4.84,37.43,0,1.94,26.8708,8.72,38.76,164.96,0,24.22,91.08,28.1,24.14,0,84.47,0.97,12.48,1347.9716

36,08:45-09:00,24.77,48.44,26.8708,96.89,96.89,12.48,21.32,0,24.22,0,14.8,3.45,0,0,0,48.44,11.76,242.22,48.44,0,37.43,3.88,0,0,0,37.43,4.84,37.43,0,1.94,26.8708,9.69,38.76,164.96,0,24.22,91.08,28.1,24.14,0,84.47,0.97,12.48,1349.6816000000001

37,09:00-09:15,24.77,0,26.8708,0,0,12.48,0,0,0,0,14.8,3.71,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,9.69,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1403.1716

38,09:15-09:30,24.77,0,26.8708,0,0,12.48,0,0,0,0,14.8,4.66,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,11.63,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1406.0616

39,09:30-09:45,24.77,0,26.8708,0,0,12.48,0,0,0,0,14.8,4.83,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,11.63,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1406.2316

40,09:45-10:00,24.77,0,26.8708,0,0,12.48,0,0,0,0,14.8,4.7,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,11.63,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1406.1016

41,10:00-10:15,24.77,0,26.8708,0,0,12.48,0,0,0,0,14.8,5.2,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,11.63,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1406.6016

42,10:15-10:30,24.77,0,26.8708,0,0,12.48,0,0,0,0,14.8,5.24,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1407.6116000000002

43,10:30-10:45,24.77,0,26.8708,0,0,12.48,0,0,0,0,14.8,4.06,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1406.4316000000001

44,10:45-11:00,24.77,0,26.8708,0,0,12.48,0,0,0,0,14.8,4.37,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1406.7416

45,11:00-11:15,24.77,0,26.8708,0,0,12.48,0,0,0,0,10.73,7.36,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1405.6616000000001

46,11:15-11:30,24.77,0,26.8708,0,0,12.48,0,0,0,0,10.73,6.39,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1404.6916

47,11:30-11:45,24.77,0,26.8708,0,0,12.48,0,0,0,0,10.73,8.6,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1406.9016000000001

48,11:45-12:00,24.77,0,26.8708,0,0,12.48,0,0,0,0,10.73,8.11,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1406.4116000000001

49,12:00-12:15,24.77,0,26.8708,0,0,12.48,0,0,0,0,10.73,6.55,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1404.8516000000002

50,12:15-12:30,24.77,0,26.8708,0,0,12.48,0,0,0,0,10.73,8.58,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1406.8816000000002

51,12:30-12:45,24.77,0,26.8708,0,0,12.48,0,0,0,0,10.73,6.02,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1404.3216

52,12:45-13:00,24.77,0,26.8708,0,0,12.48,0,0,0,0,10.73,5.13,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1403.4316000000001

53,13:00-13:15,24.77,0,26.8708,0,0,12.48,0,0,0,0,10.73,6.28,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1404.5816000000002

54,13:15-13:30,24.77,0,26.8708,0,0,12.48,0,0,0,0,10.73,5.32,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1403.6216000000002

55,13:30-13:45,24.77,0,26.8708,0,0,12.48,0,0,0,0,10.73,5.68,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1403.9816

56,13:45-14:00,24.77,0,26.8708,0,0,12.48,0,0,0,0,10.73,6.05,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1404.3516000000002

57,14:00-14:15,24.77,0,26.8708,0,0,12.48,0,0,0,0,10.73,5.76,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1404.0616

58,14:15-14:30,24.77,0,26.8708,0,0,12.48,0,0,0,0,10.73,4.1,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1402.4016000000001

59,14:30-14:45,24.77,0,26.8708,0,0,12.48,0,0,0,0,10.73,4.59,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1402.8916000000002

60,14:45-15:00,24.77,0,26.8708,0,0,12.48,0,0,0,0,10.73,4.65,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,26.8708,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1402.9516

61,15:00-15:15,24.77,0,23.365,0,0,12.48,0,0,0,0,15.36,3.52,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,23.365,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1399.44

62,15:15-15:30,24.77,0,23.365,0,0,12.48,0,0,0,0,15.36,4.02,42.63,10.66,96.89,48.44,11.76,242.22,48.44,96.89,37.43,3.88,48.44,0,21.32,37.43,4.84,37.43,24.22,1.94,23.365,12.6,38.76,131.96,0,24.22,91.08,61.04,24.14,0,84.47,0.97,12.48,1399.94

