Block,Time,KHSTPP-II,SASAN,TALA,BRBCL,KHSTPP-I,FSTPP I & II,NAPP,RAPPC,AURY_GF,KOLDAM,AURY_LF,DADRI_CRF,JHAJJAR,DADRI_GF,NJPC,TANAKPUR,UNCHAHAR4,SEWA2,ANTA_GF,CHAMERA3,KISHANGANGA,CHAMERA1,URI,ANTA_RF,ANTA_CRF,DULHASTI,ANTA_LF,URI2,KOTESHWR,DADRT2,CHAMERA2,AURY_CRF,SALAL,UNCHAHAR2,TEHRI,DADRI_RF,TANDA2,RIHAND2,SINGRAULI_HYDRO,DHAULIGNGA,RAMPUR,BSIUL,DADRI_LF,RIHAND1,AURY_RF,UNCHAHAR3,RIHAND3,UNCHAHAR1,SINGRAULI,RAPPB,PARBATI3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
16,03:45-04:00,95.437522,324.702788,0.000000,19.300408,42.772443,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,307.314066,0.000000,173.717757,2.967718,2.887695,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,18.917779,550.405179,46.816884,0.000000,56.083930,42.081385,19.998256,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.048910,119.873657,21.436224,134.908011,0.000000,7.364018,0,0,0,0,0

17,04:00-04:15,95.437522,324.702788,0.000000,19.305970,42.772443,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,288.008066,0.000000,173.717757,2.967718,2.887695,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,18.917779,550.405179,46.816884,0.000000,56.083930,42.081385,0.000000,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.048910,119.873657,21.436224,134.908011,0.000000,7.364018,0,0,0,0,0

18,04:15-04:30,95.437522,324.702788,0.000000,19.305970,42.772443,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,262.910266,0.000000,173.717757,2.967718,2.887695,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,18.917779,550.405179,46.816884,0.000000,56.083930,40.863369,0.000000,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.048910,119.873657,21.436224,134.908011,0.000000,7.364018,0,0,0,0,0

19,04:30-04:45,95.437522,324.702788,0.000000,19.305970,42.772443,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,236.847166,0.000000,173.717757,2.967718,2.887695,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,18.917779,550.405179,46.816884,0.000000,56.083930,40.863369,0.000000,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.048910,119.873657,21.436224,134.908011,0.000000,7.364018,0,0,0,0,0

20,04:45-05:00,95.437522,324.702788,0.000000,19.305970,42.772443,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,207.888166,0.000000,173.717757,2.967718,2.887695,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,18.917779,550.405179,46.816884,0.000000,56.083930,42.081385,0.000000,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.048910,119.873657,21.436224,134.908011,0.000000,7.364018,0,0,0,0,0

21,05:00-05:15,95.437522,324.702788,0.000000,19.305970,42.391439,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,178.580500,0.000000,173.717757,9.768739,2.887695,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,18.917779,550.405179,46.816884,0.000000,56.083930,42.081385,0.000000,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.048910,119.873657,21.436224,134.908011,0.000000,7.364018,0,0,0,0,0

22,05:15-05:30,95.437522,324.702788,0.000000,19.305970,42.391439,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,9.768739,2.887695,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,18.917779,531.099179,46.816884,0.000000,56.083930,42.081385,0.000000,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.048910,119.873657,21.436224,134.908011,0.000000,7.364018,0,0,0,0,0

