Column1,Block,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/7739,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1599,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1899,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,GNA/WR/2024/11/01/4200,NR/2024/24088/A/44234,NR/2024/24052/A/44181,NR/2024/24051/A/44182,WR/2024/25054/A/44287,NR/2024/24060/A/44329,NR/2024/23952/A/44220,NR/2024/24097/A/44299,NR/2024/24112/C,NR/2024/24111/C,NR/2024/24071/A/44180,Total
5,01:00-01:15,25.93,25.93,8.64,25.93,31.71,2.2,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.38,7.68,0,0,0,328.3

6,01:15-01:30,25.93,25.93,8.64,25.93,31.71,2.2,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.38,7.68,0,0,0,328.3

7,01:30-01:45,25.93,25.93,8.64,25.93,31.71,2.2,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.38,7.68,0,0,0,328.3

8,01:45-02:00,25.93,25.93,8.64,25.93,31.71,2.2,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.38,7.68,0,0,0,328.3

9,02:00-02:15,25.93,25.93,8.64,25.93,31.71,2.2,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.38,7.68,0,0,0,328.3

10,02:15-02:30,25.93,25.93,8.64,25.93,31.71,2.2,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.38,7.68,0,0,0,328.3

11,02:30-02:45,25.93,25.93,8.64,25.93,31.71,2.2,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.38,7.68,0,0,0,328.3

12,02:45-03:00,25.93,25.93,8.64,25.93,31.71,2.2,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.38,7.68,0,0,0,328.3

13,03:00-03:15,25.93,25.93,8.64,25.93,31.71,2.2,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.34,7.68,0,0,0,328.26

14,03:15-03:30,25.93,25.93,8.64,25.93,31.71,2.2,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.34,7.68,0,0,0,328.26

15,03:30-03:45,25.93,25.93,8.64,25.93,31.71,2.2,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.34,7.68,0,0,0,328.26

16,03:45-04:00,25.93,25.93,8.64,25.93,31.71,2.2,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.34,7.68,0,0,0,328.26

17,04:00-04:15,25.93,25.93,8.64,25.93,31.71,2.11,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.43,7.68,0,0,0,328.26

18,04:15-04:30,25.93,25.93,8.64,25.93,31.71,2.11,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.43,7.68,0,0,0,328.26

19,04:30-04:45,25.93,25.93,8.64,25.93,31.71,2.11,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.43,7.68,0,0,0,328.26

20,04:45-05:00,25.93,25.93,8.64,25.93,31.71,2.11,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.43,7.68,0,0,0,328.26

21,05:00-05:15,25.93,25.93,8.64,25.93,31.71,2.11,0,95.13,75,8.64,0,0,0,4.8,2.88,0,0,17.29,0.43,7.68,0,0,0,332.1

22,05:15-05:30,25.93,25.93,8.64,25.93,31.71,2.11,0,95.13,75,8.64,0,0,0,4.8,2.88,0,0,17.29,0.43,7.68,0,0,0,332.1

23,05:30-05:45,25.93,25.93,8.64,25.93,31.71,2.11,0,95.13,75,8.64,0,0,0,4.8,2.88,2.88,0,17.29,0.43,14.41,0,0,0,341.71000000000004

24,05:45-06:00,25.93,25.93,8.64,25.93,31.71,2.11,0,95.13,75,8.64,0,0,0,4.8,2.88,2.88,0,17.29,0.43,14.41,0,0,0,341.71000000000004

25,06:00-06:15,25.93,25.93,8.64,25.93,0,2.2,0,0,75,8.64,0,0,0,4.8,2.88,2.88,0,17.29,0.43,14.41,0,0,0,214.95999999999998

26,06:15-06:30,25.93,25.93,8.64,25.93,0,2.2,0,0,75,8.64,0,0,0,4.8,2.88,2.88,0,17.29,0.43,14.41,0,0,0,214.95999999999998

27,06:30-06:45,25.93,25.93,8.64,25.93,0,2.2,0,0,75,8.64,0,0,0,4.8,2.88,2.88,0,17.29,0.43,14.41,0,0,0,214.95999999999998

28,06:45-07:00,25.93,25.93,8.64,25.93,0,2.2,0,0,75,8.64,0,0,0,4.8,2.88,2.88,0,17.29,0.43,14.41,0,0,0,214.95999999999998

29,07:00-07:15,25.93,25.93,8.64,25.93,0,2.2,0,0,75,8.64,0,0,0,4.8,2.88,2.88,0,17.29,0.53,14.41,0,0,0,215.05999999999997

30,07:15-07:30,25.93,25.93,8.64,25.93,0,2.2,0,0,75,8.64,0,0,0,4.8,2.88,2.88,0,17.29,0.53,14.41,0,0,0,215.05999999999997

31,07:30-07:45,25.93,25.93,8.64,25.93,0,2.2,0,0,75,8.64,0,0,0,4.8,2.88,2.88,0,17.29,0.53,14.41,0,0,0,215.05999999999997

32,07:45-08:00,25.93,25.93,8.64,25.93,0,2.2,0,0,75,8.64,0,0,0,4.8,2.88,2.88,0,17.29,0.53,14.41,0,0,0,215.05999999999997

33,08:00-08:15,25.93,25.93,8.64,25.93,0,2.2,0,0,75,8.64,0,0,0,4.8,2.88,2.88,0,17.29,0.82,14.41,0,0,0,215.34999999999997

34,08:15-08:30,25.93,25.93,8.64,25.93,0,2.2,0,0,75,8.64,0,0,0,4.8,2.88,2.88,0,17.29,0.82,14.41,0,0,0,215.34999999999997

35,08:30-08:45,25.93,25.93,8.64,25.93,0,2.2,0,0,75,8.64,0,0,0,4.8,2.88,0,0,17.29,0.82,7.68,0,0,0,205.73999999999998

36,08:45-09:00,25.93,25.93,8.64,25.93,0,2.2,0,0,75,8.64,0,0,0,4.8,2.88,0,0,17.29,0.82,7.68,0,0,0,205.73999999999998

37,09:00-09:15,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,4.8,2.88,0,0,17.29,0.82,7.68,28.24,24.59,3.84,262.32

38,09:15-09:30,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,4.8,2.88,0,0,17.29,0.82,7.68,30.73,22.09,3.84,262.30999999999995

39,09:30-09:45,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,4.8,2.88,0,0,17.29,0.82,7.68,30.73,22.09,3.84,262.30999999999995

40,09:45-10:00,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,4.8,2.88,0,0,17.29,0.82,7.68,30.73,22.09,3.84,262.30999999999995

41,10:00-10:15,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,4.8,2.88,0,0,17.29,0.82,7.68,24.39,22.09,4.8,256.93

42,10:15-10:30,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,4.8,2.88,0,0,17.29,0.82,7.68,24.49,22.09,4.8,257.03000000000003

43,10:30-10:45,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,4.8,2.88,0,0,17.29,0.82,7.68,24.78,22.09,4.8,257.32

44,10:45-11:00,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,4.8,2.88,0,0,17.29,0.82,7.68,25.07,22.09,4.8,257.61

45,11:00-11:15,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.82,7.68,25.64,22.09,6.72,256.26

46,11:15-11:30,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.82,7.68,25.83,22.09,6.72,256.45

47,11:30-11:45,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.82,7.68,26.12,22.09,6.72,256.74

48,11:45-12:00,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.82,7.68,26.6,22.09,6.72,257.22

49,12:00-12:15,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.82,7.68,13.64,36.5,6.72,258.67

50,12:15-12:30,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.82,7.68,13.83,36.5,6.72,258.86

51,12:30-12:45,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.82,7.68,13.73,36.5,6.72,258.76

52,12:45-13:00,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.82,7.68,13.83,36.5,6.72,258.86

53,13:00-13:15,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.77,7.68,13.73,36.5,5.76,257.75

54,13:15-13:30,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.77,7.68,13.64,36.5,5.76,257.66

55,13:30-13:45,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.77,7.68,13.35,36.5,5.76,257.37

56,13:45-14:00,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.77,7.68,13.25,36.5,5.76,257.27000000000004

57,14:00-14:15,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.77,7.68,25.07,22.09,4.8,253.72000000000003

58,14:15-14:30,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.77,7.68,24.97,22.09,4.8,253.62000000000003

59,14:30-14:45,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.77,7.68,24.49,22.09,4.8,253.14000000000004

60,14:45-15:00,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.77,7.68,23.91,22.09,4.8,252.56000000000003

61,15:00-15:15,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.62,7.68,23.53,22.09,4.8,252.03000000000003

62,15:15-15:30,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.62,7.68,23.43,22.09,4.8,251.93000000000004

63,15:30-15:45,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.62,7.68,22.19,23.91,4.8,252.51000000000002

64,15:45-16:00,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.62,7.68,18.63,28.14,4.8,253.18

65,16:00-16:15,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.48,7.68,14.69,32.56,2.88,251.6

66,16:15-16:30,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.48,7.68,11.04,25.35,2.88,240.73999999999998

67,16:30-16:45,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.48,7.68,7.97,18.63,2.88,230.95

68,16:45-17:00,25.93,25.93,8.64,25.93,0,2.11,0,0,75,8.64,0,0,0,0,3.84,0,0,17.29,0.48,7.68,5.19,12.49,2.88,222.03

69,17:00-17:15,31.69,31.69,8.64,31.69,0,2.2,0,0,75,8.64,0,0,0,3.84,3.84,0,0,17.29,0.48,7.68,0,0,0.96,223.64000000000001

70,17:15-17:30,31.69,31.69,8.64,31.69,0,2.2,0,0,75,8.64,0,0,0,3.84,3.84,0,0,17.29,0.48,7.68,0,0,0.96,223.64000000000001

71,17:30-17:45,31.69,31.69,8.64,31.69,0,2.2,0,0,75,8.64,0,0,0,3.84,3.84,0,0,17.29,0.48,7.68,0,0,0.96,223.64000000000001

72,17:45-18:00,31.69,31.69,8.64,31.69,0,2.2,0,0,75,8.64,0,0,0,3.84,3.84,0,0,17.29,0.48,7.68,0,0,0.96,223.64000000000001

73,18:00-18:15,31.69,31.69,8.64,31.69,0,2.2,0,0,75,8.64,150,0,50,3.84,3.84,0,38.42,17.29,0.53,7.68,0,0,0,461.15

74,18:15-18:30,31.69,31.69,8.64,31.69,0,2.2,0,0,75,8.64,150,0,50,3.84,3.84,0,38.42,17.29,0.53,7.68,0,0,0,461.15

75,18:30-18:45,31.69,31.69,8.64,31.69,0,2.2,0,0,75,8.64,150,0,50,3.84,3.84,0,38.42,17.29,0.53,7.68,0,0,0,461.15

76,18:45-19:00,31.69,31.69,8.64,31.69,0,2.2,0,0,75,8.64,150,0,50,3.84,3.84,0,38.42,17.29,0.53,7.68,0,0,0,461.15

77,19:00-19:15,31.69,31.69,8.64,31.69,0,2.2,0,0,75,8.64,150,0,50,3.84,3.84,0,38.42,17.29,0.53,7.68,0,0,0,461.15

78,19:15-19:30,31.69,31.69,8.64,31.69,0,2.2,0,0,75,8.64,150,0,50,3.84,3.84,0,38.42,17.29,0.53,7.68,0,0,0,461.15

79,19:30-19:45,31.69,31.69,8.64,31.69,0,2.2,0,0,75,8.64,150,0,50,3.84,3.84,0,38.42,17.29,0.53,7.68,0,0,0,461.15

80,19:45-20:00,31.69,31.69,8.64,31.69,0,2.2,0,0,75,8.64,150,0,50,3.84,3.84,0,38.42,17.29,0.53,7.68,0,0,0,461.15

81,20:00-20:15,31.69,31.69,8.64,31.69,0,2.2,0,0,75,8.64,250,0,50,3.84,3.84,0,38.42,17.29,0.53,7.68,0,0,0,561.1499999999999

82,20:15-20:30,31.69,31.69,8.64,31.69,0,2.2,0,0,75,8.64,250,0,50,3.84,3.84,0,38.42,17.29,0.53,7.68,0,0,0,561.1499999999999

83,20:30-20:45,0,43.22,14.41,0,0,2.2,0,0,75,14.41,250,0,50,3.84,3.84,0,38.42,17.29,0.53,7.68,0,0,0,520.8399999999999

84,20:45-21:00,0,43.22,14.41,0,0,2.2,0,0,75,14.41,250,0,50,3.84,3.84,0,38.42,17.29,0.53,7.68,0,0,0,520.8399999999999

85,21:00-21:15,0,43.22,14.41,0,0,2.11,0,0,75,14.41,250,0,50,3.84,3.84,0,38.42,17.29,0.53,7.68,0,0,0,520.7499999999999

86,21:15-21:30,0,43.22,14.41,0,0,2.11,0,0,75,14.41,250,0,50,3.84,3.84,0,38.42,17.29,0.53,7.68,0,0,0,520.7499999999999

87,21:30-21:45,0,43.22,14.41,0,0,2.11,0,0,75,14.41,250,0,50,3.84,3.84,0,38.42,17.29,0.53,7.68,0,0,0,520.7499999999999

88,21:45-22:00,0,43.22,14.41,0,0,2.11,0,0,75,14.41,250,0,50,3.84,3.84,0,38.42,17.29,0.53,7.68,0,0,0,520.7499999999999

89,22:00-22:15,0,43.22,14.41,0,31.71,2.11,0,95.13,75,14.41,250,0,50,0.96,2.88,0,38.42,17.29,0.48,7.68,0,0,0,643.6999999999999

90,22:15-22:30,0,43.22,14.41,0,31.71,2.11,0,95.13,75,14.41,250,0,50,0.96,2.88,0,38.42,17.29,0.48,7.68,0,0,0,643.6999999999999

91,22:30-22:45,0,43.22,14.41,0,31.71,2.11,0,95.13,75,14.41,250,0,50,0.96,2.88,0,38.42,17.29,0.48,7.68,0,0,0,643.6999999999999

92,22:45-23:00,0,43.22,14.41,0,31.71,2.11,0,95.13,75,14.41,250,0,50,0.96,2.88,0,38.42,17.29,0.48,7.68,0,0,0,643.6999999999999

93,23:00-23:15,0,43.22,14.41,0,31.71,2.11,0,95.13,75,14.41,250,0,50,0.96,2.88,0,38.42,17.29,0.43,7.68,0,0,0,643.6499999999999

94,23:15-23:30,0,43.22,14.41,0,31.71,2.11,0,95.13,75,14.41,250,0,50,0.96,2.88,0,38.42,17.29,0.43,7.68,0,0,0,643.6499999999999

95,23:30-23:45,25.93,31.69,8.64,25.93,31.71,2.11,0,95.13,75,8.64,250,0,50,0.96,2.88,0,38.42,17.29,0.43,7.68,0,0,0,672.4399999999998

96,23:45-24:00,25.93,31.69,8.64,25.93,31.71,2.11,0,95.13,75,8.64,250,0,50,0.96,2.88,0,38.42,17.29,0.43,7.68,0,0,0,672.4399999999998

