Column1,Block,NR/30092023/26122029/SH-06,NR/2025/29098/C,GNARE/NR/2024/12/20/3668,NR/2025/29104/C,NR/2025/27356/A/81054,NR/2025/28774/A/80955,NR/2025/29158/C,NR/2025/29160/C,NR/2025/26785/A/80961,NR/2025/27726/A/81569,NR/2025/27168/A/81369,NR/2025/26572/A/81354,NR/2025/26566/A/81352,NR/2025/26571/A/81353,NR/2025/26565/A/81351,NR/2025/27187/A/81563,NR/2025/27185/A/81564,NR/2025/27728/A/81558,NR/2025/26952/A/80931,NR/2025/29211/C,NR/2025/27100/A/81099,NR/2025/26861/A/81366,NR/2025/29225/C,NR/2025/29199/C,NR/2025/26085/A/80901,NR/2025/29262/C,NR/2025/29223/C,NR/2025/27782/A/81556,NR/2025/26777/A/81016,NR/2025/29201/C,NR/2025/27088/A/81424,NR/2025/26860/A/81437,NR/2025/29202/C,NR/2025/27725/A/81559,NR/2025/29203/C,NR/2025/29204/C,NR/2025/29179/C,NR/2025/26445/A/81428,NR/2025/27506/A/80959,NR/2025/29166/C,NR/2025/28851/A/81051,NR/2025/27167/A/81368,NR/2025/27499/A/81414,NR/2025/27242/A/81403,NR/2025/27500/A/80960,NR/2025/28849/A/81049,NR/2025/28719/A/81014,NR/2025/29259/C,NR/2025/26562/A/81350,NR/2025/27162/A/81565,NR/2025/29259/C/Alternate/1,NR/2025/29164/C,NR/2025/26889/A/81417,NR/2025/27281/A/81493,NR/2025/29233/C,NR/2025/29246/C,NR/2025/29205/C,NR/2025/29165/C,NR/2025/27727/A/81557,NR/2025/26975/A/81566,NR/2025/27157/A/81030,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7663,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
3,00:30-00:45,22.13,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,145.11,145.11,19.35,19.35,26.38,0,0,25.23,193.48,0,205.09,0.68,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,10.64,0.04,145.11,56.05,146.36,0,5.8,24.91,0,0,0,0,26.38,27.09,217.57,22.13,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,0,24.18,48.37,14.16,2775.18

4,00:45-01:00,22.13,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,145.11,145.11,19.35,19.35,26.38,0,0,25.23,193.48,0,205.09,0.68,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,10.64,2.37,145.11,56.05,144.03,0,5.8,24.91,0,0,0,0,26.38,27.09,217.57,22.13,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,0,24.18,48.37,14.16,2775.18

5,01:00-01:15,22.13,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,145.11,145.11,19.35,19.35,26.38,0,0,25.23,193.48,0,205.09,0.68,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,10.64,0,145.11,56.05,146.4,0,5.8,24.91,0,0,0,0,26.38,27.09,217.57,22.13,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,0,24.18,48.37,14.16,2775.18

6,01:15-01:30,22.13,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,145.11,145.11,19.35,19.35,26.38,0,0,25.23,193.48,0,0,0.68,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,10.64,0,145.11,56.05,146.4,0,5.8,24.91,0,0,0,0,26.38,27.09,217.57,22.13,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,0,24.18,48.37,14.16,2570.0899999999997

7,01:30-01:45,26.7,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,145.11,145.11,19.35,19.35,26.38,0,0,25.23,193.48,0,0,0.68,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,10.64,0,145.11,56.05,146.4,0,5.8,24.91,0,0,0,0,26.38,27.09,217.57,22.13,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,0,24.18,48.37,14.16,2574.6599999999994

8,01:45-02:00,26.7,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,145.11,145.11,19.35,19.35,26.38,0,0,25.23,193.48,0,0,0.68,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,10.64,0,145.11,56.05,146.4,0,5.8,24.91,0,0,0,0,26.38,27.09,217.57,22.13,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,0,24.18,48.37,14.16,2574.6599999999994

9,02:00-02:15,26.7,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,145.11,145.11,19.35,19.35,26.38,0,0,0,0,0,0,0.63,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,135.44,10.64,78.55,145.11,56.05,67.84,0,0,24.91,0,0,0,0,26.38,27.09,217.57,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.48,2541.749999999999

10,02:15-02:30,26.7,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,145.11,145.11,19.35,19.35,26.38,0,0,0,0,0,0,0.63,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,135.44,10.64,70.97,145.11,56.05,75.43,0,0,24.91,0,0,0,0,26.38,27.09,217.57,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.48,2541.7599999999993

11,02:30-02:45,26.7,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,145.11,145.11,19.35,19.35,26.38,0,0,0,0,0,0,0.63,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,135.44,10.64,0,145.11,56.05,146.4,0,0,24.91,0,0,0,0,26.38,27.09,217.57,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.48,2541.7599999999998

12,02:45-03:00,26.7,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,145.11,145.11,19.35,19.35,26.38,0,0,0,0,0,0,0.63,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,135.44,10.64,0,145.11,56.05,146.4,0,0,24.91,0,0,0,0,26.38,27.09,217.57,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.48,2541.7599999999998

13,03:00-03:15,26.7,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,145.11,145.11,19.35,19.35,26.38,0,0,0,0,0,0,0.53,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,135.44,10.64,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,217.57,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.39,2520.2799999999993

14,03:15-03:30,26.7,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,145.11,145.11,19.35,19.35,26.38,0,0,0,0,0,0,0.53,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,135.44,10.64,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,217.57,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.39,2520.2799999999993

15,03:30-03:45,26.7,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,145.11,145.11,19.35,19.35,26.38,0,0,0,0,0,0,0.53,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,135.44,10.64,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,217.57,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.39,2520.2799999999993

16,03:45-04:00,26.7,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,145.11,145.11,19.35,19.35,26.38,0,0,0,0,0,0,0.53,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,135.44,10.64,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,217.57,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.39,2520.2799999999993

17,04:00-04:15,26.7,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,0,0,19.35,19.35,26.38,0,0,0,0,0,0,0.53,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,135.44,10.64,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,0,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.29,2012.39

18,04:15-04:30,26.7,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,0,0,19.35,19.35,26.38,0,0,0,0,0,0,0.53,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,135.44,10.64,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,0,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.29,2012.39

19,04:30-04:45,26.7,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,0,0,19.35,19.35,26.38,0,0,0,0,0,0,0.53,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,135.44,10.64,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,0,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.29,2012.39

20,04:45-05:00,26.7,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,0,0,19.35,19.35,26.38,0,0,0,0,0,0,0.53,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,135.44,10.64,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,0,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.29,2012.39

21,05:00-05:15,26.7,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,0,0,0,19.35,26.38,0,0,0,0,0,0,0.63,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,0,24.18,0,48.37,7.74,0,10.64,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,0,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.02,1818.73

22,05:15-05:30,26.7,0,0.2,0,0,0,0,1.93,0,26.38,24.18,0,0,0,0,0,19.35,26.38,0,0,0,0,0,0,0.63,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,0,24.18,0,48.37,7.74,0,10.64,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,0,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.02,1818.93

23,05:30-05:45,26.7,0,0.47,0,0,0,0,0.97,0,26.38,24.18,0,0,0,0,0,19.35,26.38,0,0,0,0,0,0,0.63,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,0,24.18,0,48.37,7.74,0,10.64,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,0,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.02,1818.24

24,05:45-06:00,26.7,0,1.8,0,1,0,0,1.93,0,26.38,24.18,0,0,0,0,0,19.35,26.38,0,0,0,0,0,0,0.63,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,0,24.18,0,48.37,7.74,0,9.67,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,0,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.02,1820.56

25,06:00-06:15,26.7,0,3.73,0,2,0,0,1.93,0,26.38,24.18,0,0,0,0,0,19.35,26.38,0,0,0,0,0,0,0.68,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,0,24.18,0,48.37,7.74,0,9.67,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,0,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.74,1823.26

26,06:15-06:30,26.7,0,5.46,0,4,0,0,1.93,0,26.38,24.18,0,0,0,0,0,19.35,26.38,0,0,0,0,0,0,0.68,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,0,24.18,0,48.37,7.74,0,9.67,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,0,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.74,1826.99

27,06:30-06:45,26.7,0,5.84,0,7,0,0,1.93,0,26.38,24.18,0,0,0,0,0,19.35,26.38,0,0,0,0,0,0,0.68,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,0,24.18,0,48.37,7.74,0,9.67,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,0,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.74,1830.37

28,06:45-07:00,26.7,0,9.47,0,14,0,0,0.97,0,26.38,24.18,0,0,0,0,0,19.35,26.38,0,0,0,0,0,0,0.68,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,0,24.18,0,48.37,7.74,0,9.67,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,0,26.7,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.74,1840.04

29,07:00-07:15,26.94,0,13.88,0,21,0,0,0.97,0,26.38,24.18,0,0,0,0,0,19.35,26.38,0,0,0,0,0,0,0.87,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,0,24.18,0,48.37,7.74,0,9.67,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,0,26.94,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.64,1852.0200000000002

30,07:15-07:30,26.94,0,19.06,0,32,0,0,0.97,0,26.38,24.18,0,0,0,0,0,19.35,26.38,0,0,0,0,0,0,0.87,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,0,24.18,0,48.37,7.74,0,9.67,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,0,26.94,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.64,1868.2

31,07:30-07:45,26.94,0,24.79,0,32,0,0,0.97,0,26.38,24.18,0,0,0,0,0,19.35,26.38,0,0,0,0,0,0,0.87,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,0,24.18,0,48.37,7.74,0,9.67,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,0,26.94,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.64,1873.93

32,07:45-08:00,26.94,0,31.1,0,42,0,0,0.97,0,26.38,24.18,0,0,0,0,0,19.35,26.38,0,0,0,0,0,0,0.87,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,0,24.18,0,48.37,7.74,0,9.67,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,26.38,5.8,0,26.94,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.64,1890.24

33,08:00-08:15,26.94,0,35.48,0,53,4.76,0,1.93,0,43.97,24.18,0,0,0,0,0,19.35,37.38,0,0,0,0,0,96.74,0.97,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,0,24.18,0,48.37,7.74,0,9.67,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,43.97,5.8,0,26.94,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.56,2066.0200000000004

34,08:15-08:30,26.94,0,41.82,0,67,5.5,0,0.97,0,43.97,24.18,0,0,0,0,0,19.35,37.38,0,0,0,0,0,96.74,0.97,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,0,24.18,0,48.37,7.74,0,10.64,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,43.97,5.8,0,26.94,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.56,2087.11

