Column1,Block,NR/2024/23414/A/40647,NR/2024/23662/C,NR/2024/23384/A/40645,NR/2024/23382/A/40785,NR/2024/23446/A/40784,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/3642,NR/2024/23510/A/40678,NR/2024/23383/A/40638,NR/2024/23663/C,NR/2024/23389/A/40661,NR/2024/23356/A/40662,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/8106,NR/30092023/26122029/SH-06,Total
13,03:00-03:15,0,192.8,6.75,24.83,0,5.89,37.24,2.89,0.43,0,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.89000000000004

14,03:15-03:30,0,192.8,6.75,24.83,0,5.89,37.24,2.89,0.43,0,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.89000000000004

15,03:30-03:45,0,192.8,6.75,24.83,0,5.89,37.24,2.89,0.43,0,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.89000000000004

16,03:45-04:00,0,192.8,6.75,24.83,0,5.89,37.24,2.89,0.43,0.01,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.90000000000003

17,04:00-04:15,0,192.8,6.75,24.83,0,5.89,37.24,2.89,0.43,0.01,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.90000000000003

18,04:15-04:30,0,192.8,6.75,24.83,0,5.89,37.24,2.89,0.43,0.01,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.90000000000003

19,04:30-04:45,0,192.8,6.75,24.83,0,5.89,37.24,2.89,0.43,0.02,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.91

20,04:45-05:00,0,192.8,6.75,24.83,0,5.89,37.24,2.89,0.43,0.02,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.91

21,05:00-05:15,0,192.8,6.75,24.83,0,5.89,37.24,2.89,0.48,0.02,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.96000000000004

22,05:15-05:30,0,192.8,6.75,24.83,0,5.89,37.24,2.89,0.48,0.03,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.97

23,05:30-05:45,0,192.8,6.75,24.83,0,5.89,37.24,2.89,0.48,0.03,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.97

24,05:45-06:00,0,192.8,6.75,24.83,0,5.89,37.24,2.89,0.48,0.03,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.97

25,06:00-06:15,0,192.8,6.75,24.83,0,5.79,37.24,2.89,0.53,0.04,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.93

26,06:15-06:30,0,192.8,6.75,24.83,0,5.79,37.24,2.89,0.53,0.04,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.93

27,06:30-06:45,0,192.8,6.75,24.83,0,5.79,37.24,2.89,0.53,0.04,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.93

28,06:45-07:00,0,192.8,6.75,24.83,0,5.79,37.24,2.89,0.53,0.05,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.94

29,07:00-07:15,0,192.8,6.75,24.83,0,5.79,37.24,2.89,0.58,0.05,0,0,29.37,37.24,37.24,12.42,12.42,29.37,428.99

30,07:15-07:30,0,192.8,6.75,24.83,0,5.79,37.24,2.89,0.58,0.36,0,0,29.37,37.24,37.24,12.42,12.42,29.37,429.3

31,07:30-07:45,0,192.8,6.75,24.83,0,5.79,37.24,2.89,0.58,1.01,0,0,29.37,37.24,37.24,12.42,12.42,29.37,429.95

32,07:45-08:00,0,192.8,6.75,24.83,0,5.79,37.24,2.89,0.58,2.4,0,0,29.37,37.24,37.24,12.42,12.42,29.37,431.34

33,08:00-08:15,0,192.8,6.75,24.83,0,5.79,37.24,2.89,0.96,3.2,0,0,29.37,37.24,37.24,12.42,12.42,29.37,432.52

34,08:15-08:30,0,192.8,6.75,24.83,0,5.79,37.24,2.89,0.96,3.33,0,0,29.37,37.24,37.24,12.42,12.42,29.37,432.65

35,08:30-08:45,0,192.8,6.75,24.83,0,5.79,37.24,2.89,0.96,3.4,0,0,29.37,37.24,37.24,12.42,12.42,29.37,432.71999999999997

36,08:45-09:00,0,192.8,6.75,24.83,0,5.79,37.24,2.89,0.96,4.25,0,0,29.37,37.24,37.24,12.42,12.42,29.37,433.57

37,09:00-09:15,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.87,5.15,42.42,10.6,34.37,37.24,37.24,12.42,12.42,34.37,497.32000000000005

38,09:15-09:30,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.87,5.9,42.42,10.6,34.37,37.24,37.24,12.42,12.42,34.37,498.07000000000005

39,09:30-09:45,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.87,4.81,42.42,10.6,34.37,37.24,37.24,12.42,12.42,34.37,496.9800000000001

40,09:45-10:00,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.87,5.11,42.42,10.6,34.37,37.24,37.24,12.42,12.42,34.37,497.2800000000001

41,10:00-10:15,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.87,4.19,42.42,10.6,36.04,37.24,37.24,12.42,12.42,36.04,499.7000000000001

42,10:15-10:30,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.87,3.77,42.42,10.6,36.04,37.24,37.24,12.42,12.42,36.04,499.2800000000001

43,10:30-10:45,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.87,4.51,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,503.34000000000003

44,10:45-11:00,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.87,3.67,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,502.50000000000006

45,11:00-11:15,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.87,4.79,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,503.62000000000006

46,11:15-11:30,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.87,6.82,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,505.65000000000003

47,11:30-11:45,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.87,6,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,504.83000000000004

48,11:45-12:00,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.87,5.55,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,504.38000000000005

49,12:00-12:15,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.87,5.74,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,504.57000000000005

50,12:15-12:30,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.87,6.81,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,505.64000000000004

51,12:30-12:45,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.87,6.12,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,504.95000000000005

52,12:45-13:00,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.87,5.91,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,504.74000000000007

53,13:00-13:15,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.77,5.88,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,504.61

54,13:15-13:30,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.77,5.69,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,504.42

55,13:30-13:45,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.77,6.57,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,505.3

56,13:45-14:00,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.77,5.27,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,504

57,14:00-14:15,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.92,2.86,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,501.74000000000007

58,14:15-14:30,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.92,8.05,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,506.93000000000006

59,14:30-14:45,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.92,5.47,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,504.3500000000001

60,14:45-15:00,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.92,5.33,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,504.21000000000004

61,15:00-15:15,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.92,5.6,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,504.4800000000001

62,15:15-15:30,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.92,5.74,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,504.62000000000006

63,15:30-15:45,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.92,5.23,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,504.11000000000007

64,15:45-16:00,6.75,192.8,0,9.64,15.19,5.71,37.24,2.89,0.92,4.71,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,503.59000000000003

65,16:00-16:15,0,192.8,6.75,24.83,0,5.71,37.24,2.89,0.77,3.42,42.42,10.6,37.7,37.24,37.24,12.42,12.42,37.7,502.15000000000003

66,16:15-16:30,0,192.8,6.75,24.83,0,5.71,37.24,2.89,0.77,3.33,40.49,10.6,37.7,37.24,37.24,12.42,12.42,37.7,500.13

67,16:30-16:45,0,192.8,6.75,24.83,0,5.71,37.24,2.89,0.77,2.58,33.74,10.6,35.64,37.24,37.24,12.42,12.42,35.64,488.51

68,16:45-17:00,0,192.8,6.75,24.83,0,5.71,37.24,2.89,0.77,1.77,26.99,10.6,35.64,37.24,37.24,12.42,12.42,35.64,480.95

69,17:00-17:15,0,192.8,6.75,29.21,0,5.79,39.52,2.89,0.72,1.21,0,0,37.7,39.52,39.52,12.42,12.42,37.7,458.16999999999996

70,17:15-17:30,0,192.8,6.75,29.21,0,5.79,39.52,2.89,0.72,0.71,0,0,35.64,39.52,39.52,12.42,12.42,35.64,453.54999999999995

71,17:30-17:45,0,192.8,6.75,29.21,0,5.79,39.52,2.89,0.72,0.33,0,0,35.64,39.52,39.52,12.42,12.42,35.64,453.16999999999996

72,17:45-18:00,0,192.8,6.75,29.21,0,5.79,39.52,2.89,0.72,0.15,0,0,35.64,39.52,39.52,12.42,12.42,35.64,452.98999999999995

73,18:00-18:15,0,192.8,6.75,29.21,0,5.89,39.52,2.89,0.72,0.02,0,0,42.83,39.52,39.52,12.42,12.42,32.4,456.90999999999997

74,18:15-18:30,0,192.8,6.75,29.21,0,5.89,39.52,2.89,0.72,0,0,0,42.83,39.52,39.52,12.42,12.42,32.4,456.89

75,18:30-18:45,0,192.8,6.75,29.21,0,5.89,39.52,2.89,0.72,0,0,0,42.83,39.52,39.52,12.42,12.42,32.4,456.89

76,18:45-19:00,0,192.8,6.75,29.21,0,5.89,39.52,2.89,0.72,0,0,0,42.83,39.52,39.52,12.42,12.42,32.4,456.89

77,19:00-19:15,0,192.8,6.75,29.21,0,5.99,39.52,2.89,0.67,0,0,0,42.83,39.52,39.52,12.42,12.42,36.39,460.93

78,19:15-19:30,0,192.8,6.75,29.21,0,5.99,39.52,2.89,0.67,0,0,0,42.83,39.52,39.52,12.42,12.42,32.4,456.94

79,19:30-19:45,0,192.8,6.75,29.21,0,5.99,39.52,2.89,0.67,0,0,0,32,39.52,39.52,12.42,12.42,32.4,446.11

80,19:45-20:00,0,192.8,6.75,29.21,0,5.99,39.52,2.89,0.67,0,0,0,32,39.52,39.52,12.42,12.42,32.4,446.11

81,20:00-20:15,0,192.8,6.75,29.21,0,6.07,39.52,2.89,0.67,0,0,0,24.8,39.52,39.52,12.42,12.42,24.8,431.39000000000004

82,20:15-20:30,0,192.8,6.75,29.21,0,6.07,39.52,2.89,0.67,0,0,0,24.8,39.52,39.52,12.42,12.42,24.8,431.39000000000004

83,20:30-20:45,0,192.8,6.75,29.21,0,6.07,39.52,2.89,0.67,0,0,0,24.8,39.52,39.52,12.42,12.42,24.8,431.39000000000004

84,20:45-21:00,0,192.8,6.75,29.21,0,6.07,39.52,2.89,0.67,0,0,0,24.8,39.52,39.52,12.42,12.42,24.8,431.39000000000004

85,21:00-21:15,0,192.8,6.75,24.83,0,6.17,39.52,2.89,0.72,0,0,0,18.98,39.52,39.52,12.42,12.42,18.98,415.52000000000004

86,21:15-21:30,0,192.8,6.75,24.83,0,6.17,39.52,2.89,0.72,0,0,0,18.98,39.52,39.52,12.42,12.42,18.98,415.52000000000004

87,21:30-21:45,0,192.8,6.75,24.83,0,6.17,39.52,2.89,0.72,0,0,0,18.98,39.52,39.52,12.42,12.42,18.98,415.52000000000004

88,21:45-22:00,0,192.8,6.75,24.83,0,6.17,39.52,2.89,0.72,0,0,0,18.98,39.52,39.52,12.42,12.42,18.98,415.52000000000004

89,22:00-22:15,0,192.8,6.75,24.83,0,6.17,39.52,2.89,0.67,0,0,0,18.98,39.52,39.52,12.42,12.42,18.98,415.47

90,22:15-22:30,0,192.8,6.75,24.83,0,6.17,39.52,2.89,0.67,0,0,0,18.98,39.52,39.52,12.42,12.42,18.98,415.47

91,22:30-22:45,0,192.8,6.75,24.83,0,6.17,39.52,2.89,0.67,0,0,0,18.98,39.52,39.52,12.42,12.42,18.98,415.47

92,22:45-23:00,0,192.8,6.75,24.83,0,6.17,39.52,2.89,0.67,0,0,0,18.98,39.52,39.52,12.42,12.42,18.98,415.47

93,23:00-23:15,0,192.8,6.75,24.83,0,6.07,39.52,2.89,0.58,0,0,0,18.98,39.52,39.52,12.42,12.42,18.98,415.28

94,23:15-23:30,0,192.8,6.75,24.83,0,6.07,39.52,2.89,0.58,0,0,0,18.98,39.52,39.52,12.42,12.42,18.98,415.28

95,23:30-23:45,0,192.8,6.75,24.83,0,6.07,39.52,2.89,0.58,0,0,0,18.98,39.52,39.52,12.42,12.42,18.98,415.28

96,23:45-24:00,0,192.8,6.75,24.83,0,6.07,39.52,2.89,0.58,0,0,0,18.98,39.52,39.52,12.42,12.42,18.98,415.28

