Column1,Time,GNA/NR/2025/01/20/9333,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/01/6528,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/01/7459,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/6775,NR/01102023/19072037/LT-05,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/8738,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/9046,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/01/8058,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02
7,01:30-01:45,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,25,26.99,26.99,19.23,25,28.85,25,70.13,48.08,31.73,59.46,0,0,0,0,0,0,26.92,0,0,0,0,0,0,8,0,0,0,0,7.5,0,23.85,23.84,7.5,0,22.5,7.33,0,0,137.51,0,149.54,0,0,1.3

8,01:45-02:00,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,25,26.99,26.99,19.23,25,28.85,25,70.13,48.08,31.73,59.46,0,0,0,0,0,0,26.92,0,0,0,0,0,0,7.2,0,0,0,0,7.5,0,26.23,26.22,7.5,0,22.5,7.33,0,0,136.55,0,149.54,0,0,1.3

9,02:00-02:15,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0.77,0,0,0,0,0,26.92,0,0,0,0,0,0,6.6,0,0,0,0,13.83,0,38.33,38.34,13.83,0,41.51,7.33,0,0,130.78,0,192.32,0,0,1.3

10,02:15-02:30,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0.77,0,0,0,0,0,26.92,0,0,0,0,0,0,6,0,0,0,0,13.83,0,38.33,38.34,13.83,0,41.51,7.33,0,0,130.78,0,192.32,0,0,1.3

11,02:30-02:45,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0.62,0,0,0,0,0,26.92,0,0,0,0,0,0,6,0,0,0,0,14,0,38.33,38.34,14,0,42,7.33,0,0,130.78,0,192.32,0,0,1.3

12,02:45-03:00,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0.62,0,0,0,0,0,26.92,0,0,0,0,0,0,6,0,0,0,0,14.17,0,37.67,37.66,14.17,0,42.49,7.33,0,0,130.78,0,192.32,0,0,1.3

13,03:00-03:15,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0.62,0,0,0,0,0,26.92,0,0,0,0,0,0,8.6,0,0,0,0,13.83,0,29.33,29.34,13.83,0,41.51,7.33,0,0,130.78,0,192.32,0,0,1.3

14,03:15-03:30,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0.62,0,0,0,0,0,26.92,0,0,0,0,0,0,8.6,0,0,0,0,13.33,0,26.67,26.66,13.33,0,40.01,7.33,0,0,130.78,0,192.32,0,0,1.3

15,03:30-03:45,0,0.95,8.65,1.29,76.93,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0,0,0,0,0,0,26.92,0,0,0,0,0,0,8.4,0,0,0,0,12.67,0,23.67,23.66,12.67,0,37.99,7.33,0,0,130.78,0,192.32,0,0,1.3

16,03:45-04:00,0,0.95,8.65,1.29,81.74,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0,0,0,0,0,0,26.92,0,0,0,0,0,0,7.8,0,0,0,0,12.17,0,20.33,20.34,12.17,0,36.49,7.33,0,0,130.78,0,192.32,0,0,1.3

17,04:00-04:15,0,0.95,8.65,1.29,72.12,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0.62,0,0,0,0,0,26.92,0,0,0,0,0,0,7.4,0,0,0,0,15.67,0,39,39,15.67,0,46.99,7.33,0,25.23,130.78,0,192.32,0,0,1.3

18,04:15-04:30,0,0.95,8.65,1.29,72.12,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0.62,0,0,0,0,0,26.92,0,0,0,0,0,0,7,0,0,0,0,15.17,0,37.33,37.34,15.17,0,45.49,7.33,0,25.23,130.78,0,192.32,0,0,1.3

19,04:30-04:45,0,0.95,8.65,1.29,72.12,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0.62,0,0,0,0,0,26.92,0,0,0,0,0,0,6.6,0,0,0,0,17.83,0,36.67,36.66,17.83,0,53.51,9.67,0,25.23,130.78,0,192.32,0,0,1.3

20,04:45-05:00,0,0.95,8.65,1.29,72.12,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0.62,0,0,0,0,0,26.92,0,0,0,0,0,0,6.2,0,0,0,0,17.33,0,36.67,36.66,17.33,0,52.01,9.67,0,25.23,130.78,0,230.78,0,0,1.3

21,05:00-05:15,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,25,26.99,26.99,19.23,25,28.85,25,70.13,48.08,31.73,59.46,0.62,0,0,0,0,0,26.92,0,0,0,0,0,0,13.01,0,0,0,0,17,0,36.67,36.66,17,0,51,9.67,0,25.23,130.78,0,271.89,0,0,1.3

22,05:15-05:30,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,25,26.99,26.99,19.23,25,28.85,25,65.98,48.08,31.73,59.46,0.62,0,0,0,0,0,26.92,0,0,0,0,0,0,13.01,0,0,0,0,16.67,0,36.67,36.66,16.67,0,49.99,9.67,0,25.23,130.78,0,271.89,0,0,1.3

23,05:30-05:45,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,25,26.99,26.99,19.23,25,28.85,25,65.98,48.08,31.73,59.46,0,0,0,0,0,0,26.92,0,0,0,0,0,0,15.01,0,0,0,0,16.83,0,34.33,34.34,16.83,0,50.51,9.67,0,25.23,179.82,0,271.89,0,0,1.3

24,05:45-06:00,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,25,26.99,26.99,19.23,25,28.85,25,65.98,48.08,31.73,64.06,0,0,0,0,0,0,26.92,0,0,0,0,0,0,15.01,0,0,0,0,17,0,30.67,30.66,17,0,51,9.67,0,25.23,211.21,0,271.89,0,0,1.3

25,06:00-06:15,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,28.85,26.71,26.71,19.23,28.85,28.85,28.85,65.98,48.08,31.73,86.74,0.62,0,0,0,0,0,26.92,0,0,0,0,0,0,15.01,0,0,0,0.3,16.33,0,28,28,16.33,0,49.01,9,0,25.23,261.07,0,271.89,0,0,1.3

26,06:15-06:30,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,28.85,26.71,26.71,19.23,28.85,28.85,28.85,82.94,48.08,31.73,86.74,0.62,0,0,0,0,0,26.92,0,0,0,0,0,0,15.01,0,0,0,0.41,15.83,0,24.67,24.66,15.83,0.08,47.51,8.67,0,25.23,261.07,0,271.89,0,0,1.3

27,06:30-06:45,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,30.77,32,32,19.23,30.77,28.85,30.77,115.01,48.08,31.73,86.74,0.62,0,0,0,0,0,26.92,0,0,0,0,0,0,14.81,0,0,0,0.77,15.17,0,22,22,15.17,0.7,45.49,7.67,0,24.72,261.07,0,271.89,0,0,1.3

28,06:45-07:00,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,30.77,32,32,19.23,30.77,28.85,30.77,115.01,48.08,31.73,86.74,0.62,0,0,0,0,0,26.92,0,0,0,0,0,0,14.61,0,0,0,2.5,14.33,0,19.33,19.34,14.33,3.02,43.01,7,1,24.22,261.07,0,271.89,0,0,1.3

29,07:00-07:15,30.77,0.95,14.42,1.29,100.18,7.69,5.77,20.19,48.08,96.16,36.54,31.5,31.5,19.23,43.27,28.85,36.54,115.01,48.08,31.73,86.74,0.62,50,90.39,0,0,9.62,26.92,0,2,0,0,0,0,10.2,1,1,0,9.52,13.33,1.23,17.33,17.34,13.33,11.42,40.01,7,3,23.21,261.07,0.06,271.89,0.06,0.06,1.3

30,07:15-07:30,30.77,0.95,14.42,1.29,100.18,7.69,5.77,20.19,48.08,96.16,36.54,31.5,31.5,19.23,43.27,28.85,36.54,115.01,48.08,31.73,86.74,0.62,50,90.39,0,0,9.62,26.92,0,3,1,1,1,0,9.8,2,4,0,20.36,12.17,6.9,15,15,12.17,24.27,36.49,7,7,23.21,261.07,0,271.89,0,0,1.3

31,07:30-07:45,30.77,0.95,14.42,1.29,100.18,7.69,5.77,20.19,48.08,96.16,36.54,31.5,31.5,19.23,43.27,28.85,36.54,115.01,48.08,31.73,86.74,0,50,90.39,0,0,9.62,26.92,0,5,2,2,3,2.2,9.6,3,7,0.44,32.02,13,14.56,20.67,20.66,13,32.02,39,7,11,23.21,261.07,0.14,271.89,0.14,0.14,1.3

32,07:45-08:00,30.77,0.95,14.42,1.29,100.18,7.69,5.77,20.19,48.08,96.16,36.54,31.5,31.5,19.23,43.27,28.85,36.54,115.01,48.08,31.73,86.74,0,50,90.39,0,0,9.62,26.92,1.14,8,3,5,7,8.81,9.2,10,18,1.76,29.75,12.33,22.26,19.67,19.66,12.33,29.75,37.01,7,18,23.21,261.07,0.56,271.89,0.57,0.56,1.3

33,08:00-08:15,30.77,0.95,14.42,1.29,100.18,7.69,5.77,20.19,48.08,96.16,36.54,31.5,31.5,19.23,43.27,28.85,36.54,115.01,48.08,31.73,86.74,0.62,50,90.39,0,0,9.62,26.92,4.56,11,4,5,4,19.82,8.8,10,11,3.97,31.35,11.67,31.88,19,19,11.67,31.35,34.99,7,25,23.21,261.07,1.27,271.89,1.3,1.27,1.34

34,08:15-08:30,30.77,0.95,14.42,1.29,100.18,7.69,5.77,20.19,48.08,96.16,36.54,31.5,31.5,19.23,43.27,28.85,36.54,115.01,48.08,31.73,86.74,0.62,50,90.39,0,0,9.62,26.92,10.27,18,5,5,6,48.27,8.4,11,14,9.66,29.56,10.83,43.6,18.67,18.66,10.83,29.57,32.51,7,29.57,22.71,261.07,2.25,271.89,2.31,2.25,1.34

35,08:30-08:45,30.77,0.95,14.42,1.29,100.18,7.69,5.77,20.19,48.08,96.16,36.54,31.5,31.5,19.23,43.27,28.85,36.54,115.01,48.08,31.73,86.74,0.62,50,90.39,0,0,9.62,26.92,18.88,19,8,6,7,73.76,8.01,12,18,14.75,30.06,10,56.38,15.67,15.66,10,30.07,30,7,30.07,22.2,261.07,3.52,271.89,3.61,3.52,1.34

36,08:45-09:00,30.77,0.95,14.42,1.29,100.18,7.69,5.77,20.19,48.08,96.16,36.54,31.5,31.5,19.23,43.27,28.85,36.54,115.01,48.08,31.73,86.74,0.62,50,90.39,0,0,9.62,26.92,28.45,24,12,7,9,98.12,7.61,14,21,19.62,30.46,9.17,69.04,15.67,15.66,9.17,30.47,27.49,7,30.47,22.2,261.07,5.54,271.89,5.68,5.54,1.34

37,09:00-09:15,30.77,0.91,14.42,1.29,100.18,7.69,5.77,20.19,48.08,96.16,36.54,31,31,19.23,43.27,28.85,36.54,115.01,48.08,31.73,86.74,0.62,0,90.39,0,0,9.62,26.92,40.83,32,16,8,13,120.8,7.4,15,32,24.16,30.46,8.33,80.78,15,15,8.33,30.47,25.01,6,30.47,22.2,261.07,7,271.89,7.17,7,1.34

38,09:15-09:30,30.77,0.91,14.42,1.29,100.18,7.69,5.77,20.19,48.08,96.16,36.54,31,31,19.23,43.27,28.85,36.54,115.01,48.08,31.73,86.74,0.62,0,90.39,0,0,9.62,26.92,50.01,39,21,8,16,142.07,7,17,39,28.42,30.46,8,91.53,14,14,8,30.47,24,6,30.47,22.2,261.07,8.34,271.89,8.55,8.34,1.34

39,09:30-09:45,30.77,0.91,14.42,1.29,100.18,7.69,5.77,20.19,48.08,96.16,36.54,32,13.75,19.23,43.27,28.85,36.54,115.01,48.08,31.73,86.74,0,0,90.39,0,0,9.62,26.92,58.96,47,25,9,15,161.89,6.8,17,35,32.38,30.46,7.5,101.42,12.67,12.66,7.5,30.47,22.5,6,30.47,22.2,261.07,9.53,271.89,9.77,9.53,1.34

40,09:45-10:00,30.77,0.91,14.42,1.29,100.18,7.69,5.77,20.19,48.08,96.16,36.54,32,23.38,19.23,43.27,28.85,36.54,115.01,48.08,31.73,86.74,0,0,90.39,0,0,9.62,26.92,66.96,53,28,10,18,180.24,6.8,20,42,36.05,30.46,7,110.51,12.67,12.66,7,30.47,21,6,30.47,22.2,261.07,10.61,271.89,10.88,10.61,1.34

41,10:00-10:15,0,0.91,14.42,1.29,100.18,0,0,20.19,48.08,0,36.54,32,26.12,19.23,43.27,28.85,36.54,65.98,48.08,31.73,86.74,0.62,0,0,0,0,0,26.92,74.17,58,31,13,22,198.95,6.8,27,53,39.79,30.46,7,118.69,12.67,12.66,7,30.47,21,6,30.47,22.2,261.07,11.57,271.89,11.86,11.57,1.38

42,10:15-10:30,0,0.91,14.42,1.29,100.18,0,0,20.19,48.08,0,36.54,32,26.12,19.23,43.27,28.85,36.54,65.98,48.08,31.73,86.74,0.62,0,0,0,0,0,26.92,81.73,65,34,17,27,208.8,6.6,33,63,41.76,30.46,7,125.81,12.67,12.66,7,30.47,21,6,30.47,21.7,261.07,12.42,271.89,12.73,12.42,1.38

43,10:30-10:45,0,0.91,14.42,1.29,100.18,0,0,20.19,48.08,0,34.62,32,26.12,19.23,36.54,28.85,34.62,65.98,48.08,31.73,86.74,0.62,0,0,0,0,0,26.92,87.94,74,37,20,39,212.97,6.6,40,91,42.59,30.46,6.67,131.82,12.67,12.66,6.67,30.47,19.99,6,30.47,20.69,261.07,13.13,271.89,13.47,13.13,1.38

44,10:45-11:00,0,0.91,14.42,1.29,100.18,0,0,20.19,48.08,0,34.62,32,26.12,19.23,36.54,28.85,34.62,65.98,48.08,31.73,86.74,0.62,0,0,0,0,0,26.92,93.56,79,39,27,51,221.3,6.6,53,119,44.26,30.46,6.67,136.99,12.67,12.66,6.67,30.47,19.99,6,30.47,20.18,261.07,13.78,271.89,14.12,13.78,1.38

45,11:00-11:15,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,30.77,32,26.12,19.23,30.77,28.85,30.77,65.98,48.08,31.73,86.74,0.62,0,0,0,0,0,26.92,93.33,83,40,35,60,220.83,6.6,70,140,44.17,30.46,6.67,141.48,12.67,12.66,6.67,30.47,19.99,6,30.47,20.18,261.07,14.35,271.89,14.71,14.35,1.38

46,11:15-11:30,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,30.77,32,26.12,19.23,30.77,28.85,30.77,70.13,48.08,31.73,86.74,0.62,0,0,0,0,0,26.92,93.33,87,42,42,69,225,6.6,83,161,45,30.46,6.67,145.33,12.67,12.66,6.67,30.47,19.99,6,30.47,20.18,261.07,14.84,271.89,15.21,14.84,1.38

47,11:30-11:45,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,30.77,32,26.12,19.23,30.77,28.85,30.77,70.13,48.08,31.73,86.74,0,0,0,0,0,0,26.92,93.33,87,43,47,78,225,6.8,93,182,45,30.46,6.67,148.97,12.67,12.66,6.67,30.47,19.99,6,30.47,20.18,261.07,15.33,271.89,15.71,15.33,1.38

48,11:45-12:00,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,30.77,32,26.12,19.23,30.77,28.85,30.77,70.13,48.08,31.73,86.74,0,0,0,0,0,0,26.92,93.33,87,44,48,84,225,6.8,97,196,45,30.46,6.67,152,13.33,13.34,6.67,30.47,19.99,6,30.47,20.18,261.07,15.7,271.89,16.09,15.7,1.38

49,12:00-12:15,0,0.99,8.65,1.29,100.18,0,0,20.19,48.08,0,30.77,32,26.12,19.23,30.77,28.85,30.77,65.98,48.08,31.73,63.06,0.62,0,0,0,0,0,26.92,93.33,90,45,48,84,229.17,7,97,196,45.83,30.46,6.67,153.99,19.33,19.34,6.67,30.47,19.99,6,30.47,21.19,261.07,16,271.89,16.39,16,1.43

50,12:15-12:30,0,0.99,8.65,1.29,100.18,0,0,20.19,48.08,0,30.77,32,26.12,19.23,30.77,28.85,30.77,70.13,48.08,31.73,63.06,0.62,0,0,0,0,0,26.92,93.33,90,46,48,84,229.17,7.2,97,196,45.83,30.46,6.67,155.09,20,20,6.67,30.47,19.99,6,30.47,21.19,261.07,16.13,271.89,16.53,16.13,1.43

51,12:30-12:45,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,30.77,26.99,26.99,19.23,30.77,28.85,30.77,70.13,48.08,31.73,59.46,0.62,0,0,0,0,0,26.92,91.67,90,46,48,84,229.17,8.2,97,196,45.83,30.46,6.67,155.13,20.67,20.66,6.67,30.47,19.99,6,30.47,21.19,229.69,16.23,271.89,16.63,16.23,1.43

52,12:45-13:00,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,30.77,26.99,26.99,19.23,30.77,28.85,30.77,70.13,48.08,31.73,59.46,0.62,0,0,0,0,0,26.92,91,90,46,48,84,229.17,8.4,97,196,45.83,30.46,6.67,154.28,21,21,6.67,30.47,19.99,6,30.47,21.19,166.28,16.15,271.89,16.56,16.15,1.43

53,13:00-13:15,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,25.96,26.99,26.99,19.23,25.96,28.85,25.96,70.13,48.08,31.73,59.46,0.62,0,0,0,0,0,26.92,90.33,90,45,49,81,225,8.6,99,189,45,30.46,6.67,152.43,21,21,6.67,30.47,19.99,6,30.47,21.19,136.55,16.06,271.89,16.46,16.06,1.43

54,13:15-13:30,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,25.96,26.99,26.99,19.23,25.96,28.85,25.96,70.13,48.08,31.73,59.46,0.62,0,0,0,0,0,26.92,89.67,90,45,48,81,225,8.8,97,189,45,30.46,6.67,149.82,21,21,6.67,30.47,19.99,6,30.47,21.19,136.55,15.89,271.89,16.29,15.89,1.43

55,13:30-13:45,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0,0,0,0,0,0,26.92,88.33,90,43,47,81,225,8.8,94,189,45,30.46,8,146.32,18.33,18.34,8,30.47,24,6,30.47,20.18,136.55,15.72,271.89,16.11,15.72,1.43

56,13:45-14:00,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0,0,0,0,0,0,26.92,87,90,41,46,81,225,8.8,93,189,45,30.46,8,142.23,19,19,8,30.47,24,6,30.47,20.18,136.55,15.39,271.89,15.79,15.39,1.43

57,14:00-14:15,0,0.99,8.65,1.29,100.18,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0.69,0,0,0,0,0,26.92,85,86,41,45,81,225,8.8,89,189,45,30.46,8,137.54,23,23,8,30.47,24,6,30.47,20.18,136.55,15.06,271.89,15.43,15.06,1.43

58,14:15-14:30,0,0.99,8.65,1.29,100.18,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0.69,0,0,0,0,0,26.92,82.39,83,38,42,81,225,8.8,85,189,45,30.46,8,132.15,23.67,23.66,8,30.47,24,6,30.47,20.69,136.55,14.57,271.89,14.94,14.57,1.43

59,14:30-14:45,0,0.99,8.65,1.29,100.18,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0.69,0,0,0,0,0,26.92,69.58,80,37,40,79,225,9,79,186,45,30.46,8,125.95,23.67,23.66,8,30.47,24,6.33,30.47,21.19,136.55,14.05,271.89,14.4,14.05,1.43

60,14:45-15:00,0,0.99,8.65,1.29,100.18,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0.69,0,0,0,0,0,26.92,66.37,77,35,37,78,225,9,75,182,45,30.46,8.5,118.75,23.67,23.66,8.5,30.47,25.5,7,30.47,21.7,136.55,13.47,271.89,13.8,13.47,1.43

61,15:00-15:15,0,0.99,8.65,1.29,100.18,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0.69,0,0,0,0,0,26.92,61.51,68,32,35,73,212,12.81,70,172,42.4,30.96,9,110.71,24.67,24.66,9,30.97,27,8.67,30.97,22.2,166.28,12.73,271.89,13.05,12.73,1.43

62,15:15-15:30,0,0.99,8.65,1.29,100.18,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0.69,0,0,0,0,0,26.92,56.65,62,31,32,69,204,12.61,63,161,40.8,30.96,9,101.71,26.33,26.34,9,30.97,27,9,30.97,22.71,166.28,11.94,271.89,12.23,11.94,1.43

63,15:30-15:45,0,0.99,8.65,1.29,100.18,0,0,20.19,48.08,0,23.08,26.99,26.99,19.23,23.08,28.85,23.08,70.13,48.08,31.73,59.46,0,0,0,0,0,0,26.92,60.29,57,28,28,64,198.87,12.61,57,151,39.78,32.84,9.17,91.93,26.33,26.34,9.17,32.85,27.49,9.67,27,22.71,166.28,11.03,271.89,11.31,11.03,1.34

