Block,Time,KHSTPP-II,NAPP,NLCTS2EXP,RIHAND1,SEWA2,TEHRI,AURY_CRF,AURY_LF,DADRI_CRF,BRBCL,KGSU1AND2,KKNP,NTPL,RSTPSU1TO6,ANTA_RF,JHAJJAR,KGSU3AND4,KUDGI,TALA,UNCHAHAR1,UNCHAHAR3,ANTA_CRF,DADRI_RF,NLCIIST2,RAPPB,RSTPSU7,TANDA2,TelanganaSTPP,ANTA_GF,AURY_RF,BSIUL,FSTPP I & II,KISHANGANGA,KOLDAM,NJPC,NLCIIST1,RIHAND2,SIMHST1,DADRI_GF,DADRI_LF,DULHASTI,KHSTPP-I,NNTPP,RAMPUR,RIHAND3,TALST2,UNCHAHAR2,UNCHAHAR4,URI2,CHAMERA2,DADRT2,KOTESHWR,MAPS,PARBATI3,RAPPC,SALAL,SIMHST2,SINGRAULI,TANAKPUR,VALLURNTECL,ANTA_LF,AURY_GF,CHAMERA1,CHAMERA3,DHAULIGNGA,KKNPPU2,NLCEXP,PARBATI2,SASAN,SINGRAULI_HYDRO,URI
7,01:30-01:45,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,53.44,499.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,39.63,48.74,688.87,10.41,0,4.29,68.93,70.88,0,150.25,0,0,0,0,28.1,23.3,0,0,0,9,407.25,1,46.37

8,01:45-02:00,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,53.44,499.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,39.63,48.74,688.87,10.41,0,4.29,68.93,70.88,0,150.25,0,0,0,0,28.1,23.3,0,0,0,9,407.25,1,46.37

9,02:00-02:15,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,53.44,514.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,39.63,48.74,688.87,10.41,0,4.29,68.93,70.88,0,150.25,0,0,0,0,28.1,23.3,10.93,0,0,9,407.25,1,46.37

10,02:15-02:30,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,53.44,514.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,39.63,48.74,688.87,10.41,0,4.29,68.93,70.88,0,150.25,0,0,0,0,28.1,23.3,10.93,0,0,9,407.25,1,46.37

11,02:30-02:45,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,53.44,514.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,39.63,32.49,688.87,10.41,0,16.86,68.93,70.88,0,150.25,0,0,0,0,28.1,23.3,10.93,0,0,9,407.25,1,46.37

12,02:45-03:00,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,53.44,514.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,39.63,32.49,688.87,10.41,0,16.86,68.93,70.88,0,150.25,0,0,0,0,28.1,23.3,10.93,0,0,9,407.25,1,46.37

13,03:00-03:15,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,53.44,514.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,70.88,0,150.25,0,0,0,0,28.1,23.3,10.93,0,0,9,407.25,1,46.37

14,03:15-03:30,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,53.44,514.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,70.88,0,150.25,0,0,0,0,28.1,23.3,10.93,0,0,9,407.25,1,46.37

15,03:30-03:45,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,53.44,514.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,70.88,0,150.25,0,0,0,0,28.1,23.3,10.93,0,0,9,407.25,1,46.37

16,03:45-04:00,148.3,51.2,0,97.18,18.88,12.66,0,0,0,20,0,0,0,0,53.44,514.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,70.88,0,150.25,0,0,0,0,28.1,23.3,10.93,0,0,9,407.25,1,46.37

17,04:00-04:15,148.3,51.2,0,97.18,18.88,12.66,0,0,0,20,0,0,0,0,53.44,514.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,70.88,0,150.25,0,0,0,0,13.95,23.3,10.93,0,0,9,407.25,1,46.37

18,04:15-04:30,148.3,51.2,0,97.18,18.88,25.96,0,0,0,20,0,0,0,0,53.44,514.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,70.88,0,150.25,0,0,0,0,0,23.3,10.93,0,0,9,407.25,1,46.37

19,04:30-04:45,148.3,51.2,0,97.18,18.88,25.96,0,0,0,20,0,0,0,0,53.44,514.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,53.45,0,150.25,0,0,0,0,0,23.3,10.93,0,0,9,407.25,1,46.37

20,04:45-05:00,148.3,51.2,0,97.18,18.88,25.96,0,0,0,20,0,0,0,0,53.44,514.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,52.28,0,150.25,0,0,0,0,0,23.3,10.93,0,0,9,407.25,1,46.37

21,05:00-05:15,148.3,51.2,0,97.18,18.88,25.96,0,0,0,20,0,0,0,0,53.18,514.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,52.28,0,150.25,0,0,0,0,0,23.3,10.93,0,0,9,407.25,1,46.37

22,05:15-05:30,148.3,51.2,0,97.18,18.88,25.96,0,0,0,20,0,0,0,0,53.44,514.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,52.28,0,150.25,0,0,0,0,0,23.3,10.93,0,0,9,407.25,1,46.37

23,05:30-05:45,148.3,51.2,0,97.18,18.88,25.96,0,0,0,20,0,0,0,0,53.44,514.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,52.28,0,150.25,0,0,0,0,0,23.3,10.93,0,0,9,407.25,1,46.37

24,05:45-06:00,148.3,51.2,0,97.18,18.88,25.96,0,0,0,20,0,0,0,0,53.44,514.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,52.28,0,150.25,0,0,0,0,0,23.3,10.93,0,0,9,407.25,1,46.37

25,06:00-06:15,148.3,51.2,0,97.18,18.88,25.96,0,0,0,20,0,0,0,0,53.44,461.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,52.28,0,150.25,0,0,0,0,0,23.3,10.93,0,0,9,407.25,1,49.68

26,06:15-06:30,148.3,51.2,0,97.18,18.88,25.96,0,0,0,20,0,0,0,0,53.44,461.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,52.28,0,150.25,0,0,0,0,0,23.3,10.93,0,0,9,407.25,1,49.68

27,06:30-06:45,148.3,51.2,0,97.18,18.88,25.96,0,0,0,20,0,0,0,0,53.18,461.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,52.28,0,150.25,0,0,0,0,0,23.3,10.93,0,0,9,407.25,1,49.68

28,06:45-07:00,148.3,51.2,0,93.98,18.88,25.96,0,0,0,20,0,0,0,0,53.18,461.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,52.28,0,150.25,0,0,0,0,0,23.3,10.93,0,0,9,407.25,1,49.68

29,07:00-07:15,148.3,51.2,0,97.18,18.88,25.96,0,0,0,20,0,0,0,0,53.18,461.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,55.26,0,124.53,0,0,0,39.62,45.83,0,2.18,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,23.3,10.93,0,0,9,407.25,1,46.37

30,07:15-07:30,148.3,51.2,0,97.18,18.88,25.96,0,0,0,20,0,0,0,0,53.18,461.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,55.26,0,124.53,0,0,0,39.62,45.83,0,2.18,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,23.3,10.93,0,0,9,407.25,1,46.37

31,07:30-07:45,148.3,51.2,0,97.18,18.88,25.96,0,0,0,20,0,0,0,0,53.18,670.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,55.26,0,124.53,0,0,0,39.62,45.83,0,2.18,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,23.3,10.93,0,0,9,407.25,1,46.37

32,07:45-08:00,148.3,51.2,0,97.18,18.88,12.81,0,0,0,20,0,0,0,0,53.18,670.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,55.26,0,124.53,0,0,0,39.62,45.83,0,2.18,130.75,0,44.47,2.28,38.05,32.49,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,23.3,10.93,0,0,9,407.25,1,46.37

33,08:00-08:15,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,52.92,600.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,55.26,0,124.53,0,0,0,39.62,45.83,0,2.18,130.75,0,44.97,3.18,38.05,32.49,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,0,10.93,0,0,9,407.25,1,46.37

34,08:15-08:30,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,52.92,600.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,55.26,0,124.53,0,0,0,39.62,45.83,0,2.18,130.75,0,44.97,3.18,38.05,16.25,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,0,10.93,0,0,9,407.25,1,49.68

35,08:30-08:45,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,52.92,600.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,55.26,0,124.53,0,0,0,39.62,45.83,0,2.18,130.75,0,44.97,3.18,38.05,16.25,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,0,10.93,0,0,9,407.25,1,49.68

36,08:45-09:00,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,52.92,600.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,55.26,0,124.53,0,0,0,39.62,45.83,0,2.18,130.75,0,44.97,3.18,38.05,16.25,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,0,10.93,0,0,9,407.25,1,49.68

37,09:00-09:15,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,52.66,600.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,55.26,0,124.53,0,0,0,39.62,45.83,0,2.18,130.75,0,44.97,3.18,38.05,16.25,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,0,10.93,0,0,9,407.25,1,49.68

38,09:15-09:30,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,52.66,480.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,55.26,0,124.53,0,0,0,39.62,45.83,0,2.18,130.75,0,44.97,3.18,38.05,16.25,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,0,10.93,0,0,9,407.25,1,46.37

39,09:30-09:45,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,52.66,480.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,13.04,15.29,8.56,0,55.26,0,124.53,0,0,0,39.62,45.83,0,2.18,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,0,10.93,0,0,9,407.25,1,46.37

40,09:45-10:00,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,52.66,480.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,13.04,15.29,8.56,0,25.73,0,124.53,0,0,0,39.62,45.83,0,1.01,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,0,10.93,0,0,9,407.25,1,46.37

41,10:00-10:15,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,52.14,480.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,13.04,15.29,8.56,0,25.73,0,124.53,0,0,0,39.62,45.83,0,1.01,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,0,10.93,0,0,9,407.25,1,46.37

42,10:15-10:30,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,52.14,480.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,13.04,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,0,10.93,0,0,9,407.25,1,46.37

43,10:30-10:45,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,52.14,480.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,13.04,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,0,0,0,0,9,407.25,1,46.37

44,10:45-11:00,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,52.14,480.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,13.04,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,0,0,0,0,9,407.25,1,46.37

45,11:00-11:15,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,51.61,480.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,13.04,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,0,0,0,0,9,407.25,1,46.37

46,11:15-11:30,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,51.61,467.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,13.04,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,0,0,0,0,9,407.25,1,46.37

47,11:30-11:45,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,51.61,467.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,13.04,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,0,0,0,0,0,9,407.25,1,46.37

48,11:45-12:00,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,51.61,467.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,13.04,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,4.29,68.93,40.09,0,150.25,0,0,0,0,0,0,0,0,0,9,407.25,1,46.37

49,12:00-12:15,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,51.61,467.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,13.04,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,4.29,68.93,40.09,0,150.25,0.25,0,0,0,0,0,0,0,0,9,407.25,1,46.37

50,12:15-12:30,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,51.09,467.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,13.04,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,4.29,68.93,40.09,0,150.25,0.25,0,0,0,0,0,0,0,0,9,407.25,1,46.37

51,12:30-12:45,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,51.09,467.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,13.04,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,4.29,68.93,40.09,0,150.25,0.25,0,0,0,0,0,0,0,0,9,407.25,1,46.37

52,12:45-13:00,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,51.09,467.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,13.04,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,4.29,68.93,40.09,0,150.25,0.25,0,0,0,0,0,0,0,0,9,407.25,1,46.37

53,13:00-13:15,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,51.09,467.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,6.52,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,4.29,68.93,40.09,0,150.25,0.25,0,0,0,0,0,0,0,0,9,407.25,1,46.37

54,13:15-13:30,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,51.09,467.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,6.52,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,4.29,68.93,40.09,0,150.25,0.25,0,0,0,0,0,0,0,0,9,407.25,1,46.37

55,13:30-13:45,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,51.09,467.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,6.52,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,4.29,68.93,40.09,0,150.25,0.25,0,0,0,0,0,0,0,0,9,407.25,1,46.37

56,13:45-14:00,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,51.09,467.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,6.52,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,4.29,68.93,40.09,0,150.25,0.25,0,0,0,0,0,0,0,0,9,407.25,1,46.37

57,14:00-14:15,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,51.09,467.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,6.52,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,4.29,68.93,40.09,0,150.25,0.25,0,0,0,0,0,10.93,0,0,9,407.25,1,46.37

58,14:15-14:30,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,51.09,467.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,6.52,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,4.29,68.93,40.09,0,150.25,0.25,0,0,0,0,0,10.93,0,0,9,407.25,1,46.37

59,14:30-14:45,148.3,51.2,0,96.98,18.88,0,0,0,0,20,0,0,0,0,51.09,480.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,6.52,15.29,8.56,0,0,0,124.53,0,0,0,39.62,45.83,0,0,130.75,0,44.97,3.18,38.05,0,688.87,10.41,0,4.29,68.93,40.09,0,150.25,0.25,0,0,0,0,0,10.93,0,0,9,407.25,1,46.37

