Column1,Block,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/2024/21938/A/31598,NR/2024/22279/A/31526,NR/2024/22492/C,NR/2024/22493/C,NR/2024/22491/C,NR/2024/21909/A/31798,NR/2024/21956/A/31851,NR/2024/22501/C,NR/2024/22010/A/31899,NR/2024/21814/A/31837,NR/2024/22042/A/31533,NR/2024/21943/A/31844,NR/2024/21918/A/31897,NR/2024/21954/A/31848,NR/2024/22398/A/31928,NR/2024/21940/A/31849,NR/2024/22432/A/31655,NR/2024/22014/A/31534,NR/2024/21961/A/31596,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/22052/A/31702,NR/2024/22058/A/31700,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/21860/A/31925,NR/2024/21968/A/31830,NR/2024/21970/A/31833,NR/2024/21966/A/31584,GNA/SR/2024/08/12/8286,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/15082024/APL-Raigarh,GNA/WR/2024/08/12/7836,NR/2024/21658/A/31557,NR/2024/21983/A/31565,NR/30092023/26122029/SH-06,NR/2024/21974/A/31835,NR/2024/21971/A/31834,NR/30092023/31122025/SH-07,GNA/WR/2024/08/12/5862,Total
3,00:30-00:45,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,38.47,48.08,37.15,12.39,0,0,0,192.34,0,0.63,0,26.8708,37.15,37.15,26.8708,0,1562.2816

4,00:45-01:00,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,38.47,48.08,37.15,12.39,0,0,0,192.34,0,0.63,0,26.8708,37.15,37.15,26.8708,0,1562.2816

5,01:00-01:15,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,38.47,48.08,37.15,12.39,0,0,0,192.34,0,0.58,0,26.8708,37.15,37.15,26.8708,0,1562.2315999999998

6,01:15-01:30,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,38.47,48.08,37.15,12.39,0,0,0,192.34,0,0.58,0,26.8708,37.15,37.15,26.8708,0,1562.2315999999998

7,01:30-01:45,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,38.47,48.08,37.15,12.39,0,0,0,192.34,0,0.58,0,26.8708,37.15,37.15,26.8708,0,1562.2315999999998

8,01:45-02:00,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,38.47,48.08,37.15,12.39,0,0,0,192.34,0,0.58,0,26.8708,37.15,37.15,26.8708,0,1562.2315999999998

9,02:00-02:15,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,38.47,48.08,37.15,12.39,0,0,0,192.34,0,0.58,0,26.8708,37.15,37.15,26.8708,0,1562.2315999999998

10,02:15-02:30,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,38.47,48.08,37.15,12.39,0,0,0,192.34,0,0.58,0,26.8708,37.15,37.15,26.8708,0,1562.2315999999998

11,02:30-02:45,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,38.47,48.08,37.15,12.39,0,0,0,192.34,0,0.58,0,26.8708,37.15,37.15,26.8708,0,1562.2315999999998

12,02:45-03:00,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,38.47,48.08,37.15,12.39,0,0,0,192.34,0,0.58,0,26.8708,37.15,37.15,26.8708,0,1562.2315999999998

13,03:00-03:15,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.58,0,26.8708,37.15,37.15,26.8708,0,1523.7615999999998

14,03:15-03:30,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.58,0,26.8708,37.15,37.15,26.8708,0,1523.7615999999998

15,03:30-03:45,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.58,0,26.8708,37.15,37.15,26.8708,0,1523.7615999999998

16,03:45-04:00,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.58,0,26.8708,37.15,37.15,26.8708,0,1523.7615999999998

17,04:00-04:15,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.53,0,26.8708,37.15,37.15,26.8708,0,1523.7115999999999

18,04:15-04:30,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.53,0,26.8708,37.15,37.15,26.8708,0,1523.7115999999999

19,04:30-04:45,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.53,0,26.8708,37.15,37.15,26.8708,0,1523.7115999999999

20,04:45-05:00,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.53,0,26.8708,37.15,37.15,26.8708,0,1523.7115999999999

21,05:00-05:15,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.53,0,26.8708,37.15,37.15,26.8708,0,1480.4316

22,05:15-05:30,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.53,0,26.8708,37.15,37.15,26.8708,0,1480.4316

23,05:30-05:45,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.53,0,26.8708,37.15,37.15,26.8708,0,1480.4316

24,05:45-06:00,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,7.69,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.53,0,26.8708,37.15,37.15,26.8708,0,1479.4616

25,06:00-06:15,48.08,12.39,11.93,17.91,48.08,0,4.81,163.73,27.89,0,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,7.69,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.63,0,26.8708,37.15,37.15,26.8708,0,1327.8116

26,06:15-06:30,48.08,12.39,11.93,17.91,48.08,0,4.81,163.73,27.89,0,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,7.69,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.63,0,26.8708,37.15,37.15,26.8708,0,1327.8116

27,06:30-06:45,48.08,12.39,11.93,17.91,48.08,0,4.81,163.73,27.89,0.2,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,7.69,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.63,0,26.8708,37.15,37.15,26.8708,0,1328.0116

28,06:45-07:00,48.08,12.39,11.93,17.91,48.08,0,4.81,163.73,27.89,0.77,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,7.69,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.63,0,26.8708,37.15,37.15,26.8708,0,1328.5816

29,07:00-07:15,48.08,12.39,11.93,17.91,48.08,0,4.81,163.73,27.89,1.15,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,7.69,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.72,0,26.8708,37.15,37.15,26.8708,0,1329.0516

30,07:15-07:30,48.08,12.39,11.93,17.91,48.08,0,4.81,163.73,27.89,1.38,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,7.69,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.72,0,26.8708,37.15,37.15,26.8708,0,1329.2816

31,07:30-07:45,48.08,12.39,11.93,17.91,48.08,0,4.81,163.73,27.89,2.86,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,7.69,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.72,0,26.8708,37.15,37.15,26.8708,0,1330.7616

32,07:45-08:00,48.08,12.39,11.93,17.91,48.08,0,4.81,163.73,27.89,2.6,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,7.69,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.72,0,26.8708,37.15,37.15,26.8708,0,1330.5016

33,08:00-08:15,48.08,12.39,11.93,12.21,48.08,0,4.81,163.73,27.89,2.31,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.96,0,26.8708,37.15,37.15,26.8708,0,1325.7216

34,08:15-08:30,48.08,12.39,11.93,12.21,48.08,0,4.81,163.73,27.89,2.21,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.96,0,26.8708,37.15,37.15,26.8708,0,1325.6216

35,08:30-08:45,48.08,12.39,11.93,12.21,48.08,0,4.81,163.73,27.89,2.76,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.96,0,26.8708,37.15,37.15,26.8708,0,1326.1716

36,08:45-09:00,48.08,12.39,11.93,12.21,48.08,0,4.81,163.73,27.89,5.15,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,9.62,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.96,0,26.8708,37.15,37.15,26.8708,0,1329.5216

37,09:00-09:15,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,6.03,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,9.62,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1383.2916

38,09:15-09:30,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,6.55,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1385.7316

39,09:30-09:45,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,7.06,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1386.2416

40,09:45-10:00,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,7.27,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1386.4515999999999

41,10:00-10:15,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,7.15,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1386.3316

42,10:15-10:30,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,7.85,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1387.9916

43,10:30-10:45,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,7.94,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1388.0816

44,10:45-11:00,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,6.71,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1386.8516

45,11:00-11:15,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,5.68,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1385.8216

46,11:15-11:30,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,7.73,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1387.8716

47,11:30-11:45,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,9.11,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1389.2516

48,11:45-12:00,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,8.69,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1388.8316

49,12:00-12:15,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,7.12,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1387.2616

50,12:15-12:30,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,9.56,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1389.7016

51,12:30-12:45,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,9.63,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1389.7716

52,12:45-13:00,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,9.63,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1389.7716

53,13:00-13:15,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,7.63,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1387.7716

54,13:15-13:30,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,6.07,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1386.2116

55,13:30-13:45,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,7.95,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1388.0916

56,13:45-14:00,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,8.22,192.34,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,42.31,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1388.3616

57,14:00-14:15,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,8.57,192.34,24.04,6.06,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,36.26,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1388.7216

58,14:15-14:30,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,8.36,192.34,24.04,8.94,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,33.37,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1388.5015999999998

59,14:30-14:45,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,6.2,192.34,24.04,10.77,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,31.54,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1386.3416

60,14:45-15:00,0,12.39,11.93,12.21,0,0,4.81,163.73,27.89,8.16,192.34,24.04,13.08,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,29.24,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1388.3116

61,15:00-15:15,0,12.39,11.93,18.18,0,0,4.81,163.73,27.89,7.83,192.34,24.04,14.04,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,28.27,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1393.9416

62,15:15-15:30,0,12.39,11.93,18.18,0,0,4.81,163.73,27.89,7.72,192.34,24.04,14.81,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,25.1,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1391.4316000000001

63,15:30-15:45,0,12.39,11.93,18.18,0,0,4.81,163.73,27.89,6.77,192.34,24.04,13.75,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,23.66,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1387.9816

