Column1,Block,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/1868,GNA/WR/2024/11/01/4200,GNA/NR/2024/11/01/5428,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/9061,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/4503,NR/2024/23845/A/42550,GNA/NR/2024/11/01/3646,NR/30092023/31122025/SH-07,WR/2024/24788/A/42569,NR/2024/23420/A/42438,NR/2024/23769/A/42435,NR/2024/23807/A/42434,NR/2024/23864/C,NR/2024/23863/C,NR/2024/23860/C,Total
15,03:30-03:45,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.57,7.2,1.92,95.12,26.87,0,0.43,5.76,4.8,0,0,0,560.6599999999999

16,03:45-04:00,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.57,7.2,1.92,95.12,26.87,0,0.43,5.76,4.8,0,0,0,560.6599999999999

17,04:00-04:15,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.57,7.2,1.92,95.12,26.87,0,0.43,5.76,4.8,0,0,0,560.6599999999999

18,04:15-04:30,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.57,7.2,1.92,95.12,26.87,0,0.43,5.76,4.8,0,0,0,560.6599999999999

19,04:30-04:45,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.57,7.2,1.92,95.12,26.87,0,0.43,5.76,4.8,0,0,0,560.6599999999999

20,04:45-05:00,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.57,7.2,1.92,95.12,26.87,0,0.43,5.76,4.8,0,0,0,560.6599999999999

21,05:00-05:15,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.57,7.2,1.92,95.12,26.87,0,0.43,5.76,4.8,0,0,0,560.6599999999999

22,05:15-05:30,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.57,7.2,1.92,95.12,26.87,0,0.43,5.76,4.8,0,0,0,560.6599999999999

23,05:30-05:45,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.57,7.2,1.92,95.12,26.87,0,0.43,5.76,4.8,0,0,0,560.6599999999999

24,05:45-06:00,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.57,7.2,1.92,95.12,26.87,0,0.43,5.76,4.8,0,0,0,560.6599999999999

25,06:00-06:15,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.57,7.2,1.92,0,26.87,0,0.43,5.76,4.8,0,0,0.01,180.15999999999997

26,06:15-06:30,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.57,7.2,1.92,0,26.87,0,0.43,5.76,4.8,0,0,0.02,180.17

27,06:30-06:45,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.57,7.2,1.92,0,26.87,0,0.43,5.76,4.8,0,0,0.03,180.17999999999998

28,06:45-07:00,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.57,7.2,1.92,0,26.87,0,0.43,5.76,4.8,0,0,0.35,180.49999999999997

29,07:00-07:15,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.57,7.2,1.92,0,26.87,0,0.58,5.76,4.8,0,0,0.76,181.05999999999997

30,07:15-07:30,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.57,7.2,1.92,0,26.87,0,0.58,5.76,4.8,0,0,1.16,181.45999999999998

31,07:30-07:45,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.57,7.2,1.92,0,26.87,0,0.58,5.76,4.8,0,0,1.58,181.88

32,07:45-08:00,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.57,7.2,1.92,0,26.87,0,0.58,5.76,4.8,0,0,2.12,182.42

33,08:00-08:15,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.57,7.2,1.92,0,26.87,0,0.96,5.76,4.8,0,0,2.69,183.36999999999998

34,08:15-08:30,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.57,7.2,1.92,0,26.87,0,0.96,5.76,4.8,0,0,3.26,183.93999999999997

35,08:30-08:45,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.57,7.2,1.92,0,26.87,0,0.96,5.76,4.8,0,0,3.85,184.52999999999997

36,08:45-09:00,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.57,7.2,1.92,0,26.87,0,0.96,5.76,4.8,0,0,4.44,185.11999999999998

37,09:00-09:15,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.57,7.2,1.92,0,26.87,0,0.86,5.76,4.8,28.79,23.99,5.03,238.39

38,09:15-09:30,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.57,7.2,1.92,0,26.87,0,0.86,5.76,4.8,28.79,23.99,5.54,238.89999999999998

39,09:30-09:45,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.57,7.2,1.92,0,26.87,0,0.86,5.76,4.8,28.79,23.99,6.05,239.41

40,09:45-10:00,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.57,7.2,1.92,0,26.87,0,0.86,5.76,4.8,28.79,23.99,6.46,239.82

41,10:00-10:15,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.86,5.76,4.8,28.79,23.99,6.78,240.04999999999998

42,10:15-10:30,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.86,5.76,4.8,28.79,23.99,7.01,240.27999999999997

43,10:30-10:45,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.86,5.76,4.8,28.79,23.99,7.21,240.48

44,10:45-11:00,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.86,5.76,4.8,28.79,23.99,7.41,240.67999999999998

45,11:00-11:15,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.86,5.76,4.8,28.79,23.99,6.9,240.17

46,11:15-11:30,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.86,5.76,4.8,28.79,23.99,6.18,239.45

47,11:30-11:45,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.86,5.76,4.8,28.79,23.99,7.72,240.98999999999998

48,11:45-12:00,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.86,5.76,4.8,28.79,23.99,8.06,241.32999999999998

49,12:00-12:15,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.86,5.76,4.8,28.79,23.99,5.86,239.13

50,12:15-12:30,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.86,5.76,4.8,28.79,23.99,6.39,239.65999999999997

51,12:30-12:45,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.86,5.76,4.8,28.79,23.99,7.13,240.39999999999998

52,12:45-13:00,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.86,5.76,4.8,28.79,23.99,6.98,240.24999999999997

53,13:00-13:15,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.77,5.76,4.8,28.79,23.99,5.03,238.20999999999998

54,13:15-13:30,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.77,5.76,4.8,28.79,23.99,7.07,240.24999999999997

55,13:30-13:45,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.77,5.76,4.8,28.79,23.99,7.48,240.65999999999997

56,13:45-14:00,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.77,5.76,4.8,28.79,23.99,4.39,237.56999999999996

57,14:00-14:15,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.96,5.76,4.8,28.79,23.99,6.75,240.11999999999998

58,14:15-14:30,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.96,5.76,4.8,28.79,23.99,5.19,238.55999999999997

59,14:30-14:45,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.96,5.76,4.8,28.79,23.99,3.8,237.17

60,14:45-15:00,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,1.92,0,26.87,0,0.96,5.76,4.8,28.79,23.99,5.48,238.84999999999997

61,15:00-15:15,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,2.88,0,26.87,0,0.86,5.76,4.8,28.79,23.99,5.01,239.23999999999998

62,15:15-15:30,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,2.88,0,26.87,0,0.86,5.76,4.8,28.79,23.99,3.01,237.23999999999998

63,15:30-15:45,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,2.88,0,26.87,0,0.86,5.76,4.8,28.79,23.99,3.07,237.29999999999998

64,15:45-16:00,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,7.2,2.88,0,26.87,0,0.86,5.76,4.8,28.79,23.99,3.09,237.32

65,16:00-16:15,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,8.72,2.88,0,26.87,0,0.77,5.76,4.8,24.85,19.19,2.47,229.39

66,16:15-16:30,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,8.72,2.88,0,26.87,0,0.77,5.76,4.8,20.44,13.15,1.99,218.46

67,16:30-16:45,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,8.72,2.88,0,26.87,0,0.77,5.76,4.8,16.12,18.71,1.43,219.14000000000001

68,16:45-17:00,26.17,6.77,0,26.17,0,17.45,0,26.17,26.87,3.48,8.72,2.88,0,26.87,0,0.77,5.76,4.8,11.8,11.52,1.08,207.28000000000003

69,17:00-17:15,26.17,6.77,0,26.17,0,17.45,0,26.17,15.55,3.48,8.72,2.88,0,32,0,0.58,5.76,4.8,0,0,0.62,177.12000000000003

70,17:15-17:30,26.17,6.77,0,26.17,0,17.45,0,26.17,15.55,3.48,8.72,2.88,0,32,0,0.58,5.76,4.8,0,0,0.31,176.81000000000003

71,17:30-17:45,26.17,6.77,0,26.17,0,17.45,0,26.17,32,3.48,8.72,2.88,0,32,0,0.58,5.76,4.8,0,0,0.15,193.10000000000002

72,17:45-18:00,26.17,6.77,0,26.17,0,17.45,0,26.17,32,3.48,8.72,2.88,0,32,0,0.58,5.76,4.8,0,0,0.01,192.96

73,18:00-18:15,26.17,6.77,50,26.17,150,17.45,0,26.17,32,3.57,8.72,2.88,0,32,38.38,0.62,5.76,4.8,0,0,0,431.46000000000004

74,18:15-18:30,26.17,6.77,50,26.17,150,17.45,0,26.17,32,3.57,8.72,2.88,0,32,38.38,0.62,5.76,4.8,0,0,0,431.46000000000004

75,18:30-18:45,26.17,6.77,50,26.17,150,17.45,0,26.17,32,3.57,8.72,2.88,0,32,38.38,0.62,5.76,4.8,0,0,0,431.46000000000004

76,18:45-19:00,26.17,6.77,50,26.17,150,17.45,0,26.17,32,3.57,8.72,2.88,0,32,38.38,0.62,5.76,4.8,0,0,0,431.46000000000004

77,19:00-19:15,26.17,6.77,50,26.17,150,17.45,0,26.17,25.74,3.67,8.72,2.88,0,25.74,38.38,0.62,5.76,4.8,0,0,0,419.0400000000001

78,19:15-19:30,26.17,6.77,50,26.17,150,17.45,0,26.17,25.74,3.67,8.72,2.88,0,25.74,38.38,0.62,5.76,4.8,0,0,0,419.0400000000001

79,19:30-19:45,26.17,6.77,50,26.17,150,17.45,0,26.17,25.74,3.67,8.72,2.88,0,25.74,38.38,0.62,5.76,4.8,0,0,0,419.0400000000001

80,19:45-20:00,26.17,6.77,50,26.17,150,17.45,0,26.17,25.74,3.67,8.72,2.88,0,25.74,38.38,0.62,5.76,4.8,0,0,0,419.0400000000001

81,20:00-20:15,26.17,6.77,50,26.17,200,17.45,0,26.17,25.74,3.67,8.72,2.88,0,25.74,38.38,0.62,5.76,4.8,0,0,0,469.0400000000001

82,20:15-20:30,26.17,6.77,50,26.17,200,17.45,0,26.17,25.74,3.67,8.72,2.88,0,25.74,38.38,0.62,5.76,4.8,0,0,0,469.0400000000001

83,20:30-20:45,26.17,6.77,50,26.17,200,17.45,0,26.17,25.74,3.67,8.72,2.88,0,25.74,38.38,0.62,5.76,4.8,0,0,0,469.0400000000001

84,20:45-21:00,26.17,6.77,50,26.17,200,17.45,0,26.17,25.74,3.67,8.72,2.88,0,25.74,38.38,0.62,5.76,4.8,0,0,0,469.0400000000001

85,21:00-21:15,26.17,6.77,50,26.17,200,17.45,0,26.17,25.76,3.67,8.72,2.88,0,25.76,38.38,0.62,5.76,4.8,0,0,0,469.08000000000004

86,21:15-21:30,26.17,6.77,50,26.17,200,17.45,0,26.17,26.91,3.67,8.72,2.88,0,26.91,38.38,0.62,5.76,4.8,0,0,0,471.3800000000001

87,21:30-21:45,26.17,6.77,50,26.17,200,17.45,0,26.17,26.91,3.67,8.72,2.88,0,26.91,38.38,0.62,5.76,4.8,0,0,0,471.3800000000001

88,21:45-22:00,26.17,6.77,50,26.17,200,17.45,0,26.17,26.91,3.67,8.72,2.88,0,26.91,38.38,0.62,5.76,4.8,0,0,0,471.3800000000001

89,22:00-22:15,26.17,6.77,50,26.17,200,17.45,285.39,26.17,25.76,3.67,8.72,1.92,95.12,25.76,38.38,0.62,5.76,4.8,0,0,0,848.6299999999999

90,22:15-22:30,26.17,6.77,50,26.17,200,17.45,285.39,26.17,25.76,3.67,8.72,1.92,95.12,25.76,38.38,0.62,5.76,4.8,0,0,0,848.6299999999999

91,22:30-22:45,26.17,6.77,50,26.17,200,17.45,285.39,26.17,20.87,3.67,8.72,1.92,95.12,25.76,38.38,0.62,5.76,4.8,0,0,0,843.7399999999999

92,22:45-23:00,26.17,6.77,50,26.17,200,17.45,285.39,26.17,20.87,3.67,8.72,1.92,95.12,25.76,38.38,0.62,5.76,4.8,0,0,0,843.7399999999999

93,23:00-23:15,26.17,6.77,50,26.17,200,17.45,285.39,26.17,20.87,3.67,8.72,1.92,95.12,20.87,38.38,0.62,5.76,4.8,0,0,0,838.8499999999999

94,23:15-23:30,26.17,6.77,50,26.17,200,17.45,285.39,26.17,23.76,3.67,8.72,1.92,95.12,23.76,38.38,0.62,5.76,4.8,0,0,0,844.6299999999999

95,23:30-23:45,26.17,6.77,50,26.17,200,17.45,285.39,26.17,23.76,3.67,8.72,1.92,95.12,23.76,38.38,0.62,5.76,4.8,0,0,0,844.6299999999999

96,23:45-24:00,26.17,6.77,50,26.17,200,17.45,285.39,26.17,23.76,3.67,8.72,1.92,95.12,23.76,38.38,0.62,5.76,4.8,0,0,0,844.6299999999999

