Time,Block,NR/2023/11947/F,NR/2023/10236/A,NR/2023/11862/F,NR/2023/12058/D,NR/2023/12080/C,NR/2023/10344/A,NR/2023/11476/A,NR/2023/11963/F,NR/2023/11962/F,NR/2023/12082/C,NR/2023/11958/F,NR/2023/10229/A,NR/2023/12059/D,NR/2023/11952/F,NR/2023/12062/D,NR/2023/11955/F,NR/2023/12071/C,NR/2023/11941/F,NR/2023/11961/F,NR/2023/11959/F,NR/2023/11960/F,NR/2023/11342/A,NR/2023/11957/F,NR/2023/12060/D,NR/2023/10613/A,NR/2023/11956/F,NR/2023/12064/C,NR/2023/10434/A,NR/2023/10487/A,Total
9,02:00-02:15,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,36.470000,72.680000,0.360000,12.090000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,738.29

10,02:15-02:30,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,36.470000,72.680000,0.360000,12.090000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,738.29

11,02:30-02:45,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,36.470000,72.680000,0.360000,12.090000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,738.29

12,02:45-03:00,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,36.470000,72.680000,0.360000,12.090000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,738.29

13,03:00-03:15,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,0.000000,72.680000,0.360000,12.090000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,701.82

14,03:15-03:30,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,0.000000,72.680000,0.360000,12.090000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,701.82

15,03:30-03:45,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,0.000000,72.680000,0.360000,12.090000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,701.82

16,03:45-04:00,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,0.000000,72.680000,0.360000,12.090000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,701.82

17,04:00-04:15,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,0.000000,72.680000,0.360000,11.990000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,701.72

18,04:15-04:30,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,0.000000,72.680000,0.360000,11.990000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,701.72

19,04:30-04:45,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,0.000000,72.680000,0.360000,11.990000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,701.72

20,04:45-05:00,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,0.000000,72.680000,0.360000,11.990000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,701.72

21,05:00-05:15,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,0.000000,72.680000,0.360000,11.990000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,0.000000,0.370000,27.000000,24.160000,41.560000,689.06

22,05:15-05:30,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,0.000000,72.680000,0.360000,11.990000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,0.000000,0.370000,27.000000,24.160000,41.560000,689.06

23,05:30-05:45,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,0.000000,72.680000,0.360000,11.990000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,0.000000,0.370000,27.000000,24.160000,41.560000,689.06

24,05:45-06:00,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,0.000000,81.090000,0.360000,11.990000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,0.000000,0.370000,27.000000,24.160000,41.560000,697.47

25,06:00-06:15,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,0.000000,81.090000,0.360000,11.910000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,0.000000,0.370000,27.000000,24.160000,41.560000,697.39

26,06:15-06:30,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,0.000000,81.090000,0.360000,11.910000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,0.000000,0.370000,27.000000,24.160000,41.560000,697.39

27,06:30-06:45,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,0.000000,81.090000,0.360000,11.910000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,0.000000,0.370000,27.000000,24.160000,41.560000,697.39

28,06:45-07:00,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,3.5,0.000000,81.090000,0.360000,11.910000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,1.5,0.000000,0.370000,27.000000,24.160000,41.560000,702.39

29,07:00-07:15,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,17.5,0.000000,81.090000,0.360000,11.810000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,7.5,0.000000,0.370000,25.480000,24.160000,41.560000,720.77

30,07:15-07:30,6.770000,214.830000,2.900000,0.1,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,30.8,0.000000,81.090000,0.360000,11.810000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,13.2,0.000000,0.370000,25.480000,24.160000,41.560000,739.87

31,07:30-07:45,6.770000,214.830000,2.900000,0.42,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,45.5,0.000000,81.090000,0.360000,11.810000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,19.5,0.000000,0.370000,25.480000,24.160000,41.560000,761.19

32,07:45:08:00,6.770000,214.830000,2.900000,0.86,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,58.1,0.000000,81.090000,0.360000,11.810000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,24.9,0.000000,0.370000,25.480000,24.160000,41.560000,779.63

33,08:00-08:15,6.770000,214.830000,2.900000,1.17,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,77,0.000000,81.090000,0.360000,11.710000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,33,0.000000,0.350000,25.480000,24.160000,41.560000,806.84

34,08:15-08:30,6.770000,214.830000,2.900000,1.64,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,91,0.000000,81.090000,0.360000,11.710000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,39,0.000000,0.350000,25.480000,24.160000,41.560000,827.31

35,08:30-08:45,6.770000,214.830000,2.900000,2.51,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,98,0.000000,81.090000,0.360000,11.710000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,42,0.000000,0.350000,25.480000,24.160000,41.560000,838.18

36,08:45:09:00,6.770000,214.830000,2.900000,2.99,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,119,0.000000,81.090000,0.360000,11.710000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,51,0.000000,0.350000,25.480000,24.160000,41.560000,868.66

37,09:00:09:15,6.770000,214.830000,2.900000,3.76,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,129.5,0.000000,81.090000,0.360000,11.630000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,55.5,0.000000,0.350000,27.520000,24.160000,41.560000,892.39

38,09:15-09:30,6.770000,214.830000,2.900000,4.53,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,143.5,0.000000,81.090000,0.360000,11.630000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,61.5,0.000000,0.350000,27.520000,24.160000,41.560000,913.16

39,09:30-09:45,6.770000,214.830000,2.900000,4.73,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,155.4,0.000000,81.090000,0.360000,11.630000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,66.6,0.000000,0.350000,27.520000,24.160000,41.560000,930.36

40,09:45-10:00,6.770000,214.830000,2.900000,5.21,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,162.4,0.000000,81.090000,0.360000,11.630000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,69.6,0.000000,0.350000,27.520000,24.160000,41.560000,940.84

41,10:00-10:15,6.770000,214.830000,2.900000,5.59,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,166.6,0.000000,81.090000,0.360000,11.530000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,71.4,0.000000,0.350000,27.520000,24.160000,41.560000,947.12

42,10:15-10:30,6.770000,214.830000,2.900000,5.69,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,175,0.000000,81.090000,0.360000,11.530000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,75,0.000000,0.350000,27.520000,24.160000,41.560000,959.22

43,10:30-10:45,6.770000,214.830000,2.900000,5.69,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,176.4,0.000000,81.090000,0.360000,11.530000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,75.6,0.000000,0.350000,27.520000,24.160000,41.560000,961.22

44,10:45-11:00,6.770000,214.830000,2.900000,6.17,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,176.4,0.000000,81.090000,0.360000,11.530000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,75.6,0.000000,0.350000,27.520000,24.160000,41.560000,961.7

45,11:00-11:15,6.770000,214.830000,2.900000,6.94,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,176.4,0.000000,81.090000,0.360000,11.440000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,75.6,0.000000,0.350000,27.520000,24.160000,41.560000,962.38

46,11:15-11:30,6.770000,214.830000,2.900000,7.14,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,176.4,0.000000,81.090000,0.360000,11.440000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,75.6,0.000000,0.350000,27.520000,24.160000,41.560000,962.58

47,11:30-11:45,6.770000,214.830000,2.900000,7.81,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,176.4,0.000000,81.090000,0.360000,11.440000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,75.6,0.000000,0.350000,27.520000,24.160000,41.560000,963.25

48,11:45-12:00,6.770000,214.830000,2.900000,8.01,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,178.5,0.000000,81.090000,0.360000,11.440000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,76.5,0.000000,0.350000,27.520000,24.160000,41.560000,966.45

49,12:00-12:15,6.770000,214.830000,2.900000,8.1,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,178.5,0.000000,81.090000,0.360000,11.440000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,76.5,0.000000,0.350000,27.520000,24.160000,41.560000,966.54

50,12:15-12:30,6.770000,214.830000,2.900000,8.2,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,178.5,0.000000,81.090000,0.360000,11.440000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,76.5,0.000000,0.350000,27.520000,24.160000,41.560000,966.64

51,12:30-12:45,6.770000,214.830000,2.900000,8.29,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,182,0.000000,81.090000,0.360000,11.440000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,78,0.000000,0.350000,27.520000,24.160000,41.560000,971.73

52,12:45-13:00,6.770000,214.830000,2.900000,8.58,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,182,0.000000,81.090000,0.360000,11.440000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,78,0.000000,0.350000,27.520000,24.160000,41.560000,972.02

53,13:00-13:15,6.770000,214.830000,2.900000,9.02,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,178.5,0.000000,81.090000,0.360000,11.350000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,76.5,0.000000,0.350000,27.520000,24.160000,41.560000,967.37

54,13:15-13:30,6.770000,214.830000,2.900000,8.68,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,178.5,0.000000,81.090000,0.360000,11.350000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,76.5,0.000000,0.350000,27.520000,24.160000,41.560000,967.03

55,13:30-13:45,6.770000,214.830000,2.900000,8.49,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,178.5,0.000000,81.090000,0.360000,11.350000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,76.5,0.000000,0.350000,27.520000,24.160000,41.560000,966.84

56,13:45-14:00,6.770000,214.830000,2.900000,8.2,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,178.5,0.000000,81.090000,0.360000,11.350000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,76.5,0.000000,0.350000,27.520000,24.160000,41.560000,966.55

57,14:00-14:15,6.770000,214.830000,2.900000,8.1,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,176.4,0.000000,81.090000,0.360000,11.350000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,75.6,0.000000,0.350000,27.520000,24.160000,41.560000,963.45

58,14:15-14:30,6.770000,214.830000,2.900000,8.05,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,176.4,0.000000,81.090000,0.360000,11.350000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,75.6,0.000000,0.350000,27.520000,24.160000,41.560000,963.4

59,14:30-14:45,6.770000,214.830000,2.900000,7.91,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,175,0.000000,81.090000,0.360000,11.350000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,75,0.000000,0.350000,27.520000,24.160000,41.560000,961.26

60,14:45-15:00,6.770000,214.830000,2.900000,7.81,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,171.5,0.000000,81.090000,0.360000,11.350000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,73.5,0.000000,0.350000,27.520000,24.160000,41.560000,956.16

61,15:00-15:15,6.770000,214.830000,2.900000,7.76,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,161,0.000000,81.090000,0.360000,11.440000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,69,0.000000,0.350000,28.530000,24.160000,41.560000,942.21

62,15:15-15:30,6.770000,214.830000,2.900000,7.72,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,147,0.000000,81.090000,0.360000,11.440000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,63,0.000000,0.350000,28.530000,24.160000,41.560000,922.17

63,15:30-15:45,6.770000,214.830000,2.900000,6.85,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,140,0.000000,81.090000,0.360000,11.440000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,60,0.000000,0.350000,28.530000,24.160000,41.560000,911.3

64,15:45-16:00,6.770000,214.830000,2.900000,6.08,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,135.1,0.000000,81.090000,0.360000,11.440000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,57.9,0.000000,0.350000,28.530000,24.160000,41.560000,903.53

65,16:00-16:15,6.770000,214.830000,2.900000,5.69,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,120.4,0.000000,81.090000,0.360000,11.530000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,51.6,0.000000,0.350000,28.530000,24.160000,41.560000,882.23

66,16:15-16:30,6.770000,214.830000,2.900000,4.92,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,108.5,0.000000,81.090000,0.360000,11.530000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,46.5,0.000000,0.350000,28.530000,24.160000,41.560000,864.46

67,16:30-16:45,6.770000,214.830000,2.900000,4.34,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,92.4,0.000000,81.090000,0.360000,11.530000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,39.6,0.000000,0.350000,28.530000,24.160000,41.560000,840.88

68,16:45-17:00,6.770000,214.830000,2.900000,3.47,6.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,71.4,0.000000,81.090000,0.360000,11.530000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,30.6,0.000000,0.350000,28.530000,24.160000,41.560000,810.01

69,17:00-17:15,6.770000,214.830000,2.900000,2.6,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,60.9,0.000000,81.090000,0.360000,11.630000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,26.1,0.000000,0.350000,30.570000,24.160000,41.560000,790.28

70,17:15-17:30,6.770000,214.830000,2.900000,1.64,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,47.6,0.000000,134.150000,0.360000,11.630000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,20.4,0.000000,0.350000,30.570000,24.160000,41.560000,823.38

71,17:30-17:45,6.770000,214.830000,2.900000,0.87,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,35,0.000000,134.150000,0.360000,11.630000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,15,0.000000,0.350000,30.570000,24.160000,41.560000,804.61

72,17:45-18:00,6.770000,214.830000,2.900000,0.21,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,28,0.000000,193.300000,0.360000,11.630000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,12,0.000000,0.350000,30.570000,24.160000,41.560000,853.1

73,18:00-18:15,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,21,36.470000,193.300000,0.360000,11.710000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,9,0.000000,0.350000,30.570000,24.160000,41.560000,879.44

74,18:15-18:30,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,7,36.470000,193.300000,0.360000,11.710000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,3,0.000000,0.350000,30.570000,24.160000,41.560000,859.44

75,18:30-18:45,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,3.5,36.470000,193.300000,0.360000,11.710000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,1.5,0.000000,0.350000,30.570000,24.160000,41.560000,854.44

76,18:45-19:00,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,36.470000,193.300000,0.360000,11.710000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,0,0.000000,0.350000,30.570000,24.160000,41.560000,849.44

77,19:00-19:15,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,193.300000,0.360000,11.910000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,0,0.000000,0.350000,30.570000,24.160000,41.560000,869.64

78,19:15-19:30,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,193.300000,0.360000,11.910000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,0,0.000000,0.350000,30.570000,24.160000,41.560000,869.64

79,19:30-19:45,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,193.300000,0.360000,11.910000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,0,0.000000,0.350000,30.570000,24.160000,41.560000,869.64

