Time,Block,NR/2023/13635/A,NR/2023/15829/D,NR/2023/15303/F,NR/2023/15831/D,NR/2023/12592/A,NR/2023/14737/A,NR/2023/15296/F,NR/2023/12053/A,NR/2023/13862/A,NR/2023/12167/A,NR/2023/15846/C,NR/2023/15309/F,NR/2023/15851/C,NR/2023/14746/A,NR/2023/14895/A,NR/2023/12052/A,NR/2023/12431/A,NR/2023/15694/F,NR/2023/15306/F,NR/2023/12347/A,ER/2023/9800/C,NR/2023/15835/C,NR/2023/12168/A,NR/2023/12422/A,NR/2023/15057/F,NR/2023/15854/C,NR/2023/15858/C,NR/2023/14745/A,SR/2023/7997/C,NR/2023/12591/A,NR/2023/14898/A,NR/2023/15832/D,NR/2023/12148/A,NR/2023/15839/C,NR/2023/15859/C,NR/2023/15402/F,NR/2023/15304/F,Total

3,00:30-00:45,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,36.510000,23.160000,24.190000,19.170000,4.840000,6.060000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.870000,0,0.000000,24.190000,0.00,42.570000,70.160000,0,22.260000,138.380000,0.000000,0.000000,0.580000,1278.88

4,00:45-01:00,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,36.510000,23.160000,24.190000,19.170000,4.840000,6.060000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.870000,0,0.000000,24.190000,0.00,42.570000,70.160000,0,22.260000,138.380000,0.000000,0.000000,0.580000,1278.88

5,01:00-01:15,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,36.510000,23.160000,24.190000,19.170000,4.840000,6.060000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.680000,0,0.000000,24.190000,0.00,42.570000,70.160000,0,22.260000,138.380000,0.000000,0.000000,0.580000,1278.69

6,01:15-01:30,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,36.510000,23.160000,24.190000,19.170000,4.840000,5.040000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.680000,0,0.000000,24.190000,0.00,42.570000,70.160000,0,22.260000,119.990000,0.000000,0.000000,0.580000,1259.28

7,01:30-01:45,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,36.510000,23.160000,24.190000,19.170000,4.840000,5.040000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.680000,0,0.000000,24.190000,0.00,42.570000,70.160000,0,22.260000,87.090000,0.000000,0.000000,0.580000,1226.38

8,01:45-02:00,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,36.510000,23.160000,24.190000,19.170000,4.840000,5.040000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.680000,0,0.000000,24.190000,0.00,42.570000,70.160000,0,22.260000,55.160000,0.000000,0.000000,0.580000,1194.45

9,02:00-02:15,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,36.510000,23.160000,24.190000,19.170000,4.840000,5.040000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.580000,0,0.000000,24.190000,200.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1339.19

10,02:15-02:30,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,36.510000,23.160000,24.190000,19.170000,4.840000,5.040000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.580000,0,0.000000,24.190000,200.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1339.19

11,02:30-02:45,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,36.510000,23.160000,24.190000,19.170000,4.840000,5.040000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.580000,0,0.000000,24.190000,200.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1339.19

12,02:45-03:00,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,36.510000,23.160000,24.190000,19.170000,4.840000,6.060000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.580000,0,0.000000,24.190000,200.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1340.21

13,03:00-03:15,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,6.060000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.530000,0,0.000000,24.190000,200.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1280.49

14,03:15-03:30,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,6.060000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.530000,0,0.000000,24.190000,200.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1280.49

15,03:30-03:45,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,6.060000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.530000,0,0.000000,24.190000,200.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1280.49

16,03:45-04:00,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,6.060000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.530000,0,0.000000,24.190000,200.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1280.49

17,04:00-04:15,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,6.060000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.530000,0,0.000000,24.190000,250.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1330.49

18,04:15-04:30,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,6.060000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.530000,0,0.000000,24.190000,250.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1330.49

19,04:30-04:45,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,6.060000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.530000,0,0.000000,24.190000,250.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1330.49

20,04:45-05:00,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,6.060000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.530000,0,0.000000,24.190000,250.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1330.49

21,05:00-05:15,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,5.040000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,0.000000,46.640000,33.390000,0.530000,0,0.000000,24.190000,250.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1230.76

22,05:15-05:30,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,5.040000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,0.000000,46.640000,33.390000,0.530000,0,0.000000,24.190000,250.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1230.76

23,05:30-05:45,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,5.040000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,0.000000,46.640000,33.390000,0.530000,0,0.000000,24.190000,250.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1230.76

24,05:45-06:00,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,5.040000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,0.000000,46.640000,33.390000,0.530000,0,0.000000,24.190000,250.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1230.76

25,06:00-06:15,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,5.040000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,0.000000,46.640000,0.000000,0.680000,0,0.000000,24.190000,250.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1119.62

26,06:15-06:30,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,5.040000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,0.000000,46.640000,0.000000,0.680000,0,0.000000,24.190000,250.00,42.570000,70.160000,0,22.260000,0.000000,0.000000,0.000000,0.580000,1119.62

27,06:30-06:45,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,5.040000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,0.000000,46.640000,0.000000,0.680000,0,0.000000,24.190000,250.00,42.570000,70.160000,0.13,22.260000,0.000000,0.000000,0.000000,0.580000,1119.75

28,06:45-07:00,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,5.040000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,0.000000,46.640000,0.000000,0.680000,0,0.000000,24.190000,250.00,42.570000,70.160000,0.58,22.260000,0.000000,0.000000,0.000000,0.580000,1120.2

29,07:00-07:15,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,5.040000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,0.000000,46.640000,0.000000,0.680000,0,0.000000,24.190000,250.00,42.570000,70.160000,1.1,22.260000,0.000000,0.000000,0.000000,0.580000,1120.72

30,07:15-07:30,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,5.040000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,0.000000,46.640000,0.000000,0.680000,0,0.000000,24.190000,250.00,42.570000,70.160000,1.54,22.260000,0.000000,0.000000,0.000000,0.580000,1121.16

31,07:30-07:45,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,5.040000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,0.000000,46.640000,0.000000,0.680000,0,0.000000,24.190000,250.00,42.570000,70.160000,1.97,22.260000,0.000000,0.000000,0.000000,0.580000,1121.59

32,07:45:08:00,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,5.040000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,0.000000,46.640000,0.000000,0.680000,0,0.000000,24.190000,250.00,42.570000,70.160000,2.33,22.260000,0.000000,0.000000,0.000000,0.580000,1121.95

33,08:00-08:15,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,5.040000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,0.000000,46.640000,0.000000,0.970000,0,0.000000,24.190000,300.00,42.570000,70.160000,2.9,22.260000,0.000000,0.000000,0.000000,0.580000,1224.1

34,08:15-08:30,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,6.060000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,0.000000,46.640000,0.000000,0.970000,0,0.000000,24.190000,300.00,42.570000,70.160000,3.55,22.260000,0.000000,0.000000,0.000000,0.580000,1225.77

35,08:30-08:45,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,6.060000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,0.000000,46.640000,0.000000,0.970000,0,0.000000,24.190000,300.00,42.570000,70.160000,4.17,22.260000,0.000000,0.000000,0.000000,0.580000,1226.39

36,08:45:09:00,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,6.060000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,0.000000,46.640000,0.000000,0.970000,0,0.000000,24.190000,300.00,42.570000,70.160000,4.65,22.260000,0.000000,0.000000,0.000000,0.580000,1226.87

37,09:00:09:15,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,6.060000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,300.00,42.570000,70.160000,5,22.260000,0.000000,0.000000,6.770000,0.580000,1280.44

38,09:15-09:30,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,7.060000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,200.00,42.570000,70.160000,5.85,22.260000,0.000000,0.000000,6.770000,0.580000,1182.29

39,09:30-09:45,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,7.060000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,4.18,22.260000,0.000000,0.000000,6.770000,0.580000,980.62

40,09:45-10:00,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,0.000000,0.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,5.43,22.260000,0.000000,0.000000,6.770000,0.580000,982.88

41,10:00-10:15,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,90.960000,50.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,6.48,22.260000,0.000000,0.000000,6.770000,0.580000,1124.89

42,10:15-10:30,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,90.960000,130.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,7.7,22.260000,0.000000,0.000000,6.770000,0.580000,1206.11

43,10:30-10:45,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,90.960000,130.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,6.64,22.260000,0.000000,0.000000,6.770000,0.580000,1205.05

44,10:45-11:00,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,90.960000,130.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,6.79,22.260000,0.000000,0.000000,6.770000,0.580000,1205.2

45,11:00-11:15,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,90.960000,130.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,7.15,22.260000,0.000000,0.000000,6.770000,0.580000,1205.56

46,11:15-11:30,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,90.960000,130.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,8.14,22.260000,0.000000,0.000000,6.770000,0.580000,1206.55

47,11:30-11:45,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,90.960000,130.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,8.11,22.260000,0.000000,0.000000,6.770000,0.580000,1206.52

48,11:45-12:00,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,90.960000,130.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,8.48,22.260000,0.000000,0.000000,6.770000,0.580000,1206.89

49,12:00-12:15,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,90.960000,130.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,6.6,22.260000,0.000000,0.000000,6.770000,0.580000,1205.01

50,12:15-12:30,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,90.960000,130.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,6.9,22.260000,0.000000,0.000000,6.770000,0.580000,1205.31

51,12:30-12:45,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,90.960000,130.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,7.18,22.260000,0.000000,0.000000,6.770000,0.580000,1205.59

52,12:45-13:00,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,90.960000,130.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,8.79,22.260000,0.000000,0.000000,6.770000,0.580000,1207.2

53,13:00-13:15,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,90.960000,130.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,8.14,22.260000,0.000000,0.000000,6.770000,0.580000,1206.55

54,13:15-13:30,21.290000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,193.540000,0.930000,90.960000,130.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,7.33,22.260000,0.000000,0.000000,6.770000,0.580000,1205.74

55,13:30-13:45,15.790000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,143.570000,0.930000,90.960000,130.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,7.11,22.260000,0.000000,0.000000,6.770000,0.580000,1150.05

56,13:45-14:00,15.790000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,0.000000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,143.570000,0.930000,90.960000,130.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,6.41,22.260000,0.000000,0.000000,6.770000,0.580000,1149.35

57,14:00-14:15,15.790000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,23.160000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,143.570000,0.930000,106.450000,130.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,5.24,22.260000,0.000000,0.000000,6.770000,0.580000,1186.83

58,14:15-14:30,15.790000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,23.160000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,143.570000,0.930000,106.450000,50.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,5.52,22.260000,0.000000,0.000000,6.770000,0.580000,1107.11

59,14:30-14:45,15.790000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,23.160000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,143.570000,0.930000,106.450000,0.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,7.04,22.260000,0.000000,0.000000,6.770000,0.580000,1058.63

60,14:45-15:00,15.790000,12.580000,0.910000,38.710000,85.140000,38.710000,0.970000,0.000000,23.160000,24.190000,19.170000,4.840000,8.070000,0.000000,95.800000,63.140000,108.870000,143.570000,0.930000,106.450000,0.000000,29.030000,46.640000,0.000000,0.970000,17.42,0.000000,24.190000,0.00,42.570000,70.160000,6.28,22.260000,0.000000,0.000000,6.770000,0.580000,1057.87

