Block,Time,L_NR_2012_04,SH-06,SH-07,L_NR_2012_01,L_NR_2023_04,LT-31,LT-36,L_NR_2012_07,L_NR_2012_02,LT-59,L_NR_2019_19,LT_MEJA_Delhi,LT-05,L_NR_2019_11,L_NR_2020_02,LT-35,L_NR_2019_07,L_NR_2022_09,L_NR_2022_08,L_NR_2021_17,L_NR_2020_06,L_NR_2022_10,L_NR_2019_05,L_NR_2021_12,L_NR_2018_61,L_NR_2019_06,L_NR_2021_13,L_NR_2020_07,L_NR_2020_05,L_NR_2021_14,L_NR_2021_16,L_NR_2021_15
11,02:30-02:45,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,201.600000,7.940000,0.000000,1.980000,116.140000,8.850000,8.280000,0.000000,0,52.11,10.79,0,18.96,52.11,0,0,6.81,0,0,18.95,56.87,0,0,0

12,02:45-03:00,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,201.600000,7.940000,0.000000,1.980000,116.140000,8.850000,8.280000,0.000000,0,62.82,11.12,0,25.11,62.82,0,0,6.81,0,0,25.12,75.33,0,0,0

13,03:00-03:15,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,201.600000,7.940000,0.000000,1.980000,116.140000,8.850000,8.100000,0.000000,0,63.22,11.47,0,25.86,63.22,0,0,6.81,0,0,25.85,77.57,0,0,0

14,03:15-03:30,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,201.600000,7.940000,0.000000,1.980000,116.140000,8.850000,8.100000,0.000000,0,63.48,17.28,0,26.63,63.48,0,0,6.99,0,0,26.61,79.88,0,0,0

15,03:30-03:45,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,201.600000,7.940000,0.000000,1.980000,116.140000,8.850000,8.100000,0.000000,0,64.22,17.77,0,27.17,64.22,0,0,7,0,0,27.15,81.5,0,0,0

16,03:45-04:00,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,201.600000,7.940000,0.000000,1.980000,116.140000,8.850000,8.100000,0.000000,0,64.88,18.25,0,27.94,64.88,0,0,6.85,0,0,27.96,83.83,0,0,0

17,04:00-04:15,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,44.420000,155.460000,7.790000,0.000000,1.980000,94.880000,8.470000,7.900000,0.000000,0,65.55,18.58,0,36.76,65.55,0,0,6.93,0,0,36.75,110.27,0,0,0

18,04:15-04:30,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,44.420000,155.460000,7.790000,0.000000,1.980000,94.880000,8.470000,7.900000,0.000000,0,76.88,19,0,37.58,76.88,0,0,6.96,0,0,37.58,112.74,0,0,0

19,04:30-04:45,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,201.600000,7.790000,0.000000,1.980000,116.140000,8.470000,7.900000,0.000000,0,76.94,21.82,0,38.34,76.94,0,0,6.9,0,0,38.34,115.02,0,0,0

20,04:45-05:00,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,201.600000,7.790000,0.000000,1.980000,116.140000,8.470000,7.900000,0.000000,0,76.88,21.98,0,38.41,76.88,0,0,6.89,0,0,38.41,115.22,0,0,0

21,05:00-05:15,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,44.420000,153.220000,7.790000,0.000000,1.980000,94.880000,8.470000,7.720000,0.000000,0,76.89,21.96,0,38.46,76.89,0,0,6.92,0,0,38.45,115.37,0,0,0

22,05:15-05:30,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,44.420000,145.780000,7.790000,0.000000,1.980000,94.880000,8.470000,7.720000,0.000000,0,76.9,21.76,0,38.5,76.9,0,0,7,0,0,38.49,115.5,0,0,0

23,05:30-05:45,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,194.160000,7.790000,1.430000,1.980000,116.140000,8.470000,7.720000,0.000000,0,76.8,21.69,0.09,38.36,76.8,0,0,6.85,0,0,38.34,115.07,0,0.17,0

24,05:45-06:00,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,201.600000,7.790000,5.590000,1.980000,116.140000,8.470000,7.720000,0.000000,0,76.86,21.82,0.43,38.41,76.86,0,0.05,6.87,0,0.01,38.4,115.22,0,0.87,0.34

25,06:00-06:15,272.110000,0.000000,0.000000,101.350000,0.000000,0.110000,0.110000,63.450000,201.600000,7.560000,10.010000,1.980000,116.140000,8.080000,7.540000,0.110000,1.43,76.76,21.7,1.24,38.49,76.76,14.25,2.65,6.8,16.47,0.53,38.5,115.48,0.03,2.49,0.76

26,06:15-06:30,272.110000,0.000000,0.000000,72.320000,0.000000,0.430000,0.450000,50.960000,201.600000,7.560000,14.740000,1.980000,94.880000,8.080000,7.540000,0.430000,3.94,76.95,21.96,2.43,38.49,76.95,23.41,7.16,6.93,27.51,1.43,38.49,115.47,0.03,4.86,1.95

27,06:30-06:45,272.110000,0.000000,0.000000,46.440000,0.000000,0.420000,0.430000,31.930000,153.220000,7.560000,20.950000,1.980000,70.590000,8.080000,7.540000,0.420000,11.39,76.82,21.76,3.86,38.38,76.82,33,12.67,6.94,33,2.53,38.37,115.12,1.19,7.72,3.46

28,06:45-07:00,272.110000,0.000000,0.000000,46.440000,0.000000,0.880000,0.900000,31.930000,150.620000,7.560000,28.570000,1.980000,70.590000,8.080000,7.540000,0.880000,17.63,76.68,21.69,5.36,38.48,76.68,31.91,19.49,6.9,31.91,3.9,38.49,115.45,3.5,10.72,5.25

29,07:00-07:15,272.110000,0.000000,0.000000,46.440000,0.000000,1.520000,1.560000,31.930000,115.130000,7.560000,36.910000,1.980000,70.590000,8.080000,7.350000,1.520000,26.44,76.81,21.82,7.03,38.4,76.81,27.5,29.28,6.83,27.51,5.85,38.41,115.21,6.85,14.06,7.54

30,07:15-07:30,272.110000,0.000000,0.000000,46.440000,0.000000,2.320000,2.380000,31.930000,115.130000,7.560000,45.950000,1.980000,70.590000,8.080000,7.350000,2.320000,27.15,76.76,21.7,8.83,38.48,76.76,27.15,41.73,6.85,27.15,8.35,38.48,115.44,11.41,17.67,10.26

31,07:30-07:45,272.110000,0.000000,0.000000,46.440000,0.000000,3.380000,3.460000,31.930000,115.130000,7.560000,54.980000,1.980000,70.590000,8.080000,7.350000,3.380000,27.15,76.68,21.96,10.63,38.43,76.68,27.15,56.44,6.83,27.15,11.29,38.44,115.3,17.06,21.27,13.07

32,07:45:08:00,272.110000,0.000000,0.000000,46.440000,0.000000,4.420000,4.520000,31.930000,115.130000,7.560000,63.210000,1.980000,70.590000,8.080000,7.350000,4.420000,27.15,76.69,21.76,12.31,36.67,76.69,27.15,72.62,6.99,27.15,14.52,36.67,110.01,23.48,24.63,15.96

33,08:00-08:15,272.110000,0.000000,0.000000,46.440000,0.000000,5.410000,5.540000,31.930000,115.130000,7.560000,70.680000,1.980000,70.590000,8.080000,7.160000,5.410000,32.33,76.9,21.97,13.9,36.74,76.9,32.34,83.11,6.87,32.33,16.62,36.72,110.21,30.6,27.79,17.58

34,08:15-08:30,272.110000,0.000000,0.000000,46.440000,0.000000,6.410000,6.570000,31.930000,115.130000,7.560000,78.790000,1.980000,70.590000,8.080000,7.160000,6.410000,32.33,76.8,21.98,15.33,36.72,76.8,32.34,98.88,6.81,32.33,19.77,36.71,110.15,38.37,30.67,20.35

35,08:30-08:45,272.110000,0.000000,0.000000,46.440000,0.000000,7.270000,7.460000,31.930000,115.130000,7.560000,87.660000,1.030000,70.590000,8.080000,7.160000,7.270000,32.33,76.86,21.84,16.68,36.68,76.86,32.34,114.43,7,32.33,22.88,36.67,110.04,44.05,33.36,23.02

36,08:45:09:00,272.110000,0.000000,0.000000,46.440000,0.000000,8.310000,8.520000,31.930000,115.130000,7.560000,96.650000,1.030000,70.590000,8.080000,7.160000,8.310000,32.33,76.76,21.73,29.66,36.69,76.76,32.34,129.45,6.98,32.33,25.89,36.68,110.07,50.86,59.34,25.73

37,09:00:09:15,272.110000,0.000000,0.000000,46.440000,0.000000,9.200000,9.420000,31.930000,115.130000,7.320000,104.660000,1.030000,70.590000,6.930000,6.460000,9.200000,32.33,76.95,21.81,32,36.76,76.95,32.34,143.65,6.94,32.33,28.73,36.75,110.28,56.36,64,28.29

38,09:15-09:30,272.110000,0.000000,0.000000,46.440000,0.000000,9.830000,10.070000,31.930000,115.130000,7.320000,111.700000,1.030000,70.590000,6.930000,6.460000,9.830000,32.33,76.82,25.54,32.66,36.7,76.82,32.34,156.92,6.86,32.33,31.38,36.7,110.09,62.2,65.34,30.58

39,09:30-09:45,272.110000,0.000000,0.000000,46.440000,0.000000,7.370000,7.560000,31.930000,150.620000,7.320000,117.780000,0.390000,70.590000,6.930000,6.460000,7.370000,32.33,76.68,25.58,33.33,36.69,76.68,32.34,154.88,6.99,32.33,30.98,36.68,110.07,67.38,66.67,37.36

40,09:45-10:00,272.110000,0.000000,0.000000,46.440000,0.000000,7.870000,8.070000,50.960000,199.000000,7.320000,123.510000,0.390000,70.590000,6.930000,6.460000,7.870000,32.33,76.81,25.59,32.66,36.69,76.81,32.34,161.63,6.89,32.33,32.33,36.7,110.08,71.9,65.34,39.28

41,10:00-10:15,272.110000,0.000000,0.000000,46.440000,0.000000,8.310000,8.520000,50.960000,201.600000,7.320000,127.100000,0.390000,70.590000,6.930000,7.440000,8.310000,32.33,76.76,25.51,34.33,36.76,76.76,32.34,125.21,6.81,32.33,25.04,36.75,110.28,76.25,68.67,40.6

42,10:15-10:30,272.110000,0.000000,0.000000,46.440000,0.000000,8.700000,8.910000,50.960000,201.600000,7.320000,127.740000,0.390000,70.590000,6.930000,7.440000,8.700000,32.33,76.68,25.54,12.33,36.71,76.68,32.34,129.38,7,32.33,25.87,36.71,110.13,80.34,24.67,41.28

43,10:30-10:45,272.110000,0.000000,0.000000,46.440000,0.000000,9.010000,9.240000,50.960000,201.600000,7.320000,128.190000,0.390000,70.590000,6.930000,7.440000,9.010000,32.33,76.69,25.44,13.67,36.78,76.69,32.34,133.54,6.84,32.33,26.71,36.79,110.34,83.12,27.33,41.84

44,10:45-11:00,272.110000,0.000000,0.000000,46.440000,0.000000,9.290000,9.520000,50.960000,201.600000,7.320000,128.270000,0.390000,70.590000,6.930000,7.440000,9.290000,32.33,76.68,25.62,15.33,36.82,76.68,32.34,141.88,7,32.33,28.37,36.83,110.46,84.48,30.67,42.24

45,11:00-11:15,272.110000,0.000000,0.000000,75.460000,0.000000,9.530000,9.770000,50.960000,201.600000,7.320000,128.750000,0.390000,70.590000,6.930000,7.440000,9.530000,32.67,76.7,25.55,16.67,36.78,76.7,32.66,150.21,6.87,32.67,30.04,36.79,110.36,85.46,33.33,46.89

46,11:15-11:30,272.110000,0.000000,0.000000,77.400000,0.000000,9.730000,9.980000,50.960000,201.600000,7.320000,130.000000,0.390000,70.590000,6.930000,7.440000,9.730000,32.67,76.75,25.46,18.33,36.76,76.75,32.66,154.38,6.97,32.67,30.87,36.77,110.29,85.96,36.67,47.46

47,11:30-11:45,272.110000,0.000000,0.000000,77.400000,0.000000,9.870000,10.110000,50.960000,201.600000,7.320000,131.810000,0.390000,70.590000,6.930000,7.440000,9.870000,32.67,76.93,25.47,18,36.74,76.93,32.66,91.88,6.93,32.67,18.37,36.74,110.21,86.02,36,47.47

48,11:45-12:00,272.110000,0.000000,0.000000,77.400000,0.000000,10.070000,10.330000,50.960000,201.600000,7.320000,133.440000,0.390000,70.590000,6.930000,7.440000,10.070000,32.67,76.83,25.59,28,36.67,76.83,32.66,96.04,6.87,32.67,19.21,36.68,110.03,86.01,56,46.94

49,12:00-12:15,272.110000,0.000000,0.000000,77.400000,0.000000,10.090000,10.340000,50.960000,201.600000,6.620000,132.120000,1.090000,70.590000,6.930000,7.630000,10.090000,32.67,76.74,25.42,27.66,36.79,76.74,32.66,100.21,6.83,32.67,20.04,36.79,110.37,90.73,55.34,46.22

50,12:15-12:30,272.110000,0.000000,0.000000,77.400000,0.000000,10.110000,10.360000,50.960000,201.600000,6.620000,128.760000,1.090000,70.590000,6.930000,7.630000,10.110000,32.67,76.96,25.38,27.66,36.79,76.96,32.66,104.38,6.8,32.67,20.87,36.8,110.38,90.75,55.34,45.37

51,12:30-12:45,272.110000,0.000000,0.000000,48.380000,0.000000,10.090000,10.350000,51.930000,201.600000,6.620000,128.550000,1.090000,70.590000,6.930000,7.630000,10.090000,32.67,76.76,26.83,28,36.81,76.76,32.66,108.54,12.05,32.67,21.71,36.8,110.42,90.73,56,48.05

52,12:45-13:00,272.110000,0.000000,0.000000,48.380000,0.000000,10.130000,10.380000,51.930000,201.600000,6.620000,130.110000,1.090000,70.590000,6.930000,7.630000,10.130000,32.67,77,26.93,28.33,36.81,77,32.66,164.12,13.08,32.67,32.83,36.8,110.42,90.71,56.67,46.29

53,13:00-13:15,272.110000,0.000000,0.000000,48.380000,0.000000,10.080000,10.330000,51.930000,201.600000,6.390000,130.280000,1.090000,70.590000,7.310000,7.900000,10.080000,32.67,76.9,26.98,46.05,36.81,76.9,32.66,166.84,14.06,32.67,33.37,36.8,110.43,90.61,92.12,44.06

54,13:15-13:30,272.110000,0.000000,0.000000,48.380000,0.000000,10.010000,10.260000,51.930000,201.600000,6.390000,130.790000,1.090000,70.590000,7.310000,7.900000,10.010000,32.67,76.99,26.93,30.33,36.74,76.99,32.66,170,14.86,32.67,34,36.72,110.21,90.56,60.67,41.3

55,13:30-13:45,272.110000,0.000000,0.000000,48.380000,0.000000,9.900000,10.150000,32.900000,160.300000,7.240000,129.480000,1.090000,70.590000,7.310000,7.900000,9.900000,32.67,76.85,26.78,40,36.74,76.85,32.66,174.02,15.66,32.67,34.8,36.75,110.23,90.6,80,41.98

56,13:45-14:00,272.110000,0.000000,0.000000,48.380000,0.000000,9.650000,9.890000,32.900000,160.300000,7.240000,124.230000,1.050000,70.590000,7.310000,7.900000,9.650000,32.67,76.9,26.83,39.66,36.73,76.9,32.66,177.6,16.86,32.67,35.52,36.73,110.19,90.37,79.34,42.29

57,14:00-14:15,272.110000,0.000000,0.000000,48.380000,0.000000,9.490000,9.730000,32.900000,160.300000,7.240000,119.440000,1.030000,70.590000,7.310000,8.190000,9.490000,32.67,80.94,26.92,38.66,36.67,80.94,32.66,184.34,8.93,32.67,36.87,36.68,110.01,89.47,77.34,46.09

58,14:15-14:30,272.110000,0.000000,0.000000,48.380000,0.000000,9.310000,9.540000,32.900000,160.300000,7.240000,115.050000,1.030000,70.590000,7.310000,8.190000,9.310000,32.67,80.72,26.86,39.33,36.76,80.72,32.66,225,9.22,32.67,45,36.76,110.28,88.92,78.67,46.8

59,14:30-14:45,272.110000,0.000000,0.000000,46.810000,0.000000,8.890000,9.110000,32.550000,124.810000,7.240000,110.280000,1.030000,70.590000,7.310000,8.190000,8.890000,32.67,80.9,26.76,44.33,36.83,80.9,32.66,225,9.6,32.67,45,36.82,110.48,87.85,88.67,44.14

60,14:45-15:00,272.110000,0.000000,0.000000,46.810000,0.000000,8.570000,8.780000,32.550000,124.810000,7.240000,104.430000,1.030000,94.880000,7.310000,8.190000,8.570000,32.67,80.75,26.94,41.66,36.67,80.75,32.66,225,9.97,32.67,45,36.68,110.03,67.48,83.34,40.98

61,15:00-15:15,272.110000,0.000000,0.000000,48.380000,0.000000,7.370000,7.550000,51.580000,166.110000,7.390000,96.180000,1.030000,116.140000,7.920000,7.670000,7.370000,32.67,80.74,26.87,39.33,36.69,80.74,32.66,219.93,10.17,32.67,43.99,36.69,110.07,68.15,78.67,37.65

62,15:15-15:30,272.110000,0.000000,0.000000,48.380000,0.000000,6.940000,7.110000,51.580000,166.110000,7.390000,90.070000,1.030000,116.140000,7.920000,7.670000,6.940000,32.67,80.96,26.89,36.66,36.8,80.96,32.66,206.66,9.84,32.67,41.33,36.79,110.39,68.17,73.34,34.18

63,15:30-15:45,272.110000,0.000000,0.000000,48.380000,0.000000,6.580000,6.740000,51.580000,166.110000,7.390000,83.340000,1.030000,116.140000,7.160000,7.670000,6.580000,32.67,80.95,26.98,34,36.76,80.95,32.66,193.39,10.13,32.67,38.68,36.76,110.28,65.63,68,26.27

64,15:45-16:00,272.110000,0.000000,0.000000,48.380000,0.000000,6.110000,6.260000,51.580000,166.110000,7.390000,76.210000,1.030000,116.140000,7.160000,7.670000,6.110000,32.67,80.83,26.91,31,36.74,80.83,32.66,180.13,10.71,32.67,36.02,36.73,110.21,60.54,62,25.47

65,16:00-16:15,272.110000,0.000000,0.000000,48.380000,0.000000,5.520000,5.670000,75.400000,226.320000,7.550000,68.190000,1.980000,116.140000,7.160000,7.900000,5.520000,32.67,80.72,26.76,25.33,36.82,80.72,32.66,164.53,11.31,32.67,32.9,36.84,110.47,33.33,50.67,24.51

66,16:15-16:30,272.110000,0.000000,0.000000,48.380000,0.000000,5.120000,5.240000,75.400000,226.320000,7.550000,59.170000,1.980000,116.140000,7.160000,7.900000,5.120000,32.67,80.83,26.79,21.33,36.82,80.83,32.66,148.92,11.95,32.67,29.78,36.83,110.46,31.67,42.67,23.32

67,16:30-16:45,272.110000,0.000000,0.000000,48.380000,0.000000,4.450000,4.570000,75.400000,226.320000,7.550000,49.330000,1.350000,116.140000,8.190000,7.900000,4.450000,32.67,80.79,26.74,19.33,36.73,80.79,32.66,133.32,12.71,32.67,26.66,36.74,110.2,30,38.67,21.15

68,16:45-17:00,272.110000,0.000000,0.000000,48.380000,0.000000,3.850000,3.940000,75.400000,226.320000,7.550000,39.700000,1.350000,116.140000,8.190000,7.900000,3.850000,32.67,80.7,26.95,15.67,36.74,80.7,32.66,117.72,13.57,32.67,23.54,36.74,110.22,28.33,31.33,18.86

69,17:00-17:15,272.110000,0.000000,0.000000,48.380000,0.000000,3.230000,3.310000,51.580000,226.320000,7.550000,31.220000,1.350000,116.140000,8.190000,7.440000,3.230000,24.49,80.73,26.9,13.67,36.77,80.73,33,105.04,19.67,33,21.01,36.78,110.32,26.67,27.33,15.39

70,17:15-17:30,272.110000,0.000000,0.000000,48.380000,0.000000,2.620000,2.680000,51.580000,226.320000,7.550000,24.080000,1.350000,116.140000,8.190000,7.440000,2.620000,14.68,80.87,26.92,11.67,36.67,80.87,33,92.37,19.28,33,18.47,36.68,110.03,23.41,23.33,12.86

71,17:30-17:45,272.110000,0.000000,0.000000,77.400000,0.000000,2.030000,2.080000,63.450000,261.810000,7.780000,17.980000,1.350000,116.140000,8.190000,7.440000,2.030000,8.56,80.97,26.77,9.67,36.67,80.97,21.31,79.7,18.54,29.19,15.94,36.68,110.01,17.84,19.33,10.39

72,17:45-18:00,272.110000,0.000000,0.000000,101.350000,0.000000,1.490000,1.530000,63.450000,261.810000,7.780000,12.750000,1.350000,116.140000,8.190000,7.440000,1.490000,2.64,80.79,26.89,7.33,36.76,80.79,12.2,67.03,17.94,17.89,13.4,36.78,110.29,12.55,14.67,8.1

73,18:00-18:15,272.110000,0.000000,0.000000,101.350000,0.000000,1.000000,1.030000,86.020000,261.810000,7.780000,8.360000,1.980000,116.140000,8.370000,7.630000,1.000000,0,80.85,26.92,5,36.72,80.85,0,53.96,16.95,0,10.79,36.72,110.17,8.05,10,6.07

74,18:15-18:30,272.110000,0.000000,0.000000,101.350000,0.000000,0.700000,0.720000,86.020000,261.810000,7.780000,4.830000,1.980000,116.140000,8.370000,7.630000,0.700000,0,80.94,26.96,4,36.73,80.94,0,40.88,22.07,0,8.18,36.72,110.18,4.65,8,4.38

75,18:30-18:45,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,8.180000,2.400000,1.980000,116.140000,8.370000,7.630000,0.000000,0,80.77,26.67,2.67,35.14,80.77,0,27.82,21.28,0,5.56,35.13,105.41,2.32,5.33,2.43

76,18:45-19:00,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,8.180000,0.960000,1.980000,116.140000,8.370000,7.630000,0.000000,0,80.81,26.97,1.67,35.14,80.81,0,14.74,20.47,0,2.95,35.14,105.42,0.71,3.33,1.11

77,19:00-19:15,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,8.180000,0.110000,1.980000,116.140000,8.370000,7.440000,0.000000,0,80.96,26.72,0.67,35.09,80.96,0,8.29,19.66,0,1.66,35.1,105.28,0.02,1.33,0.15

78,19:15-19:30,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,8.180000,0.000000,1.980000,116.140000,8.370000,7.440000,0.000000,0,80.88,26.84,0.14,35.08,80.88,0,3.68,18.82,0,0.74,35.07,105.24,0,0.28,0

79,19:30-19:45,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,8.180000,0.000000,1.980000,116.140000,8.370000,7.440000,0.000000,0,80.84,26.86,0,35.13,80.84,0,0.93,28.06,0,0.18,35.13,105.39,0,0,0

80,19:45-20:00,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,8.180000,0.000000,1.980000,116.140000,8.370000,7.440000,0.000000,0,80.74,26.93,0,37.23,80.74,0,0,26.93,0,0,37.23,111.69,0,0,0

81,20:00-20:15,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,8.410000,0.000000,0.000000,116.140000,8.370000,7.900000,0.000000,0,84.32,26.79,0,37.27,84.32,0,0,25.87,0,0,37.26,111.81,0,0,0

82,20:15-20:30,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,8.410000,0.000000,0.000000,116.140000,8.370000,7.900000,0.000000,0,84.1,26.83,0,37.18,84.1,0,0,24.46,0,0,37.17,111.54,0,0,0

83,20:30-20:45,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,8.410000,0.000000,0.000000,116.140000,8.370000,7.900000,0.000000,0,84.05,26.96,0,37.2,84.05,0,0,22.86,0,0,37.22,111.61,0,0,0

84,20:45-21:00,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,8.410000,0.000000,0.000000,116.140000,8.370000,7.900000,0.000000,0,84.32,26.9,0,37.17,84.32,0,0,21.87,0,0,37.17,111.52,0,0,0

85,21:00-21:15,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,6.860000,0.000000,0.000000,116.140000,8.190000,7.720000,0.000000,0,84.3,26.69,0,37.31,84.3,0,0,20.46,0,0,37.31,111.94,0,0,0

86,21:15-21:30,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,6.860000,0.000000,0.000000,116.140000,8.190000,7.720000,0.000000,0,84.2,21.78,0,37.23,84.2,0,0,19.66,0,0,37.23,111.69,0,0,0

87,21:30-21:45,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,6.620000,0.000000,0.000000,116.140000,8.190000,7.720000,0.000000,0,73.83,21.87,0,33.45,73.83,0,0,26.2,0,0,33.45,100.36,0,0,0

88,21:45-22:00,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,6.620000,0.000000,0.000000,116.140000,8.190000,7.720000,0.000000,0,73.57,21.58,0,33.43,73.57,0,0,25.69,0,0,33.42,100.28,0,0,0

89,22:00-22:15,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,6.140000,0.000000,0.000000,116.140000,8.190000,7.540000,0.000000,0,72.14,21.14,0,33.49,72.14,0,0,25.07,0,0,33.5,100.48,0,0,0

90,22:15-22:30,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,6.140000,0.000000,0.000000,116.140000,8.190000,7.540000,0.000000,0,71.45,20.71,0,35.13,71.45,0,0,24.37,0,0,35.14,105.4,0,0,0

91,22:30-22:45,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,86.020000,261.810000,6.140000,0.000000,0.000000,116.140000,8.190000,7.540000,0.000000,0,75.65,20.34,0,35.14,75.65,0,0,23.74,0,0,35.13,105.41,0,0,0

