Column1,Block,NR/2024/23149/C,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/2171,NR/30092023/31122025/SH-07,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/6020,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/7119,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/8090,NR/2024/23121/A/37679,NR/2024/23119/A/37678,NR/2024/22754/A/37699,NR/2024/23017/A/37470,NR/2024/21658/A/37463,NR/2024/23118/A/37674,NR/2024/22820/A/37430,NR/2024/22803/A/37662,NR/2024/23122/A/37677,NR/2024/22874/A/37661,NR/2024/22835/A/37655,NR/2024/23147/C,NR/2024/23148/C,NR/2024/23142/C,NR/2024/23146/C,NR/2024/22848/A/37706,NR/2024/23038/A/37426,NR/2024/23115/A/37490,NR/2024/23116/A/37493,Total
3,00:30-00:45,0,21.81,32.95,24.23,2.42,32,145.38,96.92,0,17.52,11.38,8.81,26.43,26.43,48.46,8.72,0.87,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1062.39

4,00:45-01:00,0,21.81,32.95,24.23,2.42,32,145.38,96.92,0,17.52,11.38,8.81,26.43,26.43,48.46,8.72,0.87,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1062.39

5,01:00-01:15,0,21.81,32.95,24.23,2.42,32,145.38,96.92,0,17.52,11.29,8.81,26.43,26.43,48.46,8.72,0.68,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1062.1100000000001

6,01:15-01:30,0,21.81,32.95,24.23,2.42,32,145.38,96.92,0,17.52,11.29,8.81,26.43,26.43,48.46,8.72,0.68,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1062.1100000000001

7,01:30-01:45,0,21.81,32.95,24.23,2.42,32,145.38,96.92,0,17.52,11.29,8.81,26.43,26.43,48.46,8.72,0.68,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1062.1100000000001

8,01:45-02:00,0,21.81,32.95,24.23,2.42,32,145.38,96.92,0,17.52,11.29,8.81,26.43,26.43,48.46,8.72,0.68,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1062.1100000000001

9,02:00-02:15,0,21.81,32.95,24.23,2.42,32,145.38,96.92,0,17.52,11.19,8.81,26.43,26.43,48.46,8.72,0.68,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1062.01

10,02:15-02:30,0,21.81,32.95,24.23,2.42,32,145.38,96.92,0,17.52,11.19,8.81,26.43,26.43,48.46,8.72,0.68,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1062.01

11,02:30-02:45,0,21.81,32.95,24.23,2.42,32,145.38,96.92,0,17.52,11.19,8.81,26.43,26.43,48.46,8.72,0.68,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1062.01

12,02:45-03:00,0,21.81,32.95,24.23,2.42,32,145.38,96.92,0,17.52,11.19,8.81,26.43,26.43,48.46,8.72,0.68,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1062.01

13,03:00-03:15,0,21.81,0,24.23,2.42,32,145.38,96.92,0,17.52,11.19,8.81,26.43,26.43,48.46,8.72,0.63,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1029.01

14,03:15-03:30,0,21.81,0,24.23,2.42,32,145.38,96.92,0,17.52,11.19,8.81,26.43,26.43,48.46,8.72,0.63,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1029.01

15,03:30-03:45,0,21.81,0,24.23,2.42,32,145.38,96.92,0,17.52,11.19,8.81,26.43,26.43,48.46,8.72,0.63,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1029.01

16,03:45-04:00,0,21.81,0,24.23,2.42,32,145.38,96.92,0,17.52,11.19,8.81,26.43,26.43,48.46,8.72,0.63,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1029.01

17,04:00-04:15,0,21.81,0,24.23,2.42,32,145.38,96.92,0,17.52,11.11,8.81,26.43,26.43,48.46,8.72,0.58,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1028.88

18,04:15-04:30,0,21.81,0,24.23,2.42,32,145.38,96.92,0,17.52,11.11,8.81,26.43,26.43,48.46,8.72,0.58,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1028.88

19,04:30-04:45,0,21.81,0,24.23,2.42,32,145.38,96.92,0,17.52,11.11,8.81,26.43,26.43,48.46,8.72,0.58,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1028.88

20,04:45-05:00,0,21.81,0,24.23,2.42,32,145.38,96.92,0,17.52,11.11,8.81,26.43,26.43,48.46,8.72,0.58,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1028.88

21,05:00-05:15,0,21.81,0,24.23,2.42,32,145.38,96.92,0,17.52,10.91,8.81,26.43,26.43,48.46,8.72,0.58,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1028.68

22,05:15-05:30,0,21.81,0,24.23,2.42,32,145.38,96.92,0,17.52,10.91,8.81,26.43,26.43,48.46,8.72,0.58,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1028.68

23,05:30-05:45,0,21.81,0,24.23,2.42,32,145.38,96.92,0,17.52,10.91,8.81,26.43,26.43,48.46,8.72,0.58,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1028.68

24,05:45-06:00,0,21.81,0,24.23,2.42,32,145.38,96.92,0,17.52,10.91,8.81,26.43,26.43,48.46,7.75,0.58,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1027.71

25,06:00-06:15,0,21.81,0,24.23,2.42,0,0,96.92,0,17.52,10.83,8.81,26.43,26.43,0,7.75,0.68,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,801.8900000000001

26,06:15-06:30,0,21.81,0,24.23,2.42,0,0,96.92,0,17.52,10.83,8.81,26.43,26.43,0,7.75,0.68,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,801.8900000000001

27,06:30-06:45,0,21.81,0,24.23,2.42,0,0,96.92,0,17.52,10.83,8.81,26.43,26.43,0,7.75,0.68,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,801.8900000000001

28,06:45-07:00,0,21.81,0,24.23,2.42,0,0,96.92,0,17.52,10.83,8.81,26.43,26.43,0,7.75,0.68,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0.25,84.49,3.88,0,0,802.1400000000001

29,07:00-07:15,0,21.81,0,24.23,2.42,0,0,96.92,0,17.52,10.73,8.81,26.43,26.43,0,7.75,0.68,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0.44,84.49,3.88,0,0,802.2300000000001

30,07:15-07:30,0,21.81,0,24.23,2.42,0,0,96.92,0,17.52,10.73,8.81,26.43,26.43,0,7.75,0.68,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0.66,84.49,3.88,0,0,802.45

31,07:30-07:45,0,21.81,0,24.23,2.42,0,0,96.92,0,17.52,10.73,8.81,26.43,26.43,0,7.75,0.68,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0.95,84.49,3.88,0,0,802.7400000000001

32,07:45-08:00,0,21.81,0,24.23,2.42,0,0,96.92,0,17.52,10.73,8.81,26.43,26.43,0,7.75,0.68,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,1.55,84.49,3.88,0,0,803.34

33,08:00-08:15,0,21.81,0,24.23,2.42,0,0,96.92,0,17.52,10.73,8.81,26.43,26.43,0,8.72,0.97,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,1.79,84.49,3.88,0,0,804.84

34,08:15-08:30,0,21.81,0,24.23,2.42,0,0,96.92,0,17.52,10.73,8.81,26.43,26.43,0,8.72,0.97,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,2.23,84.49,3.88,0,0,805.2800000000001

35,08:30-08:45,0,21.81,0,24.23,2.42,0,0,96.92,0,17.52,10.73,8.81,26.43,26.43,0,8.72,0.97,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,2.37,84.49,3.88,0,0,805.4200000000001

36,08:45-09:00,0,21.81,0,24.23,2.42,0,0,96.92,0,17.52,10.73,8.81,26.43,26.43,0,9.69,0.97,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,2.42,84.49,3.88,0,0,806.4399999999999

37,09:00-09:15,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.64,12.48,37.44,37.44,0,9.69,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,2.89,84.49,3.88,42.64,10.66,907.79

38,09:15-09:30,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.64,12.48,37.44,37.44,0,11.63,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,3.45,84.49,3.88,42.64,10.66,910.29

39,09:30-09:45,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.64,12.48,37.44,37.44,0,11.63,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,3.68,84.49,3.88,42.64,10.66,910.5199999999999

40,09:45-10:00,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.64,12.48,37.44,37.44,0,11.63,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,4.36,84.49,3.88,42.64,10.66,911.1999999999999

41,10:00-10:15,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.54,12.48,37.44,37.44,0,11.63,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,5.43,84.49,3.88,42.64,10.66,912.17

42,10:15-10:30,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.54,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,5.7,84.49,3.88,42.64,10.66,913.4100000000001

43,10:30-10:45,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.54,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,5.95,84.49,3.88,42.64,10.66,913.6600000000001

44,10:45-11:00,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.54,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,6.25,84.49,3.88,42.64,10.66,913.96

45,11:00-11:15,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.46,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,6.45,84.49,3.88,42.64,10.66,914.08

46,11:15-11:30,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.46,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,6.59,84.49,3.88,42.64,10.66,914.22

47,11:30-11:45,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.46,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,6.98,84.49,3.88,42.64,10.66,914.61

48,11:45-12:00,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.46,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,7.27,84.49,3.88,42.64,10.66,914.9

49,12:00-12:15,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.46,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,7.61,84.49,3.88,42.64,10.66,915.24

50,12:15-12:30,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.46,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,7.75,84.49,3.88,42.64,10.66,915.38

51,12:30-12:45,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.46,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,8.53,84.49,3.88,42.64,10.66,916.16

52,12:45-13:00,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.46,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,9.11,84.49,3.88,42.64,10.66,916.74

53,13:00-13:15,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.46,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,9.3,84.49,3.88,42.64,10.66,916.93

54,13:15-13:30,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.46,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,8.92,84.49,3.88,42.64,10.66,916.55

55,13:30-13:45,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.46,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,8.38,84.49,3.88,42.64,10.66,916.01

56,13:45-14:00,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.46,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,7.86,84.49,3.88,42.64,10.66,915.49

57,14:00-14:15,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.54,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,7.37,84.49,3.88,42.64,10.66,915.08

58,14:15-14:30,0,21.81,0,24.23,2.42,0,0,96.92,0,24.82,10.54,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,6.78,84.49,3.88,42.64,10.66,914.49

59,14:30-14:45,0,21.81,0,24.23,0,0,0,96.92,0,24.82,10.54,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,6.67,84.49,3.88,42.64,10.66,911.9599999999999

60,14:45-15:00,0,21.81,0,24.23,0,0,0,96.92,0,24.82,10.54,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,6.3,84.49,3.88,42.64,10.66,911.5899999999999

61,15:00-15:15,20.93,21.81,0,24.23,0,0,0,96.92,0,24.82,10.64,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,6.01,84.49,3.88,21.71,10.66,911.4

62,15:15-15:30,17.15,21.81,0,24.23,0,0,0,96.92,0,24.82,10.64,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,5.62,84.49,3.88,25.49,10.66,911.01

63,15:30-15:45,12.89,21.81,0,24.23,0,0,0,96.92,0,24.82,10.64,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,5.04,84.49,3.88,29.75,10.66,910.43

64,15:45-16:00,8.53,21.81,0,24.23,0,0,0,96.92,0,24.82,10.64,12.48,37.44,37.44,0,12.6,0.97,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,4.46,84.49,3.88,34.12,10.66,909.86

65,16:00-16:15,25.49,21.81,0,24.23,0,0,0,96.92,0,24.82,10.73,12.48,37.44,37.44,0,12.6,0.87,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,3.68,84.49,3.88,17.15,10.66,909.06

66,16:15-16:30,21.13,21.81,0,24.23,0,0,0,96.92,0,24.82,10.73,12.48,37.44,37.44,0,12.6,0.87,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,2.35,84.49,3.88,21.52,10.66,907.74

67,16:30-16:45,16.57,21.81,0,24.23,0,0,0,96.92,0,24.82,10.73,12.48,37.44,37.44,0,12.6,0.87,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,1.55,84.49,3.88,26.07,10.66,906.93

68,16:45-17:00,12.12,21.81,0,24.23,0,0,0,96.92,0,24.82,10.73,12.48,37.44,37.44,0,12.6,0.87,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,0,1.12,84.49,3.88,30.53,10.66,906.51

69,17:00-17:15,0,21.81,0,24.23,0,0,0,96.92,0,24.82,10.91,12.48,37.44,37.44,0,12.6,0.82,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,53.31,0.76,84.49,3.88,0,0,906.2800000000001

70,17:15-17:30,0,21.81,0,24.23,0,0,0,96.92,0,24.82,10.91,12.48,37.44,37.44,0,12.6,0.82,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,53.31,0.93,84.49,3.88,0,0,906.45

71,17:30-17:45,0,21.81,0,24.23,0,0,0,96.92,0,24.82,10.91,12.48,37.44,37.44,0,12.6,0.82,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,53.31,1.03,84.49,3.88,0,0,906.5500000000001

72,17:45-18:00,0,21.81,0,24.23,0,0,0,96.92,0,24.82,10.91,12.48,37.44,37.44,0,12.6,0.82,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,53.31,0.47,84.49,3.88,0,0,905.9900000000001

73,18:00-18:15,0,21.81,0,24.23,0,0,0,96.92,0,24.82,11.11,12.48,37.44,37.44,0,11.63,0.82,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,53.31,0.11,84.49,3.88,0,0,904.8600000000001

74,18:15-18:30,0,21.81,0,24.23,0,0,0,96.92,0,24.82,11.11,12.48,37.44,37.44,0,11.63,0.82,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,53.31,0.04,84.49,3.88,0,0,904.7900000000001

75,18:30-18:45,0,21.81,0,24.23,0,0,0,96.92,0,24.82,11.11,12.48,37.44,37.44,0,11.63,0.82,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,904.7500000000001

76,18:45-19:00,0,21.81,0,24.23,0,0,0,96.92,0,24.82,11.11,12.48,37.44,37.44,0,11.63,0.82,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,904.7500000000001

77,19:00-19:15,0,21.81,0,24.23,0,0,0,96.92,0,24.82,11.29,12.48,37.44,37.44,0,11.63,0.82,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,904.93

78,19:15-19:30,0,21.81,0,24.23,0,0,0,96.92,0,24.82,11.29,12.48,37.44,37.44,0,11.63,0.82,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,904.93

79,19:30-19:45,0,21.81,0,24.23,0,0,0,96.92,0,24.82,11.29,12.48,37.44,37.44,0,11.63,0.82,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,904.93

80,19:45-20:00,0,21.81,0,24.23,0,0,0,96.92,0,24.82,11.29,12.48,37.44,37.44,0,11.63,0.82,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,904.93

81,20:00-20:15,0,21.81,0,24.23,0,0,0,96.92,0,24.82,11.38,12.48,37.44,37.44,0,11.63,0.78,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,904.9799999999999

82,20:15-20:30,0,21.81,0,24.23,0,0,0,96.92,0,24.82,11.38,12.48,37.44,37.44,0,11.63,0.78,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,904.9799999999999

83,20:30-20:45,0,21.81,0,24.23,0,0,0,96.92,0,24.82,11.38,12.48,37.44,37.44,0,11.63,0.78,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,904.9799999999999

84,20:45-21:00,0,21.81,0,24.23,0,0,0,96.92,0,24.82,11.38,12.48,37.44,37.44,0,11.63,0.78,12.48,4.85,96.92,37.44,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,904.9799999999999

85,21:00-21:15,0,21.81,0,24.23,0,0,0,96.92,0,17.52,11.38,8.81,26.43,26.43,0,11.63,0.78,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,857.3100000000001

86,21:15-21:30,0,21.81,0,24.23,0,0,0,96.92,0,17.52,11.38,8.81,26.43,26.43,0,11.63,0.78,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,857.3100000000001

87,21:30-21:45,0,21.81,0,24.23,0,0,0,96.92,0,17.52,11.38,8.81,26.43,26.43,0,11.63,0.78,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,857.3100000000001

88,21:45-22:00,0,21.81,0,24.23,0,0,0,96.92,0,17.52,11.38,8.81,26.43,26.43,0,11.63,0.78,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,857.3100000000001

89,22:00-22:15,0,21.81,0,24.23,0,0,145.38,96.92,0,17.52,11.29,8.81,26.43,26.43,48.46,10.66,0.78,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,1050.0900000000001

90,22:15-22:30,0,21.81,0,24.23,0,0,145.38,96.92,0,17.52,11.29,8.81,26.43,26.43,48.46,10.66,0.78,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,1050.0900000000001

91,22:30-22:45,0,21.81,0,24.23,2.42,0,145.38,96.92,0,17.52,11.29,8.81,26.43,26.43,48.46,9.69,0.78,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,1051.5400000000002

92,22:45-23:00,0,21.81,0,24.23,2.42,0,145.38,96.92,0,17.52,11.29,8.81,26.43,26.43,48.46,9.69,0.78,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,53.31,0,84.49,3.88,0,0,1051.5400000000002

93,23:00-23:15,0,21.81,0,24.23,2.42,0,145.38,96.92,0,17.52,11.19,8.81,26.43,26.43,48.46,9.69,0.78,8.81,4.85,96.92,26.43,48.46,94.4,165.01,28.11,53.31,0,84.49,3.88,0,0,1054.74

94,23:15-23:30,0,21.81,0,24.23,2.42,0,145.38,96.92,0,17.52,11.19,8.81,26.43,26.43,48.46,9.69,0.78,8.81,4.85,96.92,26.43,48.46,94.4,165.01,28.11,53.31,0,84.49,3.88,0,0,1054.74

