Column1,Block,NR/01082024/31082024/SKS-Raigarh,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21933/A/34453,NR/2024/21966/A/34511,NR/2024/21860/A/34687,NR/2024/21961/A/34712,NR/2024/21938/A/34727,NR/2024/22279/A/34418,NR/2024/21968/A/34798,NR/2024/21956/A/34746,NR/2024/21658/A/34412,NR/2024/21970/A/34799,NR/2024/21983/A/34452,NR/2024/21911/A/34696,NR/2024/22852/C,NR/2024/21974/A/34801,NR/2024/22838/C,NR/2024/21814/A/34802,NR/2024/22853/C,NR/2024/22010/A/34785,NR/2024/22498/A/34786,NR/2024/22623/A/34515,NR/2024/22042/A/34421,NR/2024/22014/A/34422,NR/2024/21943/A/34743,NR/2024/21971/A/34800,NR/2024/21918/A/34783,NR/2024/21954/A/34744,NR/2024/21940/A/34745,NR/01082024/31082024/jitpl,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/16082024/31082024/APL-Raigarh_august,NR/2024/22851/C,NR/2024/22611/A/34514,NR/2024/22610/A/34513,Total
64,15:45-16:00,12.48,26.9066,26.9066,0,0,0,0,0,13.23,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,3.3,10.66,42.63,1404.1732000000002

65,16:00-16:15,12.48,26.9066,26.9066,0,0,0,0,0,14.61,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.82,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,2.61,10.66,42.63,1404.7132000000001

66,16:15-16:30,12.48,26.9066,26.9066,0,0,0,0,0,14.61,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.82,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,3.73,10.66,42.63,1405.8332000000003

67,16:30-16:45,12.48,26.9066,26.9066,0,0,0,0,0,14.61,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.82,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,2.36,10.66,42.63,1404.4632000000001

68,16:45-17:00,12.48,26.9066,26.9066,0,0,0,0,0,14.61,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.82,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,3.94,10.66,42.63,1406.0432000000003

69,17:00-17:15,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,14.61,0,0,48.44,0,0,4.84,37.43,24.22,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,2.9,0,0,1351.7332000000004

70,17:15-17:30,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,14.61,0,0,48.44,0,0,4.84,37.43,24.22,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,1.07,0,0,1349.9032000000002

71,17:30-17:45,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,14.61,0,0,48.44,0,0,4.84,37.43,24.22,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,1.09,0,0,1349.9232000000002

72,17:45-18:00,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,14.61,0,0,48.44,0,0,4.84,37.43,24.22,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0.79,0,0,1349.6232000000002

73,18:00-18:15,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,10.91,0,0,48.44,0,0,4.84,37.43,24.22,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0.41,0,0,1332.8132000000003

74,18:15-18:30,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,10.91,0,0,48.44,0,0,4.84,37.43,24.22,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0.21,0,0,1332.6132000000002

75,18:30-18:45,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,10.91,0,0,48.44,0,0,4.84,37.43,43.6,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0.07,0,0,1351.8532000000002

76,18:45-19:00,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,10.91,0,0,48.44,0,0,4.84,37.43,43.6,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1351.7832000000003

77,19:00-19:15,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,10.91,0,0,48.44,0,0,4.84,37.43,43.6,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1351.7832000000003

78,19:15-19:30,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,10.91,0,0,48.44,0,0,4.84,37.43,43.6,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1351.7832000000003

79,19:30-19:45,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,10.91,0,0,48.44,0,0,4.84,37.43,43.6,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1351.7832000000003

80,19:45-20:00,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,10.91,0,0,48.44,0,0,4.84,37.43,43.6,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1351.7832000000003

81,20:00-20:15,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,10.91,0,0,48.44,0,0,4.84,37.43,43.6,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1351.7832000000003

82,20:15-20:30,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,10.91,0,0,48.44,0,0,4.84,37.43,43.6,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1351.7832000000003

83,20:30-20:45,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,10.91,0,0,48.44,0,0,4.84,37.43,43.6,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1351.7832000000003

84,20:45-21:00,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,10.91,0,0,48.44,0,0,4.84,37.43,43.6,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1351.7832000000003

85,21:00-21:15,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,10.91,0,0,48.44,0,0,4.84,37.43,43.6,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1351.7832000000003

86,21:15-21:30,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,10.91,0,0,48.44,0,0,4.84,37.43,43.6,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1351.7832000000003

87,21:30-21:45,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,10.91,0,0,48.44,0,0,4.84,37.43,43.6,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1351.7832000000003

88,21:45-22:00,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,10.91,0,0,48.44,0,0,4.84,37.43,43.6,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1351.7832000000003

89,22:00-22:15,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,14.61,0,0,48.44,98.1,32.7,4.84,37.43,43.6,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,10.66,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1485.3132000000005

90,22:15-22:30,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,14.61,0,0,48.44,98.1,32.7,4.84,37.43,43.6,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,10.66,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1485.3132000000005

91,22:30-22:45,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,14.61,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,9.69,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1508.5632000000005

92,22:45-23:00,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,14.61,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.78,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,9.69,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1508.5632000000005

93,23:00-23:15,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,14.61,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.73,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,9.69,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1508.5132000000006

94,23:15-23:30,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,14.61,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.73,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,9.69,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1508.5132000000006

95,23:30-23:45,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,14.61,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.73,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,9.69,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1508.5132000000006

96,23:45-24:00,12.48,26.9066,26.9066,48.44,0,0,96.89,21.32,14.61,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.73,12.48,0,0,28.1,37.43,242.22,48.44,164.96,0,0,9.69,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1508.5132000000006

