Time,Block,NR/2023/11470/A,NR/2023/11739/A,NR/2023/15315/C,NR/2023/11654/A,NR/2023/13858/A,NR/2023/14187/F,NR/2023/15285/C,NR/2023/13983/F,NR/2023/11954/A,NR/2023/15272/D,NR/2023/13284/A,NR/2023/15281/C,NR/2023/15295/C,NR/2023/15282/C,NR/2023/13859/A,NR/2023/15274/D,NR/2023/13983/F/II,ER/2023/9387/C,NR/2023/11315/A,NR/2023/15283/C,NR/2023/11469/A,NR/2023/15271/D,NR/2023/11328/A,NR/2023/12646/A,NR/2023/11203/A,NR/2023/13573/A,NR/2023/15287/C,NR/2023/15275/D,NR/2023/15286/C,NR/2023/11458/A,NR/2023/14688/F,NR/2023/11325/A,NR/2023/15276/C,NR/2023/15268/D,NR/2023/13283/A,NR/2023/11697/A,NR/2023/14688/F/II,Total

3,00:30-00:45,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,61.820000,0.630000,36.450000,193.200000,81.820000,0.000000,0.000000,0.000000,188.370000,0.000000,0.240000,0.000000,22.220000,0.000000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,2.020000,98.530000,24.150000,24.150000,0.000000,0.000000,24.150000,35.070000,0.000000,1313.05

4,00:45-01:00,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,48.300000,0.630000,36.450000,193.200000,81.820000,0.000000,0.000000,0.000000,188.370000,0.000000,0.240000,0.000000,22.220000,0.000000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,2.020000,98.530000,24.150000,24.150000,0.000000,0.000000,24.150000,35.070000,0.000000,1299.53

5,01:00-01:15,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.490000,36.450000,193.200000,81.820000,0.000000,0.000000,0.000000,188.370000,0.000000,0.180000,0.000000,22.220000,0.000000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,2.020000,98.530000,24.150000,24.150000,0.000000,0.000000,24.150000,35.070000,0.000000,1251.03

6,01:15-01:30,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.490000,36.450000,193.200000,81.820000,0.000000,0.000000,0.000000,188.370000,0.000000,0.180000,0.000000,22.220000,0.000000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,2.020000,98.530000,24.150000,24.150000,0.000000,0.000000,24.150000,35.070000,0.000000,1251.03

7,01:30-01:45,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.490000,36.450000,193.200000,81.820000,0.000000,0.000000,0.000000,188.370000,0.000000,0.180000,0.000000,22.220000,0.000000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,2.020000,98.530000,24.150000,24.150000,0.000000,0.000000,24.150000,35.070000,0.000000,1251.03

8,01:45-02:00,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.490000,36.450000,193.200000,81.820000,0.000000,0.000000,0.000000,188.370000,0.000000,0.180000,0.000000,22.220000,0.000000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,2.020000,98.530000,24.150000,24.150000,0.000000,0.000000,24.150000,35.070000,0.000000,1251.03

9,02:00-02:15,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.420000,36.450000,193.200000,81.820000,0.000000,0.000000,0.000000,188.370000,0.000000,0.160000,0.000000,22.220000,0.000000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,2.020000,98.530000,24.150000,24.150000,0.000000,0.000000,24.150000,35.070000,0.000000,1250.94

10,02:15-02:30,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.420000,36.450000,193.200000,81.820000,0.000000,0.000000,0.000000,188.370000,0.000000,0.160000,0.000000,22.220000,0.000000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,1.000000,98.530000,24.150000,24.150000,0.000000,0.000000,24.150000,35.070000,0.000000,1249.92

11,02:30-02:45,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.420000,36.450000,193.200000,81.820000,0.000000,0.000000,0.000000,188.370000,0.000000,0.160000,0.000000,22.220000,0.000000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,1.000000,98.530000,24.150000,24.150000,0.000000,0.000000,24.150000,35.070000,0.000000,1249.92

12,02:45-03:00,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.420000,36.450000,193.200000,81.820000,0.000000,0.000000,0.000000,188.370000,0.000000,0.160000,0.000000,22.220000,0.000000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,1.000000,98.530000,24.150000,24.150000,0.000000,0.000000,24.150000,35.070000,0.000000,1249.92

13,03:00-03:15,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.530000,0.000000,193.200000,81.820000,0.000000,30.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,1.000000,98.530000,3.860000,24.150000,0.000000,0.000000,24.150000,35.070000,20.290000,1220.3

14,03:15-03:30,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.530000,0.000000,193.200000,81.820000,0.000000,30.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,1.000000,98.530000,3.860000,24.150000,0.000000,0.000000,24.150000,35.070000,20.290000,1220.3

15,03:30-03:45,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.530000,0.000000,193.200000,81.820000,0.000000,30.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,1.000000,98.530000,3.860000,24.150000,0.000000,0.000000,24.150000,35.070000,20.290000,1220.3

16,03:45-04:00,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.530000,0.000000,193.200000,81.820000,0.000000,30.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,1.000000,98.530000,3.860000,24.150000,0.000000,0.000000,24.150000,35.070000,20.290000,1220.3

17,04:00-04:15,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.530000,0.000000,193.200000,81.820000,0.000000,30.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,1.000000,98.530000,0.000000,24.150000,0.000000,0.000000,24.150000,35.070000,24.150000,1220.3

18,04:15-04:30,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.530000,0.000000,193.200000,81.820000,0.000000,30.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,1.000000,98.530000,0.000000,24.150000,0.000000,0.000000,24.150000,35.070000,24.150000,1220.3

19,04:30-04:45,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.530000,0.000000,193.200000,81.820000,0.000000,30.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,1.000000,98.530000,0.000000,24.150000,0.000000,0.000000,24.150000,35.070000,24.150000,1220.3

20,04:45-05:00,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.530000,0.000000,193.200000,81.820000,0.000000,30.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,1.000000,98.530000,0.000000,24.150000,0.000000,0.000000,24.150000,35.070000,24.150000,1220.3

21,05:00-05:15,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.530000,0.000000,193.200000,81.820000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,40.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,1.000000,0.000000,0.000000,24.150000,0.000000,0.000000,24.150000,35.070000,24.150000,1131.77

22,05:15-05:30,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.530000,0.000000,193.200000,81.820000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,40.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,1.000000,0.000000,0.000000,24.150000,0.000000,0.000000,24.150000,35.070000,24.150000,1131.77

23,05:30-05:45,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.530000,0.000000,193.200000,81.820000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,40.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,1.000000,0.000000,0.000000,24.150000,0.000000,0.000000,24.150000,35.070000,24.150000,1131.77

24,05:45-06:00,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.530000,0.000000,193.200000,81.820000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,40.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,1.000000,0.000000,0.000000,24.150000,0.000000,0.000000,24.150000,35.070000,24.150000,1131.77

25,06:00-06:15,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.680000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,40.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,1.000000,0.000000,0.000000,24.150000,0.000000,0.000000,24.150000,0.000000,24.150000,1015.03

26,06:15-06:30,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.680000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,40.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,1.000000,0.000000,0.000000,24.150000,0.000000,0.000000,24.150000,0.000000,24.150000,1015.03

27,06:30-06:45,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.680000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,40.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,1.000000,0.000000,0.000000,24.150000,0.000000,0.000000,24.150000,0.000000,24.150000,1015.03

28,06:45-07:00,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.680000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,40.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,1.000000,0.000000,0.000000,24.150000,0.000000,0.000000,24.150000,0.000000,24.150000,1015.03

29,07:00-07:15,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.680000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,0.000000,0.000000,40.000000,22.220000,0.000000,84.990000,0.26,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,0.000000,0.000000,24.150000,0.000000,19.320000,24.150000,0.000000,24.150000,1064.76

30,07:15-07:30,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.680000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,0.000000,0.000000,40.000000,22.220000,0.000000,84.990000,0.49,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,0.000000,0.000000,24.150000,0.000000,19.320000,24.150000,0.000000,24.150000,1064.99

31,07:30-07:45,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.680000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,0.000000,0.000000,40.000000,22.220000,0.000000,84.990000,0.72,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,0.000000,0.000000,24.150000,0.000000,19.320000,24.150000,0.000000,24.150000,1065.22

32,07:45:08:00,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.680000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,0.000000,0.000000,40.000000,22.220000,0.000000,84.990000,0.82,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,0.000000,0.000000,24.150000,0.000000,19.320000,24.150000,0.000000,24.150000,1065.32

33,08:00-08:15,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,0.000000,0.000000,40.000000,22.220000,0.000000,84.990000,0.97,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,5.040000,0.000000,0.000000,24.150000,0.000000,19.320000,24.150000,0.000000,24.150000,1066.76

34,08:15-08:30,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,0.000000,0.000000,40.000000,22.220000,0.000000,84.990000,0.97,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,5.040000,0.000000,0.000000,24.150000,0.000000,19.320000,24.150000,0.000000,24.150000,1066.76

35,08:30-08:45,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,0.000000,0.000000,40.000000,22.220000,0.000000,84.990000,1.16,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,5.040000,0.000000,0.000000,24.150000,0.000000,19.320000,24.150000,0.000000,24.150000,1066.95

36,08:45:09:00,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,0.000000,0.000000,40.000000,22.220000,0.000000,84.990000,1.45,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,5.040000,0.000000,0.000000,24.150000,0.000000,19.320000,24.150000,0.000000,24.150000,1067.24

37,09:00:09:15,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,1.93,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,5.040000,0.000000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1120.85

38,09:15-09:30,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,1.93,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,0.000000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1123.89

39,09:30-09:45,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,2.13,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,0.000000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1124.09

40,09:45-10:00,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,2.13,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,0.000000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1124.09

41,10:00-10:15,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,2.13,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,90.800000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1214.89

42,10:15-10:30,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,2.42,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,90.800000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1215.18

43,10:30-10:45,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,2.56,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,90.800000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1215.32

44,10:45-11:00,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,2.51,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,90.800000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1215.27

45,11:00-11:15,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,2.7,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,90.800000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1215.46

46,11:15-11:30,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,2.99,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,90.800000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1215.75

47,11:30-11:45,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,3.19,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,90.800000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1215.95

48,11:45-12:00,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,3.09,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,90.800000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1215.85

49,12:00-12:15,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,4.35,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,90.800000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1217.11

50,12:15-12:30,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,5.22,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,90.800000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1217.98

51,12:30-12:45,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,6.09,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,90.800000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1218.85

52,12:45-13:00,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,6.96,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,90.800000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1219.72

53,13:00-13:15,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,7.25,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,90.800000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1220.01

54,13:15-13:30,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,7.25,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,90.800000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1220.01

55,13:30-13:45,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,6.96,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,90.800000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1219.72

56,13:45-14:00,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,30.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,6.09,48.300000,0.000000,63.030000,62.790000,6.760000,15.940000,8.080000,90.800000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1218.85

57,14:00-14:15,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,5.22,48.300000,23.120000,63.030000,62.790000,6.760000,15.940000,8.080000,106.260000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1226.56

58,14:15-14:30,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,4.35,48.300000,23.120000,63.030000,62.790000,6.760000,15.940000,8.080000,106.260000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1225.69

59,14:30-14:45,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,3.48,48.300000,23.120000,63.030000,62.790000,6.760000,15.940000,8.080000,106.260000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1224.82

