Time,Block,NR/2023/12661/A,NR/2023/11709/A,NR/2023/10651/A,NR/2023/10436/A,NR/2023/11266/A,NR/2023/10720/A,NR/2023/12814/F,NR/2023/13053/F,NR/2023/10460/A,NR/2023/10947/A,NR/2023/11953/A,NR/2023/10956/A,NR/2023/12924/F,NR/2023/12919/F,NR/2023/10488/A,NR/2023/10705/A,NR/2023/10432/A,NR/2023/10959/A,NR/2023/12706/A,NR/2023/13731/D,NR/2023/13369/F,NR/2023/13733/D,ER/2023/8468/C,NR/2023/13755/C,NR/2023/12917/F,NR/2023/12923/F,NR/2023/12915/F,NR/2023/13732/D,NR/2023/13315/F,NR/2023/12813/F,NR/2023/12169/A,NR/2023/12872/F,NR/2023/12920/F,NR/2023/11507/A,NR/2023/12922/F,NR/2023/13053/F/II,NR/2023/12921/F,NR/2023/10650/A,NR/2023/13754/C,NR/2023/10786/A,NR/2023/11712/A,NR/2023/13749/C,NR/2023/12916/F,NR/2023/10435/A,NR/2023/13741/D,NR/2023/13739/D,NR/2023/13730/D,WR/2023/16349/C,Total

3,00:30-00:45,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,36.510000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.480000,0.930000,255.390000,1.020000,24.190000,0.930000,83.220000,34.650000,98.710000,64.350000,17.590000,0.520000,24.190000,0,0,0,65.000000,1748.16

4,00:45-01:00,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,36.510000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.480000,0.930000,255.390000,1.020000,24.190000,0.930000,83.220000,34.650000,98.710000,64.350000,17.590000,0.520000,24.190000,0,0,0,50.000000,1733.16

5,01:00-01:15,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,2.870000,23.220000,23.220000,36.510000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.530000,0.930000,255.390000,1.020000,21.320000,0.930000,83.220000,34.650000,98.710000,64.350000,17.590000,0.520000,24.190000,0,0,0,25.000000,1708.21

6,01:15-01:30,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,2.870000,23.220000,23.220000,36.510000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.530000,0.930000,255.390000,1.020000,21.320000,0.930000,83.220000,34.650000,98.710000,64.350000,17.590000,0.520000,24.190000,0,0,0,0.000000,1683.21

7,01:30-01:45,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,2.870000,23.220000,23.220000,36.510000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.530000,0.930000,255.390000,1.020000,21.320000,0.930000,83.220000,34.650000,98.710000,64.350000,17.590000,0.520000,24.190000,0,0,0,0.000000,1683.21

8,01:45-02:00,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,2.870000,23.220000,23.220000,36.510000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.530000,0.930000,255.390000,1.020000,21.320000,0.930000,83.220000,34.650000,98.710000,64.350000,17.590000,0.520000,24.190000,0,0,0,0.000000,1683.21

9,02:00-02:15,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,3.140000,23.220000,23.220000,36.510000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.480000,0.930000,255.390000,1.020000,21.060000,0.930000,83.220000,34.650000,98.710000,64.350000,17.590000,0.520000,24.190000,0,0,0,0.000000,1683.17

10,02:15-02:30,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,3.140000,23.220000,23.220000,36.510000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.480000,0.930000,255.390000,1.020000,21.060000,0.930000,83.220000,34.650000,98.710000,64.350000,17.590000,0.520000,24.190000,0,0,0,0.000000,1683.17

11,02:30-02:45,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,3.140000,23.220000,23.220000,36.510000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.480000,0.930000,255.390000,1.020000,21.060000,0.930000,83.220000,34.650000,98.710000,64.350000,17.590000,0.520000,24.190000,0,0,0,0.000000,1683.17

12,02:45-03:00,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,3.140000,23.220000,23.220000,36.510000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.480000,0.930000,255.390000,1.020000,21.060000,0.930000,83.220000,34.650000,98.710000,64.350000,17.590000,0.520000,24.190000,0,0,0,0.000000,1683.17

13,03:00-03:15,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,0.000000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.440000,0.930000,255.390000,1.020000,24.190000,0.930000,48.380000,34.650000,98.710000,64.350000,17.590000,0.520000,24.190000,0,0,0,0.000000,1588.6

14,03:15-03:30,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,0.000000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.440000,0.930000,255.390000,1.020000,24.190000,0.930000,48.380000,34.650000,98.710000,64.350000,17.590000,0.520000,24.190000,0,0,0,0.000000,1588.6

15,03:30-03:45,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,0.000000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.440000,0.930000,255.390000,1.020000,24.190000,0.930000,48.380000,34.650000,98.710000,64.350000,17.590000,0.520000,24.190000,0,0,0,0.000000,1588.6

16,03:45-04:00,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,0.000000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.440000,0.930000,255.390000,1.020000,24.190000,0.930000,48.380000,34.650000,98.710000,64.350000,17.590000,0.520000,24.190000,0,0,0,0.000000,1588.6

17,04:00-04:15,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,0.000000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.440000,0.930000,255.390000,1.020000,24.190000,0.930000,48.380000,34.650000,98.710000,64.350000,17.460000,0.520000,24.190000,0,0,0,0.000000,1588.47

18,04:15-04:30,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,0.000000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.440000,0.930000,255.390000,1.020000,24.190000,0.930000,48.380000,34.650000,98.710000,64.350000,17.460000,0.520000,24.190000,0,0,0,0.000000,1588.47

19,04:30-04:45,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,0.000000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.440000,0.930000,255.390000,1.020000,24.190000,0.930000,48.380000,34.650000,98.710000,64.350000,17.460000,0.520000,24.190000,0,0,0,0.000000,1588.47

20,04:45-05:00,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,0.000000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.440000,0.930000,255.390000,1.020000,24.190000,0.930000,48.380000,34.650000,98.710000,64.350000,17.460000,0.520000,24.190000,0,0,0,0.000000,1588.47

21,05:00-05:15,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,0.000000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.480000,0.930000,255.390000,1.020000,24.190000,0.930000,48.380000,34.650000,0.000000,64.350000,17.270000,0.520000,24.190000,0,0,0,0.000000,1489.61

22,05:15-05:30,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,0.000000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.480000,0.930000,255.390000,1.020000,24.190000,0.930000,48.380000,34.650000,0.000000,64.350000,17.270000,0.520000,24.190000,0,0,0,0.000000,1489.61

23,05:30-05:45,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,0.000000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.480000,0.930000,255.390000,1.020000,24.190000,0.930000,48.380000,34.650000,0.000000,64.350000,17.270000,0.520000,24.190000,0,0,0,0.000000,1489.61

24,05:45-06:00,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,0.000000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.480000,0.930000,255.390000,1.020000,24.190000,0.930000,48.380000,34.650000,0.000000,64.350000,17.270000,0.520000,24.190000,0,0,0,0.000000,1489.61

25,06:00-06:15,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.820000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.530000,0.930000,255.390000,1.020000,24.190000,0.930000,7.740000,33.630000,0.000000,64.350000,17.190000,0.520000,24.190000,1.4,0.6,0,0.000000,1155.96

26,06:15-06:30,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.820000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.530000,0.930000,255.390000,1.020000,24.190000,0.930000,7.740000,33.630000,0.000000,64.350000,17.190000,0.520000,24.190000,6.18,2.65,0,0.000000,1162.79

27,06:30-06:45,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.820000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.530000,0.930000,255.390000,1.020000,24.190000,0.930000,7.740000,33.630000,0.000000,64.350000,17.190000,0.520000,24.190000,10.62,4.55,0,0.000000,1169.13

28,06:45-07:00,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.820000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,53.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.530000,0.930000,255.390000,1.020000,24.190000,0.930000,7.740000,33.630000,0.000000,64.350000,17.190000,0.520000,24.190000,16.72,7.17,0,0.000000,1230.85

29,07:00-07:15,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.820000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,0.000000,58.060000,100.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.680000,0.930000,255.390000,1.020000,24.190000,0.930000,7.740000,30.570000,0.000000,64.350000,17.000000,0.520000,24.190000,23.63,10.12,0,0.000000,1342.67

30,07:15-07:30,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.820000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,0.000000,58.060000,100.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.680000,0.930000,255.390000,1.020000,24.190000,0.930000,7.740000,30.570000,0.000000,64.350000,17.000000,0.520000,24.190000,28,12,0,0.000000,1348.92

31,07:30-07:45,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.820000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,0.000000,58.060000,100.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.680000,0.930000,255.390000,1.020000,24.190000,0.930000,7.740000,30.570000,0.000000,64.350000,17.000000,0.520000,24.190000,35,15,0,0.000000,1358.92

32,07:45:08:00,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.820000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,0.000000,58.060000,100.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.680000,0.930000,255.390000,1.020000,24.190000,0.930000,7.740000,30.570000,0.000000,64.350000,17.000000,0.520000,24.190000,50.4,21.6,0,0.000000,1380.92

33,08:00-08:15,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,0.000000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,0.000000,64.350000,16.910000,0.520000,24.190000,61.6,26.4,0,0.000000,1460.27

34,08:15-08:30,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,0.000000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,0.000000,64.350000,16.910000,0.520000,24.190000,73.5,31.5,0,0.000000,1477.27

35,08:30-08:45,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,0.000000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,0.000000,64.350000,16.910000,0.520000,24.190000,90.14,38.63,0,0.000000,1501.04

36,08:45:09:00,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,0.000000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,0.000000,64.350000,16.910000,0.520000,24.190000,103.41,44.32,0,0.000000,1520

37,09:00:09:15,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,0.000000,64.350000,16.810000,0.520000,24.190000,114.09,48.89,0,0.000000,1559.34

38,09:15-09:30,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,0.000000,64.350000,16.810000,0.520000,24.190000,122.47,52.49,0,0.000000,1571.32

39,09:30-09:45,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,0.000000,64.350000,16.810000,0.520000,24.190000,129.83,55.64,0,0.000000,1581.83

40,09:45-10:00,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,0.000000,64.350000,16.810000,0.520000,24.190000,136.57,58.53,0,0.000000,1591.46

41,10:00-10:15,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,90.960000,64.350000,16.720000,0.520000,24.190000,147,63,0,0.000000,1697.23

42,10:15-10:30,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,90.960000,64.350000,16.720000,0.520000,24.190000,154,66,0,0.000000,1707.23

43,10:30-10:45,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,90.960000,64.350000,16.720000,0.520000,24.190000,163.1,69.9,0,0.000000,1720.23

44,10:45-11:00,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,90.960000,64.350000,16.720000,0.520000,24.190000,170.1,72.9,0,0.000000,1730.23

