Column1,Block,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/16/5917,NR/30092023/26122029/SH-06,NR/2025/32697/C,NR/2025/29352/A/93109,NR/2025/31870/A/92992,NR/2025/30101/A/93402,NR/2025/30067/A/93381,NR/2025/32683/C,NR/2025/32657/C,NR/2025/29440/A/92875,NR/2025/27975/A/93362,NR/2025/29353/A/93110,NR/2025/27973/A/93361,NR/2025/28728/A/93360,NR/2025/30082/A/93393,NR/2025/30083/A/93301,NR/2025/27965/A/93363,NR/2025/30217/A/93296,NR/2025/27966/A/93364,NR/2025/32676/C,NR/2025/29915/A/92933,NR/2025/27978/A/93406,NR/2025/32663/C,NR/30092023/31122025/SH-07,NR/2025/32573/C,NR/2025/30121/A/92871,NR/2025/29167/A/92934,NR/2025/29628/A/93307,NR/2025/32570/C,NR/2025/32634/C,NR/2025/31780/A/93046,NR/2025/32648/C,NR/2025/32656/C,NR/2025/29439/A/93005,NR/2025/30191/A/92868,NR/2025/32674/C,NR/2025/32605/C,GNARE/NR/2024/12/20/3668,GNA/NR/2025/07/01/8139,NR/2025/32688/C,NR/2025/30086/A/93299,NR/2025/29992/A/93001,NR/2025/32690/C,NR/2025/30084/A/93300,NR/2025/29910/A/93305,NR/2025/32692/C,NR/2025/32694/C,NR/2025/30105/A/93297,NR/2025/32684/C,NR/2025/32685/C,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/16/7255,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2786,NR/2025/31138/A/93337,NR/2025/31347/A/92867,NR/2025/31137/A/93336,NR/2025/29985/A/93047,NR/2025/31138/A/93338,NR/2025/31137/A/93335,NR/2025/31136/A/93334,NR/2025/31420/A/93344,NR/2025/31136/A/93333,NR/2025/31419/A/93345,Total
3,00:30-00:45,49.15,81.92,26.93,0,28.67,12.53,48.19,204.81,0,0,0.92,0,81.92,96.38,81.92,48.19,8.76,96.38,7.71,0,0,20.48,0,0,26.93,0,6.75,54.21,106.02,0,0,96.38,0,0,25.44,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1983.3999999999999

4,00:45-01:00,49.15,81.92,26.93,0,28.67,12.53,48.19,204.81,0,0,0.92,0,81.92,96.38,81.92,48.19,8.76,96.38,7.71,0,0,20.48,0,0,26.93,0,6.75,54.21,106.02,0,0,96.38,0,0,25.44,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1983.3999999999999

5,01:00-01:15,49.15,81.92,26.93,0,28.67,12.53,48.19,204.81,0,0,0.77,0,81.92,96.38,81.92,48.19,8.76,96.38,7.71,0,0,20.48,0,0,26.93,0,6.75,54.21,106.02,0,0,96.38,0,0,25.44,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1983.2499999999998

6,01:15-01:30,49.15,81.92,26.93,0,28.67,12.53,48.19,204.81,0,0,0.77,0,81.92,96.38,81.92,48.19,8.76,96.38,7.71,0,0,20.48,0,0,26.93,0,6.75,54.21,106.02,0,0,96.38,0,0,25.44,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1983.2499999999998

7,01:30-01:45,49.15,81.92,26.93,0,28.67,12.53,48.19,204.81,0,0,0.77,0,81.92,96.38,81.92,48.19,8.76,96.38,7.71,0,0,20.48,0,0,26.93,0,6.75,54.21,106.02,0,0,96.38,0,0,25.44,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1983.2499999999998

8,01:45-02:00,49.15,81.92,26.93,0,28.67,12.53,48.19,204.81,0,0,0.77,0,81.92,96.38,81.92,48.19,8.76,96.38,7.71,0,0,20.48,0,0,26.93,0,6.75,54.21,106.02,0,0,96.38,0,0,25.44,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1983.2499999999998

9,02:00-02:15,49.15,81.92,26.93,0,28.67,12.53,48.19,204.81,0,0,0.67,0,81.92,96.38,81.92,48.19,8.76,96.38,7.71,0,0,20.48,0,0,26.93,0,6.75,54.21,106.02,0,0,0,0,0,0,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1861.3299999999997

10,02:15-02:30,49.15,81.92,26.93,0,28.67,12.53,48.19,204.81,0,0,0.67,0,81.92,96.38,81.92,48.19,8.76,96.38,7.71,0,0,20.48,0,0,26.93,0,6.75,54.21,106.02,0,0,0,0,0,0,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1861.3299999999997

11,02:30-02:45,49.15,81.92,26.93,0,28.67,12.53,48.19,204.81,0,0,0.67,0,81.92,96.38,81.92,48.19,8.76,96.38,7.71,0,0,20.48,0,0,26.93,0,6.75,54.21,106.02,0,0,0,0,0,0,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1861.3299999999997

12,02:45-03:00,49.15,81.92,26.93,0,28.67,12.53,48.19,204.81,0,0,0.67,0,81.92,96.38,81.92,48.19,8.76,96.38,7.71,0,0,20.48,0,0,26.93,0,6.75,54.21,106.02,0,0,0,0,0,0,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1861.3299999999997

13,03:00-03:15,0,81.92,26.93,0,28.67,12.53,48.19,0,0,0,0.63,0,81.92,96.38,81.92,48.19,8.76,96.38,7.71,0,0,0,0,0,26.93,0,6.75,54.21,76.74,0,0,0,0,0,0,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1557.5699999999997

14,03:15-03:30,0,81.92,26.93,0,28.67,12.53,48.19,0,0,0,0.63,0,81.92,96.38,81.92,48.19,8.76,96.38,7.71,0,0,0,0,0,26.93,0,6.75,54.21,76.74,0,0,0,0,0,0,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1557.5699999999997

15,03:30-03:45,0,81.92,26.93,0,28.67,12.53,48.19,0,0,0,0.63,0,81.92,96.38,81.92,48.19,8.76,96.38,7.71,0,0,0,0,0,26.93,0,6.75,54.21,76.74,0,0,0,0,0,0,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1557.5699999999997

16,03:45-04:00,0,81.92,26.93,0,28.67,12.53,48.19,0,0,0,0.63,0,81.92,96.38,81.92,48.19,8.76,96.38,7.71,0,0,0,0,0,26.93,0,6.75,54.21,76.74,0,0,0,0,0,0,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1557.5699999999997

17,04:00-04:15,0,81.92,26.93,0,28.67,12.53,48.19,0,0,0,0.63,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1310.5999999999997

18,04:15-04:30,0,81.92,26.93,0,28.67,12.53,48.19,0,0,0,0.63,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1310.5999999999997

19,04:30-04:45,0,81.92,26.93,0,28.67,12.53,48.19,0,0,0,0.63,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1310.5999999999997

20,04:45-05:00,0,81.92,26.93,0,28.67,12.53,48.19,0,0,0,0.63,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1310.5999999999997

21,05:00-05:15,0,81.92,26.93,0,28.67,12.53,48.19,0,0,0,0.63,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,16.62,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1307.9399999999998

22,05:15-05:30,0,81.92,26.93,0,28.67,12.53,48.19,0,0,0,0.63,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,16.62,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1307.9399999999998

23,05:30-05:45,0,81.92,26.93,0,28.67,11.57,48.19,0,0,0,0.63,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,16.62,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1306.9799999999998

24,05:45-06:00,0,81.92,26.93,0,28.67,11.57,48.19,0,0,0,0.63,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,0.19,0,192.76,26.28,44.33,0,26.28,16.62,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1307.1699999999998

25,06:00-06:15,0,81.92,26.93,0,28.67,11.57,48.19,0,0,0,0.82,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,1.04,0,192.76,26.28,44.33,0,26.28,16.62,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0.01,0,0,1,0,0.01,0,0,0.02,0,1309.2499999999998

26,06:15-06:30,0,81.92,26.93,0,28.67,11.57,48.19,0,0,0,0.82,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,1.9,0,192.76,26.28,44.33,0,26.28,16.62,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0.01,0,0,3,0,0.01,0,0,0.05,0,1312.1399999999996

27,06:30-06:45,0,81.92,26.93,0.84,28.67,11.57,48.19,0,0,0,0.82,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,2.75,0,192.76,26.28,44.33,0,26.28,16.62,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0.04,0,0,5,0,0.07,0,0,0.14,0,1316.0099999999998

28,06:45-07:00,0,81.92,26.93,1.38,28.67,11.57,48.19,0,0,0,0.82,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,3.61,0,192.76,26.28,44.33,0,26.28,16.62,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0.05,0,0,8,0,0.11,0,0,0.2,0,1320.5199999999995

29,07:00-07:15,0,81.92,26.93,1.98,28.67,11.57,48.19,0,0,0,0.87,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,6.03,0,192.76,26.28,44.33,0,26.28,16.62,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0.08,0,0.01,11,0.01,0.14,0.02,0,0.3,0,1326.7899999999997

30,07:15-07:30,0,81.92,26.93,2.98,28.67,11.57,48.19,0,0,0,0.87,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,8.46,0,192.76,26.28,44.33,0,26.28,16.62,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,0,0.07,15,0.07,0.19,0.1,0,0.39,0,1334.6699999999998

31,07:30-07:45,0,81.92,26.93,3.86,28.67,11.57,48.19,0,0,0,0.87,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,10.89,0,192.76,26.28,44.33,0,26.28,16.62,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,0,0.14,18,0.12,0.19,0.18,0,0.39,0,1341.1799999999998

32,07:45-08:00,0,81.92,26.93,5.26,28.67,11.57,48.19,0,0,0,0.87,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,13.32,0,192.76,26.28,44.33,0,26.28,16.62,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,0,0.19,22,0.16,0.29,0.28,0,0.39,0,1349.3

33,08:00-08:15,0,81.92,26.93,6.2,28.67,11.57,48.19,0,0,0,0.96,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,16.45,0,192.76,26.28,44.33,0,26.28,16.62,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,9.64,0.26,35,0.22,0.29,0.37,1.64,0.39,0,1377.96

34,08:15-08:30,0,81.92,26.93,8.55,28.67,11.57,48.19,0,0,0,0.96,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,19.58,0,192.76,26.28,44.33,0,26.28,16.62,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,9.64,0.35,39,0.26,0.29,0.43,1.64,0.39,0,1387.6299999999999

35,08:30-08:45,0,81.92,26.93,5.89,28.67,13.49,48.19,0,0,0,0.96,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,22.71,0,192.76,26.28,44.33,0,26.28,16.62,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,5.77,0.41,42,0.31,0.29,0.52,1.64,0.39,0,1389.3500000000001

36,08:45-09:00,0,81.92,26.93,5.89,28.67,13.49,48.19,0,0,0,0.96,0,81.92,0,81.92,48.19,8.76,0,7.71,0,0,0,0,0,26.93,0,6.75,0,76.74,0,0,0,0,0,0,48.19,0,0,25.84,0,192.76,26.28,44.33,0,26.28,16.62,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,5.76,0.47,46,0.41,0.29,0.6,1.64,0.48,0,1396.8

37,09:00-09:15,0,81.92,26.94,5.89,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.94,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,30.61,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,5.76,0.53,49,0.46,0.29,0.66,1.64,0.48,0,1430.1400000000003

38,09:15-09:30,0,81.92,26.94,6.87,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.94,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,35.38,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,5.76,0.4,53,0.35,0.29,0.49,1.64,0.48,0,1439.4800000000002

39,09:30-09:45,0,81.92,26.94,6.87,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.94,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,40.15,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,9.64,0.4,60,0.35,0.29,0.49,1.64,0.48,0,1455.1300000000003

40,09:45-10:00,0,81.92,26.94,7.85,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.94,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,44.92,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,9.64,0.42,63,0.38,0.29,0.53,1.64,0.48,0,1463.9700000000005

41,10:00-10:15,0,81.92,26.94,7.85,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.94,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,54.02,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,9.64,0.43,53,0.38,0.25,0.54,1.64,0.42,1.45,1464.4400000000005

42,10:15-10:30,0,81.92,26.94,7.85,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.94,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,56.02,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.16,9.64,0.43,53,0.38,0.29,0.54,1.64,0.42,1.45,1466.4500000000005

