Block,Time,NR/01102023/31052040/LT-31,NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01062024/30062024/1000011034-ACBL-BRPL,WR/01102023/31032046/L_NR_2020_05,NR/01102023/30042040/GNA_LT_35,NR/01062024/30062024/IEPL01,NR/01102023/30042040/GNA_LT_36,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/14082046/L_NR_2021_16,NR/01102023/27052033/DIAPL(L_NR_2023_04),SR/01102023/07102043/L_NR_2018_61,NR/01102023/25072045/L_NR_2021_15,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01102023/02012046/L_NR_2021_17,NR/01102023/06022042/L_NR_2012_02,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01062024/15062024/1000011005-GOHP-BRPL,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,NR/01062024/15062024/1000011003-KWHPS-BRPL(DISCOM),NR/01062024/30062024/R2,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01102023/19072037/LT-05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,NR/01102023/06022042/L_NR_2012_07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/22052037/LT-59,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,NR/01042024/31072024/LT_MEJA_DELHI
6,01:15-01:30,0.000000,0.000000,48.290000,24.140000,82,0.000000,38.630000,0.000000,29.040000,100.620000,15.310000,0,30.280000,7.41,0,24.140000,0,262.210000,48.290000,38.630000,48.290000,27.34,22.66,24.140000,24.140000,24.140000,115.470000,64.67,0,30.910000,9.070000,24.140000,0,0,0,0,0,30.910000,8.350000,273.080000,0,64.67,0,0,87.120000,0.000000,7.770000,0,0,27.33,0.000000

7,01:30-01:45,0.000000,0.000000,48.290000,24.140000,81.5,0.000000,38.630000,0.000000,29.040000,100.620000,15.310000,0,30.280000,7.61,0,24.140000,0,262.210000,48.290000,38.630000,48.290000,27.16,20.34,24.140000,24.140000,24.140000,110.740000,65.33,0,30.910000,9.070000,24.140000,0,0,0,0,0,30.910000,8.350000,273.080000,0,65.33,0,0,87.120000,0.000000,7.770000,0,0,27.17,0.000000

8,01:45-02:00,0.000000,0.000000,48.290000,24.140000,81,0.000000,38.630000,0.000000,29.040000,100.620000,15.310000,0,30.280000,7.41,0,24.140000,0,262.210000,48.290000,38.630000,48.290000,27,20,24.140000,24.140000,24.140000,110.740000,65.67,0,30.910000,9.070000,24.140000,0,0,0,0,0,30.910000,8.350000,273.080000,0,65.67,0,0,87.120000,0.000000,7.770000,0,0,27,0.000000

9,02:00-02:15,0.000000,0.000000,48.290000,24.140000,82,0.000000,38.630000,0.000000,24.690000,100.620000,15.030000,0,30.280000,7.41,0,24.140000,0,262.210000,48.290000,38.630000,48.290000,27.34,20,24.140000,24.140000,24.140000,110.740000,65.67,0,30.910000,8.760000,24.140000,0,0,0,0,0,30.910000,8.170000,273.080000,0,65.67,0,0,87.120000,0.000000,7.610000,0,0,27.33,0.000000

10,02:15-02:30,0.000000,0.000000,48.290000,24.140000,83,0.000000,38.630000,0.000000,24.690000,100.620000,15.030000,0,29.770000,7.41,0,24.140000,0,262.210000,48.290000,38.630000,48.290000,27.66,19.66,24.140000,24.140000,24.140000,110.740000,65,0,30.910000,8.760000,24.140000,0,0,0,0,0,30.910000,8.170000,273.080000,0,65,0,0,87.120000,0.000000,7.610000,0,0,27.67,0.000000

11,02:30-02:45,0.000000,0.000000,48.290000,24.140000,83,0.000000,38.630000,0.000000,24.690000,100.620000,15.030000,0,29.770000,7.41,0,24.140000,0,262.210000,48.290000,38.630000,48.290000,27.66,19.66,24.140000,24.140000,24.140000,110.740000,64.33,0,30.910000,8.450000,24.140000,0,0,0,0,0,30.910000,8.170000,273.080000,0,64.33,0,0,87.120000,0.000000,7.610000,0,0,27.67,0.000000

12,02:45-03:00,0.000000,0.000000,48.290000,24.140000,82,0.000000,38.630000,0.000000,24.690000,100.620000,15.030000,0,29.260000,7.41,0,24.140000,0,262.210000,48.290000,38.630000,48.290000,27.34,19.66,24.140000,24.140000,24.140000,110.740000,63.67,0,30.910000,8.450000,24.140000,0,0,0,0,0,30.910000,8.170000,273.080000,0,63.67,0,0,87.120000,0.000000,7.610000,0,0,27.33,0.000000

13,03:00-03:15,0.000000,0.000000,48.290000,24.140000,81,0.000000,38.630000,0.000000,24.690000,100.620000,14.750000,0,29.260000,7.41,0,24.140000,0,262.210000,48.290000,0.000000,48.290000,27,19.66,24.140000,24.140000,24.140000,110.740000,63.33,0,30.910000,8.450000,24.140000,0,0,0,0,0,30.910000,7.990000,273.080000,0,63.33,0,0,87.120000,0.000000,7.460000,0,0,27,0.000000

14,03:15-03:30,0.000000,0.000000,48.290000,24.140000,80,0.000000,38.630000,0.000000,24.690000,100.620000,14.750000,0,28.760000,7.41,0,24.140000,0,262.210000,48.290000,0.000000,48.290000,26.66,19,24.140000,24.140000,24.140000,110.740000,62.67,0,30.910000,8.450000,24.140000,0,0,0,0,0,30.910000,7.990000,273.080000,0,62.67,0,0,87.120000,0.000000,7.460000,0,0,26.67,0.000000

15,03:30-03:45,0.000000,0.000000,48.290000,24.140000,79,0.000000,38.630000,0.000000,24.690000,100.620000,14.750000,0,28.760000,7.41,0,24.140000,0,262.210000,48.290000,0.000000,48.290000,26.34,19,24.140000,24.140000,24.140000,110.740000,62,0,30.910000,8.450000,24.140000,0,0,0,0,0,30.910000,7.990000,273.080000,0,62,0,0,87.120000,0.000000,7.920000,0,0,26.33,0.000000

16,03:45-04:00,0.000000,0.000000,48.290000,24.140000,78,0.000000,38.630000,0.000000,24.690000,100.620000,14.750000,0,28.260000,7.41,0,24.140000,0,262.210000,48.290000,0.000000,48.290000,26,18.34,24.140000,24.140000,24.140000,110.740000,61,0,30.910000,8.450000,24.140000,0,0,0,0,0,30.910000,7.990000,273.080000,0,61,0,0,87.120000,0.000000,7.920000,0,0,26,0.000000

17,04:00-04:15,0.000000,0.000000,48.290000,24.140000,77,0.000000,38.630000,0.000000,24.690000,100.620000,14.480000,0,28.260000,7.41,0,24.140000,0,262.210000,48.290000,0.000000,48.290000,25.66,18.34,24.140000,24.140000,24.140000,110.740000,60,0,30.910000,8.060000,24.140000,0,0,0,0,0,30.910000,7.800000,273.080000,0,60,0,0,87.120000,0.000000,7.920000,0,0,25.67,0.000000

18,04:15-04:30,0.000000,0.000000,48.290000,24.140000,76,0.000000,38.630000,0.000000,24.690000,100.620000,14.480000,0,28.260000,7.41,0,24.140000,0,262.210000,48.290000,0.000000,48.290000,25.34,18,24.140000,24.140000,24.140000,110.740000,59.33,0,30.910000,8.060000,24.140000,0,0,0,0,0,30.910000,7.800000,273.080000,0,59.33,0,0,87.120000,0.000000,7.920000,0,0,25.33,0.000000

19,04:30-04:45,0.000000,0.000000,48.290000,24.140000,61,0.000000,38.630000,0.000000,24.690000,100.620000,14.480000,0,28.260000,7.41,0,24.140000,0,262.210000,48.290000,0.000000,48.290000,20.34,17,24.140000,24.140000,24.140000,110.740000,58.33,0,30.910000,8.060000,24.140000,0,0,0,0,0,10.960000,7.800000,273.080000,0,58.33,0,0,87.120000,0.000000,7.920000,0,0,20.33,0.000000

20,04:45-05:00,0.000000,0.000000,48.290000,24.140000,61.5,0.000000,38.630000,0.000000,24.690000,100.620000,14.480000,0,28.260000,7.41,0,24.140000,0,262.210000,48.290000,0.000000,48.290000,20.5,16.66,24.140000,24.140000,24.140000,110.740000,58.33,0,30.910000,8.060000,24.140000,0,0,0,0,0,10.960000,7.800000,273.080000,0,58.33,0,0,87.120000,0.000000,7.920000,0,0,20.5,0.000000

21,05:00-05:15,0.000000,0.000000,48.290000,24.140000,61.5,0.000000,38.630000,0.000000,24.690000,100.620000,14.290000,0,28.260000,7.41,0,24.140000,0,262.210000,48.290000,0.000000,48.290000,20.5,16,24.140000,24.140000,24.140000,110.740000,52.67,0,30.910000,8.060000,24.140000,0,0,0,0,0,10.960000,7.620000,273.080000,0,52.67,0,0,87.120000,0.000000,7.770000,0,0,20.5,0.000000

22,05:15-05:30,0.000000,0.000000,48.290000,24.140000,60,0.000000,38.630000,0.000000,24.690000,100.620000,14.290000,0,28.260000,7.41,0,24.140000,0,262.210000,48.290000,0.000000,48.290000,20,15.34,24.140000,24.140000,24.140000,110.740000,52.67,0,30.910000,8.060000,24.140000,0,0,0,0,0,10.960000,7.620000,273.080000,0,52.67,0,0,87.120000,0.000000,7.770000,0,0,20,0.000000

23,05:30-05:45,0.000000,0.000000,48.290000,24.140000,59,0.000000,38.630000,0.000000,24.690000,100.620000,14.290000,0,27.750000,7.41,0,24.140000,0,262.210000,48.290000,0.000000,48.290000,19.66,14.66,24.140000,24.140000,24.140000,110.740000,52.67,0,30.910000,8.060000,24.140000,0,0,0,0,0,10.960000,7.620000,273.080000,0,52.67,0,0,87.120000,0.000000,7.770000,0.34097,0,19.67,0.000000

24,05:45-06:00,0.000000,0.000000,48.290000,24.140000,58,0.000000,38.630000,0.000000,24.690000,100.620000,14.290000,0,27.750000,7.41,0.2,24.140000,0,262.210000,48.290000,0.000000,48.290000,19.34,13.66,24.140000,24.140000,24.140000,110.740000,52.67,0,30.910000,8.060000,24.140000,0.58,0.18,0,0,0,10.960000,7.620000,273.080000,0,52.67,0,0,87.120000,0.000000,7.770000,1.422332,0.12,19.33,0.000000

25,06:00-06:15,0.000000,0.000000,48.290000,24.140000,56,0.000000,38.630000,0.000000,24.690000,100.620000,14.010000,0,27.750000,7.41,1,24.140000,0,262.210000,48.290000,0.000000,48.290000,18.66,14.34,24.140000,24.140000,24.140000,110.740000,52.67,0,30.910000,7.680000,24.140000,3.79,1.66,1,1,1,18.960000,7.430000,273.080000,10.67,52.67,0,0,87.120000,0.000000,7.770000,5.182744,0.76,18.67,0.000000

26,06:15-06:30,0.090000,0.000000,48.290000,24.140000,54,0.090000,38.630000,0.090000,24.690000,100.620000,14.010000,0,27.750000,7.41,2,24.140000,0,262.210000,48.290000,0.000000,48.290000,18,13.34,24.140000,24.140000,24.140000,110.740000,52.67,1,30.910000,7.680000,24.140000,8.33,3.79,2,4,1,18.960000,7.430000,273.080000,24.26,52.67,1,2.04,87.120000,0.000000,7.770000,10.005034,1.67,18,0.000000

27,06:30-06:45,0.930000,0.000000,48.290000,24.140000,62.5,0.930000,38.630000,0.950000,24.690000,100.620000,14.010000,0,28.260000,7.41,5,24.140000,0,262.210000,48.290000,0.000000,48.290000,20.84,16,24.140000,24.140000,24.140000,66.250000,63.33,5,30.910000,7.680000,24.140000,13.64,6.53,5,7,3,13.380000,7.430000,273.080000,33,63.33,3,5.85,68.120000,0.000000,6.990000,15.44107,2.73,20.83,0.000000

28,06:45-07:00,1.490000,0.000000,48.290000,24.140000,62.5,1.490000,38.630000,1.520000,24.690000,100.620000,14.010000,0,28.260000,7.41,6,24.140000,0,262.210000,48.290000,0.000000,48.290000,20.84,16.34,24.140000,24.140000,24.140000,66.250000,63.33,12,30.910000,7.680000,24.140000,20.93,9.48,8,14,6,18.960000,7.430000,273.080000,33,63.33,4,13.04,68.120000,0.000000,6.990000,21.831822,4.19,20.83,0.000000

29,07:00-07:15,2.220000,0.000000,48.290000,24.140000,62.5,2.220000,38.630000,2.270000,24.690000,100.620000,13.730000,0,28.260000,7.41,8,24.140000,0,262.210000,48.290000,0.000000,48.290000,20.84,16.66,24.140000,24.140000,24.140000,66.250000,62.33,20,30.910000,7.680000,24.140000,31.53,13.19,11,21,9,18.960000,7.240000,273.080000,31.38,62.33,5,22.31,63.340000,0.000000,6.990000,29.099354,6.31,20.83,0.000000

30,07:15-07:30,3.100000,0.000000,48.290000,24.140000,61.5,3.100000,38.630000,3.180000,24.690000,100.620000,13.730000,0,28.260000,7.41,11.46,24.140000,0,262.210000,48.290000,0.000000,48.290000,20.5,17,24.140000,24.140000,24.140000,66.250000,61.67,26.99,30.910000,7.680000,24.140000,45.07,17.08,16,35,15,18.960000,7.240000,273.080000,26.98,61.67,8,26.98,63.340000,0.000000,6.990000,36.892954,9.01,20.5,0.000000

31,07:30-07:45,4.090000,0.000000,48.290000,24.140000,61.5,4.090000,38.630000,4.190000,24.690000,97.180000,13.730000,0,28.260000,7.41,16.11,24.140000,0,262.210000,48.290000,0.000000,48.290000,20.5,17.34,24.140000,24.140000,24.140000,66.250000,61,28.65,23.330000,7.680000,24.140000,60.88,21.85,23,49,21,23.330000,7.240000,273.080000,28.65,61,12,28.65,63.340000,0.000000,6.990000,45.88482,12.17,20.5,0.000000

32,07:45:08:00,5.140000,0.000000,48.290000,24.140000,60.5,5.140000,38.630000,5.260000,24.690000,68.200000,13.730000,0,28.260000,7.41,20.21,24.140000,0,262.210000,48.290000,0.000000,48.290000,20.16,17.66,24.140000,24.140000,24.140000,66.250000,60.33,29.81,23.330000,7.680000,24.140000,78.47,26.28,30,63,27,23.330000,7.240000,273.080000,29.82,60.33,15,29.82,57.660000,0.000000,6.990000,54.038874,15.69,20.17,0.000000

33,08:00-08:15,6.180000,0.000000,48.290000,24.140000,80,6.180000,38.630000,6.330000,24.690000,59.880000,13.460000,0,27.250000,7.41,23.37,24.140000,0,213.920000,48.290000,0.000000,48.290000,26.66,17.66,24.140000,24.140000,24.140000,66.250000,64.67,30.49,23.330000,7.680000,24.140000,96.35,31.98,37,70,30,23.330000,7.060000,273.080000,30.48,64.67,18,30.48,57.660000,0.000000,6.840000,62.319574,19.27,26.67,0.000000

34,08:15-08:30,7.210000,0.000000,48.290000,24.140000,82,7.210000,38.630000,7.390000,24.690000,80.160000,13.460000,0,28.260000,7.41,26.63,24.140000,0,166.070000,48.290000,0.000000,48.290000,27.34,17.66,24.140000,24.140000,24.140000,66.250000,64.33,32,23.330000,7.680000,24.140000,114.04,37.37,43,84,36,23.330000,7.060000,273.080000,32,64.33,22,32,57.660000,0.000000,6.840000,70.707436,22.81,27.33,0.000000

35,08:30-08:45,8.180000,0.000000,48.290000,24.140000,72,8.180000,38.630000,8.380000,24.690000,80.160000,13.460000,0,28.760000,7.41,29.73,24.140000,0,117.780000,48.290000,0.000000,48.290000,24,18,24.140000,24.140000,24.140000,66.250000,54.33,32,23.330000,7.680000,24.140000,131.38,45.64,49,105,45,23.330000,7.060000,273.080000,32,54.33,24,32,57.660000,0.000000,6.840000,78.627682,26.27,24,0.000000

36,08:45:09:00,9.180000,0.000000,48.290000,24.140000,73.5,9.180000,38.630000,9.410000,24.690000,80.160000,13.460000,0,29.270000,7.41,32.53,24.140000,0,110.100000,48.290000,0.000000,48.290000,24.5,19,24.140000,24.140000,24.140000,66.250000,55.33,32,23.330000,7.680000,24.140000,147.58,52.61,55,119,51,23.330000,7.060000,273.080000,32,55.33,27,32,57.660000,0.000000,6.840000,86.401798,29.51,24.5,0.000000

37,09:00:09:15,10.100000,0.000000,0.000000,24.140000,105,10.100000,0.000000,10.360000,29.040000,80.160000,13.280000,0,30.280000,7.41,33.52,0.000000,0,158.390000,0.000000,0.000000,48.290000,35,30,24.140000,24.140000,24.140000,66.250000,66.67,32,23.330000,7.460000,24.140000,163.11,59.16,61,133,57,23.330000,7.060000,273.080000,32,66.67,30,32,57.660000,0.000000,6.840000,93.795976,32.62,35,3.860000

38,09:15-09:30,10.980000,0.000000,0.000000,24.140000,105,10.980000,0.000000,11.260000,29.040000,80.160000,13.280000,0,31.290000,7.41,36.21,0.000000,0,166.070000,0.000000,0.000000,48.290000,35,30.66,24.140000,24.140000,24.140000,66.250000,67.33,32,23.330000,7.460000,24.140000,178.86,65.28,67,147,63,23.330000,7.060000,273.080000,32,67.33,33,32,57.660000,0.000000,6.840000,100.58615,35.77,35,3.860000

39,09:30-09:45,11.780000,0.000000,0.000000,24.140000,105,11.780000,0.000000,12.070000,29.040000,89.820000,13.280000,0,31.290000,7.01,38.84,0.000000,0,166.070000,0.000000,0.000000,48.290000,35,31.34,24.140000,24.140000,24.140000,66.250000,78.33,32,23.330000,7.460000,24.140000,194.12,70.96,73,158,67,23.330000,7.060000,273.080000,32,78.33,37,32,57.660000,0.000000,6.840000,107.239936,38.82,35,3.860000

40,09:45-10:00,12.500000,0.000000,0.000000,24.140000,105,12.500000,0.000000,12.810000,29.040000,89.820000,13.280000,0,31.290000,7.01,41.04,0.000000,0,117.780000,0.000000,0.000000,48.290000,35,32,24.140000,24.140000,24.140000,66.250000,78.33,31.9,23.330000,7.460000,24.140000,207.49,76.01,80,168,72,23.330000,7.060000,273.080000,31.9,78.33,40,31.9,57.660000,0.000000,6.840000,113.650172,41.5,35,3.860000

41,10:00-10:15,13.220000,0.000000,0.000000,24.140000,105,13.220000,0.000000,13.540000,29.040000,100.620000,13.180000,0,27.760000,7.01,42.96,0.000000,0,110.100000,0.000000,0.000000,48.290000,35,32.66,24.140000,24.140000,24.140000,66.250000,78.33,31.9,18.960000,7.460000,24.140000,220.69,80.39,85,179,76,30.910000,6.880000,273.080000,31.9,78.33,43,31.9,57.660000,0.000000,6.840000,118.638076,44.14,35,3.860000

42,10:15-10:30,13.780000,0.000000,0.000000,24.140000,105,13.780000,0.000000,14.120000,29.040000,100.620000,13.180000,0,27.760000,7.01,43.5,0.000000,0,158.390000,0.000000,0.000000,48.290000,35,33.34,24.140000,24.140000,24.140000,66.250000,78.33,31.9,18.960000,7.460000,24.140000,232.73,84.36,89,182,78,30.910000,6.880000,273.080000,31.9,78.33,44,31.9,57.660000,0.000000,6.840000,122.223132,46.55,35,7.670000

43,10:30-10:45,14.280000,0.000000,0.000000,24.140000,112.5,14.280000,0.000000,14.630000,29.040000,100.620000,13.180000,0,27.760000,7.01,44,0.000000,0,170.600000,0.000000,0.000000,48.290000,37.5,34,24.140000,24.140000,24.140000,66.250000,80,31.9,18.960000,7.460000,24.140000,237.5,86.58,90,186,79,30.910000,6.880000,273.080000,31.9,80,45,31.9,57.660000,0.000000,6.840000,124.434566,47.5,37.5,16.110000

44,10:45-11:00,14.760000,0.000000,0.000000,24.140000,112.5,14.760000,0.000000,15.140000,29.040000,100.620000,13.180000,0,27.760000,7.01,44.5,0.000000,0,170.600000,0.000000,0.000000,48.290000,37.5,35,24.140000,24.140000,24.140000,66.250000,80,31.9,18.960000,7.460000,24.140000,237.5,87.37,93,189,81,30.910000,6.880000,273.080000,31.9,80,47,31.9,57.660000,0.000000,6.840000,127.415618,47.5,37.5,16.110000

45,11:00-11:15,15.140000,0.000000,0.000000,24.140000,112.5,15.140000,0.000000,15.510000,29.040000,72.440000,13.100000,0,27.760000,7.01,44.5,0.000000,0,206.250000,0.000000,0.000000,48.290000,37.5,35,24.140000,24.140000,24.140000,66.250000,80,31.56,10.580000,7.460000,24.140000,237.5,87.47,93,193,82,30.910000,6.680000,273.080000,31.57,80,47,31.57,57.660000,0.000000,6.680000,129.17892,47.5,37.5,16.110000

46,11:15-11:30,15.470000,0.000000,0.000000,24.140000,112.5,15.470000,0.000000,15.860000,29.040000,75.330000,13.100000,0,28.260000,7.01,44.5,0.000000,0,206.250000,0.000000,0.000000,48.290000,37.5,35,24.140000,24.140000,24.140000,66.250000,80,31.4,10.580000,7.460000,24.140000,237.5,87.43,93,193,82,30.910000,6.680000,273.080000,31.4,80,47,31.4,57.660000,0.000000,6.680000,130.406412,47.5,37.5,16.110000

47,11:30-11:45,15.710000,0.000000,0.000000,24.140000,112.5,15.710000,0.000000,16.100000,29.040000,79.200000,13.100000,0,28.260000,7.01,44.5,0.000000,0,206.250000,0.000000,0.000000,48.290000,37.5,40,24.140000,24.140000,24.140000,66.250000,80,31.4,10.580000,7.460000,24.140000,237.5,87.51,93,193,82,30.910000,6.680000,273.080000,31.4,80,47,31.4,57.660000,0.000000,6.680000,131.214998,47.5,37.5,16.110000

48,11:45-12:00,15.860000,0.000000,0.000000,24.140000,112.5,15.860000,0.000000,16.260000,29.040000,84.990000,13.100000,0,28.260000,7.01,44.5,0.000000,0,206.250000,0.000000,0.000000,48.290000,37.5,40,24.140000,24.140000,24.140000,66.250000,80,31.4,10.580000,7.460000,24.140000,237.5,87.68,93,193,82,30.910000,6.680000,273.080000,31.4,80,47,31.4,57.660000,0.000000,6.680000,131.555968,47.5,37.5,16.110000

49,12:00-12:15,16.020000,0.000000,0.000000,24.140000,112.5,16.020000,0.000000,16.430000,29.040000,100.620000,12.910000,0,28.260000,7.01,44.5,0.000000,0,262.210000,0.000000,0.000000,48.290000,37.5,40,24.140000,24.140000,24.140000,66.250000,80,31.4,10.580000,7.680000,24.140000,237.5,87.78,93,193,82,30.910000,6.680000,273.080000,31.4,80,47,31.4,57.660000,0.000000,6.680000,130.357702,47.5,37.5,16.110000

50,12:15-12:30,16.060000,0.000000,0.000000,24.140000,112.5,16.060000,0.000000,16.460000,29.040000,100.620000,12.910000,0,28.260000,7.01,44.5,0.000000,0,262.210000,0.000000,0.000000,48.290000,37.5,40,24.140000,24.140000,24.140000,66.250000,80,31.4,10.580000,7.680000,24.140000,237.5,87.74,93,193,82,30.910000,6.680000,273.080000,31.4,80,47,31.4,57.660000,0.000000,6.680000,129.646536,47.5,37.5,16.110000

51,12:30-12:45,16.070000,0.000000,0.000000,24.140000,112.5,16.070000,0.000000,16.470000,29.040000,100.620000,12.910000,0,28.260000,7.01,44.5,0.000000,0,262.210000,0.000000,0.000000,48.290000,37.5,40,24.140000,24.140000,24.140000,66.250000,80,31.4,10.580000,7.680000,24.140000,237.5,87.69,93,193,82,30.910000,6.680000,273.080000,31.4,80,47,31.4,85.340000,0.000000,6.840000,127.854008,47.5,37.5,16.110000

52,12:45-13:00,15.970000,0.000000,0.000000,24.140000,112.5,15.970000,0.000000,16.370000,29.040000,100.620000,12.910000,0,28.260000,7.01,44.5,0.000000,0,262.210000,0.000000,0.000000,48.290000,37.5,40,24.140000,24.140000,24.140000,66.250000,80,31.4,10.580000,7.680000,24.140000,237.5,87.64,93,193,82,30.910000,6.680000,273.080000,31.4,80,47,31.4,85.340000,0.000000,6.840000,125.437992,47.5,37.5,16.110000

