Column1,Block,NR/2024/23446/A/40868,GNA/NR/2024/10/01/3642,NR/2024/23383/A/40719,GNA/NR/2024/10/01/9072,NR/2024/23648/A/40752,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/6101,NR/2024/23664/C,NR/2024/23414/A/40725,NR/2024/23384/A/40724,NR/2024/23382/A/40869,NR/2024/23356/A/40754,NR/2024/23668/C,NR/2024/23389/A/40753,GNA/NR/2024/10/01/9582,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
69,17:00-17:15,0,37.24,0.72,37.24,2.89,12.42,37.24,175.45,0,6.75,29.21,0,1.21,0,12.42,26.87,26.87,0,5.79,412.32

70,17:15-17:30,0,37.24,0.72,37.24,2.89,12.42,37.24,175.45,0,6.75,29.21,0,0.71,0,12.42,24.8,24.8,0,5.79,407.68

71,17:30-17:45,0,37.24,0.72,37.24,2.89,12.42,37.24,175.45,0,6.75,29.21,0,0.33,0,12.42,26.87,26.87,0,5.79,411.44

72,17:45-18:00,0,37.24,0.72,37.24,2.89,12.42,37.24,175.45,0,6.75,29.21,0,0.15,0,12.42,26.87,26.87,0,5.79,411.26

73,18:00-18:15,0,37.24,0.72,37.24,2.89,12.42,37.24,175.45,0,6.75,29.21,0,0.02,0,12.42,26.87,26.87,120.5,5.89,531.7299999999999

74,18:15-18:30,0,37.24,0.72,37.24,2.89,12.42,37.24,175.45,0,6.75,29.21,0,0,0,12.42,26.87,26.87,120.5,5.89,531.7099999999999

75,18:30-18:45,0,37.24,0.72,37.24,2.89,12.42,37.24,175.45,0,6.75,29.21,0,0,0,12.42,26.87,26.87,120.5,5.89,531.7099999999999

76,18:45-19:00,0,37.24,0.72,37.24,2.89,12.42,37.24,175.45,0,6.75,29.21,0,0,0,12.42,26.87,26.87,120.5,5.89,531.7099999999999

77,19:00-19:15,0,37.24,0.67,37.24,2.89,12.42,37.24,175.45,0,6.75,29.21,0,0,0,12.42,18.98,18.98,120.5,5.99,515.98

78,19:15-19:30,0,37.24,0.67,37.24,2.89,12.42,37.24,175.45,0,6.75,29.21,0,0,0,12.42,18.98,18.98,120.5,5.99,515.98

79,19:30-19:45,0,37.24,0.67,37.24,2.89,12.42,37.24,175.45,0,6.75,29.21,0,0,0,12.42,18.98,18.98,120.5,5.99,515.98

80,19:45-20:00,0,37.24,0.67,37.24,2.89,12.42,37.24,175.45,0,6.75,29.21,0,0,0,12.42,18.98,18.98,120.5,5.99,515.98

81,20:00-20:15,0,37.24,0.67,37.24,2.89,12.42,37.24,175.45,0,6.75,29.21,0,0,0,12.42,18.98,18.98,192.8,6.07,588.36

82,20:15-20:30,0,37.24,0.67,37.24,2.89,12.42,37.24,175.45,0,6.75,29.21,0,0,0,12.42,18.98,18.98,192.8,6.07,588.36

83,20:30-20:45,0,37.24,0.67,37.24,2.89,12.42,37.24,175.45,0,6.75,29.21,0,0,0,12.42,18.98,18.98,192.8,6.07,588.36

84,20:45-21:00,0,37.24,0.67,37.24,2.89,12.42,37.24,175.45,0,6.75,29.21,0,0,0,12.42,18.98,18.98,192.8,6.07,588.36

85,21:00-21:15,0,37.24,0.72,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,18.98,18.98,192.8,6.07,584.0300000000001

86,21:15-21:30,0,37.24,0.72,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,18.98,18.98,192.8,6.07,584.0300000000001

87,21:30-21:45,0,37.24,0.72,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,18.98,18.98,192.8,6.07,584.0300000000001

88,21:45-22:00,0,37.24,0.72,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,18.98,18.98,192.8,6.07,584.0300000000001

89,22:00-22:15,0,37.24,0.67,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,18.98,18.98,192.8,5.99,583.9000000000001

90,22:15-22:30,0,37.24,0.67,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,18.98,18.98,192.8,5.99,583.9000000000001

91,22:30-22:45,0,37.24,0.67,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,18.98,18.98,192.8,5.99,583.9000000000001

92,22:45-23:00,0,37.24,0.67,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,18.98,18.98,192.8,5.99,583.9000000000001

93,23:00-23:15,0,37.24,0.58,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,18.98,18.98,192.8,5.79,583.61

94,23:15-23:30,0,37.24,0.58,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,18.98,18.98,192.8,5.79,583.61

95,23:30-23:45,0,37.24,0.58,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,18.98,18.98,192.8,5.79,583.61

96,23:45-24:00,0,37.24,0.58,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,18.98,18.98,192.8,5.79,583.61

