Time,Block,NR/2024/20248/C,NR/2024/20090/A/18803,NR/2024/20037/A/18984,NR/2024/20031/A/19097,NR/2024/19588/A/18873,NR/2024/20050/A/19058,NR/2024/20263/C,NR/2024/20033/A/19098,NR/2024/20048/A/19059,NR/2024/20144/A/18869,NR/2024/20269/C,NR/2024/20265/C,NR/2024/19355/A/19248,NR/2024/19637/A/18852,NR/2024/19432/A/19102,NR/2024/19779/A/18790,NR/2024/19918/A/19093,NR/2024/20109/A/19247,NR/2024/20040/A/19091,NR/2024/20267/C,NR/2024/20270/C,NR/2024/20034/A/19096,NR/2024/20041/A/19060,NR/2024/20247/C,NR/2024/20246/C,NR/2024/20052/A/18670,NR/2024/19760/A/18989,NR/2024/19475/A/19044,NR/2024/20142/A/18865,NR/2024/19683/A/18820,NR/2024/20141/A/18867,NR/2024/20082/A/19092,NR/2024/19699/A/19100,NR/2024/19966/A/18853,NR/2024/20130/A/18953,Total

3,00:30-00:45,0,1.930000,72.440000,43.900000,66.820000,162.980000,86.920000,14.630000,54.330000,0.880000,62.780000,238.550000,96.580000,0.000000,24.140000,0.630000,13.520000,241.450000,14.490000,38.630000,144.870000,43.900000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1810.4

4,00:45-01:00,0,1.930000,72.440000,43.900000,66.820000,162.980000,86.920000,14.630000,54.330000,0.880000,62.780000,239.520000,96.580000,0.000000,24.140000,0.630000,13.520000,241.450000,14.490000,38.630000,144.870000,43.900000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1811.37

5,01:00-01:15,0,1.930000,72.440000,43.900000,66.820000,162.980000,86.920000,14.630000,54.330000,0.880000,0.000000,239.520000,96.580000,0.000000,24.140000,0.630000,13.520000,241.450000,14.490000,0.000000,144.870000,43.900000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1709.96

6,01:15-01:30,0,1.930000,72.440000,43.900000,66.820000,162.980000,86.920000,14.630000,54.330000,0.880000,0.000000,247.240000,96.580000,0.000000,24.140000,0.630000,13.520000,241.450000,14.490000,0.000000,144.870000,43.900000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1717.68

7,01:30-01:45,0,1.930000,72.440000,43.900000,66.820000,162.980000,0.000000,14.630000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.630000,13.520000,241.450000,14.490000,0.000000,144.870000,43.900000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1383.52

8,01:45-02:00,0,1.930000,72.440000,43.900000,66.820000,162.980000,0.000000,14.630000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.630000,13.520000,241.450000,14.490000,0.000000,144.870000,43.900000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1383.52

9,02:00-02:15,0,1.930000,72.440000,37.310000,66.820000,162.980000,0.000000,12.440000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.630000,13.520000,241.450000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1223.28

10,02:15-02:30,0,1.930000,72.440000,37.310000,66.820000,162.980000,0.000000,12.440000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.630000,13.520000,241.450000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1223.28

11,02:30-02:45,0,1.930000,72.440000,37.310000,66.820000,162.980000,0.000000,12.440000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.630000,13.520000,241.450000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1223.28

12,02:45-03:00,0,1.930000,72.440000,37.310000,66.820000,162.980000,0.000000,12.440000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.630000,13.520000,241.450000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1223.28

13,03:00-03:15,0,1.930000,72.440000,37.310000,66.820000,162.980000,0.000000,12.440000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.530000,13.520000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1165.23

14,03:15-03:30,0,1.930000,72.440000,37.310000,66.820000,162.980000,0.000000,12.440000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.530000,13.520000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1165.23

15,03:30-03:45,0,1.930000,72.440000,37.310000,66.820000,162.980000,0.000000,12.440000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.530000,13.520000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1165.23

16,03:45-04:00,0,1.930000,72.440000,37.310000,66.820000,162.980000,0.000000,12.440000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.530000,13.520000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1165.23

17,04:00-04:15,0,1.930000,72.440000,37.310000,66.820000,162.980000,0.000000,12.440000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.530000,13.520000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1165.23

18,04:15-04:30,0,1.930000,72.440000,37.310000,66.820000,162.980000,0.000000,12.440000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.530000,13.520000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1165.23

19,04:30-04:45,0,1.930000,72.440000,37.310000,66.820000,162.980000,0.000000,12.440000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.530000,13.520000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1165.23

20,04:45-05:00,0,1.930000,72.440000,37.310000,66.820000,162.980000,0.000000,12.440000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.530000,13.520000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1165.23

21,05:00-05:15,0,1.930000,72.440000,37.310000,66.820000,162.980000,0.000000,12.440000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.530000,13.520000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,19.320000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1174.89

22,05:15-05:30,0,1.930000,72.440000,37.310000,66.820000,162.980000,0.000000,12.440000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.530000,13.520000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,19.320000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1174.89

23,05:30-05:45,0,1.930000,72.440000,37.310000,66.820000,162.980000,0.000000,12.440000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.530000,13.520000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,19.320000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1174.89

24,05:45-06:00,0,1.930000,72.440000,37.310000,66.820000,162.980000,0.000000,12.440000,54.330000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.530000,13.520000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,19.320000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1174.89

25,06:00-06:15,0,1.930000,72.440000,37.310000,66.820000,0.000000,0.000000,12.440000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.530000,0.000000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,19.320000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,944.06

26,06:15-06:30,0,1.930000,72.440000,37.310000,66.820000,0.000000,0.000000,12.440000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.530000,0.000000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,19.320000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,944.06

27,06:30-06:45,0.23,1.930000,72.440000,37.310000,66.820000,0.000000,0.000000,12.440000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.530000,0.000000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,19.320000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,944.29

28,06:45-07:00,0.51,1.930000,72.440000,37.310000,66.820000,0.000000,0.000000,12.440000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.530000,0.000000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,19.320000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,944.57

29,07:00-07:15,0.82,1.930000,72.440000,37.310000,66.820000,0.000000,0.000000,12.440000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.680000,0.000000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,19.320000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,945.03

30,07:15-07:30,0.89,1.930000,72.440000,37.310000,66.820000,0.000000,0.000000,12.440000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.680000,0.000000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,19.320000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,945.1

31,07:30-07:45,1.45,1.930000,72.440000,37.310000,66.820000,0.000000,0.000000,12.440000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.680000,0.000000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,19.320000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,945.66

32,07:45:08:00,2.19,1.930000,72.440000,37.310000,66.820000,0.000000,0.000000,12.440000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.680000,0.000000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,19.320000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,946.4

33,08:00-08:15,3.17,1.930000,72.440000,37.310000,66.820000,0.000000,0.000000,12.440000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.970000,0.000000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,19.320000,9.660000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,948.64

34,08:15-08:30,3.49,1.930000,72.440000,37.310000,66.820000,0.000000,0.000000,12.440000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.970000,0.000000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,19.320000,9.660000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,948.96

35,08:30-08:45,3.72,1.930000,72.440000,37.310000,66.820000,0.000000,0.000000,12.440000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.970000,0.000000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,19.320000,9.660000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,949.19

36,08:45:09:00,4.15,1.930000,72.440000,37.310000,66.820000,0.000000,0.000000,12.440000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.970000,0.000000,183.500000,14.490000,0.000000,0.000000,37.310000,0.000000,111.360000,19.320000,9.660000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,949.62

37,09:00:09:15,4.49,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,0.000000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,9.660000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1124.68

38,09:15-09:30,4.64,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,0.000000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,9.660000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1124.83

39,09:30-09:45,4.78,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,0.000000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,9.660000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1124.97

40,09:45-10:00,5.17,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,0.000000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,9.660000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1125.36

41,10:00-10:15,5.68,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,0.000000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1129.73

42,10:15-10:30,6.04,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,0.000000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1130.09

43,10:30-10:45,6.42,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,0.000000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1130.47

44,10:45-11:00,6.95,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,0.000000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1131

45,11:00-11:15,7.39,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,0.000000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1131.44

46,11:15-11:30,7.77,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,0.000000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1131.82

47,11:30-11:45,7.87,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,0.000000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1131.92

48,11:45-12:00,8.02,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,0.000000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1132.07

49,12:00-12:15,8.16,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1145.73

50,12:15-12:30,8.26,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1145.83

51,12:30-12:45,8.31,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1145.88

52,12:45-13:00,8.55,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1146.12

53,13:00-13:15,8.74,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1146.31

54,13:15-13:30,8.98,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1146.55

55,13:30-13:45,8.84,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1146.41

56,13:45-14:00,8.64,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1146.21

57,14:00-14:15,8.5,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1146.07

58,14:15-14:30,8.35,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1145.92

59,14:30-14:45,8.11,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1145.68

60,14:45-15:00,7.82,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1145.39

61,15:00-15:15,7.34,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1144.91

62,15:15-15:30,7.1,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1144.67

