Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2024/09/24/6792,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/22052037/LT-59,NR/22102023/11042047/L_NR_2021_16,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/09/24/5398,GNA/NR/2024/09/01/7119,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/24/2277,NR/01102023/19072037/LT-05,GNA/NR/2024/09/24/4602,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/9821,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,NR/01102023/31052040/LT-31,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/8090,NR/01082024/30092024/LT_MEJA_DELHI,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61
11,02:30-02:45,0,13,0,0,15.83,0,0,47.5,40.67,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,0,100.81,13.95,32.9,273.62,24.19,10.16,96.77,21.77,2.42,0,163.3,8.8,7.96,15.84,40.67,36.42

12,02:45-03:00,0,13,0,0,15.83,0,0,47.5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,0,100.81,13.95,32.9,273.62,24.19,10.16,96.77,21.77,2.42,0,163.3,8.8,7.96,15.84,41,40.02

13,03:00-03:15,0,13,0,0,15.67,0,0,47,41.33,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,0,100.81,13.95,0,273.62,24.19,9.98,96.77,21.77,2.42,0,163.3,8.8,7.96,15.66,41.33,40.02

14,03:15-03:30,0,13,0,0,15.5,0,0,46.5,41.67,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,0,100.81,13.95,0,273.62,24.19,9.98,96.77,21.77,2.42,0,163.3,8.8,7.96,15.5,41.67,39.62

15,03:30-03:45,0,10,0,0,15.33,0,0,46,39.67,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,0,100.81,13.95,0,273.62,24.19,9.98,96.77,21.77,2.42,0,163.3,8.8,7.96,15.34,39.67,40.02

16,03:45-04:00,0,10,0,0,15,0,0,45,39.33,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,0,100.81,13.95,0,273.62,24.19,9.98,96.77,21.77,2.42,0,163.3,8.8,7.96,15,39.33,39.62

17,04:00-04:15,0,10,0,0,14.67,0,0,44,39.33,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,0,100.81,13.95,0,273.62,24.19,9.88,96.77,21.77,2.42,0,163.3,8.8,7.96,14.66,39.33,39.02

18,04:15-04:30,0,10,0,0,14.33,0,0,43,39,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,0,100.81,13.95,0,273.62,24.19,9.88,96.77,21.77,2.42,0,163.3,8.8,7.96,14.34,39,38.42

19,04:30-04:45,0,10,0,0,14,0,0,42,36.67,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,0,100.81,13.95,0,273.62,24.19,9.88,96.77,21.77,2.42,0,163.3,8.8,7.96,14,36.67,42.02

20,04:45-05:00,0,10,0,0,13.17,0,0,39.5,37.33,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,0,100.81,13.95,0,273.62,24.19,9.88,96.77,21.77,2.42,0,163.3,8.8,7.96,13.16,37.33,42.02

21,05:00-05:15,0,10,0,0,12.83,0,0,38.5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,30.78,0,0,115.66,0,100.81,13.95,0,273.62,24.19,9.79,96.77,21.77,2.42,0,163.3,8.8,7.96,12.84,38,42.02

22,05:15-05:30,0,10,0,0,12.5,0,0,37.5,38.33,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,30.78,0,0,115.66,0,100.81,13.95,0,273.62,24.19,9.79,96.77,21.77,2.42,0,163.3,8.8,7.96,12.5,38.33,41.82

23,05:30-05:45,0,10,0,0,12,0,0,36,38.33,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,22.97,87.29,220.64,30.78,0,0,115.66,0,100.81,22.97,0,273.62,24.19,9.79,96.77,21.77,2.42,0,163.3,8.8,7.96,12,38.33,37.22

24,05:45-06:00,0,10,0,0,11.67,0,0,35,38.33,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,22.97,87.29,220.64,30.78,0,0,115.66,0,100.81,22.97,0,273.62,24.19,9.79,96.77,21.77,2.42,0,163.3,8.8,7.96,11.66,38.33,37.02

25,06:00-06:15,13.91,10,1,0.28,11.17,0,0,33.5,31.67,14.56,0,1,1,0,0,1,0,0,0,0,0,0,17.5,22.97,87.29,220.64,30.28,0,0,115.66,0,100.81,22.97,0,273.62,24.19,9.7,96.77,21.77,2.42,0,0,8.8,7.96,11.16,31.67,36.01

26,06:15-06:30,24.47,10,5,3.72,10.83,0,0,32.5,31.67,25.61,0,4,1,0,0,2,0,0,1,1,0,0,17.5,22.97,87.29,220.64,30.28,0,0,115.66,0,100.81,22.97,0,273.62,24.19,9.7,96.77,21.77,2.42,0,0,8.8,7.96,10.84,31.67,35.61

27,06:30-06:45,33,10,10,10.41,10.67,2,0.18,32,31.67,33,0,7,3,0.91,0,5,0,0,3,3,0.43,0,17.5,22.97,87.29,220.64,31.29,0.42,0,115.66,0,100.81,22.97,0,273.62,24.19,9.7,96.77,21.77,2.42,0.42,0,8.8,7.96,10.66,31.67,38.02

28,06:45-07:00,33,10,18,17.11,10.33,3,0.92,31,31.67,33,0,14,6,4.6,0,8,0,0,7,4,0.77,0,17.5,22.97,87.29,220.64,31.29,0.75,0,115.66,0,100.81,22.97,0,273.62,24.19,9.7,96.77,21.77,2.42,0.75,0,8.8,7.96,10.34,31.67,38.02

29,07:00-07:15,31.25,15,30,24.32,16.17,5,2.26,48.5,38.33,31.25,0,21,9,11.28,0,10,0,0,10,5,1.31,0,17.5,22.97,87.29,220.64,31.29,1.28,0,66.36,0,100.81,22.97,0,273.62,24.19,9.61,96.77,21.77,2.42,1.28,0,8.8,7.96,16.16,38.33,33.01

30,07:15-07:30,32.34,14.66,32.33,33.14,16.33,8,4.13,49,39,32.33,0,32,13,20.63,0,15,0,0,13,7,2.04,0,17.5,22.97,87.29,220.64,31.29,2,0,66.36,0,100.81,22.97,0,273.62,24.19,9.61,96.77,21.77,2.42,2,0,8.8,7.96,16.34,39,32.41

31,07:30-07:45,32.66,14.34,32.67,44.17,16.5,11,7.08,49.5,39.67,32.67,0,42,18,35.4,0,18,0,0,17,9,2.95,0,17.5,22.97,87.29,220.64,31.29,2.88,0,66.36,0,100.81,22.97,0,273.62,24.19,9.61,96.77,21.77,2.42,2.88,0,0,7.96,16.5,39.67,32.01

32,07:45-08:00,33,14,33,54.75,16.33,14,10.48,49,40.33,33,0,53,22,52.43,0,25,0,0,20,12,3.65,0,17.5,22.97,87.29,220.64,31.29,3.56,0,66.36,0,100.81,22.97,0,273.62,24.19,9.61,96.77,21.77,2.42,3.56,0,0,7.96,16.34,40.33,32.41

33,08:00-08:15,33,13.66,33,64.97,16.17,18,14.11,48.5,41,33,0,67,28,70.56,0,32,0,0,24,15,4.66,0,17.5,22.97,87.29,220.64,31.29,4.55,0,66.36,0,100.81,22.97,0,273.62,24.19,9.51,96.77,21.77,2.42,4.55,0,0,7.96,16.16,41,37.02

34,08:15-08:30,33,13.34,33,74.28,15.67,21,18.23,47,41.67,33,0,81,34,91.15,0,39,0,0,31,19,5.76,0,17.5,22.97,87.29,220.64,30.28,5.62,0,70.54,0,100.81,22.97,0,273.62,24.19,9.51,96.77,21.77,2.42,5.62,0,0,7.96,15.66,41.67,37.02

35,08:30-08:45,33,13,33,82.65,15.67,25,22.12,47,41.67,33,0,95,40,110.62,0,46,0,0,38,22,6.81,0,17.5,22.97,87.29,220.64,31.3,6.64,0,70.54,0,100.81,22.97,0,273.62,24.19,9.51,96.77,21.77,2.42,6.64,0,0,7.96,15.66,41.67,37.02

36,08:45-09:00,33,12.66,33,90.51,15.67,28,26.08,47,41.67,33,0,109,46,130.41,0,53,0,0,45,25,7.88,0,17.5,22.97,87.29,220.64,31.3,7.68,0,70.54,0,100.81,22.97,0,273.62,24.19,9.51,96.77,21.77,2.42,7.68,0,0,7.96,15.66,41.67,37.02

37,09:00-09:15,33,10,33,98.07,14.67,31,29.4,44,41.67,33,0,123,52,147.02,0,60,0,0,54,28,8.81,0,24.78,22.97,87.29,220.64,31.3,8.6,0,70.54,0,100.81,22.97,0,273.62,24.19,9.51,96.77,21.77,2.42,8.6,0,0,7.96,14.66,41.67,38.02

38,09:15-09:30,33,10,33,105.1,14.5,34,32.55,43.5,41.67,33,0,137,58,162.73,0,66,0,0,59,32,9.74,0,24.78,22.97,87.29,220.64,31.3,9.5,0,70.54,0,100.81,22.97,0,273.62,24.19,9.51,96.77,21.77,2.42,9.5,0,0,7.96,14.5,41.67,37.82

39,09:30-09:45,33,10,33,111.36,14.33,37,35.64,43,32.67,33,0,147,63,178.22,0,71,0,0,66,34,10.68,0,24.78,22.97,87.29,220.64,30.28,10.42,0,70.54,0,100.81,22.97,0,273.62,24.19,9.51,96.77,21.77,2.42,10.42,0,0,7.96,14.34,32.67,37.82

40,09:45-10:00,33,9.34,33,116.71,13.83,39,38.53,41.5,31.67,33,0,158,67,192.64,0,75,0,0,74,36,11.86,0,24.78,22.97,87.29,220.64,30.28,11.57,0,70.54,0,100.81,22.97,0,273.62,24.19,9.51,96.77,21.77,2.42,11.57,0,0,7.96,13.84,31.67,37.62

41,10:00-10:15,33,8.66,33,121.04,13.33,41,41.05,40,31,33,0,166,71,205.25,0,80,0,0,79,38,12.51,0,24.78,22.97,87.29,205.67,31.29,12.2,0,70.54,0,100.81,22.97,0,273.62,24.19,9.43,96.77,21.77,2.42,12.2,0,0,7.96,13.34,31,38.02

42,10:15-10:30,33,8.34,33,124.55,13,42,43.37,39,31,33,0,174,74,216.84,0,84,0,0,83,40,13.69,0,24.78,22.97,87.29,205.67,31.29,13.35,0,70.54,0,100.81,22.97,0,273.62,24.19,9.43,96.77,21.77,2.42,13.35,0,0,7.96,13,31,38.22

43,10:30-10:45,33,7.66,33,127.46,12.33,44,45.23,37,31,33,0,182,78,226.14,0,88,0,0,87,42,14.2,0,24.78,22.97,87.29,205.67,30.27,13.85,0,70.54,0,100.81,22.97,0,273.62,24.19,9.43,96.77,21.77,2.42,13.85,0,0,7.96,12.34,31,38.02

44,10:45-11:00,33,7,33,129.79,12,45,46.33,36,31,33,0,189,81,231.67,0,89,0,0,90,43,15.17,0,24.78,22.97,87.29,205.67,30.27,14.8,0,70.54,0,100.81,22.97,0,273.62,24.19,9.43,96.77,21.77,2.42,14.8,0,0,7.96,12,31,37.82

45,11:00-11:15,33,13,33,132.8,12.5,46,46.33,37.5,38.33,33,0,193,82,231.67,0,91,0,0,90,44,15.44,0,24.78,22.97,87.29,176.64,30.27,15.07,0,70.54,0,100.81,22.97,0,273.62,24.19,9.43,96.77,21.77,2.42,15.07,0,0,7.96,12.5,38.33,35.21

46,11:15-11:30,33,13,33,135.99,12.5,47,46.33,37.5,38.33,33,0,193,82,231.67,0,93,0,0,91,44,15.98,0,24.78,22.97,87.29,176.64,30.27,15.59,0,70.54,0,100.81,22.97,0,273.62,24.19,9.43,96.77,21.77,2.42,15.59,0,0,7.96,12.5,38.33,35.21

47,11:30-11:45,33,13,33,138.8,12.5,47,46.33,37.5,38.33,33,0,193,82,231.67,0,93,0,0,91,44,15.98,0,24.78,22.97,87.29,205.67,30.27,15.59,0,66.36,0,100.81,22.97,0,273.62,24.19,9.43,96.77,21.77,2.42,15.59,0,0,7.96,12.5,38.33,35.21

48,11:45-12:00,33,13,33,140.65,12.17,47,46.33,36.5,39,33,0,193,82,231.67,0,93,0,0,92,45,15.98,0,24.78,22.97,87.29,220.64,30.78,15.59,0,66.36,0,100.81,22.97,0,273.62,24.19,9.43,96.77,21.77,2.42,15.59,0,0,7.96,12.16,39,35.21

49,12:00-12:15,33,10,33,141.41,12,47,46.33,36,39.67,33,0,193,82,231.67,0,93,0,0,92,45,15.98,0,24.78,22.97,87.29,220.64,30.78,15.59,0,66.36,0,100.81,22.97,0,273.62,24.19,9.33,96.77,21.77,2.42,15.59,0,0,7.96,12,39.67,35.41

50,12:15-12:30,33,10,33,140.84,11.83,47,46.33,35.5,40,33,0,193,82,231.67,0,93,0,0,92,45,15.98,0,24.78,22.97,87.29,220.64,30.78,15.59,0,66.36,0,100.81,22.97,0,273.62,24.19,9.33,96.77,21.77,2.42,15.59,0,0,7.96,11.84,40,35.81

51,12:30-12:45,33,10,33,139.7,11.5,46,46.33,34.5,33.33,33,0,193,82,231.67,0,93,0,0,92,45,15.98,0,24.78,22.97,87.29,220.64,30.78,15.59,0,66.36,0,100.81,22.97,0,273.62,24.19,9.33,96.77,21.77,2.42,15.59,0,0,7.96,11.5,33.33,36.62

52,12:45-13:00,33,10,33,138.06,11.17,46,46.33,33.5,33.33,33,0,193,82,231.67,0,93,0,0,92,45,15.98,0,24.78,22.97,87.29,220.64,30.78,15.59,0,66.36,0,100.81,22.97,0,273.62,24.19,9.33,96.77,21.77,2.42,15.59,0,0,7.96,11.16,33.33,37.62

53,13:00-13:15,33,10,33,135.58,10.83,45,46.33,32.5,33.33,33,0,193,82,231.67,0,93,0,0,91,45,15.98,0,24.78,22.97,68.25,176.64,30.78,15.59,0,66.36,0,100.81,22.97,0,273.62,24.19,9.33,96.77,21.77,2.42,15.59,0,0,7.96,10.84,33.33,38.42

54,13:15-13:30,33,10.34,33,132.1,10.83,45,46.33,32.5,33,33,0,193,82,231.67,0,93,0,0,91,45,15.98,0,24.78,22.97,68.25,176.64,30.78,15.59,0,66.36,0,100.81,22.97,0,273.62,24.19,9.33,96.77,21.77,2.42,15.59,0,0,7.96,10.84,33,39.22

55,13:30-13:45,33,10.66,33,127.93,10.83,43,46.33,32.5,30,33,0,193,82,231.67,0,93,0,0,86,45,15.98,0,24.78,22.97,87.29,220.64,30.78,15.59,0,66.36,0,100.81,22.97,0,273.62,24.19,9.33,96.77,21.77,2.42,15.59,0,0,7.96,10.84,30,40.02

56,13:45-14:00,33,10.66,33,122.87,10.83,42,46.33,32.5,30,33,0,189,81,231.67,0,91,0,0,86,44,15.55,0,24.78,22.97,87.29,220.64,30.78,15.17,0,66.36,0,100.81,22.97,0,273.62,24.19,9.33,96.77,21.77,2.42,15.17,0,0,7.96,10.84,30,40.62

57,14:00-14:15,33,7.34,33,117.09,10.83,41,46.33,32.5,30.67,33,0,182,78,231.67,0,88,0,0,84,42,15.35,0,24.78,22.97,87.29,220.64,30.78,14.97,0,66.36,0,100.81,22.97,0,273.62,24.19,9.43,96.77,21.77,2.42,14.97,0,0,7.96,10.84,30.67,41.22

58,14:15-14:30,33,7.34,33,110.68,10.83,40,44.66,32.5,32,33,0,175,75,223.28,0,84,0,0,82,40,14.82,0,24.78,22.97,87.29,220.64,30.78,14.46,0,66.36,0,100.81,22.97,0,273.62,24.19,9.43,96.77,21.77,2.42,14.46,0,0,7.96,10.84,32,41.82

59,14:30-14:45,33,7.34,33,103.66,7.5,39,43.42,22.5,34,33,0,168,72,217.1,0,76,0,0,78,37,14.43,0,24.78,22.97,87.29,220.64,30.78,14.08,0,66.36,0,100.81,22.97,0,273.62,24.19,9.43,96.77,21.77,2.42,14.08,0,0,7.96,7.5,34,42.02

60,14:45-15:00,33,7.34,33,95.98,7.5,37,41.35,22.5,36,33,0,161,69,206.74,0,72,0,0,75,34,13.74,0,24.78,22.97,87.29,220.64,31.29,13.41,0,66.36,0,100.81,22.97,0,273.62,24.19,9.43,96.77,21.77,2.42,13.41,0,0,7.96,7.5,36,42.02

61,15:00-15:15,33,7.34,33,85.74,7.5,35,38.66,22.5,38.33,33,0,137,58,193.29,0,66,0,0,71,32,12.8,0,24.78,22.97,87.29,220.64,31.29,12.48,0,115.66,0,100.81,22.97,0,273.62,24.19,9.61,96.77,21.77,2.42,12.48,0,0,7.96,7.5,38.33,42.02

62,15:15-15:30,33,7.34,33,78.48,7.5,33,36.15,22.5,39.67,33,0,126,54,180.75,0,60,0,0,67,28,11.85,0,24.78,22.97,87.29,220.64,30.28,11.57,0,115.66,0,100.81,22.97,0,273.62,24.19,9.61,96.77,21.77,2.42,11.57,0,0,7.96,7.5,39.67,42.02

63,15:30-15:45,33,7.34,33,70.71,7.5,30,33.25,22.5,35,33,0,112,48,166.28,0,54,0,0,63,26,10.91,0,24.78,22.97,87.29,220.64,30.28,10.65,0,109.98,0,100.81,22.97,0,273.62,24.19,9.61,96.77,21.77,2.42,10.65,0,0,7.96,7.5,35,42.02

64,15:45-16:00,33,8,33,62.56,7.5,28,30.14,22.5,35.67,33,0,98,42,150.69,0,49,0,0,57,23,9.97,0,24.78,22.97,87.29,220.64,30.28,9.72,0,109.98,0,100.81,22.97,0,273.62,24.19,9.61,96.77,21.77,2.42,9.72,0,0,7.96,7.5,35.67,42.02

65,16:00-16:15,33,8,33,54.26,7.5,24,27.5,22.5,37.67,33,0,88,37,137.48,0,41,0,0,52,20,8.85,0,24.78,22.97,87.29,220.64,30.28,8.63,0,109.98,0,100.81,22.97,0,273.62,24.19,9.79,96.77,21.77,2.42,8.63,0,0,7.96,7.5,37.67,43.02

66,16:15-16:30,33,8.34,33,45.76,7.5,20,24.52,22.5,40,33,0,74,31,122.6,0,35,0,0,46,16,7.96,0,24.78,22.97,87.29,220.64,30.28,7.76,0,109.98,0,100.81,22.97,0,273.62,24.19,9.79,96.77,21.77,2.42,7.76,0,0,7.96,7.5,40,43.02

67,16:30-16:45,33,9,33,36.78,7.5,17,20.99,22.5,28.33,33,0,63,27,104.93,0,26,0,0,38,13,7.02,0,24.78,22.97,87.29,220.64,30.28,6.85,0,109.98,0,100.81,22.97,0,273.62,24.19,9.79,96.77,21.77,2.42,6.85,0,0,7.96,7.5,28.33,43.02

68,16:45-17:00,33,10,33,27.6,7.5,13,17.45,22.5,28.33,33,0,46,19,87.25,0,20,0,0,33,10,5.97,0,24.78,22.97,87.29,220.64,30.28,5.83,0,109.98,0,100.81,22.97,0,273.62,24.19,9.79,96.77,21.77,2.42,5.83,0,0,7.96,7.5,28.33,43.02

69,17:00-17:15,33,10.66,30,19,7.5,11,14.23,22.5,28.33,33,0,35,15,71.13,0,16,0,0,27,8,4.97,0,24.78,13.95,87.29,220.64,30.28,4.85,0,106.19,0,91.41,32,0,273.62,24.19,9.98,96.77,21.77,2.42,4.85,0,0,7.96,7.5,28.33,43.02

70,17:15-17:30,33,11,17,11.81,7.67,8,11.09,23,28.33,33,0,25,10,55.48,0,12,0,0,22,6,4.06,0,24.78,13.95,87.29,220.64,30.28,3.95,0,106.19,0,91.41,32,0,273.62,24.19,9.98,96.77,21.77,2.42,3.95,0,0,7.96,7.66,28.33,43.02

71,17:30-17:45,33,11.66,7,6.94,8.17,7,8.05,24.5,29,33,0,14,6,40.25,0,10,0,0,18,5,3.09,0,24.78,32,87.29,220.64,30.28,3.02,0,106.19,0,91.41,1.35,0,273.62,24.19,9.98,96.77,21.77,2.42,3.02,0,0,7.96,8.16,29,43.02

72,17:45-18:00,30.22,12.34,1,4.22,8.33,5,5.18,25,29.67,25.62,0,7,3,25.89,0,8,0,0,15,4,2.23,0,24.78,32,87.29,220.64,30.28,2.17,0,106.19,0,91.41,1.35,0,273.62,24.19,9.98,96.77,21.77,2.42,2.17,0,0,7.96,8.34,29.67,43.02

73,18:00-18:15,0,13.34,0,1.64,11,3,3.18,33,31,0,0,4,1,15.89,0,7,0,0,12,3,1.7,0,24.78,32,87.29,220.64,30.28,1.66,0,106.19,193.54,91.41,1.35,0,273.62,24.19,10.16,96.77,21.77,2.42,1.66,0,0,7.96,11,31,43.02

74,18:15-18:30,0,14,0,0,11.67,2,1.53,35,32,0,0,1,0,7.64,0,3,0,0,8,2,1.21,0,24.78,32,87.29,220.64,30.28,1.18,0,106.19,193.54,91.41,1.35,0,273.62,24.19,10.16,96.77,21.77,2.42,1.18,0,0,7.96,11.66,32,43.02

75,18:30-18:45,0,16.66,0,0,15.5,0,0.48,46.5,41.67,0,0,0,0,2.38,0,1,0,0,6,1,0.61,0,24.78,32,87.29,220.64,30.28,0.6,0,106.19,193.54,91.41,1.35,0,273.62,24.19,10.16,96.77,21.77,2.42,0.6,0,0,7.96,15.5,41.67,43.02

76,18:45-19:00,0,16.66,0,0,15.83,0,0.08,47.5,42.33,0,0,0,0,0.43,0,0,0,0,4,0,0.22,0,24.78,32,87.29,220.64,30.28,0.22,0,106.19,193.54,91.41,1.35,0,273.62,24.19,10.16,96.77,21.77,2.42,0.22,0,0,7.96,15.84,42.33,43.02

77,19:00-19:15,0,17.66,0,0,17.17,0,0.06,51.5,43.33,0,0,0,0,0.32,0,0,0,0,2,0,0,0,24.78,32,87.29,220.64,30.28,0,0,106.19,193.54,91.41,1.35,0,273.62,24.19,10.26,96.77,21.77,2.42,0,0,0,7.96,17.16,43.33,43.02

78,19:15-19:30,0,18.34,0,0,17.67,0,0,53,45,0,0,0,0,0,0,0,0,0,0,0,0,0,24.78,32,87.29,220.64,30.28,0,0,106.19,193.54,91.41,1.35,0,273.62,24.19,10.26,96.77,21.77,2.42,0,0,0,7.96,17.66,45,43.02

