Time,Block,NR/2023/13704/A,NR/2023/11328/A,NR/2023/11524/A,NR/2023/14636/D,NR/2023/14119/F,NR/2023/11469/A,NR/2023/11203/A,NR/2023/11739/A,NR/2023/14644/C,NR/2023/14187/F,NR/2023/14630/D,NR/2023/11205/A,NR/2023/14118/F,NR/2023/13858/A,NR/2023/11654/A,SR/2023/6964/C,NR/2023/11521/A,NR/2023/11458/A,NR/2023/14136/F,NR/2023/11697/A,NR/2023/14117/F,NR/2023/13573/A,NR/2023/14113/F,NR/2023/11954/A,NR/2023/14115/F,NR/2023/13859/A,NR/2023/14632/D,NR/2023/13573/A/II,NR/2023/11264/A,NR/2023/13284/A,NR/2023/13283/A,NR/2023/14649/C,NR/2023/14637/D,NR/2023/13983/F,NR/2023/14114/F,NR/2023/14120/F,NR/2023/11892/A,NR/2023/11325/A,NR/2023/11470/A,NR/2023/14643/C,NR/2023/14650/C,NR/2023/14646/C,NR/2023/13704/A/II,NR/2023/14121/F,NR/2023/13983/F/II,NR/2023/11204/A,NR/2023/12646/A,NR/2023/14648/C,NR/2023/14116/F,NR/2023/11315/A,NR/2023/13283/A/II,Total

3,00:30-00:45,6.380000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,0.000000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,3.460000,0.380000,36.390000,0.950000,177.970000,0,59.240000,0.000000,64.820000,22.780000,0,0,0.000000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,30.000000,0.380000,0.610000,0.870000,82.960000,23.080000,4.820000,0.870000,22.190000,1.330000,2010.57

4,00:45-01:00,6.380000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,0.000000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,3.460000,0.380000,36.390000,0.950000,177.970000,0,59.240000,0.000000,64.820000,22.780000,0,0,0.000000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,30.000000,0.380000,0.610000,0.870000,82.960000,23.080000,4.820000,0.870000,22.190000,1.330000,2010.57

5,01:00-01:15,6.380000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,0.000000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,3.460000,0.380000,36.390000,0.950000,177.970000,0,59.240000,0.000000,64.820000,22.780000,0,0,0.000000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,30.000000,0.380000,0.610000,0.680000,82.960000,23.080000,4.820000,0.870000,22.190000,1.330000,2010.38

6,01:15-01:30,6.380000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,0.000000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,3.460000,0.380000,36.390000,0.950000,177.970000,0,59.240000,0.000000,64.820000,22.780000,0,0,0.000000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,30.000000,0.380000,0.610000,0.680000,82.960000,23.080000,4.820000,0.870000,22.190000,1.330000,2010.38

7,01:30-01:45,6.380000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,12.540000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,3.460000,0.380000,36.390000,0.950000,177.970000,0,59.240000,0.000000,64.820000,22.780000,0,0,0.000000,0.520000,0.610000,66.460000,24.120000,21.220000,38.580000,0,30.000000,0.380000,0.610000,0.680000,82.960000,23.080000,4.820000,0.870000,22.190000,1.330000,2061.5

8,01:45-02:00,6.380000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,12.540000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,3.460000,0.380000,36.390000,0.950000,177.970000,0,59.240000,0.000000,64.820000,22.780000,0,0,0.000000,0.520000,0.610000,66.460000,24.120000,21.220000,38.580000,0,30.000000,0.380000,0.610000,0.680000,82.960000,23.080000,4.820000,0.870000,22.190000,1.330000,2061.5

9,02:00-02:15,6.380000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,3.460000,0.380000,36.390000,0.950000,177.970000,0,59.240000,0.000000,64.820000,22.780000,0,0,0.000000,0.520000,0.610000,66.460000,24.120000,21.220000,38.580000,0,30.000000,0.380000,0.610000,0.580000,82.960000,23.080000,4.820000,0.870000,22.190000,1.330000,2057.54

10,02:15-02:30,6.380000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,3.460000,0.380000,36.390000,0.950000,177.970000,0,59.240000,0.000000,64.820000,22.780000,0,0,0.000000,0.520000,0.610000,66.460000,24.120000,21.220000,38.580000,0,30.000000,0.380000,0.610000,0.580000,82.960000,23.080000,4.820000,0.870000,22.190000,1.330000,2057.54

11,02:30-02:45,6.380000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,3.460000,0.380000,36.390000,0.950000,177.970000,0,59.240000,0.000000,64.820000,22.780000,0,0,0.000000,0.520000,0.610000,66.460000,24.120000,21.220000,38.580000,0,30.000000,0.380000,0.610000,0.580000,82.960000,23.080000,4.820000,0.870000,22.190000,1.330000,2057.54

12,02:45-03:00,6.380000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,3.460000,0.380000,36.390000,0.950000,177.970000,0,59.240000,0.000000,64.820000,22.780000,0,0,0.000000,0.520000,0.610000,66.460000,24.120000,21.220000,38.580000,0,30.000000,0.380000,0.610000,0.580000,82.960000,23.080000,4.820000,0.870000,22.190000,1.330000,2057.54

13,03:00-03:15,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0,62.700000,0.000000,64.820000,24.120000,0,0,0.260000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.270000,48.230000,0.000000,4.820000,0.870000,22.190000,0.000000,1896.83

14,03:15-03:30,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0,62.700000,0.000000,64.820000,24.120000,0,0,0.260000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.270000,48.230000,0.000000,4.820000,0.870000,22.190000,0.000000,1896.83

15,03:30-03:45,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0,62.700000,0.000000,64.820000,24.120000,0,0,0.260000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.270000,48.230000,0.000000,4.820000,0.870000,22.190000,0.000000,1896.83

16,03:45-04:00,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0,62.700000,0.000000,64.820000,24.120000,0,0,0.260000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.270000,48.230000,0.000000,4.820000,0.870000,22.190000,0.000000,1896.83

17,04:00-04:15,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0,62.700000,0.000000,64.820000,24.120000,0,0,0.530000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.000000,48.230000,0.000000,4.820000,0.870000,22.190000,0.000000,1896.83

18,04:15-04:30,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0,62.700000,0.000000,64.820000,24.120000,0,0,0.530000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.000000,48.230000,0.000000,4.820000,0.870000,22.190000,0.000000,1896.83

19,04:30-04:45,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0,62.700000,0.000000,64.820000,24.120000,0,0,0.530000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.000000,48.230000,0.000000,4.820000,0.870000,22.190000,0.000000,1896.83

20,04:45-05:00,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,98.390000,0.000000,27.780000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0,62.700000,0.000000,64.820000,24.120000,0,0,0.530000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.000000,48.230000,0.000000,4.820000,0.870000,22.190000,0.000000,1896.83

21,05:00-05:15,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,0.000000,0.000000,27.780000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0,62.700000,0.000000,64.820000,24.120000,0,0,0.530000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.000000,48.230000,0.000000,4.820000,0.870000,22.190000,0.000000,1798.44

22,05:15-05:30,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,0.000000,0.000000,27.780000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0,62.700000,0.000000,64.820000,24.120000,0,0,0.530000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.000000,48.230000,0.000000,4.820000,0.870000,22.190000,0.000000,1798.44

23,05:30-05:45,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,0.000000,0.000000,27.780000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0,62.700000,0.000000,64.820000,24.120000,0,0,0.530000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.000000,48.230000,0.000000,4.820000,0.870000,22.190000,0.000000,1798.44

24,05:45-06:00,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,0.00,48.230000,0.000000,0.000000,27.780000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0,62.700000,0.000000,64.820000,24.120000,0,0,0.530000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.000000,48.230000,0.000000,4.820000,0.870000,22.190000,0.000000,1798.44

25,06:00-06:15,6.750000,48.230000,192.920000,1.4,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,15.750000,0.870000,77.170000,257.550000,0.00,48.230000,0.000000,0.000000,0.000000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0,62.700000,0.000000,0.000000,24.120000,0,0.6,0.680000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.870000,22.190000,0.000000,1451.62

26,06:15-06:30,6.750000,48.230000,192.920000,6.3,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,15.750000,0.870000,77.170000,257.550000,0.00,48.230000,0.000000,0.000000,0.000000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0,62.700000,0.000000,0.000000,24.120000,0,2.7,0.680000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.870000,22.190000,0.000000,1458.62

27,06:30-06:45,6.750000,48.230000,192.920000,10.5,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,15.750000,0.870000,77.170000,257.550000,80.00,48.230000,0.000000,0.000000,0.000000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0.36,62.700000,0.000000,0.000000,24.120000,0,4.5,0.680000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.870000,22.190000,0.000000,1544.98

28,06:45-07:00,6.750000,48.230000,192.920000,17.5,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,15.750000,0.870000,77.170000,257.550000,80.00,48.230000,0.000000,0.000000,0.000000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0.68,62.700000,0.000000,0.000000,24.120000,0,7.5,0.680000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.870000,22.190000,0.000000,1555.3

29,07:00-07:15,6.750000,48.230000,192.920000,24.5,1.010000,84.870000,62.940000,28.880000,8.680000,0.960000,192.920000,15.750000,0.870000,77.170000,257.550000,80.00,48.230000,0.000000,0.000000,0.000000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,0.82,62.700000,0.000000,0.000000,24.120000,0,10.5,0.680000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.870000,22.190000,0.000000,1523.96

30,07:15-07:30,6.750000,48.230000,192.920000,24.5,1.010000,84.870000,62.940000,28.880000,8.680000,0.960000,192.920000,15.750000,0.870000,77.170000,257.550000,42.00,48.230000,0.000000,0.000000,0.000000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,1.13,62.700000,0.000000,0.000000,24.120000,0,10.5,0.680000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.870000,22.190000,0.000000,1486.27

31,07:30-07:45,6.750000,48.230000,192.920000,35,1.010000,84.870000,62.940000,28.880000,8.680000,0.960000,192.920000,15.750000,0.870000,77.170000,257.550000,0.00,48.230000,0.000000,0.000000,0.000000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,1.35,62.700000,0.000000,0.000000,24.120000,0,15,0.680000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.870000,22.190000,0.000000,1459.49

32,07:45:08:00,6.750000,48.230000,192.920000,52.5,1.010000,84.870000,62.940000,28.880000,8.680000,0.960000,192.920000,15.750000,0.870000,77.170000,257.550000,0.00,48.230000,0.000000,0.000000,0.000000,0.930000,0.000000,0.380000,0.000000,0.950000,177.970000,1.59,62.700000,0.000000,0.000000,24.120000,0,22.5,0.680000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.870000,22.190000,0.000000,1484.73

33,08:00-08:15,6.750000,48.230000,192.920000,63,1.010000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,0.000000,0.000000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,2.81,62.700000,0.000000,0.000000,24.120000,0,27,0.960000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.960000,22.190000,0.000000,1515.01

34,08:15-08:30,6.750000,48.230000,192.920000,75.6,1.010000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,0.000000,0.000000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,3.52,62.700000,0.000000,0.000000,24.120000,0,32.4,0.960000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.960000,22.190000,0.000000,1533.72

35,08:30-08:45,6.750000,48.230000,192.920000,82.6,1.010000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,0.000000,0.000000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,3.02,62.700000,0.000000,0.000000,24.120000,0,35.4,0.960000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.960000,22.190000,0.000000,1543.22

36,08:45:09:00,6.750000,48.230000,192.920000,93.1,1.010000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,0.000000,0.000000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,3.4,62.700000,0.000000,0.000000,24.120000,0,39.9,0.960000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.960000,22.190000,0.000000,1558.6

37,09:00:09:15,6.750000,48.230000,192.920000,105,1.010000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,0.000000,24.120000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,3.51,62.700000,0.000000,0.000000,24.120000,0,45,0.960000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.960000,22.190000,0.000000,1599.83

38,09:15-09:30,6.750000,48.230000,192.920000,112,1.010000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,0.000000,24.120000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,3.66,62.700000,0.000000,0.000000,24.120000,0,48,0.960000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.960000,22.190000,0.000000,1609.98

39,09:30-09:45,6.750000,48.230000,192.920000,116.2,1.010000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,0.000000,24.120000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,3.4,62.700000,0.000000,0.000000,24.120000,0,49.8,0.960000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.960000,22.190000,0.000000,1615.72

40,09:45-10:00,6.750000,48.230000,192.920000,126,1.010000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,0.000000,24.120000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,3.57,62.700000,0.000000,0.000000,24.120000,0,54,0.960000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.960000,22.190000,0.000000,1629.89

41,10:00-10:15,6.750000,48.230000,192.920000,133,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,90.670000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,3.35,62.700000,0.000000,0.000000,24.120000,0,57,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.000000,0.000000,7.720000,0.000000,4.820000,0.000000,22.190000,0.000000,1723.36

42,10:15-10:30,6.750000,48.230000,192.920000,134.4,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,90.670000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,4.61,62.700000,0.000000,0.000000,24.120000,0,57.6,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.000000,0.000000,7.720000,0.000000,4.820000,0.000000,22.190000,0.000000,1726.62

