Time,Block,NR/2024/20082/A/19528,NR/2024/20309/C,NR/2024/20333/C,NR/2024/20052/A/19015,NR/2024/20144/A/19272,NR/2024/20335/C,NR/2024/20311/C,NR/2024/20050/A/19583,NR/2024/19637/A/19255,NR/2024/19779/A/19171,NR/2024/19683/A/19134,NR/2024/20090/A/19106,NR/2024/20141/A/19278,NR/2024/20109/A/19647,NR/2024/19432/A/19595,NR/2024/19699/A/19593,NR/2024/20034/A/19588,NR/2024/20319/C,NR/2024/20033/A/19591,NR/2024/20334/C,NR/2024/19966/A/19271,NR/2024/19760/A/19178,NR/2024/20336/C,NR/2024/20337/C,NR/2024/20040/A/19526,NR/2024/20048/A/19584,NR/2024/20328/C,NR/2024/19475/A/19479,NR/2024/20142/A/19273,NR/2024/19588/A/19291,NR/2024/20130/A/19251,NR/2024/19918/A/19529,NR/2024/20031/A/19590,NR/2024/20310/C,NR/2024/20041/A/19582,NR/2024/20037/A/19176,NR/2024/19355/A/19648,NR/2024/20330/C,Total

3,00:30-00:45,11.590000,0,48.290000,8.690000,0.880000,67.610000,19.320000,162.980000,0.000000,0.630000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,44.430000,0.000000,0.000000,82.090000,193.160000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1954.98

4,00:45-01:00,11.590000,0,48.290000,8.690000,0.880000,67.610000,19.320000,162.980000,0.000000,0.630000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,44.430000,0.000000,0.000000,82.090000,193.160000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1954.98

5,01:00-01:15,11.590000,0,48.290000,8.690000,0.880000,67.610000,19.320000,162.980000,0.000000,0.630000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,26.080000,0.000000,0.000000,82.090000,193.160000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1936.63

6,01:15-01:30,11.590000,0,48.290000,8.690000,0.880000,67.610000,19.320000,162.980000,0.000000,0.630000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,26.080000,0.000000,0.000000,82.090000,193.160000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1936.63

7,01:30-01:45,11.590000,0,48.290000,8.690000,0.880000,67.610000,19.320000,162.980000,0.000000,0.630000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,26.080000,0.000000,0.000000,82.090000,193.160000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1936.63

8,01:45-02:00,11.590000,0,48.290000,8.690000,0.880000,67.610000,19.320000,162.980000,0.000000,0.630000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,26.080000,0.000000,0.000000,82.090000,193.160000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1936.63

9,02:00-02:15,11.590000,0,0.000000,8.690000,0.880000,0.000000,19.320000,162.980000,0.000000,0.630000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,82.090000,0.000000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1586.12

10,02:15-02:30,11.590000,0,0.000000,8.690000,0.880000,0.000000,19.320000,162.980000,0.000000,0.630000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,82.090000,0.000000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1586.12

11,02:30-02:45,11.590000,0,0.000000,8.690000,0.880000,0.000000,19.320000,162.980000,0.000000,0.630000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1504.03

12,02:45-03:00,11.590000,0,0.000000,8.690000,0.880000,0.000000,19.320000,162.980000,0.000000,0.630000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1504.03

13,03:00-03:15,11.590000,0,0.000000,8.690000,0.880000,0.000000,19.320000,162.980000,0.000000,0.530000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1445.98

14,03:15-03:30,11.590000,0,0.000000,8.690000,0.880000,0.000000,19.320000,162.980000,0.000000,0.530000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1445.98

15,03:30-03:45,11.590000,0,0.000000,8.690000,0.880000,0.000000,19.320000,162.980000,0.000000,0.530000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1445.98

16,03:45-04:00,11.590000,0,0.000000,8.690000,0.880000,0.000000,19.320000,162.980000,0.000000,0.530000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1445.98

17,04:00-04:15,11.590000,0,0.000000,8.690000,0.880000,0.000000,19.320000,162.980000,0.000000,0.530000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1445.98

18,04:15-04:30,11.590000,0,0.000000,8.690000,0.880000,0.000000,19.320000,162.980000,0.000000,0.530000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1445.98

19,04:30-04:45,11.590000,0,0.000000,8.690000,0.880000,0.000000,19.320000,162.980000,0.000000,0.530000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1445.98

20,04:45-05:00,11.590000,0,0.000000,8.690000,0.880000,0.000000,19.320000,162.980000,0.000000,0.530000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1445.98

21,05:00-05:15,11.590000,0,0.000000,8.690000,0.880000,0.000000,26.080000,162.980000,0.000000,0.530000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1452.74

22,05:15-05:30,11.590000,0,0.000000,8.690000,0.880000,0.000000,26.080000,162.980000,0.000000,0.530000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1452.74

23,05:30-05:45,11.590000,0,0.000000,8.690000,0.880000,0.000000,26.080000,162.980000,0.000000,0.530000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1452.74

24,05:45-06:00,11.590000,0,0.000000,8.690000,0.880000,0.000000,26.080000,162.980000,0.000000,0.530000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1452.74

25,06:00-06:15,11.590000,0,0.000000,8.690000,0.880000,0.000000,26.080000,0.000000,0.000000,0.530000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1221.91

26,06:15-06:30,11.590000,0,0.000000,8.690000,0.880000,0.000000,26.080000,0.000000,0.000000,0.530000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1221.91

27,06:30-06:45,11.590000,0,0.000000,8.690000,0.880000,0.000000,26.080000,0.000000,0.000000,0.530000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1221.91

28,06:45-07:00,11.590000,0,0.000000,8.690000,0.880000,0.000000,26.080000,0.000000,0.000000,0.530000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1221.91

29,07:00-07:15,11.590000,0.54,0.000000,8.690000,0.880000,0.000000,26.080000,0.000000,0.000000,0.680000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1222.6

30,07:15-07:30,11.590000,1.55,0.000000,8.690000,0.880000,0.000000,26.080000,0.000000,0.000000,0.680000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1223.61

31,07:30-07:45,11.590000,2.36,0.000000,8.690000,0.880000,0.000000,26.080000,0.000000,0.000000,0.680000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1224.42

32,07:45:08:00,11.590000,2.97,0.000000,8.690000,0.880000,0.000000,26.080000,0.000000,0.000000,0.680000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1225.03

33,08:00-08:15,11.590000,3.6,0.000000,9.660000,0.880000,0.000000,26.080000,0.000000,0.000000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1226.92

34,08:15-08:30,11.590000,4.32,0.000000,9.660000,0.880000,0.000000,26.080000,0.000000,0.000000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1227.64

35,08:30-08:45,11.590000,4.95,0.000000,9.660000,0.880000,0.000000,26.080000,0.000000,0.000000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1228.27

36,08:45:09:00,11.590000,5.68,0.000000,9.660000,0.880000,0.000000,26.080000,0.000000,0.000000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,37.310000,96.580000,12.440000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,37.310000,167.080000,0.000000,72.440000,96.580000,48.290000,1229

37,09:00:09:15,11.590000,6.38,0.000000,9.660000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1404.42

38,09:15-09:30,11.590000,5.61,0.000000,9.660000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1403.65

39,09:30-09:45,11.590000,5.74,0.000000,9.660000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1403.78

40,09:45-10:00,11.590000,7.21,0.000000,9.660000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1405.25

41,10:00-10:15,11.590000,7.81,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1409.71

42,10:15-10:30,11.590000,7.09,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1408.99

43,10:30-10:45,11.590000,8.33,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1410.23

44,10:45-11:00,11.590000,5.66,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1407.56

45,11:00-11:15,11.590000,4.35,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1406.25

46,11:15-11:30,11.590000,4.3,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1406.2

47,11:30-11:45,11.590000,4.67,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1406.57

48,11:45-12:00,11.590000,4.9,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,0.000000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1406.8

49,12:00-12:15,11.590000,5.7,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1421.12

50,12:15-12:30,11.590000,4.94,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1420.36

51,12:30-12:45,11.590000,5.64,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1421.06

52,12:45-13:00,11.590000,8.33,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1423.75

53,13:00-13:15,11.590000,6.31,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1421.73

54,13:15-13:30,11.590000,8.29,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1423.71

55,13:30-13:45,11.590000,5.58,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1421

56,13:45-14:00,11.590000,4.9,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1420.32

57,14:00-14:15,11.590000,5.16,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1420.58

