Column1,Block,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/2024/24065/C,NR/2024/23918/A/43949,NR/2024/24075/C,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/9042,WR/2024/24788/A/44088,GNA/NR/2024/11/01/5428,NR/2024/23420/A/43955,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/1868,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5444,NR/2024/23809/A/43950,NR/2024/23769/A/43951,GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/4503,NR/30092023/26122029/SH-06,Total
14,03:15-03:30,0,0,0,0,0,142.69,17.29,0,25.93,0.43,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.90000000000003

15,03:30-03:45,0,0,0,0,0,142.69,17.29,0,25.93,0.43,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.90000000000003

16,03:45-04:00,0,0,0,0,0,142.69,17.29,0,25.93,0.43,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.90000000000003

17,04:00-04:15,0,0,0,0,0,142.69,17.29,0,25.93,0.43,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.90000000000003

18,04:15-04:30,0,0,0,0,0,142.69,17.29,0,25.93,0.43,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.90000000000003

19,04:30-04:45,0,0,0,0,0,142.69,17.29,0,25.93,0.43,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.90000000000003

20,04:45-05:00,0,0,0,0,0,142.69,17.29,0,25.93,0.43,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.90000000000003

21,05:00-05:15,0,0,0,0,0,142.69,17.29,0,25.93,0.43,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.90000000000003

22,05:15-05:30,0,0,0,0,0,142.69,17.29,0,25.93,0.43,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.90000000000003

23,05:30-05:45,0,0,0,0,0,142.69,17.29,0,25.93,0.43,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.90000000000003

24,05:45-06:00,0,0,0,0,0,142.69,17.29,0,25.93,0.43,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.90000000000003

25,06:00-06:15,0,0,0,0,0,0,17.29,0,25.93,0.43,2.3,8.64,0,25.93,4.8,5.76,25.93,0,8.64,0,125.64999999999999

26,06:15-06:30,0,0,0,0,0,0,17.29,0,25.93,0.43,2.3,8.64,0,25.93,4.8,5.76,25.93,0,8.64,0,125.64999999999999

27,06:30-06:45,0,0,0,0,0,0,17.29,0,25.93,0.43,2.3,8.64,0,25.93,4.8,5.76,25.93,0,8.64,0,125.64999999999999

28,06:45-07:00,0,0,0,0,0,0,17.29,0,25.93,0.43,2.3,8.64,0,25.93,4.8,5.76,25.93,0,8.64,0,125.64999999999999

29,07:00-07:15,0,0,0,0,0,0,17.29,0,31.69,0.58,2.3,8.64,0,31.69,4.8,5.76,31.69,0,8.64,0,143.07999999999998

30,07:15-07:30,0,0,0,0,0,0,17.29,0,31.69,0.58,2.3,8.64,0,31.69,4.8,5.76,31.69,0,8.64,0,143.07999999999998

31,07:30-07:45,0,0,0,0,0,0,17.29,0,31.69,0.58,2.3,8.64,0,31.69,4.8,5.76,31.69,0,8.64,0,143.07999999999998

32,07:45-08:00,0,0,0,0,0,0,17.29,0,31.69,0.58,2.3,8.64,0,31.69,4.8,5.76,31.69,0,8.64,0,143.07999999999998

33,08:00-08:15,0,0,0,0,0,0,17.29,0,36.5,0.96,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,157.89

34,08:15-08:30,0,0,0,0,0,0,17.29,0,36.5,0.96,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,157.89

35,08:30-08:45,0,0,0,0,0,0,17.29,0,36.5,0.96,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,157.89

36,08:45-09:00,0,0,0,0,0,0,17.29,0,36.5,0.96,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,157.89

37,09:00-09:15,0,0,23.53,3.84,29.29,0,19.21,0,28.81,0.86,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,195.12

38,09:15-09:30,0,0,27.76,3.84,25.07,0,19.21,0,28.81,0.86,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,195.13

39,09:30-09:45,0,0,30.73,3.84,22.09,0,19.21,0,28.81,0.86,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,195.12

40,09:45-10:00,0,0,30.73,3.84,22.09,0,19.21,0,28.81,0.86,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,195.12

41,10:00-10:15,0,0,30.73,4.8,22.09,0,19.21,0,28.81,0.86,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,196.08

42,10:15-10:30,0,0,30.73,4.8,22.09,0,19.21,0,28.81,0.86,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,196.08

43,10:30-10:45,0,0,30.73,4.8,22.09,0,19.21,0,28.81,0.86,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,196.08

44,10:45-11:00,0,0,30.73,4.8,22.09,0,19.21,0,28.81,0.86,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,196.08

45,11:00-11:15,0,0,30.73,6.72,22.09,0,19.21,0,28.81,0.86,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,198

46,11:15-11:30,0,0,30.73,6.72,22.09,0,19.21,0,28.81,0.86,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,198

47,11:30-11:45,0,0,30.73,6.72,22.09,0,19.21,0,28.81,0.86,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,198

48,11:45-12:00,0,0,30.73,6.72,22.09,0,19.21,0,28.81,0.86,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,198

49,12:00-12:15,0,0,12.49,6.72,40.34,0,19.21,0,28.81,0.86,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,198.01

50,12:15-12:30,0,0,12.49,6.72,40.34,0,19.21,0,28.81,0.86,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,198.01

51,12:30-12:45,0,0,12.49,6.72,40.34,0,19.21,0,28.81,0.86,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,198.01

52,12:45-13:00,0,0,12.49,6.72,40.34,0,19.21,0,28.81,0.86,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,198.01

53,13:00-13:15,0,0,12.49,5.76,40.34,0,19.21,0,28.81,0.77,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,196.96

54,13:15-13:30,0,0,12.49,5.76,40.34,0,19.21,0,28.81,0.77,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,196.96

55,13:30-13:45,0,0,12.49,5.76,40.34,0,19.21,0,28.81,0.77,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,196.96

56,13:45-14:00,0,0,12.49,5.76,40.34,0,19.21,0,28.81,0.77,2.2,9.6,0,28.81,4.8,5.76,28.81,0,9.6,0,196.96

57,14:00-14:15,0,0,30.73,4.8,22.09,0,19.21,0,31.69,0.96,2.2,9.6,0,31.69,4.8,5.76,31.69,0,9.6,0,204.82

58,14:15-14:30,0,0,30.73,4.8,22.09,0,19.21,0,31.69,0.96,2.2,9.6,0,31.69,4.8,5.76,31.69,0,9.6,0,204.82

59,14:30-14:45,0,0,30.73,4.8,22.09,0,19.21,0,31.69,0.96,2.2,9.6,0,31.69,4.8,5.76,31.69,0,9.6,0,204.82

60,14:45-15:00,0,0,30.73,4.8,22.09,0,19.21,0,31.69,0.96,2.2,9.6,0,31.69,4.8,5.76,31.69,0,9.6,0,204.82

61,15:00-15:15,0,0,30.73,4.8,22.09,0,19.21,0,34.57,0.86,2.2,9.6,0,34.57,4.8,5.76,34.57,0,9.6,0,213.35999999999999

62,15:15-15:30,0,0,30.73,4.8,22.09,0,19.21,0,34.57,0.86,2.2,9.6,0,34.57,4.8,5.76,34.57,0,9.6,0,213.35999999999999

63,15:30-15:45,0,0,27.28,4.8,25.55,0,19.21,0,36.5,0.86,2.2,9.6,0,36.5,4.8,5.76,36.5,0,9.6,0,219.16

64,15:45-16:00,0,0,23.24,4.8,29.58,0,19.21,0,36.5,0.86,2.2,9.6,0,36.5,4.8,5.76,36.5,0,9.6,0,219.15

65,16:00-16:15,0,0,19.02,2.88,22.67,0,17.29,0,36.5,0.77,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,202.26999999999998

66,16:15-16:30,0,0,14.89,2.88,14.79,0,17.29,0,36.5,0.77,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,190.26

67,16:30-16:45,0,0,11.04,2.88,8.07,0,17.29,0,36.5,0.77,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,179.69

68,16:45-17:00,0,0,7.88,2.88,1.44,0,17.29,0,36.5,0.77,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,169.89999999999998

69,17:00-17:15,0,0,0,0.96,0,0,17.29,0,36.5,0.58,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,158.46999999999997

70,17:15-17:30,0,0,0,0.96,0,0,17.29,0,36.5,0.58,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,158.46999999999997

71,17:30-17:45,0,0,0,0.96,0,0,17.29,0,36.5,0.58,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,158.46999999999997

72,17:45-18:00,0,0,0,0.96,0,0,17.29,0,36.5,0.58,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,158.46999999999997

73,18:00-18:15,50,150,0,0,0,0,17.29,38.42,36.5,0.62,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,395.96999999999997

74,18:15-18:30,50,150,0,0,0,0,17.29,38.42,36.5,0.62,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,395.96999999999997

75,18:30-18:45,50,150,0,0,0,0,17.29,38.42,36.5,0.62,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,395.96999999999997

76,18:45-19:00,50,150,0,0,0,0,17.29,38.42,36.5,0.62,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,395.96999999999997

77,19:00-19:15,50,150,0,0,0,0,17.29,38.42,36.5,0.62,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,395.96999999999997

78,19:15-19:30,50,150,0,0,0,0,17.29,38.42,36.5,0.62,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,395.96999999999997

79,19:30-19:45,50,150,0,0,0,0,17.29,38.42,36.5,0.62,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,395.96999999999997

80,19:45-20:00,50,150,0,0,0,0,17.29,38.42,36.5,0.62,2.3,8.64,0,36.5,4.8,5.76,36.5,0,8.64,0,395.96999999999997

81,20:00-20:15,50,200,0,0,0,0,17.29,38.42,36.5,0.62,2.3,8.64,0,36.5,4.8,5.76,34.57,0,8.64,0,444.04

82,20:15-20:30,50,200,0,0,0,0,17.29,38.42,36.5,0.62,2.3,8.64,0,36.5,4.8,5.76,34.57,0,8.64,0,444.04

83,20:30-20:45,50,200,0,0,0,0,17.29,38.42,36.5,0.62,2.3,8.64,0,36.5,4.8,5.76,34.57,0,8.64,0,444.04

84,20:45-21:00,50,200,0,0,0,0,17.29,38.42,36.5,0.62,2.3,8.64,0,36.5,4.8,5.76,34.57,0,8.64,0,444.04

85,21:00-21:15,50,200,0,0,0,0,17.29,38.42,36.5,0.62,2.3,8.64,0,36.5,4.8,5.76,34.57,0,8.64,0,444.04

86,21:15-21:30,50,200,0,0,0,0,17.29,38.42,36.5,0.62,2.3,8.64,0,36.5,4.8,5.76,34.57,0,8.64,0,444.04

87,21:30-21:45,50,200,0,0,0,0,17.29,38.42,36.5,0.62,2.3,8.64,0,36.5,4.8,5.76,34.57,0,8.64,0,444.04

88,21:45-22:00,50,200,0,0,0,0,17.29,38.42,36.5,0.62,2.3,8.64,0,36.5,4.8,5.76,34.57,0,8.64,0,444.04

89,22:00-22:15,50,200,0,0,0,142.69,17.29,38.42,31.69,0.62,2.3,8.64,0,31.69,4.8,5.76,31.69,47.56,8.64,0,621.7900000000001

90,22:15-22:30,50,200,0,0,0,142.69,17.29,38.42,31.69,0.62,2.3,8.64,0,31.69,4.8,5.76,31.69,47.56,8.64,0,621.7900000000001

91,22:30-22:45,50,200,0,0,0,142.69,17.29,38.42,31.69,0.62,2.3,8.64,0,31.69,4.8,5.76,31.69,47.56,8.64,0,621.7900000000001

92,22:45-23:00,50,200,0,0,0,142.69,17.29,38.42,31.69,0.62,2.3,8.64,0,31.69,4.8,5.76,31.69,47.56,8.64,0,621.7900000000001

93,23:00-23:15,50,200,0,0,0,142.69,17.29,38.42,31.69,0.62,2.2,8.64,0,31.69,4.8,5.76,31.69,47.56,8.64,0,621.6899999999999

94,23:15-23:30,50,200,0,0,0,142.69,17.29,38.42,31.69,0.62,2.2,8.64,0,31.69,4.8,5.76,31.69,47.56,8.64,0,621.6899999999999

95,23:30-23:45,50,200,0,0,0,142.69,17.29,38.42,31.69,0.62,2.2,8.64,0,31.69,4.8,5.76,31.69,47.56,8.64,0,621.6899999999999

96,23:45-24:00,50,200,0,0,0,142.69,17.29,38.42,31.69,0.62,2.2,8.64,0,31.69,4.8,5.76,31.69,47.56,8.64,0,621.6899999999999

