Column1,Block,NR/2025/25475/C,NR/2025/25476/C,NR/30092023/31122025/SH-07,WR/2025/26427/A/56012,WR/2025/26582/A/56233,NR/2025/25159/A/56007,WR/2025/26499/A/56235,WR/2025/26426/A/56009,GNA/WR/2025/01/01/9606,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/9482,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/8625,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/5143,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/6891,GNARE/NR/2024/12/20/3668,Total
3,00:30-00:45,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.95,5.76,8.63,23.02,22.06,23.02,17.27,42,0,200,190.26,26.87,63.42,0,916.9099999999999

4,00:45-01:00,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.95,5.76,8.63,23.02,22.06,23.02,17.27,42,0,200,190.26,26.87,63.42,0,916.9099999999999

5,01:00-01:15,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.86,5.76,8.63,23.02,22.06,23.02,17.27,42,0,200,190.26,26.87,63.42,0,916.8199999999999

6,01:15-01:30,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.86,5.76,8.63,23.02,22.06,23.02,17.27,42,0,200,190.26,26.87,63.42,0,916.8199999999999

7,01:30-01:45,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.86,5.76,8.63,23.02,22.06,23.02,17.27,42,0,200,190.26,26.87,63.42,0,916.8199999999999

8,01:45-02:00,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.86,5.76,8.63,23.02,22.06,23.02,17.27,42,0,200,190.26,26.87,63.42,0,916.8199999999999

9,02:00-02:15,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.86,5.76,8.63,23.02,22.06,23.02,17.27,42,0,0,190.26,26.87,63.42,0,716.8199999999999

10,02:15-02:30,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.86,5.76,8.63,23.02,22.06,23.02,17.27,42,0,0,190.26,26.87,63.42,0,716.8199999999999

11,02:30-02:45,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.86,5.76,8.63,23.02,22.06,23.02,17.27,42,0,0,190.26,26.87,63.42,0,716.8199999999999

12,02:45-03:00,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.86,5.76,8.63,23.02,22.06,23.02,17.27,42,0,0,190.26,26.87,63.42,0,716.8199999999999

13,03:00-03:15,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.76,5.76,8.63,23.02,22.06,23.02,17.27,42,0,0,190.26,26.87,63.42,0,716.7199999999998

14,03:15-03:30,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.76,5.76,8.63,23.02,22.06,23.02,17.27,42,0,0,190.26,26.87,63.42,0,716.7199999999998

15,03:30-03:45,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.76,5.76,8.63,23.02,22.06,23.02,17.27,42,0,0,190.26,26.87,63.42,0,716.7199999999998

16,03:45-04:00,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.76,5.76,8.63,23.02,22.06,23.02,17.27,42,0,0,190.26,26.87,63.42,0,716.7199999999998

17,04:00-04:15,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.76,5.76,8.63,23.02,22.06,23.02,17.27,42,0,0,190.26,26.87,63.42,0,716.7199999999998

18,04:15-04:30,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.76,5.76,8.63,23.02,22.06,23.02,17.27,42,0,0,190.26,26.87,63.42,0,716.7199999999998

19,04:30-04:45,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.76,5.76,8.63,23.02,22.06,23.02,17.27,42,0,0,190.26,26.87,63.42,0,716.7199999999998

20,04:45-05:00,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.76,5.76,8.63,23.02,22.06,23.02,17.27,42,0,0,190.26,26.87,63.42,0,716.7199999999998

21,05:00-05:15,0,0,26.87,47.96,47.96,0.48,0,167.43,0,3.67,5.76,8.63,23.02,22.06,23.02,17.27,42,0,0,190.26,26.87,63.42,0,716.6799999999998

22,05:15-05:30,0,0,26.87,47.96,47.96,0.48,0,167.43,0,3.67,5.76,8.63,23.02,22.06,23.02,17.27,42,0,0,190.26,26.87,63.42,0,716.6799999999998

23,05:30-05:45,0,0,26.87,47.96,47.96,0.48,0,167.43,0,3.67,7.39,10.55,23.02,22.06,23.02,17.27,42,0,0,190.26,26.87,63.42,0,720.2299999999999

24,05:45-06:00,0,0,22.92,47.96,47.96,0.48,0,167.43,0,3.67,7.39,10.55,23.02,22.06,23.02,17.27,42,0,0,190.26,22.92,63.42,0,712.3299999999999

25,06:00-06:15,0,0,16.98,0,0,0.53,0,167.43,0,3.67,7.39,10.55,36.45,22.06,36.45,28.78,42,0,0,0,16.98,0,0,389.27

26,06:15-06:30,0,0,16.98,0,0,0.53,0,167.43,0,3.67,7.39,10.55,36.45,22.06,36.45,28.78,42,0,0,0,16.98,0,0,389.27

27,06:30-06:45,0,0,32,0,0,0.53,0,167.43,0,3.67,7.39,10.55,36.45,22.06,36.45,28.78,42,0,0,0,32,0,0.42,419.72999999999996

28,06:45-07:00,0,0,32,0,0,0.53,0,167.43,0,3.67,7.39,10.55,36.45,22.06,36.45,28.78,42,0,0,0,32,0,0.42,419.72999999999996

29,07:00-07:15,0,0,31.43,0,0,0.58,40.29,167.43,0,3.67,7.39,10.55,36.45,22.06,36.45,28.78,0,0,0,0,31.43,0,0.19,416.69999999999993

30,07:15-07:30,0,0,31.43,0,0,0.58,40.29,167.43,0,3.67,7.39,10.55,36.45,22.06,36.45,28.78,0,0,0,0,31.43,0,0.89,417.3999999999999

31,07:30-07:45,0,0,31.43,0,0,0.58,40.29,167.43,0,3.67,7.39,10.55,36.45,22.06,36.45,28.78,0,0,0,0,31.43,0,4.67,421.17999999999995

32,07:45-08:00,0,0,31.43,0,0,0.58,40.29,167.43,0,3.67,7.39,10.55,36.45,22.06,36.45,28.78,0,0,0,0,31.43,0,10.2,426.7099999999999

33,08:00-08:15,0,0,1.96,0,0,0.96,40.29,0,0,3.58,7.39,10.55,36.45,22.06,36.45,28.78,0,0,0,0,32,0,17.84,238.31

34,08:15-08:30,0,0,25.56,0,0,0.96,40.29,0,0,3.58,7.39,10.55,36.45,22.06,36.45,28.78,0,0,0,0,32,0,27.11,271.18

35,08:30-08:45,0,0,25.56,0,0,0.96,40.29,0,0,3.58,7.39,10.55,36.45,22.06,36.45,28.78,0,0,0,0,32,0,36.46,280.53000000000003

36,08:45-09:00,0,0,25.56,0,0,0.96,40.29,0,0,3.58,7.39,10.55,36.45,22.06,36.45,28.78,0,0,0,0,32,0,41.54,285.61

37,09:00-09:15,14.39,38.37,25.65,0,0,0.91,40.29,0,0,3.58,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,32,0,54.16,309.11

38,09:15-09:30,14.39,38.37,25.65,0,0,0.91,40.29,0,0,3.58,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,32,0,62.89,317.84000000000003

39,09:30-09:45,14.39,38.37,25.65,0,0,0.91,40.29,0,0,3.58,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,32,0,74.39,329.34000000000003

40,09:45-10:00,14.39,38.37,25.65,0,0,0.91,40.29,0,0,3.58,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,32,0,82.18,337.13

41,10:00-10:15,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.58,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,89.05,340.09000000000003

42,10:15-10:30,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.58,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,95.81,346.85

43,10:30-10:45,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.58,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,351.04

44,10:45-11:00,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.58,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,351.04

45,11:00-11:15,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.49,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.95000000000005

46,11:15-11:30,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.49,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.95000000000005

47,11:30-11:45,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.49,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.95000000000005

48,11:45-12:00,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.49,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.95000000000005

49,12:00-12:15,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.49,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.95000000000005

50,12:15-12:30,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.49,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.95000000000005

51,12:30-12:45,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.49,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.95000000000005

52,12:45-13:00,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.49,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.95000000000005

53,13:00-13:15,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.4,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.86

54,13:15-13:30,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.4,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.86

55,13:30-13:45,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.4,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.86

56,13:45-14:00,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.4,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.86

57,14:00-14:15,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.4,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.86

58,14:15-14:30,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.4,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.86

59,14:30-14:45,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.4,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.86

60,14:45-15:00,14.39,38.37,26.87,0,0,0.91,40.29,0,0,3.4,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.86

61,15:00-15:15,14.39,38.37,26.87,0,0,0.67,40.29,0,0,3.4,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,100,350.62

62,15:15-15:30,14.39,38.37,26.87,0,0,0.67,40.29,0,0,3.4,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,99.42,350.04

63,15:30-15:45,14.39,38.37,26.87,0,0,0.67,40.29,0,0,3.4,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,92.31,342.93000000000006

64,15:45-16:00,14.39,38.37,26.87,0,0,0.67,40.29,0,0,3.4,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,86.62,337.24

65,16:00-16:15,14.39,38.37,26.87,0,0,0.53,40.29,0,0,3.49,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,79.49,330.06

66,16:15-16:30,14.39,38.37,26.87,0,0,0.53,40.29,0,0,3.49,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,71.17,321.74

67,16:30-16:45,14.39,38.37,26.87,0,0,0.53,40.29,0,0,3.49,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,64.41,314.98

68,16:45-17:00,14.39,38.37,26.87,0,0,0.53,40.29,0,0,3.49,5.76,8.63,23.02,22.06,23.02,17.27,0,0,0,0,26.87,0,56.67,307.24

69,17:00-17:15,0,0,26.87,0,0,0.53,40.29,0,0,3.58,5.76,8.63,34.53,22.06,34.53,17.27,0,100,0,0,26.87,0,47.41,368.33000000000004

70,17:15-17:30,0,0,26.87,0,0,0.53,40.29,0,0,3.58,5.76,8.63,34.53,22.06,34.53,17.27,0,100,0,0,26.87,0,38.78,359.70000000000005

71,17:30-17:45,0,0,26.87,0,0,0.53,40.29,0,0,3.58,5.76,8.63,34.53,22.06,34.53,17.27,0,100,0,0,26.87,0,29.38,350.3

72,17:45-18:00,0,0,26.87,0,0,0.53,40.29,0,0,3.58,5.76,8.63,34.53,22.06,34.53,17.27,0,100,0,0,26.87,0,20.71,341.63

73,18:00-18:15,0,0,21.78,0,0,0.53,40.29,0,100,3.67,7.39,10.55,36.45,22.06,36.45,28.78,0,100,0,0,32,0,12.62,452.56999999999994

74,18:15-18:30,0,0,9.17,0,0,0.53,40.29,0,100,3.67,7.39,10.55,36.45,22.06,36.45,28.78,0,100,0,0,32,0,7.25,434.59000000000003

75,18:30-18:45,0,0,31.43,0,0,0.53,40.29,0,100,3.67,7.39,10.55,36.45,22.06,36.45,28.78,0,100,50,0,31.43,0,2.6,501.63000000000005

76,18:45-19:00,0,0,31.43,0,0,0.53,40.29,0,100,3.67,7.39,10.55,36.45,22.06,36.45,28.78,0,100,50,0,31.43,0,0.25,499.28000000000003

77,19:00-19:15,0,0,31.43,0,0,0.62,40.29,0,100,3.76,7.39,10.55,36.45,22.06,36.45,28.78,0,100,50,0,31.43,0,0.29,499.5

78,19:15-19:30,0,0,31.43,0,0,0.62,40.29,0,100,3.76,7.39,10.55,36.45,22.06,36.45,28.78,0,100,50,0,31.43,0,0,499.21

79,19:30-19:45,0,0,31,0,0,0.62,40.29,0,100,3.76,7.39,10.55,36.45,22.06,36.45,28.78,0,100,50,0,31,0,0,498.35

80,19:45-20:00,0,0,31,0,0,0.62,40.29,0,100,3.76,7.39,10.55,36.45,22.06,36.45,28.78,0,100,50,0,31,0,0,498.35

81,20:00-20:15,0,0,31,0,0,0.62,40.29,47.96,100,3.67,7.39,10.55,36.45,22.06,36.45,28.78,0,100,50,0,31,0,0,546.22

82,20:15-20:30,0,0,31,0,0,0.62,40.29,47.96,100,3.67,7.39,10.55,36.45,22.06,36.45,28.78,0,100,50,0,31,0,0,546.22

83,20:30-20:45,0,0,31.43,0,0,0.62,40.29,47.96,100,3.67,7.39,10.55,36.45,22.06,36.45,28.78,0,100,50,0,31.43,0,0,547.0799999999999

84,20:45-21:00,0,0,31.43,0,0,0.62,40.29,47.96,100,3.67,7.39,10.55,36.45,22.06,36.45,28.78,0,100,50,0,31.43,0,0,547.0799999999999

85,21:00-21:15,0,0,21.56,0,0,0.62,40.29,47.96,100,3.67,5.76,8.63,23.02,22.06,23.02,17.27,0,100,50,0,32,0,0,495.85999999999996

86,21:15-21:30,0,0,23.19,0,0,0.62,40.29,47.96,100,3.67,5.76,8.63,23.02,22.06,23.02,17.27,0,100,50,0,32,0,0,497.48999999999995

87,21:30-21:45,0,0,23.19,0,0,0.62,40.29,47.96,100,3.67,5.76,8.63,23.02,22.06,23.02,17.27,0,100,50,0,32,0,0,497.48999999999995

88,21:45-22:00,0,0,23.19,0,0,0.62,40.29,47.96,100,3.67,5.76,8.63,23.02,22.06,23.02,17.27,0,100,50,0,32,0,0,497.48999999999995

89,22:00-22:15,0,0,23.19,23.98,23.98,0.53,40.29,47.96,100,3.58,5.76,8.63,23.02,22.06,23.02,17.27,0,100,50,190.26,32,63.42,0,798.9499999999999

90,22:15-22:30,0,0,23.19,23.98,23.98,0.53,40.29,47.96,100,3.58,5.76,8.63,23.02,22.06,23.02,17.27,0,100,50,190.26,32,63.42,0,798.9499999999999

91,22:30-22:45,0,0,25.65,23.98,23.98,0.53,40.29,47.96,100,3.58,5.76,8.63,23.02,22.06,23.02,17.27,0,100,50,190.26,32,63.42,0,801.4099999999999

92,22:45-23:00,0,0,25.65,23.98,23.98,0.53,40.29,47.96,100,3.58,5.76,8.63,23.02,22.06,23.02,17.27,0,100,50,190.26,32,63.42,0,801.4099999999999

93,23:00-23:15,0,0,25.65,23.98,23.98,0.48,40.29,47.96,100,3.58,5.76,8.63,23.02,22.06,23.02,17.27,0,0,50,190.26,26.87,63.42,0,696.2299999999999

94,23:15-23:30,0,0,25.65,23.98,23.98,0.48,40.29,47.96,100,3.58,5.76,8.63,23.02,22.06,23.02,17.27,0,0,50,190.26,26.87,63.42,0,696.2299999999999

95,23:30-23:45,0,0,26.87,23.98,23.98,0.48,40.29,47.96,100,3.58,5.76,8.63,23.02,22.06,23.02,17.27,0,0,50,190.26,26.87,63.42,0,697.4499999999998

96,23:45-24:00,0,0,26.87,23.98,23.98,0.48,40.29,47.96,100,3.58,5.76,8.63,23.02,22.06,23.02,17.27,0,0,50,190.26,26.87,63.42,0,697.4499999999998

