Block,Time,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,NR/01062024/15062024/1000011005-GOHP-BRPL,NR/01062024/15062024/1000011003-KWHPS-BRPL(DISCOM),NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01042024/31072024/LT_MEJA_DELHI,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/30092023/31122025/SH-07,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01062024/30062024/IEPL01,NR/01102023/30042040/GNA_LT_36,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01062024/30062024/R2,NR/01102023/22052037/LT-59,SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/14082046/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16
18,04:15-04:30,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,18.510000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,18.510000,24.120000,272.830000,261.970000,5.200000,5.610000,100.520000,112.530000,27.260000,38.600000,0.000000,0.000000,12.340000,24.120000,5.630000,33.42,0,0,0,17.66,55.67,0,23.67,55.67,0,0,0,0,23.66,0,0,0,71,0,0,0

19,04:30-04:45,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,18.510000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,18.510000,24.120000,272.830000,261.970000,5.200000,5.610000,100.520000,112.530000,27.260000,38.600000,0.000000,0.000000,12.340000,24.120000,5.630000,41.01,0,0,0,16.66,54.33,0,23.17,54.33,0,0,0,0,23.16,0,0,0,69.5,0,0,0

20,04:45-05:00,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,22.950000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,261.970000,5.200000,5.610000,100.520000,85.100000,27.260000,38.600000,0.000000,0.000000,12.340000,24.120000,5.630000,40.81,0,0,0,16.66,52.67,0,22.67,52.67,0,0,0,0,22.66,0,0,0,68,0,0,0

21,05:00-05:15,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,18.510000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,18.510000,24.120000,272.830000,261.970000,5.100000,5.610000,100.520000,112.530000,27.260000,38.600000,0.000000,0.000000,12.250000,24.120000,5.630000,40.21,0,0,0,16.34,52.33,0,22.17,52.33,0,0,0,0,22.16,0,0,0,66.5,0,0,0

22,05:15-05:30,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,22.950000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,261.970000,5.100000,5.610000,100.520000,66.190000,27.260000,38.600000,0.000000,0.000000,12.250000,24.120000,5.630000,40.01,0,0,0,16,50.67,0,21.67,50.67,0,0,0,0,21.66,0,0,0,65,0,0,0

23,05:30-05:45,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,22.950000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,261.970000,5.100000,5.610000,100.520000,66.190000,27.260000,38.600000,0.000000,0.000000,12.250000,24.120000,5.630000,33.02,0,0,0,11.66,38.33,0,17.5,38.33,0,0,0,0,17.5,0,0,0,52.5,0,0.477407,0

24,05:45-06:00,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,22.950000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,261.970000,5.100000,5.610000,100.520000,66.190000,26.250000,38.600000,0.000000,0.000000,12.250000,24.120000,5.630000,32.42,0,0.2,0,11.34,38.33,0,17.5,38.33,0,2.12,0,0,17.5,0,0.42,0,52.5,0.18,1.188646,0

25,06:00-06:15,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,22.950000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,261.970000,4.920000,5.450000,100.520000,66.190000,26.250000,38.600000,0.000000,0.000000,12.160000,24.120000,5.630000,31.82,1,1,0,10.66,38.33,0,17.5,38.33,0,7.07,1,0,17.5,0,1.41,9.84,52.5,1.67,4.111546,1

26,06:15-06:30,0.000000,0.160000,87.030000,48.240000,24.120000,48.240000,0.160000,22.950000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,261.970000,4.920000,5.450000,100.520000,66.190000,26.250000,38.600000,0.160000,0.000000,12.160000,24.120000,5.630000,31.22,1,2,0,10.66,38.33,2,17.5,38.33,1,12.91,4,2.04,17.5,0,2.58,20.54,52.5,3.82,7.570311,2

27,06:30-06:45,0.000000,0.680000,87.030000,48.240000,24.120000,48.240000,0.680000,22.950000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,261.970000,5.470000,5.450000,100.520000,66.190000,26.250000,38.600000,0.700000,0.000000,12.160000,24.120000,5.200000,40.01,3,5,0,16,40,5,18.67,40,3,19.28,7,5.85,18.66,0,3.85,27.88,56,6.57,11.321366,5

28,06:45-07:00,0.000000,1.060000,87.030000,48.240000,24.120000,48.240000,1.060000,22.950000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,261.970000,5.470000,5.450000,100.520000,66.190000,26.250000,38.600000,1.090000,0.000000,12.160000,24.120000,5.200000,40.01,6,6,0,16,41.67,10,19.17,41.67,4,26.08,14,13.04,19.16,0,5.22,33,57.5,9.55,15.666744,8

29,07:00-07:15,0.000000,1.530000,63.280000,48.240000,24.120000,48.240000,1.530000,22.950000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,213.730000,5.470000,5.370000,96.990000,66.190000,26.250000,38.600000,1.570000,0.000000,12.070000,24.120000,5.200000,40.01,9,8,0,19.34,53.33,18,20,53.33,5,36.18,21,22.31,20,0,7.24,33,60,13.94,20.801305,11

30,07:15-07:30,0.000000,2.080000,63.280000,48.240000,24.120000,48.240000,2.080000,22.950000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,201.530000,5.470000,5.370000,100.520000,66.190000,26.250000,38.600000,2.130000,0.000000,12.070000,24.120000,5.200000,40.01,15,12.86,0,19.34,54.33,26.98,20.33,54.33,8,48.47,35,26.98,20.34,0,9.69,26.99,61,18.06,26.666591,16

31,07:30-07:45,0.000000,2.710000,57.600000,48.240000,24.120000,48.240000,2.710000,22.950000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,231.580000,164.920000,5.470000,5.370000,100.520000,66.190000,26.250000,38.600000,2.790000,0.000000,12.070000,24.120000,5.200000,18.06,21,16.18,0,19.34,55.33,28.65,21.67,55.33,10,61.14,49,28.65,21.66,0,12.23,28.65,65,23.11,32.434447,20

32,07:45:08:00,0.000000,3.930000,57.600000,48.240000,24.120000,48.240000,3.930000,22.950000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,192.980000,145.620000,5.470000,5.370000,100.520000,66.190000,26.250000,38.600000,4.020000,0.000000,12.070000,24.120000,5.200000,18.52,27,19.59,0,19.34,56.67,29.82,23.33,56.67,14,75.4,63,29.82,23.34,0,15.08,29.81,70,27.79,39.040201,27

33,08:00-08:15,0.000000,5.130000,57.600000,48.240000,24.120000,48.240000,5.130000,22.950000,24.660000,24.120000,3.710000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,150.050000,145.620000,5.380000,5.530000,100.520000,70.350000,26.250000,38.600000,5.260000,0.000000,11.970000,24.120000,5.120000,19.14,33,22.69,0,19.34,60,30.48,25,60,19,90.84,77,30.48,25,0,18.17,30.49,75,33.82,46.016189,37

34,08:15-08:30,0.000000,6.370000,57.600000,48.240000,24.120000,48.240000,6.370000,22.950000,24.660000,24.120000,3.710000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,150.050000,145.620000,5.380000,5.530000,100.520000,70.350000,27.250000,38.600000,6.530000,0.000000,11.970000,24.120000,5.120000,19.74,39,25.41,0,19.34,63.33,32,26.67,63.33,22,107.73,91,32,26.66,0,21.55,32,80,39.51,53.284467,44

35,08:30-08:45,0.000000,7.530000,57.600000,48.240000,24.120000,48.240000,7.530000,22.950000,24.660000,24.120000,3.710000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,150.050000,145.620000,5.380000,5.530000,100.520000,70.350000,27.250000,38.600000,7.710000,0.000000,11.970000,24.120000,5.120000,20.14,48,28.39,0,20.66,66.67,32,27.5,66.67,25,123.36,112,32,27.5,0,24.67,32,82.5,48.26,59.948679,51

36,08:45:09:00,0.000000,8.630000,57.600000,48.240000,24.120000,48.240000,8.630000,22.950000,24.660000,24.120000,3.710000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,150.050000,145.620000,5.380000,5.530000,100.520000,70.350000,27.760000,38.600000,8.850000,0.000000,11.970000,24.120000,5.120000,20,54,30.9,0,21.34,70,32,28.33,70,29,139.27,126,32,28.34,0,27.85,32,85,55.62,66.573919,57

37,09:00:09:15,0.000000,9.720000,57.600000,48.240000,24.120000,0.000000,9.720000,22.950000,29.010000,0.000000,3.710000,0.000000,0.000000,24.120000,24.120000,22.950000,24.120000,150.050000,145.620000,5.200000,5.530000,100.520000,66.190000,28.260000,0.000000,9.960000,0.000000,11.890000,24.120000,5.120000,22.01,60,33.38,0,25,70,32,29.17,70,32,154.29,140,32,29.16,0,30.86,32,87.5,62.55,72.858154,63

38,09:15-09:30,0.000000,10.690000,57.600000,48.240000,24.120000,0.000000,10.690000,22.950000,29.010000,0.000000,3.710000,0.000000,0.000000,24.120000,24.120000,22.950000,24.120000,150.050000,145.620000,5.200000,5.530000,100.520000,66.190000,29.270000,0.000000,10.950000,0.000000,11.890000,24.120000,5.120000,24.01,66,36.28,0,25.66,70,32,30,70,34,167.82,154,32,30,0,33.56,32,90,69.02,78.772155,69

39,09:30-09:45,0.000000,11.580000,57.600000,48.240000,24.120000,0.000000,11.580000,22.950000,29.010000,0.000000,3.710000,0.000000,0.000000,24.120000,24.120000,22.950000,24.120000,150.050000,120.610000,5.200000,5.530000,71.580000,66.190000,30.280000,0.000000,11.870000,0.000000,11.890000,24.120000,5.120000,24.41,70,38.16,0,26.34,70,32,30,70,38,181.33,165,32,30,0,36.27,32,90,75.03,85.066133,75

40,09:45-10:00,0.000000,12.440000,57.600000,48.240000,24.120000,0.000000,12.440000,22.950000,29.010000,0.000000,3.710000,0.000000,0.000000,24.120000,24.120000,22.950000,24.120000,150.050000,120.610000,5.200000,5.530000,53.070000,66.190000,30.280000,0.000000,12.750000,0.000000,11.890000,24.120000,5.120000,25.01,73,40.08,0,27,70,31.9,30,70,41,195.1,172,31.9,30,0,39.02,31.9,90,80.37,91.252938,81

41,10:00-10:15,0.000000,13.220000,57.600000,48.240000,24.120000,0.000000,13.220000,22.950000,29.010000,0.000000,3.710000,0.000000,0.000000,24.120000,24.120000,22.950000,24.120000,150.050000,110.960000,5.200000,5.530000,53.070000,66.190000,26.250000,0.000000,13.550000,0.000000,11.790000,24.120000,4.970000,26.01,76,41.66,0,35,80,31.9,35,80,43,206.33,179,31.9,35,0,41.26,31.9,105,85,96.290069,87

42,10:15-10:30,0.000000,13.900000,57.600000,48.240000,24.120000,0.000000,13.900000,22.950000,29.010000,0.000000,3.710000,0.000000,0.000000,24.120000,24.120000,22.950000,24.120000,192.980000,135.090000,5.200000,5.530000,53.070000,66.190000,25.740000,0.000000,14.240000,0.000000,11.790000,24.120000,4.970000,27.01,79,43.5,0,35.34,80,31.9,35.33,80,45,216.98,186,31.9,35.34,0,43.39,31.9,106,89.2,99.758577,91

43,10:30-10:45,0.000000,14.570000,57.600000,48.240000,24.120000,0.000000,14.570000,22.950000,29.010000,0.000000,3.710000,0.000000,0.000000,24.120000,24.120000,22.950000,24.120000,231.580000,145.620000,5.200000,5.530000,53.070000,66.190000,25.740000,0.000000,14.940000,0.000000,11.790000,24.120000,4.970000,29.01,82,44,0,36,80,31.9,35.67,80,47,227.43,193,31.9,35.66,0,45.49,31.9,107,91.54,102.262528,93

44,10:45-11:00,0.000000,15.040000,57.600000,48.240000,24.120000,0.000000,15.040000,22.950000,29.010000,0.000000,3.710000,0.000000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,145.620000,5.200000,5.530000,53.070000,66.190000,25.740000,0.000000,15.420000,0.000000,11.790000,24.120000,4.970000,32.02,84,44.5,0,36.34,80,31.9,35.83,80,47,230,196,31.9,35.84,0,46,31.9,107.5,92.38,104.328044,93

45,11:00-11:15,0.000000,15.440000,57.600000,48.240000,24.120000,0.000000,15.440000,22.950000,29.010000,0.000000,3.710000,0.000000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,145.620000,5.100000,5.530000,53.070000,66.190000,25.230000,0.000000,15.820000,0.000000,11.610000,24.120000,4.970000,36.02,84,44.5,0,37,80,31.57,35.83,80,47,230,196,31.57,35.84,0,46,31.56,107.5,92.49,106.013583,93

46,11:15-11:30,0.000000,15.590000,57.600000,48.240000,24.120000,0.000000,15.590000,22.950000,29.010000,0.000000,3.710000,0.000000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,145.620000,5.100000,5.530000,53.070000,66.190000,25.230000,0.000000,15.980000,0.000000,11.610000,24.120000,4.970000,40.01,84,44.5,0,37.66,80,31.4,35.83,80,47,230,196,31.4,35.84,0,46,31.4,107.5,92.45,107.250944,93

47,11:30-11:45,0.000000,15.590000,57.600000,48.240000,24.120000,0.000000,15.590000,22.950000,29.010000,0.000000,3.710000,0.000000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,145.620000,5.100000,5.530000,82.020000,66.190000,25.230000,0.000000,15.980000,0.000000,11.610000,24.120000,4.970000,42.01,84,44.5,0,38.34,80,31.4,35.83,80,47,230,196,31.4,35.84,0,46,31.4,107.5,92.53,108.059613,93

48,11:45-12:00,0.000000,15.590000,57.600000,48.240000,24.120000,0.000000,15.590000,22.950000,29.010000,0.000000,3.710000,0.000000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,145.620000,5.100000,5.530000,100.520000,66.190000,25.230000,0.000000,15.980000,0.000000,11.610000,24.120000,4.970000,43.01,84,44.5,0,38.34,80,31.4,35.83,80,47,230,196,31.4,35.84,0,46,31.4,107.5,92.71,108.63445,93

49,12:00-12:15,0.000000,15.590000,57.600000,48.240000,24.120000,0.000000,15.590000,22.950000,29.010000,0.000000,11.670000,0.000000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,145.620000,5.100000,5.530000,100.520000,66.190000,25.230000,0.000000,15.980000,0.000000,11.510000,24.120000,4.970000,43.01,84,44.5,0,38.34,80,31.4,35.83,80,47,230,196,31.4,35.84,0,46,31.4,107.5,92.81,108.468819,93

50,12:15-12:30,0.000000,15.590000,57.600000,48.240000,24.120000,0.000000,15.590000,22.950000,29.010000,0.000000,15.610000,0.000000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,145.620000,5.100000,5.530000,100.520000,66.190000,25.230000,0.000000,15.980000,0.000000,11.510000,24.120000,4.970000,43.01,84,44.5,0,38.34,80,31.4,35.83,80,47,230,196,31.4,35.84,0,46,31.4,107.5,92.77,108.04987,93

51,12:30-12:45,0.000000,15.590000,57.600000,48.240000,24.120000,0.000000,15.590000,22.950000,29.010000,0.000000,15.610000,0.000000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,145.620000,5.100000,5.530000,100.520000,66.190000,25.230000,0.000000,15.980000,0.000000,11.510000,24.120000,4.970000,43.01,84,44.5,0,38.34,80,31.4,35.83,80,47,230,196,31.4,35.84,0,46,31.4,107.5,92.72,106.607906,93

52,12:45-13:00,0.000000,15.590000,57.600000,48.240000,24.120000,0.000000,15.590000,22.950000,29.010000,0.000000,15.610000,0.000000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,145.620000,5.100000,5.530000,100.520000,66.190000,25.230000,0.000000,15.980000,0.000000,11.510000,24.120000,4.970000,43.01,84,44.5,0,38.34,80,31.4,35.83,80,47,230,196,31.4,35.84,0,46,31.4,107.5,92.67,104.746993,93

