Column1,Block,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/2563,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/8036,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/9482,GNA/SR/2025/03/01/7500,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/25159/A/59271,WR/2025/26499/A/59380,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/6891,WR/2025/26426/A/59314,GNA/WR/2025/03/01/6406,GNARE/NR/2024/12/20/3668,WR/2025/26427/A/59315,WR/2025/26582/A/59378,NR/2025/25518/A/59350,NR/2025/25692/C,NR/2025/25691/C,NR/2025/25516/A/59328,NR/2025/25517/A/59344,GNA/NR/2025/03/01/5143,Total
3,00:30-00:45,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,200,5.07,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,937.96

4,00:45-01:00,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,200,5.07,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,937.96

5,01:00-01:15,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,200,5.07,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,937.96

6,01:15-01:30,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,200,5.07,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,937.96

7,01:30-01:45,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,200,5.07,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,937.96

8,01:45-02:00,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,200,5.07,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,937.96

9,02:00-02:15,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,5.07,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,737.96

10,02:15-02:30,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,5.07,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,737.96

11,02:30-02:45,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,5.07,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,737.96

12,02:45-03:00,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,5.07,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,737.96

13,03:00-03:15,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,4.98,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,737.8699999999999

14,03:15-03:30,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,4.98,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,737.8699999999999

15,03:30-03:45,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,4.98,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,737.8699999999999

16,03:45-04:00,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,4.98,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,737.8699999999999

17,04:00-04:15,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,4.98,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,737.8699999999999

18,04:15-04:30,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,4.98,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,737.8699999999999

19,04:30-04:45,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,4.98,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,737.8699999999999

20,04:45-05:00,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,4.98,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,737.8699999999999

21,05:00-05:15,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,4.98,0.48,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,737.9199999999998

22,05:15-05:30,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,4.98,0.48,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,737.9199999999998

23,05:30-05:45,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,4.98,0.48,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,737.9199999999998

24,05:45-06:00,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,4.98,0.48,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,737.9199999999998

25,06:00-06:15,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,4.89,0.53,0,0,0,168.21,42,0,0,0,0,0,0,0,0,0,372.61

26,06:15-06:30,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,0,4.89,0.53,0,0,0,168.21,42,0,0,0,0,0,0,0,0,0,372.61

27,06:30-06:45,25.87,23.41,32,6.75,8.67,23.41,23.41,0,17.35,0,4.89,0.53,0,0,0,168.21,42,0.04,0,0,0,0,0,0,0,0,376.54

28,06:45-07:00,32,23.41,32,6.75,8.67,23.41,23.41,0,17.35,0,4.89,0.53,0,0,0,168.21,42,0.08,0,0,0,0,0,0,0,0,382.71

29,07:00-07:15,32,28.91,25.87,6.75,8.67,28.91,28.91,0,17.35,0,4.89,0.58,40.48,0,0,168.21,0,0.4,0,0,0,0,0,0,0,0,391.92999999999995

30,07:15-07:30,32,28.91,25.87,6.75,8.67,28.91,28.91,0,17.35,0,4.89,0.58,40.48,0,0,168.21,0,2.83,0,0,0,0,0,0,0,0,394.35999999999996

31,07:30-07:45,32,28.91,25.87,6.75,8.67,28.91,28.91,0,17.35,0,4.89,0.58,40.48,0,0,168.21,0,5.83,0,0,0,0,0,0,0,0,397.35999999999996

32,07:45-08:00,32,28.91,25.87,6.75,8.67,28.91,28.91,0,17.35,0,4.89,0.58,40.48,0,0,168.21,0,13.2,0,0,0.02,0,0,0.04,0.02,0,404.80999999999995

33,08:00-08:15,26.99,31.8,26.99,6.75,8.67,31.8,31.8,0,17.35,0,4.89,0.96,40.48,0,0,0,0,23.5,0,0,0.12,0,0,0.24,0.19,0,252.53

34,08:15-08:30,26.99,31.8,26.99,6.75,8.67,31.8,31.8,0,17.35,0,4.89,0.96,40.48,0,0,0,0,31.77,0,0,0.24,0,0,0.49,0.4,0,261.38

35,08:30-08:45,26.99,31.8,26.99,6.75,8.67,31.8,31.8,0,17.35,0,4.89,0.96,40.48,0,0,0,0,40.54,0,0,0.38,0,0,0.75,0.6,0,270.75

36,08:45-09:00,26.99,31.8,26.99,6.75,8.67,31.8,31.8,0,17.35,0,4.89,0.96,40.48,0,0,0,0,49.05,0,0,0.48,0,0,0.96,0.77,0,279.73999999999995

37,09:00-09:15,26.99,31.8,26.99,6.75,8.67,31.8,31.8,0,17.35,0,4.8,0.92,40.48,0,0,0,0,57.34,0,0,0.48,38.55,14.46,1.06,0.77,0,341.01

38,09:15-09:30,26.99,31.8,26.99,6.75,8.67,31.8,31.8,0,17.35,0,4.8,0.92,40.48,0,0,0,0,65.15,0,0,0.58,38.55,14.46,1.06,0.77,0,348.91999999999996

39,09:30-09:45,26.99,31.8,26.99,6.75,8.67,31.8,31.8,0,17.35,0,4.8,0.92,40.48,0,0,0,0,72.4,0,0,0.58,38.55,14.46,1.06,0.87,0,356.27

40,09:45-10:00,26.99,31.8,26.99,6.75,8.67,31.8,31.8,0,17.35,0,4.8,0.92,40.48,0,0,0,0,78.84,0,0,0.48,38.55,14.46,0.96,0.77,0,362.40999999999997

41,10:00-10:15,26.99,31.8,26.99,6.75,8.67,31.8,31.8,0,17.35,0,4.8,0.92,40.48,0,0,0,0,88.64,0,0,0.48,38.55,14.46,1.06,0.67,0,372.21000000000004

42,10:15-10:30,26.99,31.8,26.99,6.75,8.67,31.8,31.8,0,17.35,0,4.8,0.92,40.48,0,0,0,0,94.14,0,0,0.48,38.55,14.46,1.16,0.77,0,377.91

43,10:30-10:45,26.99,31.8,26.99,6.75,8.67,31.8,31.8,0,17.35,0,4.8,0.92,40.48,0,0,0,0,98.38,0,0,0.58,38.55,14.46,1.25,0.77,0,382.34

44,10:45-11:00,26.99,31.8,26.99,6.75,8.67,31.8,31.8,0,17.35,0,4.8,0.92,40.48,0,0,0,0,98.67,0,0,0.58,38.55,14.46,1.25,0.87,0,382.72999999999996

45,11:00-11:15,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.8,0.92,40.48,0,0,0,0,98.67,0,0,0.58,38.55,14.46,1.25,0.87,0,397.18999999999994

46,11:15-11:30,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.8,0.92,40.48,0,0,0,0,98.67,0,0,0.58,38.55,14.46,1.25,0.87,0,397.18999999999994

47,11:30-11:45,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.8,0.92,40.48,0,0,0,0,98.67,0,0,0.58,38.55,14.46,1.25,0.87,0,397.18999999999994

48,11:45-12:00,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.8,0.92,40.48,0,0,0,0,98.67,0,0,0.58,38.55,14.46,1.25,0.87,0,397.18999999999994

49,12:00-12:15,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.7,0.92,40.48,0,0,0,0,98.67,0,0,0.58,38.55,14.46,1.25,0.96,0,397.1799999999999

50,12:15-12:30,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.7,0.92,40.48,0,0,0,0,98.67,0,0,0.58,38.55,14.46,1.25,0.87,0,397.0899999999999

51,12:30-12:45,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.7,0.92,40.48,0,0,0,0,96,0,0,0.58,38.55,14.46,1.25,0.77,0,394.3199999999999

52,12:45-13:00,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.7,0.92,40.48,0,0,0,0,96,0,0,0.58,38.55,14.46,1.25,0.96,0,394.5099999999999

53,13:00-13:15,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.7,0.92,40.48,0,0,0,0,96,0,0,0.58,38.55,14.46,1.25,0.96,0,394.5099999999999

54,13:15-13:30,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.7,0.92,40.48,0,0,0,0,96,0,0,0.58,38.55,14.46,1.25,0.96,0,394.5099999999999

55,13:30-13:45,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.7,0.92,40.48,0,0,0,0,96,0,0,0.58,38.55,14.46,1.25,0.96,0,394.5099999999999

56,13:45-14:00,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.7,0.92,40.48,0,0,0,0,96,0,0,0.67,38.55,14.46,1.25,0.96,0,394.5999999999999

57,14:00-14:15,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.7,0.92,40.48,0,0,0,0,96,0,0,0.67,38.55,14.46,1.25,0.96,0,394.5999999999999

58,14:15-14:30,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.7,0.92,40.48,0,0,0,0,96,0,0,0.67,38.55,14.46,1.25,0.96,0,394.5999999999999

59,14:30-14:45,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.7,0.92,40.48,0,0,0,0,96,0,0,0.58,38.55,14.46,1.25,0.96,0,394.5099999999999

60,14:45-15:00,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.7,0.92,40.48,0,0,0,0,96,0,0,0.58,38.55,14.46,1.25,0.96,0,394.5099999999999

61,15:00-15:15,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.7,0.67,40.48,0,0,0,0,96,0,0,0.67,38.55,14.46,1.25,0.96,0,394.3499999999999

62,15:15-15:30,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.7,0.67,40.48,0,0,0,0,94.67,0,0,0.67,38.55,14.46,1.25,0.96,0,393.0199999999999

63,15:30-15:45,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.7,0.67,40.48,0,0,0,0,93.71,0,0,0.67,38.55,14.46,1.25,0.96,0,392.05999999999995

64,15:45-16:00,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.7,0.67,40.48,0,0,0,0,88.18,0,0,0.67,38.55,14.46,1.25,0.96,0,386.53

65,16:00-16:15,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.8,0.53,40.48,0,0,0,0,81.94,0,0,0.48,38.55,14.46,1.25,0.96,0,380.06

66,16:15-16:30,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.8,0.53,40.48,0,0,0,0,74.97,0,0,0.58,38.55,14.46,1.25,0.96,0,373.18999999999994

67,16:30-16:45,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.8,0.53,40.48,0,0,0,0,67.31,0,0,0.59,38.55,14.46,1.09,0.84,0,365.25999999999993

68,16:45-17:00,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,0,4.8,0.53,40.48,0,0,0,0,59.04,0,0,0.48,38.55,14.46,0.89,0.68,0,356.52

69,17:00-17:15,26.99,36.62,26.99,6.75,8.67,36.62,36.62,100,17.35,0,4.89,0.53,40.48,0,0,0,0,50.33,0,0,0.31,0,0,0.67,0.37,0,394.19

70,17:15-17:30,26.99,36.62,26.99,6.75,8.67,36.62,36.62,100,17.35,0,4.89,0.53,40.48,0,0,0,0,41.73,0,0,0.16,0,0,0.43,0.23,0,385.06000000000006

71,17:30-17:45,26.99,36.62,26.99,6.75,8.67,36.62,36.62,100,17.35,0,4.89,0.53,40.48,0,0,0,0,35.12,0,0,0.08,0,0,0.17,0.13,0,378.01

72,17:45-18:00,26.99,36.62,26.99,6.75,8.67,36.62,36.62,100,17.35,0,4.89,0.53,40.48,0,0,0,0,29.16,0,0,0,0,0,0,0,0,371.67

73,18:00-18:15,25.61,36.62,32,6.75,8.67,36.62,36.62,100,17.35,0,5.07,0.53,40.48,50,0,0,0,23.72,0,0,0,0,0,0,0,0,420.03999999999996

74,18:15-18:30,25.61,36.62,32,6.75,8.67,36.62,36.62,100,17.35,0,5.07,0.53,40.48,50,0,0,0,17.66,0,0,0,0,0,0,0,0,413.98

75,18:30-18:45,32,36.62,32,6.75,8.67,36.62,36.62,100,17.35,50,5.07,0.53,40.48,50,0,0,0,12.64,0,0,0,0,0,0,0,0,465.34999999999997

76,18:45-19:00,32,36.62,32,6.75,8.67,36.62,36.62,100,17.35,50,5.07,0.53,40.48,50,0,0,0,7.35,0,0,0,0,0,0,0,0,460.06

77,19:00-19:15,31.72,36.62,31.72,6.75,8.67,36.62,36.62,100,17.35,50,5.26,0.63,40.48,50,0,0,0,0.08,0,0,0,0,0,0,0,0,452.52000000000004

78,19:15-19:30,31.72,36.62,31.72,6.75,8.67,36.62,36.62,100,17.35,50,5.26,0.63,40.48,50,0,0,0,0.04,0,0,0,0,0,0,0,0,452.4800000000001

79,19:30-19:45,31.72,36.62,31.72,6.75,8.67,36.62,36.62,100,17.35,50,5.26,0.63,40.48,50,0,0,0,0,0,0,0,0,0,0,0,0,452.44000000000005

80,19:45-20:00,31.72,36.62,31.72,6.75,8.67,36.62,36.62,100,17.35,50,5.26,0.63,40.48,50,0,0,0,0,0,0,0,0,0,0,0,0,452.44000000000005

81,20:00-20:15,9.25,36.62,9.25,6.75,8.67,36.62,36.62,100,17.35,50,5.44,0.63,40.48,75,0,48.18,0,0,0,0,0,0,0,0,0,0,480.86

82,20:15-20:30,9.25,36.62,9.25,6.75,8.67,36.62,36.62,100,17.35,50,5.44,0.63,40.48,75,0,48.18,0,0,0,0,0,0,0,0,0,0,480.86

83,20:30-20:45,23.4,36.62,23.4,6.75,8.67,36.62,36.62,100,17.35,50,5.44,0.63,40.48,75,0,48.18,0,0,0,0,0,0,0,0,0,0,509.16

84,20:45-21:00,23.4,36.62,23.4,6.75,8.67,36.62,36.62,100,17.35,50,5.44,0.63,40.48,75,0,48.18,0,0,0,0,0,0,0,0,0,0,509.16

85,21:00-21:15,26.99,36.62,26.99,6.75,8.67,36.62,36.62,100,17.35,50,6.18,0.63,40.48,75,0,48.18,0,0,0,0,0,0,0,0,0,0,517.08

86,21:15-21:30,26.99,36.62,26.99,6.75,8.67,36.62,36.62,100,17.35,50,6.18,0.63,40.48,75,0,48.18,0,0,0,0,0,0,0,0,0,0,517.08

87,21:30-21:45,26.99,36.62,26.99,6.75,8.67,36.62,36.62,100,17.35,50,6.18,0.63,40.48,75,0,48.18,0,0,0,0,0,0,0,0,0,0,517.08

88,21:45-22:00,26.99,36.62,26.99,6.75,8.67,36.62,36.62,100,17.35,50,6.18,0.63,40.48,75,0,48.18,0,0,0,0,0,0,0,0,0,0,517.08

89,22:00-22:15,26.99,36.62,26.99,6.75,8.67,36.62,36.62,100,17.35,50,6.27,0.53,40.48,75,79.27,48.18,0,0,24.09,24.09,0,0,0,0,0,237.82,882.3399999999999

90,22:15-22:30,26.99,36.62,26.99,6.75,8.67,36.62,36.62,100,17.35,50,6.27,0.53,40.48,75,79.27,48.18,0,0,24.09,24.09,0,0,0,0,0,237.82,882.3399999999999

91,22:30-22:45,26.99,36.62,26.99,6.75,8.67,36.62,36.62,100,17.35,50,6.27,0.53,40.48,75,79.27,48.18,0,0,24.09,24.09,0,0,0,0,0,237.82,882.3399999999999

92,22:45-23:00,26.99,36.62,26.99,6.75,8.67,36.62,36.62,100,17.35,50,6.27,0.53,40.48,75,79.27,48.18,0,0,24.09,24.09,0,0,0,0,0,237.82,882.3399999999999

93,23:00-23:15,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,50,6.36,0.48,40.48,75,79.27,48.18,0,0,24.09,24.09,0,0,0,0,0,237.82,782.3800000000001

94,23:15-23:30,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,50,6.36,0.48,40.48,75,79.27,48.18,0,0,24.09,24.09,0,0,0,0,0,237.82,782.3800000000001

95,23:30-23:45,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,50,6.36,0.48,40.48,75,79.27,48.18,0,0,24.09,24.09,0,0,0,0,0,237.82,782.3800000000001

96,23:45-24:00,26.99,36.62,26.99,6.75,8.67,36.62,36.62,0,17.35,50,6.36,0.48,40.48,75,79.27,48.18,0,0,24.09,24.09,0,0,0,0,0,237.82,782.3800000000001

