Column1,Block,NR/2024/23943/C,NR/2024/23950/C,NR/2024/23918/A/43110,WR/2024/24788/A/43147,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/9042,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5428,NR/2024/23948/C,GNA/NR/2024/11/01/9061,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/1868,NR/2024/23420/A/43002,NR/2024/23909/A/43119,NR/2024/23809/A/43004,NR/2024/23769/A/43006,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/3646,Total
53,13:00-13:15,6.2,24.1,5.78,0,8.68,0,26.03,17.35,2.94,0,26.03,28.92,26.03,0,8.68,0.77,0,4.82,5.78,0,0,0,192.10999999999999

54,13:15-13:30,7.42,24.1,5.78,0,8.68,0,26.03,17.35,2.94,0,26.03,28.92,26.03,0,8.68,0.77,0,4.82,5.78,0,0,0,193.33

55,13:30-13:45,7.34,24.1,5.78,0,8.68,0,26.03,17.35,2.94,0,26.03,28.92,26.03,0,8.68,0.77,0,4.82,5.78,0,0,0,193.25000000000003

56,13:45-14:00,7.26,24.1,5.78,0,8.68,0,26.03,17.35,2.94,0,26.03,28.92,26.03,0,8.68,0.77,0,4.82,5.78,0,0,0,193.17

57,14:00-14:15,7.08,24.1,4.82,0,8.68,0,26.03,17.35,2.94,0,26.03,28.92,26.03,0,8.68,0.96,0,4.82,5.78,0,0,0,192.22

58,14:15-14:30,4.17,24.1,4.82,0,8.68,0,26.03,17.35,2.94,0,26.03,28.92,26.03,0,8.68,0.96,0,4.82,5.78,0,0,0,189.31000000000003

59,14:30-14:45,2.55,24.1,4.82,0,8.68,0,26.03,17.35,2.94,0,26.03,28.92,26.03,0,8.68,0.96,0,4.82,5.78,0,0,0,187.69000000000003

60,14:45-15:00,2.22,24.1,4.82,0,8.68,0,26.03,17.35,2.94,0,26.03,28.92,26.03,0,8.68,0.96,0,4.82,5.78,0,0,0,187.35999999999999

61,15:00-15:15,2.67,24.1,4.82,0,8.68,0,26.03,17.35,2.94,0,26.03,28.92,26.03,0,5.78,0.87,0,4.82,5.78,0,0,0,184.82000000000002

62,15:15-15:30,2.79,24.1,4.82,0,8.68,0,26.03,17.35,2.94,0,26.03,28.92,26.03,0,5.78,0.87,0,4.82,5.78,0,0,0,184.94000000000003

63,15:30-15:45,1.93,25.93,4.82,0,8.68,0,26.03,17.35,2.94,0,26.03,27.09,26.03,0,5.78,0.87,0,4.82,5.78,0,0,0,184.08

64,15:45-16:00,1.62,30.37,4.82,0,8.68,0,26.03,17.35,2.94,0,26.03,22.66,26.03,0,5.78,0.87,0,4.82,5.78,0,0,0,183.78

65,16:00-16:15,2.1,26.32,2.89,0,12.53,0,28.92,17.35,2.94,0,28.92,18.41,28.92,0,5.78,0.77,0.96,4.82,5.78,0,0,0,187.41000000000003

66,16:15-16:30,1.81,18.22,2.89,0,12.53,0,28.92,17.35,2.94,0,28.92,14.17,28.92,0,5.78,0.77,0.96,4.82,5.78,0,0,0,174.78000000000003

67,16:30-16:45,1.37,10.7,2.89,0,12.53,0,28.92,17.35,2.94,0,28.92,9.74,28.92,0,5.78,0.77,0.96,4.82,5.78,0,0,0,162.39000000000001

68,16:45-17:00,1.01,3.37,2.89,0,12.53,0,28.92,17.35,2.94,0,28.92,5.11,28.92,0,5.78,0.77,0.96,4.82,5.78,0,0,0,150.07

69,17:00-17:15,0.66,0,0.96,0,12.53,0,33.74,17.35,2.94,0,33.74,0,33.74,0,5.78,0.58,0.96,4.82,5.78,0,0,0,153.58000000000004

70,17:15-17:30,0.34,0,0.96,0,12.53,0,33.74,17.35,2.94,0,33.74,0,33.74,0,5.78,0.58,0.96,4.82,5.78,0,0,0,153.26000000000002

71,17:30-17:45,0.17,0,0.96,0,12.53,0,33.74,17.35,2.94,0,33.74,0,33.74,0,5.78,0.58,1.93,4.82,5.78,0,0,0,154.06000000000003

72,17:45-18:00,0.03,0,0.96,0,12.53,0,33.74,17.35,2.94,0,33.74,0,33.74,0,5.78,0.58,1.93,4.82,5.78,0,0,0,153.92000000000004

73,18:00-18:15,0,0,0,38.56,12.53,0,33.74,17.35,2.94,0,33.74,0,33.74,0,5.78,0.63,1.93,4.82,5.78,50,150,0,391.54

74,18:15-18:30,0,0,0,38.56,12.53,0,33.74,17.35,2.94,0,33.74,0,33.74,0,5.78,0.63,1.93,4.82,5.78,50,150,0,391.54

75,18:30-18:45,0,0,0,38.56,12.53,0,33.74,17.35,2.94,0,33.74,0,33.74,0,5.78,0.63,1.93,4.82,5.78,50,150,0,391.54

76,18:45-19:00,0,0,0,38.56,12.53,0,33.74,17.35,2.94,0,33.74,0,33.74,0,5.78,0.63,1.93,4.82,5.78,50,150,0,391.54

77,19:00-19:15,0,0,0,38.56,12.53,0,33.74,17.35,3.04,0,33.74,0,33.74,0,5.78,0.63,1.93,4.82,5.78,50,150,0,391.64

78,19:15-19:30,0,0,0,38.56,12.53,0,33.74,17.35,3.04,0,33.74,0,33.74,0,5.78,0.63,1.93,4.82,5.78,50,150,0,391.64

79,19:30-19:45,0,0,0,38.56,12.53,0,33.74,17.35,3.04,0,33.74,0,33.74,0,5.78,0.63,1.93,4.82,5.78,50,150,0,391.64

80,19:45-20:00,0,0,0,38.56,12.53,0,33.74,17.35,3.04,0,33.74,0,33.74,0,5.78,0.63,1.93,4.82,5.78,50,150,0,391.64

81,20:00-20:15,0,0,0,38.56,12.53,0,33.74,17.35,3.04,0,33.74,0,33.74,0,5.78,0.63,1.93,4.82,5.78,50,200,0,441.64

82,20:15-20:30,0,0,0,38.56,12.53,0,33.74,17.35,3.04,0,33.74,0,33.74,0,5.78,0.63,1.93,4.82,5.78,50,200,0,441.64

83,20:30-20:45,0,0,0,38.56,12.53,0,33.74,17.35,3.04,0,33.74,0,33.74,0,5.78,0.63,1.93,4.82,5.78,50,200,0,441.64

84,20:45-21:00,0,0,0,38.56,12.53,0,33.74,17.35,3.04,0,33.74,0,33.74,0,5.78,0.63,1.93,4.82,5.78,50,200,0,441.64

85,21:00-21:15,0,0,0,38.56,12.53,0,28.92,17.35,3.13,0,28.92,0,28.92,0,5.78,0.63,0.96,4.82,5.78,50,200,0,426.30000000000007

86,21:15-21:30,0,0,0,38.56,8.68,0,28.92,17.35,3.13,0,28.92,0,28.92,0,5.78,0.63,0.96,4.82,5.78,50,200,0,422.45

87,21:30-21:45,0,0,0,38.56,8.68,0,28.92,17.35,3.13,0,28.92,0,28.92,0,5.78,0.63,0.96,4.82,5.78,50,200,0,422.45

88,21:45-22:00,0,0,0,38.56,8.68,0,28.92,17.35,3.13,0,28.92,0,28.92,0,5.78,0.63,0.96,4.82,5.78,50,200,0,422.45

89,22:00-22:15,0,0,0,38.56,8.68,261.61,28.92,17.35,3.13,0,28.92,0,28.92,0,5.78,0.63,0.96,4.82,5.78,50,200,87.2,771.26

90,22:15-22:30,0,0,0,38.56,8.68,261.61,28.92,17.35,3.13,0,28.92,0,28.92,0,5.78,0.63,0.96,4.82,5.78,50,200,87.2,771.26

91,22:30-22:45,0,0,0,38.56,8.68,261.61,28.92,17.35,3.13,0,28.92,0,28.92,0,5.78,0.63,0,4.82,5.78,50,200,87.2,770.3000000000001

92,22:45-23:00,0,0,0,38.56,8.68,261.61,28.92,17.35,3.13,0,28.92,0,28.92,0,5.78,0.63,0,4.82,5.78,50,200,87.2,770.3000000000001

93,23:00-23:15,0,0,0,38.56,8.68,261.61,26.03,17.35,3.04,0,26.03,0,26.03,0,5.78,0.63,0,4.82,5.78,50,200,87.2,761.54

94,23:15-23:30,0,0,0,38.56,8.68,261.61,26.03,17.35,3.04,0,26.03,0,26.03,0,5.78,0.63,0,4.82,5.78,50,200,87.2,761.54

95,23:30-23:45,0,0,0,38.56,8.68,261.61,26.03,17.35,3.04,0,26.03,0,26.03,0,5.78,0.63,0,4.82,5.78,50,200,87.2,761.54

96,23:45-24:00,0,0,0,38.56,8.68,261.61,26.03,17.35,3.04,0,26.03,0,26.03,0,5.78,0.63,0,4.82,5.78,50,200,87.2,761.54

