Column1,Time,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,GNARE/NR/2024/12/20/3668,GNA/NR/2025/03/01/2563,GNA/WR/2025/01/01/9606,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/1906,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/07/1198,GNA/WR/2025/01/01/8625,GNARE/SR/2025/01/13/4532,L_NR_2019_19,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17
7,01:30-01:45,0,0,0,23.02,0,200,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,69.95,1.26,0.93,26.99,1,0,86.52,0,271.21,259.56,27.76,0,0,4.68,26.99,0,18.33,45,0,0,55.01,12.67,0,18.33,0,45,0,0,0,0

8,01:45-02:00,0,0,0,23.02,0,200,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,69.95,1.26,0.93,26.99,1,0,86.52,0,271.21,259.56,27.25,0,0,4.68,26.99,0,18.17,44.66,0,0,54.49,12.33,0,18.17,0,44.67,0,0,0,0

9,02:00-02:15,0,0,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,69.95,1.26,0.93,26.99,1,0,76.05,0,271.21,224.38,27.25,0,0,4.59,26.99,0,18.17,43.66,0,0,54.49,10,0,18.17,0,43.67,0,0,0,0

10,02:15-02:30,0,0,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,69.95,1.26,0.93,26.99,1,0,76.05,0,271.21,224.38,27.25,0,0,4.59,26.99,0,18.33,43.66,0,0,55.01,10,0,18.33,0,43.67,0,0,0,0

11,02:30-02:45,0,0,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,69.95,1.26,1.05,26.99,1,0,76.05,0,271.21,224.38,27.25,0,0,4.59,26.99,0,18.33,43.66,0,0,55.01,9.67,0,18.33,0,43.67,0,0,0,0

12,02:45-03:00,0,0,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,69.95,1.26,1.05,26.99,1,0,76.05,0,271.21,224.38,27.25,0,0,4.59,26.99,0,18.33,43.66,0,0,55.01,9.67,0,18.33,0,43.67,0,0,0,0

13,03:00-03:15,0,0,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,69.95,1.21,1.05,26.99,0.96,0,76.05,0,271.21,224.38,27.25,0,0,4.59,26.99,0,18,43,0,0,54,9.33,0,18,0,43,0,0,0,0

14,03:15-03:30,0,0,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,69.95,1.21,1.05,26.99,0.96,0,76.05,0,271.21,224.38,27.25,0,0,4.59,26.99,0,17.17,41.34,0,0,51.49,9.33,0,17.17,0,41.33,0,0,0,0

15,03:30-03:45,0,0,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,69.95,1.21,1.05,26.99,0.96,0,76.05,0,271.21,224.38,27.25,0,0,4.59,26.99,0,16.83,39.34,0,0,50.51,9.33,0,16.83,0,39.33,0,0,0,0

16,03:45-04:00,0,0,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,69.95,1.21,1.05,26.99,0.96,0,76.05,0,271.21,224.38,27.25,0,0,4.59,26.99,0,16.17,37.66,0,0,48.49,9,0,16.17,0,37.67,0,0,0,0

17,04:00-04:15,0,0,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,69.95,1.21,1.01,26.99,0.96,0,76.05,0,271.21,224.38,27.25,0,0,4.5,26.99,0,15.33,34.34,0,0,46.01,8.67,0,15.33,0,34.33,0,0,0,0

18,04:15-04:30,0,0,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,69.95,1.21,1.01,26.99,0.96,0,86.52,0,271.21,259.56,26.74,0,0,4.5,26.99,0,15,32,0,0,45,8.67,0,15,0,32,0,0,0,0

19,04:30-04:45,0,0,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,65.82,1.21,1.01,26.99,0.96,0,86.52,0,271.21,259.56,26.74,0,0,4.5,26.99,0,14.67,30,0,0,43.99,8.33,0,14.67,0,30,0,0,0,0

20,04:45-05:00,0,0,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,65.82,1.21,1.01,26.99,0.96,0,86.52,0,271.21,259.56,26.74,0,0,4.5,26.99,0,14.17,28.34,0,0,42.49,8,0,14.17,0,28.33,0,0,0,0

21,05:00-05:15,0,0,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,65.82,1.21,1.01,26.99,0.96,0,86.52,0,271.21,259.56,26.24,0,0,4.5,26.99,0,15.5,37.66,0,0,46.5,7.33,0,15.5,0,37.67,0,0,0,0

22,05:15-05:30,0,0,0,23.02,0,0,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,65.82,1.21,1.01,26.99,0.96,0,86.52,0,271.21,259.56,26.24,0,0,4.5,26.99,0,15.17,36.34,0,0,45.49,7.33,0,15.17,0,36.33,0,0,0,0

23,05:30-05:45,0,0,0,23.02,0,0,10.55,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,82.73,1.21,1.01,26.99,0.96,0,86.52,0,271.21,259.56,26.24,0,0,4.5,26.99,0,14.5,35.34,0,0,43.5,10,0,14.5,0,35.33,0,0,0,0

24,05:45-06:00,0,0,0,23.02,0,0,10.55,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,114.72,1.21,1.01,26.99,0.96,0,86.52,0,271.21,259.56,26.24,0,0,4.5,26.99,0,14,35,0,0,42,10,0,14,0,35,0,0,0,0

25,06:00-06:15,0,0,0,36.45,0,0,12.47,36.45,22.06,42,5.76,0,0,28.78,0,0,6,0,114.72,1.21,1.01,2.79,0.96,0,86.52,0,271.21,259.56,26.24,0,0,4.4,32,6.35,16.17,34.34,0,0,48.49,11.67,0,16.17,0,34.33,0,6.25,0,0

26,06:15-06:30,0,0,0,36.45,0,0,12.47,36.45,22.06,42,5.76,0,0,28.78,0,0,6,0,114.72,1.21,1.01,2.79,0.96,0,86.52,0,271.21,259.56,26.24,0,0,4.4,32,12.62,15.5,33.66,0,0,46.5,11.67,0,15.5,0,33.67,0,12.4,0,0

27,06:30-06:45,0,0,0.13,36.45,0,0,12.47,36.45,22.06,42,5.76,0,0,28.78,0,0,6,0,114.72,1.21,1.01,31.51,1,0,86.52,0,271.21,259.56,25.24,0,0,4.4,31.51,18.88,14.83,33.34,0,0,44.51,11.33,0,14.83,0,33.33,1,18.56,0,0

28,06:45-07:00,0,0,0.4,36.45,0,0,12.47,36.45,22.06,42,5.76,0,0,28.78,0,0,6,1.97,114.72,1.21,1.01,31.51,1,0,86.52,0,271.21,259.56,24.73,0,0,4.4,31.51,25.15,13.83,32.34,0,0,41.51,11.33,1,13.83,0,32.33,4,24.72,0,0

29,07:00-07:15,1.76,2,0.76,36.45,0,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,0,6,8.54,114.72,1.21,1.01,31.51,1,0,86.52,0,271.21,259.56,23.72,0,0,4.4,31.51,32.05,13,30.66,1,0.35,39,8,4,13,1,30.67,10,32.05,10,5

30,07:15-07:30,9.29,6,2.53,36.45,0,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,0,6,16.71,114.72,1.21,1.01,31.51,1,0,86.52,0.28,271.21,259.56,23.72,0.28,0.21,4.4,31.51,32.57,12.33,28.34,3,1.86,37.01,7.67,7,12.33,3,28.33,15,32.57,10,5

31,07:30-07:45,21.33,10,6.57,36.45,0,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,0,6,26.06,114.72,1.21,1.01,31.51,1,0,86.52,1.13,271.21,259.56,23.21,1.13,0.87,4.4,31.51,31,11.5,16.66,6,4.27,34.5,7.33,14,11.5,5,16.67,24,31,10,5

32,07:45-08:00,44.01,15,13.03,36.45,0,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,0,6,36.51,114.72,1.21,1.01,31.51,1,0,86.52,2.34,271.21,259.56,22.7,2.34,1.8,4.4,31.51,28.67,11,16.66,10,8.8,33,7.33,25,11,7,16.67,28.67,28.66,13,7

33,08:00-08:15,63.27,23,21.04,36.45,0,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,0,6,47.53,114.72,1.21,1.01,32,1,0,86.52,3.71,271.21,259.56,22.7,3.71,2.87,4.32,32,31.23,9.67,15,24,12.66,28.99,7.33,56,9.67,12,15,31.23,31.24,31,15

34,08:15-08:30,84.41,33,29.99,36.45,0,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,0,6,58.48,114.72,1.21,1.01,32,1,0,86.52,5.07,271.21,259.56,22.7,5.07,3.93,4.32,25.83,31.57,7.83,14,33,16.88,23.51,7.33,77,7.83,18,14,31.57,31.56,40,20

35,08:30-08:45,106.22,40,38.88,36.45,0,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,0,6,68.89,65.82,1.21,1.01,32,1,0,86.52,6.52,271.21,259.56,22.7,6.52,5.04,4.32,25.87,32.67,7,14,40,21.25,21,7.33,95,7,23,14,32.67,32.66,52,26

36,08:45-09:00,127.77,48,47.87,36.45,0,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,0,6,90.16,65.82,1.21,1.01,32,1,0,86.52,8.01,271.21,259.56,22.7,8.01,6.2,4.32,25.87,32.67,7,14,49,25.55,21,7.33,116,7,27,14,32.67,32.66,57,29

37,09:00-09:15,148.49,57,56.37,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,101.39,65.82,1.21,1.08,32,1,0,86.52,9.44,271.21,259.56,22.7,9.44,7.29,4.32,25.87,32.67,7,14,55,29.7,21,7.33,130,7,31,14,32.67,32.66,67,33

38,09:15-09:30,168.22,63,64.55,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,111.32,65.82,1.21,1.08,32,1,0,86.52,10.72,271.21,259.56,22.21,10.72,8.29,4.32,25.87,32.67,7,14,63,33.64,21,7.33,147,7,34,14,32.67,32.66,73,37

39,09:30-09:45,186.82,70,71.94,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,120.35,65.82,1.21,1.77,26.99,1,0,86.52,13.1,271.21,224.38,22.21,13.1,11.64,4.32,26.99,32.67,7,14,67,37.36,21,7.33,158,7,36,14,32.67,32.66,80,40

40,09:45-10:00,203.66,77,78.92,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,128.28,65.82,1.21,1.77,26.99,1,0,86.52,14.23,271.21,224.38,22.21,14.23,12.64,4.32,26.99,32.67,7,14,75,40.73,21,7.33,175,7,40,14,32.67,32.66,87,43

41,10:00-10:15,215.79,82,85.52,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,136.09,69.95,1.26,1.77,26.99,1,0,76.05,15.36,271.21,224.38,22.21,15.36,13.65,4.22,26.99,32.67,7,14,79,43.16,21,7.33,186,7,42,14,32.67,32.66,91,46

42,10:15-10:30,230,85,91.88,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,143.62,69.95,1.26,1.77,26.99,1,0,76.05,16.26,271.21,224.38,21.7,16.26,14.45,4.22,26.99,32.67,7,14,84,46,21,7.33,196,7,43,14,32.67,32.66,97,48

43,10:30-10:45,237.5,92,94.49,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,148.53,69.95,1.26,0,26.99,1,0,76.05,17.05,271.21,224.38,21.2,17.05,15.16,4.22,26.99,32.67,7,14,90,47.5,21,7.33,210,7,45,14,32.67,32.66,100,50

44,10:45-11:00,239.17,93,99.49,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,160.66,69.95,1.26,0,26.99,1,0,76.05,17.77,271.21,224.38,20.69,17.77,15.8,4.22,26.99,32.67,7,14,90,47.83,21,7.33,210,7,47,14,32.67,32.66,100,50

45,11:00-11:15,239.17,96,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,160.66,69.95,1.26,0,26.99,1.04,0,63.9,18.39,271.21,193.98,20.69,18.39,16.34,4.13,26.99,32.67,7,14,90,47.83,21,7.33,210,7,48,14,32.67,32.66,100,50

46,11:15-11:30,239.17,97,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,160.66,69.95,1.26,0,26.99,1.04,0,63.9,18.96,271.21,193.98,20.18,18.96,16.84,4.13,26.99,32.67,7,14,90,47.83,21,7.33,210,7,49,14,32.67,32.66,100,50

47,11:30-11:45,237.5,96,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,160.66,69.95,1.26,0,26.99,1.04,0,63.9,18.96,271.21,193.98,20.18,18.96,16.84,4.13,26.99,32.67,7,14,90,47.5,21,7.33,210,7,50,14,32.67,32.66,100,50

48,11:45-12:00,237.5,96,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,160.66,69.95,1.26,0,26.99,1.04,0,63.9,18.96,271.21,193.98,20.18,18.96,16.84,4.13,26.99,32.67,7,14,90,47.5,21,7.33,210,7,50,14,32.67,32.66,100,50

49,12:00-12:15,237.5,96,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,160.66,69.95,1.26,0,26.99,1.07,0,63.9,18.96,271.21,193.98,20.18,18.96,17.5,4.13,26.99,32.67,7,14,90,47.5,21,7.33,210,7,50,14,32.67,32.66,100,50

50,12:15-12:30,237.5,96,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,160.66,69.95,1.26,0,26.99,1.07,0,63.9,18.96,271.21,193.98,20.18,18.96,17.5,4.13,26.99,32.07,7,14,90,47.5,21,7.33,210,7,50,14,32.07,32.06,100,50

51,12:30-12:45,237.5,97,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,160.66,69.95,1.26,0,26.99,1.07,0,46.04,18.96,230.21,146.02,19.68,18.96,17.5,4.13,26.99,32.07,7,14,90,47.5,21,7.33,210,7,50,14,32.07,32.06,100,50

52,12:45-13:00,237.5,97,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,160.66,69.95,1.26,0,26.99,1.07,0,46.04,18.96,191.84,139.08,19.17,18.96,17.5,4.13,26.99,31.73,7,14,90,47.5,21,7.33,210,7,50,14,31.73,31.74,100,50

53,13:00-13:15,237.5,97,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,160.66,69.95,1.3,0,26.99,1.07,0,46.04,18.96,149.17,139.08,19.17,18.96,17.5,4.04,26.99,31.73,7,14,90,47.5,21,7.33,210,7,50,14,31.73,31.74,100,50

54,13:15-13:30,237.5,97,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,160.66,69.95,1.3,0,26.99,1.07,0,46.04,18.96,149.17,139.08,19.17,18.96,17.5,4.04,26.99,31.73,7,14,90,47.5,21,7.33,210,7,50,14,31.73,31.74,100,50

55,13:30-13:45,237.5,97,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,160.66,69.95,1.3,0,26.99,1.07,0,46.04,18.96,149.17,139.08,19.17,18.96,17.5,4.04,26.99,31.73,7,14,90,47.5,21,7.33,210,7,50,14,31.73,31.74,100,50

56,13:45-14:00,237.5,97,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,155.79,69.95,1.3,0,26.99,1.07,0,46.04,18.96,149.17,139.08,19.17,18.96,17.5,4.04,26.99,31.73,7,14,90,47.5,21,7.33,210,7,50,14,31.73,31.74,100,50

57,14:00-14:15,237.5,96,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,149.95,69.95,0,0,26.99,1.07,0,46.04,18.96,149.17,139.08,19.17,18.96,17.5,3.95,26.99,31.73,7,14,90,47.5,21,7.33,210,7,49,14,31.73,31.74,100,50

58,14:15-14:30,237.5,95,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,146.06,69.95,0,0,26.99,1.07,0,46.04,18.47,149.17,139.08,19.68,18.47,17.06,3.95,26.99,31.73,7,14,90,47.5,21,7.33,210,7,48,14,31.73,31.74,100,50

59,14:30-14:45,237.5,93,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,143.13,69.95,0,0,26.99,1.07,0,46.04,17.84,191.84,139.08,20.18,17.84,16.48,3.95,26.99,31.73,7,14,90,47.5,21,7.33,210,7,47,14,31.73,31.74,99,49

60,14:45-15:00,237.5,92,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,137.19,69.95,0,0,26.99,1.07,0,46.04,17.15,230.21,139.08,20.69,17.15,15.84,3.95,26.99,31.73,7,14,88,47.5,21,7.33,207,7,46,14,31.73,31.74,97,48

61,15:00-15:15,236.39,91,100,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6,130.38,69.95,1.44,0,26.99,1.15,0,46.04,16.43,271.21,139.08,21.2,16.43,15.17,3.95,26.99,32.07,7,14,85,47.28,21,7.33,200,7,43,14,32.07,32.06,92,46

62,15:15-15:30,225.28,87,96.14,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,6.2,122.59,69.95,1.44,0,26.99,1.15,0,46.04,15.56,271.21,139.08,21.7,15.56,14.37,3.95,26.99,32.07,7,14,82,45.06,21,7.33,193,7,41,14,32.07,32.06,89,44

63,15:30-15:45,211.06,80,90.55,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,7.6,114.12,65.82,1.44,0,26.99,1.15,0,58.19,14.57,271.21,139.08,22.21,14.57,13.47,3.95,26.99,32.07,7,14,76,42.21,21,7.33,179,7,38,14,32.07,32.06,83,42

64,15:45-16:00,196.71,73,85.77,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,8.8,104.96,65.82,1.44,0,26.99,1.15,0,58.19,13.46,271.21,139.08,22.7,13.46,12.42,3.95,26.99,32.07,7,14,70,39.34,21,7.33,165,7,35,14,32.07,32.06,77,38

65,16:00-16:15,180.46,66,79.48,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,8,94.64,65.82,1.39,0,26.99,1.15,0,58.19,12.29,271.21,139.08,23.72,12.29,11.35,3.95,26.99,32.07,7,14.34,63,36.09,21,7,147,7,33,14.33,32.07,32.06,70,35

66,16:15-16:30,164.13,58,73.12,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,8.4,83.93,65.82,1.39,0,26.99,1.15,0,58.19,10.96,271.21,139.08,24.73,10.96,10.13,3.95,26.99,32.07,7,15,57,32.83,21,7,133,7,29,15,32.07,32.06,62,31

67,16:30-16:45,146.49,52,65.81,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,9.4,72.54,65.82,1.39,0,26.99,1.15,63.96,82.17,9.58,271.21,187.04,25.24,9.58,8.85,3.95,26.99,32.67,7,15.66,49,29.3,21,7,116,7,25,15.67,32.67,32.66,55,28

68,16:45-17:00,126.94,45,58.02,23.02,0,0,8.63,23.02,22.06,0,5.76,0,0,17.27,0,0,9.8,60.37,65.82,1.39,0,26.99,1.15,69.28,86.52,8.12,271.21,235,26.24,8.12,7.51,3.95,26.99,32.67,7,16.66,42,25.39,21,7,98,7,21,16.67,32.67,32.66,47,23

69,17:00-17:15,96.82,37,49.87,34.53,0,0,8.63,34.53,22.06,0,5.76,0,0,17.27,0,100,10,48,65.82,1.39,1.08,26.99,1.23,74.62,86.52,5.7,271.21,259.56,27.25,5.7,5.7,4.04,26.99,32.67,7,21.66,34,19.37,21,7,81,7,16,21.67,32.67,32.66,37,18

70,17:15-17:30,78.12,28,41.25,34.53,0,0,8.63,34.53,22.06,0,5.76,0,0,17.27,0,100,10.2,35.73,65.82,1.39,1.08,26.99,1.23,79.94,86.52,4.12,271.21,259.56,28.26,4.12,4.12,4.04,26.99,31.73,7,25,27,15.62,21,7,63,7,12,25,18,31.19,27,13

71,17:30-17:45,59.32,20,32.2,34.53,0,0,8.63,34.53,22.06,0,5.76,0,0,17.27,0,100,10.2,24.25,65.82,1.39,1.08,26.99,1.23,85.27,86.52,2.65,271.21,259.56,28.26,2.65,2.65,4.04,26.99,18.89,10.83,33.34,18,11.86,32.51,9.33,42,10.83,8,33.33,8,18.56,16,8

72,17:45-18:00,41.18,13,23.41,34.53,0,0,8.63,34.53,22.06,0,5.76,0,0,17.27,0,100,10.2,13.73,65.82,1.39,1.08,26.99,1.23,85.27,86.52,1.27,271.21,259.56,28.26,1.27,1.27,4.04,26.99,6.05,11.67,35,10,8.24,34.99,12,25,11.67,5,35,1,5.94,10,5

73,18:00-18:15,27.54,8,15.88,36.45,100,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,100,10.4,5.94,114.72,1.39,1.08,32,1.23,90.61,86.52,0.27,271.21,259.56,28.26,0.27,0.27,4.13,32,0,12,36.66,6,5.51,36,11,14,12,3,36.67,0,0,4,2

74,18:15-18:30,13.04,5,8.66,36.45,100,0,12.47,36.45,22.06,0,5.76,0,0,28.78,0,100,10.6,1.36,114.72,1.39,1.08,32,1.23,90.61,86.52,0.31,271.21,259.56,28.77,0.31,0.31,4.13,32,0,13,38,3,2.61,39,10.33,7,13,1,38,0,0,1,1

75,18:30-18:45,3.76,2,3.22,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,0,100,8.2,0,114.72,1.39,1.08,31.54,1.23,95.93,86.52,0.05,271.21,259.56,28.77,0.05,0.05,4.13,31.54,0,15.33,38,1,0.75,46.01,14,2,15.33,0,38,0,0,0,0

76,18:45-19:00,0.01,0,0.02,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,0,100,8,0,114.72,1.39,1.08,31.54,1.23,99.93,86.52,0.04,271.21,259.56,28.77,0.04,0.04,4.13,31.54,0,15.67,38.34,0,0,46.99,13.33,0,15.67,0,38.33,0,0,0,0

