Column1,Block,GNA/NR/2025/04/01/6490,GNA/WR/2025/04/01/4420,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/6216,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/SR/2025/04/01/2597,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/62291,NR/2025/25791/A/62737,WR/2025/27369/A/62806,WR/2025/27350/A/62401,NR/2025/25901/C,WR/2025/27361/A/62834,NR/2025/25790/A/62739,NR/2025/25792/A/62736,NR/2025/25794/A/62733,NR/2025/25886/A/62432,NR/2025/25828/A/62403,NR/2025/25795/A/62732,Total
29,07:00-07:15,9.62,0,10.04,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,26.95,26.95,0,4.5,0,14.3,48.12,144.38,173.25,48.12,10.93,32.81,32.81,0,0,10.93,693.7999999999998

30,07:15-07:30,9.62,0,10.04,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,26.95,26.95,0,8.56,0,14.3,48.12,144.38,0,48.12,10.93,32.81,32.81,0,0,10.93,524.61

31,07:30-07:45,9.62,0,8.93,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,25.98,30.5,0,14.02,0,14.3,48.12,144.38,0,48.12,10.93,32.81,32.81,0,0,10.93,531.5400000000001

32,07:45-08:00,9.62,0,8.93,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,25.98,30.5,0,21.06,0,14.3,48.12,144.38,0,48.12,10.93,32.81,32.81,0,0,10.93,538.58

33,08:00-08:15,9.62,0,8.85,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,25.98,30.5,0,28.97,3.85,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,405.88

34,08:15-08:30,9.62,0,8.85,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,25.98,30.5,0,36.95,3.85,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,413.86

35,08:30-08:45,9.62,0,8.85,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,25.98,30.5,0,45.34,3.85,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,422.25

36,08:45-09:00,9.62,0,8.85,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,25.98,30.5,0,53.61,3.85,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,430.52

37,09:00-09:15,9.62,0,8.75,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.14,30,0,61.75,6.74,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,462.28000000000003

38,09:15-09:30,9.62,0,8.75,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.14,30,0,69.32,6.74,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,469.85

39,09:30-09:45,9.62,0,8.75,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.14,30,0,76.49,6.74,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,477.02000000000004

40,09:45-10:00,9.62,0,8.75,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.14,30,0,83.17,6.74,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,483.70000000000005

41,10:00-10:15,9.62,0,8.66,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.14,30,0,89.07,8.66,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,491.43000000000006

42,10:15-10:30,9.62,0,8.66,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.14,30,0,94.8,8.66,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,497.1600000000001

43,10:30-10:45,9.62,0,8.66,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.14,30,0,99.28,8.66,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,501.6400000000001

44,10:45-11:00,9.62,0,8.66,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.14,30,0,100,8.66,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,502.36000000000007

45,11:00-11:15,9.62,0,8.66,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,17.75,30,0,100,8.66,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,493.97

46,11:15-11:30,9.62,0,8.66,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,17.75,30,0,100,8.66,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,493.97

47,11:30-11:45,9.62,0,8.66,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,17.75,30,0,100,8.66,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,493.97

48,11:45-12:00,9.62,0,8.66,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,17.75,30,0,100,8.66,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,493.97

49,12:00-12:15,9.62,0,8.57,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,19.34,29.5,0,100,8.66,13.39,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,494.06

50,12:15-12:30,9.62,0,8.57,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,19.34,29.5,0,100,8.66,14.3,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,494.97

51,12:30-12:45,9.62,0,8.57,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,100,8.66,15.22,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,502.8500000000001

52,12:45-13:00,9.62,0,8.57,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,100,8.66,16.13,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,503.76000000000005

53,13:00-13:15,9.62,0,8.47,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,100,8.66,17.41,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,504.94000000000005

54,13:15-13:30,9.62,0,8.47,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,100,8.66,18.33,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,505.86

55,13:30-13:45,9.62,0,7.56,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,100,5.62,19.24,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,502.82000000000005

56,13:45-14:00,9.62,0,7.56,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,100,5.62,20.15,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,503.73

57,14:00-14:15,9.62,0,7.64,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,100,5,21.07,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,504.11000000000007

58,14:15-14:30,9.62,0,7.64,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,100,5,21.88,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,504.9200000000001

59,14:30-14:45,9.62,0,7.64,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,100,4.93,21.88,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,504.8500000000001

60,14:45-15:00,9.62,0,7.64,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,100,4.97,21.88,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,504.8900000000001

61,15:00-15:15,9.62,0,7.64,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,100,6.74,21.88,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,506.6600000000001

62,15:15-15:30,9.62,0,7.64,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,97.89,6.74,21.88,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,504.55000000000007

63,15:30-15:45,9.62,0,7.64,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,91.98,6.74,21.88,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,498.64000000000004

64,15:45-16:00,9.62,0,7.64,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,85.9,6.74,21.88,48.12,0,0,48.12,10.93,32.81,32.81,0,0,10.93,492.56000000000006

65,16:00-16:15,9.62,50,7.74,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,77.84,3.85,21.88,48.12,0,0,48.12,10.93,32.81,32.81,0,1.92,10.93,533.6299999999999

66,16:15-16:30,9.62,50,7.74,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,71.54,3.85,21.88,48.12,0,0,48.12,10.93,32.81,32.81,0,1.92,10.93,527.3299999999999

67,16:30-16:45,9.62,50,7.74,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,64.07,3.85,21.88,48.12,0,0,48.12,10.93,32.81,32.81,0,1.92,10.93,519.86

68,16:45-17:00,9.62,50,7.74,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,56.56,3.85,21.88,48.12,0,0,48.12,10.93,32.81,32.81,0,1.92,10.93,512.35

69,17:00-17:15,9.62,50,7.83,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,48.41,0,21.88,48.12,0,0,48.12,10.93,32.81,32.81,1.92,1.92,10.93,502.3600000000001

70,17:15-17:30,9.62,50,7.83,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,40.79,0,21.88,48.12,0,0,48.12,10.93,32.81,32.81,1.92,1.92,10.93,494.7400000000001

71,17:30-17:45,9.62,50,7.83,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,32.39,0,21.88,48.12,0,0,48.12,10.93,32.81,32.81,1.92,1.92,10.93,486.3400000000001

72,17:45-18:00,9.62,50,7.83,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,26.3,29.5,0,23.42,0,21.88,48.12,0,240.62,48.12,10.93,32.81,32.81,1.92,1.92,10.93,717.9899999999999

73,18:00-18:15,9.62,50,7.92,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,9.26,30.5,0,16.24,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,2.89,1.92,10.93,743.9499999999997

74,18:15-18:30,9.62,50,7.92,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,10.3,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,2.89,1.92,10.93,759.2499999999999

75,18:30-18:45,9.62,50,7.92,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,5.72,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,2.89,1.92,10.93,754.6699999999997

76,18:45-19:00,9.62,50,7.92,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,2.79,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,2.89,1.92,10.93,751.7399999999999

77,19:00-19:15,9.62,50,8.2,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,2.89,1.92,10.93,749.2299999999997

78,19:15-19:30,9.62,50,8.2,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,2.89,1.92,10.93,749.2299999999997

79,19:30-19:45,9.62,50,8.2,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,2.89,1.92,10.93,749.2299999999997

80,19:45-20:00,9.62,50,8.2,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,2.89,1.92,10.93,749.2299999999997

81,20:00-20:15,9.62,50,8.47,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,1.92,1.92,10.93,748.5299999999999

82,20:15-20:30,9.62,50,8.47,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,1.92,1.92,10.93,748.5299999999999

83,20:30-20:45,9.62,50,8.47,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,1.92,1.92,10.93,748.5299999999999

84,20:45-21:00,9.62,50,8.47,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,1.92,1.92,10.93,748.5299999999999

85,21:00-21:15,9.62,50,9.39,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,1.92,1.92,10.93,749.4499999999997

86,21:15-21:30,9.62,50,9.39,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,1.92,1.92,10.93,749.4499999999997

87,21:30-21:45,9.62,50,9.39,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,1.92,1.92,10.93,749.4499999999997

88,21:45-22:00,9.62,50,9.39,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,0.96,1.92,10.93,748.4899999999998

89,22:00-22:15,9.62,50,9.67,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,2.89,0,10.93,748.7799999999997

90,22:15-22:30,9.62,50,9.67,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,1.92,0,10.93,747.8099999999997

91,22:30-22:45,9.62,50,9.67,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,240.62,48.12,10.93,32.81,32.81,0.96,0,10.93,746.8499999999998

92,22:45-23:00,9.62,50,9.67,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,192.5,48.12,10.93,32.81,32.81,0.96,0,10.93,698.7299999999999

93,23:00-23:15,9.62,50,9.86,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,192.5,48.12,10.93,32.81,32.81,0,0,10.93,697.9599999999999

94,23:15-23:30,9.62,50,9.86,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,192.5,48.12,10.93,32.81,32.81,0,0,10.93,697.9599999999999

95,23:30-23:45,9.62,50,9.86,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,144.38,48.12,10.93,32.81,32.81,0,0,10.93,649.8399999999998

96,23:45-24:00,9.62,50,9.86,1.92,2.89,2.89,48.12,2.89,43.31,9.62,9.62,30.5,30.5,0,0,0,21.88,48.12,48.12,144.38,48.12,10.93,32.81,32.81,0,0,10.93,649.8399999999998

