Time,Block,NR/2023/11476/A,NR/2023/10487/A,NR/2023/11941/F,NR/2023/12197/D,NR/2023/12217/C,NR/2023/12215/C,NR/2023/11963/F,NR/2023/10613/A,NR/2023/12214/C,NR/2023/11958/F,NR/2023/12211/C,NR/2023/12201/D,NR/2023/10344/A,NR/2023/12205/C,NR/2023/12195/D,NR/2023/11960/F,NR/2023/11957/F,NR/2023/10236/A,NR/2023/11956/F,NR/2023/11862/F,NR/2023/11952/F,NR/2023/11961/F,NR/2023/10229/A,NR/2023/11947/F,NR/2023/11342/A,NR/2023/11962/F,NR/2023/11959/F,NR/2023/11955/F,NR/2023/12191/D,Total

3,00:30-00:45,48.320000,41.560000,62.820000,0,0.000000,15.040000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,710.97

4,00:45-01:00,48.320000,41.560000,62.820000,0,0.000000,15.040000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,710.97

5,01:00-01:15,48.320000,41.560000,62.820000,0,0.000000,14.950000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,710.88

6,01:15-01:30,48.320000,41.560000,62.820000,0,0.000000,14.950000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,710.88

7,01:30-01:45,48.320000,41.560000,62.820000,0,0.000000,14.950000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,710.88

8,01:45-02:00,48.320000,41.560000,62.820000,0,0.000000,14.950000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,710.88

9,02:00-02:15,48.320000,41.560000,62.820000,0,10.000000,14.860000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,720.79

10,02:15-02:30,48.320000,41.560000,62.820000,0,10.000000,14.860000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,720.79

11,02:30-02:45,48.320000,41.560000,62.820000,0,10.000000,14.860000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,720.79

12,02:45-03:00,48.320000,41.560000,62.820000,0,10.000000,14.860000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,720.79

13,03:00-03:15,48.320000,41.560000,62.820000,0,10.000000,14.760000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,684.22

14,03:15-03:30,48.320000,41.560000,62.820000,0,10.000000,14.760000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,684.22

15,03:30-03:45,48.320000,41.560000,62.820000,0,10.000000,14.760000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,684.22

16,03:45-04:00,48.320000,41.560000,62.820000,0,10.000000,14.760000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,684.22

17,04:00-04:15,48.320000,41.560000,62.820000,0,10.000000,14.670000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,684.13

18,04:15-04:30,48.320000,41.560000,62.820000,0,10.000000,14.670000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,684.13

19,04:30-04:45,48.320000,41.560000,62.820000,0,10.000000,14.670000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,684.13

20,04:45-05:00,48.320000,41.560000,62.820000,0,10.000000,14.670000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,684.13

21,05:00-05:15,48.320000,41.560000,62.820000,0,0.000000,14.570000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,661.37

22,05:15-05:30,48.320000,41.560000,62.820000,0,0.000000,14.570000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,661.37

23,05:30-05:45,48.320000,41.560000,62.820000,0,0.000000,14.570000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,661.37

24,05:45-06:00,48.320000,41.560000,62.820000,0,0.000000,14.570000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,661.37

25,06:00-06:15,48.320000,41.560000,62.820000,0,0.000000,14.490000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,661.29

26,06:15-06:30,48.320000,41.560000,62.820000,0,0.000000,14.490000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,661.29

27,06:30-06:45,48.320000,41.560000,62.820000,0,0.000000,14.490000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,661.29

28,06:45-07:00,48.320000,41.560000,62.820000,0,0.000000,14.490000,0.420000,0.000000,0.000000,0.560000,0.000000,3.5,12.250000,26.490000,1.5,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,666.29

29,07:00-07:15,48.320000,41.560000,62.820000,0,0.000000,14.390000,0.420000,0.000000,0.000000,0.560000,0.000000,17.5,12.250000,24.460000,7.5,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,684.16

30,07:15-07:30,48.320000,41.560000,62.820000,0.1,0.000000,14.390000,0.420000,0.000000,0.000000,0.560000,0.000000,21,12.250000,24.460000,9,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,689.26

31,07:30-07:45,48.320000,41.560000,62.820000,0.42,0.000000,14.390000,0.420000,0.000000,0.000000,0.560000,0.000000,31.5,12.250000,24.460000,13.5,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,704.58

32,07:45:08:00,48.320000,41.560000,62.820000,0.86,0.000000,14.390000,0.420000,0.000000,0.000000,0.560000,0.000000,45.5,12.250000,24.460000,19.5,0.640000,0.720000,214.830000,0.370000,2.900000,0.000000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,725.02

33,08:00-08:15,48.320000,41.560000,62.820000,1.17,0.000000,14.300000,0.420000,0.000000,0.000000,0.560000,0.000000,61.6,12.250000,24.460000,26.4,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,748.24

34,08:15-08:30,48.320000,41.560000,62.820000,1.17,0.000000,14.300000,0.420000,0.000000,0.000000,0.560000,0.000000,73.5,12.250000,24.460000,31.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,765.24

35,08:30-08:45,48.320000,41.560000,62.820000,1.17,0.000000,14.300000,0.420000,0.000000,0.000000,0.560000,0.000000,84,12.250000,24.460000,36,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,780.24

36,08:45:09:00,48.320000,41.560000,62.820000,2.99,0.000000,14.300000,0.420000,0.000000,0.000000,0.560000,0.000000,98,12.250000,24.460000,42,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,802.06

37,09:00:09:15,48.320000,41.560000,62.820000,3.76,10.000000,14.210000,0.420000,0.000000,0.000000,0.560000,0.000000,112,12.250000,26.490000,48,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,834.77

38,09:15-09:30,48.320000,41.560000,62.820000,4.53,10.000000,14.210000,0.420000,0.000000,0.000000,0.560000,0.000000,119,12.250000,26.490000,51,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,845.54

39,09:30-09:45,48.320000,41.560000,62.820000,4.53,10.000000,14.210000,0.420000,0.000000,0.000000,0.560000,0.000000,132.3,12.250000,26.490000,56.7,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,864.54

40,09:45-10:00,48.320000,41.560000,62.820000,4.75,10.000000,14.210000,0.420000,0.000000,0.000000,0.560000,0.000000,147,12.250000,26.490000,63,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,885.76

41,10:00-10:15,48.320000,41.560000,62.820000,4.73,10.000000,14.120000,0.420000,0.000000,8.500000,0.560000,30.000000,154,12.250000,26.490000,66,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,934.15

42,10:15-10:30,48.320000,41.560000,62.820000,4.73,10.000000,14.120000,0.420000,0.000000,8.500000,0.560000,30.000000,163.8,12.250000,26.490000,70.2,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,948.15

43,10:30-10:45,48.320000,41.560000,62.820000,5.69,10.000000,14.120000,0.420000,0.000000,8.500000,0.560000,30.000000,169.4,12.250000,26.490000,72.6,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,957.11

44,10:45-11:00,48.320000,41.560000,62.820000,6.17,10.000000,14.120000,0.420000,0.000000,8.500000,0.560000,30.000000,178.5,12.250000,26.490000,76.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,970.59

45,11:00-11:15,48.320000,41.560000,62.820000,6.94,10.000000,14.020000,0.420000,0.000000,8.500000,0.560000,30.000000,178.5,12.250000,26.490000,76.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,971.26

46,11:15-11:30,48.320000,41.560000,62.820000,7.14,10.000000,14.020000,0.420000,0.000000,8.500000,0.560000,30.000000,178.5,12.250000,26.490000,76.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,971.46

47,11:30-11:45,48.320000,41.560000,62.820000,7.81,10.000000,14.020000,0.420000,0.000000,8.500000,0.560000,30.000000,178.5,12.250000,26.490000,76.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,972.13

48,11:45-12:00,48.320000,41.560000,62.820000,8.01,10.000000,14.020000,0.420000,0.000000,8.500000,0.560000,30.000000,178.5,12.250000,26.490000,76.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,972.33

49,12:00-12:15,48.320000,41.560000,62.820000,8.1,10.000000,13.940000,0.420000,0.000000,8.500000,0.560000,30.000000,178.5,12.250000,26.490000,76.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,972.34

50,12:15-12:30,48.320000,41.560000,62.820000,8.2,10.000000,13.940000,0.420000,0.000000,8.500000,0.560000,30.000000,178.5,12.250000,26.490000,76.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,972.44

51,12:30-12:45,48.320000,41.560000,62.820000,8.2,10.000000,13.940000,0.420000,0.000000,8.500000,0.560000,30.000000,178.5,12.250000,26.490000,76.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,972.44

52,12:45-13:00,48.320000,41.560000,62.820000,8.2,10.000000,13.940000,0.420000,0.000000,8.500000,0.560000,30.000000,178.5,12.250000,26.490000,76.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,972.44

53,13:00-13:15,48.320000,41.560000,62.820000,8.2,10.000000,13.840000,0.420000,0.000000,8.500000,0.560000,30.000000,178.5,12.250000,26.490000,76.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,972.34

54,13:15-13:30,48.320000,41.560000,62.820000,8.2,10.000000,13.840000,0.420000,0.000000,8.500000,0.560000,30.000000,178.5,12.250000,26.490000,76.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,972.34

55,13:30-13:45,48.320000,41.560000,62.820000,8.58,10.000000,13.840000,0.420000,0.000000,8.500000,0.560000,30.000000,178.5,12.250000,26.490000,76.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,972.72

56,13:45-14:00,48.320000,41.560000,62.820000,8.58,10.000000,13.840000,0.420000,0.000000,8.500000,0.560000,30.000000,178.5,12.250000,26.490000,76.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,972.72

57,14:00-14:15,48.320000,41.560000,62.820000,8.11,10.000000,13.740000,0.420000,0.000000,8.500000,0.560000,30.000000,178.5,12.250000,26.490000,76.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,972.15

58,14:15-14:30,48.320000,41.560000,62.820000,8.05,10.000000,13.740000,0.420000,0.000000,8.500000,0.560000,30.000000,176.4,12.250000,26.490000,75.6,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,969.09

59,14:30-14:45,48.320000,41.560000,62.820000,8.1,10.000000,13.740000,0.420000,0.000000,8.500000,0.560000,30.000000,175,12.250000,26.490000,75,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,967.14

60,14:45-15:00,48.320000,41.560000,62.820000,7.81,10.000000,13.740000,0.420000,0.000000,8.500000,0.560000,30.000000,171.5,12.250000,26.490000,73.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,961.85

61,15:00-15:15,48.320000,41.560000,62.820000,6.85,10.000000,13.840000,0.420000,0.000000,8.500000,0.560000,30.000000,159.6,12.250000,28.530000,68.4,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,946.03

62,15:15-15:30,48.320000,41.560000,62.820000,6.85,10.000000,13.840000,0.420000,0.000000,8.500000,0.560000,30.000000,150.5,12.250000,28.530000,64.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,933.03

63,15:30-15:45,48.320000,41.560000,62.820000,6.85,10.000000,13.840000,0.420000,0.000000,8.500000,0.560000,30.000000,143.5,12.250000,28.530000,61.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,923.03

64,15:45-16:00,48.320000,41.560000,62.820000,6.08,10.000000,13.840000,0.420000,0.000000,8.500000,0.560000,30.000000,135.1,12.250000,28.530000,57.9,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,910.26

65,16:00-16:15,48.320000,41.560000,62.820000,6.03,10.000000,13.840000,0.420000,0.000000,8.500000,0.560000,30.000000,119,12.250000,28.530000,51,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,887.21

66,16:15-16:30,48.320000,41.560000,62.820000,4.82,10.000000,13.840000,0.420000,0.000000,8.500000,0.560000,30.000000,108.5,12.250000,28.530000,46.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,871

67,16:30-16:45,48.320000,41.560000,62.820000,3.67,10.000000,13.840000,0.420000,0.000000,8.500000,0.560000,30.000000,93.1,12.250000,28.530000,39.9,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,67.080000,847.85

68,16:45-17:00,48.320000,41.560000,62.820000,3.57,10.000000,13.840000,0.420000,0.000000,8.500000,0.560000,30.000000,75.6,12.250000,28.530000,32.4,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,69.300000,824.97

69,17:00-17:15,48.320000,41.560000,62.820000,0.96,10.000000,13.940000,0.420000,0.000000,8.500000,0.560000,30.000000,63,12.250000,29.560000,27,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,81.090000,817.28

70,17:15-17:30,48.320000,41.560000,62.820000,0,10.000000,13.940000,0.420000,0.000000,8.500000,0.560000,30.000000,50.4,12.250000,29.560000,21.6,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,81.090000,798.32

71,17:30-17:45,48.320000,41.560000,62.820000,0,0.000000,13.940000,0.420000,0.000000,0.000000,0.560000,0.000000,38.5,12.250000,29.560000,16.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,134.150000,785.88

72,17:45-18:00,48.320000,41.560000,62.820000,0,0.000000,13.940000,0.420000,0.000000,0.000000,0.560000,0.000000,31.5,12.250000,29.560000,13.5,0.660000,0.710000,214.830000,0.350000,2.900000,0.000000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,193.300000,835.03

73,18:00-18:15,48.320000,41.560000,62.820000,0,0.000000,13.940000,0.420000,0.000000,0.000000,0.560000,0.000000,23.1,12.250000,29.560000,9.9,0.660000,0.710000,214.830000,0.350000,2.900000,36.470000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,193.300000,859.5

74,18:15-18:30,48.320000,41.560000,62.820000,0,0.000000,13.940000,0.420000,0.000000,0.000000,0.560000,0.000000,7,12.250000,29.560000,3,0.660000,0.710000,214.830000,0.350000,2.900000,36.470000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,193.300000,836.5

75,18:30-18:45,48.320000,41.560000,62.820000,0,0.000000,13.940000,0.420000,0.000000,0.000000,0.560000,0.000000,3.5,12.250000,29.560000,1.5,0.660000,0.710000,214.830000,0.350000,2.900000,36.470000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,193.300000,831.5

76,18:45-19:00,48.320000,41.560000,62.820000,0,0.000000,13.940000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,29.560000,0,0.660000,0.710000,214.830000,0.350000,2.900000,36.470000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,193.300000,826.5

77,19:00-19:15,48.320000,41.560000,62.820000,0,0.000000,14.020000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,29.560000,0,0.660000,0.710000,214.830000,0.350000,2.900000,36.470000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,193.300000,826.58

78,19:15-19:30,48.320000,41.560000,62.820000,0,0.000000,14.020000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,29.560000,0,0.660000,0.710000,214.830000,0.350000,2.900000,36.470000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,193.300000,826.58

79,19:30-19:45,48.320000,41.560000,62.820000,0,0.000000,14.020000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,29.560000,0,0.660000,0.710000,214.830000,0.350000,2.900000,36.470000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,193.300000,826.58

