Column1,Block,NR/2024/23218/C,NR/2024/23038/A/38040,NR/2024/23209/C,NR/2024/23194/C,NR/2024/23210/C,NR/2024/23118/A/38303,NR/2024/22874/A/38312,NR/2024/23202/C,NR/2024/22754/A/38292,NR/2024/22820/A/38044,NR/2024/22803/A/38314,NR/2024/23119/A/38304,NR/2024/23017/A/38093,NR/2024/23121/A/38305,NR/2024/21658/A/38054,NR/2024/23122/A/38307,NR/2024/22848/A/38302,NR/2024/22835/A/38348,NR/2024/23116/A/38085,NR/2024/23115/A/38086,GNARE/SR/2024/09/21/2911,NR/2024/23208/C,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/21/4323,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/21/8479,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/16/2535,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,Total
14,03:15-03:30,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.63,26.43,84.49,91.1,0,0,0,0,8.81,0,3.4,17.52,0,18.51,0,2.13,145.38,3.4,10.73,82.38,20.6,1045.33

15,03:30-03:45,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.63,26.43,84.49,91.1,0,0,0,0.01,8.81,0,3.4,17.52,0,18.51,0,2.13,145.38,3.4,10.73,82.38,20.6,1045.3399999999997

16,03:45-04:00,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.63,26.43,84.49,91.1,0,0,0,0.01,8.81,0,3.4,17.52,0,18.51,0,2.13,145.38,3.4,10.73,82.38,20.6,1045.3399999999997

17,04:00-04:15,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.58,26.43,84.49,91.1,0,0,0,0.01,8.81,0,6.71,17.52,0,18.51,0,2.13,145.38,6.71,10.64,82.38,20.6,1051.82

18,04:15-04:30,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.58,26.43,84.49,91.1,0,0,0,0.02,8.81,0,6.71,17.52,0,18.51,0,2.13,145.38,6.71,10.64,82.38,20.6,1051.83

19,04:30-04:45,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.58,26.43,84.49,91.1,0,0,0,0.02,8.81,0,6.71,17.52,0,18.51,0,2.13,145.38,6.71,10.64,82.38,20.6,1051.83

20,04:45-05:00,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.58,26.43,84.49,91.1,0,0,0,0.03,8.81,0,6.71,17.52,0,18.51,0,2.13,145.38,6.71,10.64,82.38,20.6,1051.84

21,05:00-05:15,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.58,26.43,84.49,91.1,0,0,0,0.03,8.81,0,6.71,17.52,0,18.51,0,2.13,145.38,6.71,10.64,82.38,20.6,1051.84

22,05:15-05:30,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.58,26.43,84.49,91.1,0,0,0,0.04,8.81,0,6.71,17.52,0,18.51,0,2.13,145.38,6.71,10.64,82.38,20.6,1051.85

23,05:30-05:45,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.58,26.43,84.49,91.1,0,0,0,0.04,8.81,0,6.71,17.52,0,18.51,0,2.13,145.38,6.71,10.64,82.38,20.6,1051.85

24,05:45-06:00,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,7.75,26.43,0.58,26.43,84.49,91.1,0,0,0,0.04,8.81,0,6.71,17.52,0,18.51,0,2.13,145.38,6.71,10.64,82.38,20.6,1050.8799999999999

25,06:00-06:15,0,3.88,163.36,0,30.05,8.81,32.44,127.93,0,4.85,48.46,26.43,7.75,26.43,0.68,26.43,84.49,91.1,0,0,0,0.05,8.81,0,32,17.52,0,18.51,0,2.13,0,0,10.54,82.38,20.6,875.6299999999999

26,06:15-06:30,0,3.88,163.36,0,30.05,8.81,32.44,127.93,0,4.85,48.46,26.43,7.75,26.43,0.68,26.43,84.49,91.1,0,0,0,0.05,8.81,0,32,17.52,0,18.51,0,2.13,0,0,10.54,82.38,20.6,875.6299999999999

27,06:30-06:45,0,3.88,163.36,0,30.05,8.81,32.44,127.93,0,4.85,48.46,26.43,7.75,26.43,0.68,26.43,84.49,91.1,0,0,0,0.29,8.81,0,32,17.52,0,18.51,0,2.13,0,0,10.54,82.38,20.6,875.8699999999999

28,06:45-07:00,0,3.88,163.36,0,30.05,8.81,32.44,127.93,0,4.85,48.46,26.43,7.75,26.43,0.68,26.43,84.49,91.1,0,0,0,0.81,8.81,0,32,17.52,0,18.51,0,2.13,0,0,10.54,82.38,20.6,876.3899999999999

29,07:00-07:15,0,3.88,163.36,0,30.05,8.81,32.44,127.93,0,4.85,48.46,26.43,7.75,26.43,0.68,26.43,84.49,91.1,0,0,0,1.25,8.81,0,32,17.52,0,18.51,0,2.13,0,0,10.54,82.38,20.6,876.8299999999999

30,07:15-07:30,0,3.88,163.36,0,30.05,8.81,32.44,127.93,0,4.85,48.46,26.43,7.75,26.43,0.68,26.43,84.49,91.1,0,0,0,1.46,8.81,0,32,17.52,0,18.51,0,2.13,0,0,10.54,82.38,20.6,877.04

31,07:30-07:45,0,3.88,163.36,0,30.05,8.81,32.44,127.93,0,4.85,48.46,26.43,7.75,26.43,0.68,26.43,84.49,91.1,0,0,0,1.85,8.81,0,32,17.52,0,18.51,0,2.13,0,0,10.54,82.38,20.6,877.43

32,07:45-08:00,0,3.88,163.36,0,30.05,8.81,32.44,127.93,0,4.85,48.46,26.43,7.75,26.43,0.68,26.43,84.49,91.1,0,0,0,1.2,8.81,0,32,17.52,0,18.51,0,2.13,0,0,10.54,82.38,20.6,876.78

33,08:00-08:15,0,3.88,163.36,0,30.05,8.81,32.44,0,0,4.85,48.46,26.43,8.72,26.43,0.97,26.43,84.49,91.1,0,0,0,2.18,8.81,0,32,17.52,0,18.51,0,2.13,0,0,10.46,82.38,20.6,751.01

34,08:15-08:30,0,3.88,163.36,0,30.05,8.81,32.44,0,0,4.85,48.46,26.43,8.72,26.43,0.97,26.43,84.49,91.1,0,0,0,3.64,8.81,0,32,17.52,0,18.51,0,2.13,0,0,10.46,82.38,20.6,752.47

35,08:30-08:45,0,3.88,163.36,0,30.05,8.81,32.44,0,0,4.85,48.46,26.43,8.72,26.43,0.97,26.43,84.49,91.1,0,0,0,4.96,8.81,0,0.09,17.52,0,18.51,0,2.13,0,0.09,10.46,82.38,20.6,721.9700000000001

36,08:45-09:00,0,3.88,163.36,0,30.05,8.81,32.44,0,0,4.85,48.46,26.43,9.69,26.43,0.97,26.43,84.49,91.1,0,0,0,5.53,8.81,0,0.09,17.52,0,18.51,0,2.13,0,0.09,10.46,82.38,20.6,723.5100000000001

37,09:00-09:15,0,3.88,163.36,0,30.05,8.81,32.44,0,0,4.85,48.46,26.43,9.69,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,6.11,8.81,0,0.09,17.52,0,18.51,0,2.13,0,0.09,10.46,82.38,20.6,777.3900000000001

38,09:15-09:30,0,3.88,163.36,0,30.05,8.81,32.44,0,0,4.85,48.46,26.43,11.63,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,6.62,8.81,0,0.09,17.52,0,18.51,0,2.13,0,0.09,10.46,82.38,20.6,779.84

39,09:30-09:45,0,3.88,163.36,0,30.05,8.81,32.44,0,0,4.85,48.46,26.43,11.63,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,7.07,8.81,0,0.09,17.52,0,18.51,0,2.13,0,0.09,10.46,82.38,20.6,780.2900000000001

40,09:45-10:00,0,3.88,163.36,0,30.05,8.81,32.44,0,0,4.85,48.46,26.43,11.63,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,7.47,8.81,0,0.09,17.52,0,18.51,0,2.13,0,0.09,10.46,82.38,20.6,780.69

41,10:00-10:15,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,11.63,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,7.98,8.81,0,0.09,17.52,0,18.51,0,2.13,0,0.09,10.36,82.38,20.6,797.12

42,10:15-10:30,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,8.48,8.81,0,0.09,17.52,0,18.51,0,2.13,0,0.09,10.36,82.38,20.6,798.59

43,10:30-10:45,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,8.98,8.81,0,0.09,17.52,0,18.51,0,2.13,0,0.09,10.36,82.38,20.6,799.09

44,10:45-11:00,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,8.77,8.81,0,0.09,17.52,0,18.51,0,2.13,0,0.09,10.36,82.38,20.6,798.88

45,11:00-11:15,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,6.55,8.81,0,0.09,17.52,0,18.51,0,2.13,0,0.09,10.36,82.38,20.6,796.66

46,11:15-11:30,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,6.57,8.81,0,0.09,17.52,0,18.51,0,2.13,0,0.09,10.36,82.38,20.6,796.6800000000001

47,11:30-11:45,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,9.25,8.81,0,0.09,17.52,0,18.51,0,2.13,0,0.09,10.36,82.38,20.6,799.36

48,11:45-12:00,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,9.1,8.81,0,0.09,17.52,0,18.51,0,2.13,0,0.09,10.36,82.38,20.6,799.21

49,12:00-12:15,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,9.07,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.36,82.38,20.6,799

50,12:15-12:30,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,7.47,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.36,82.38,20.6,797.4

51,12:30-12:45,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,5.69,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.36,82.38,20.6,795.62

52,12:45-13:00,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,3.23,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.36,82.38,20.6,793.16

53,13:00-13:15,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,8.32,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.27,82.38,20.6,798.16

54,13:15-13:30,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,4.61,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.27,82.38,20.6,794.4499999999999

55,13:30-13:45,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,6.84,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.27,82.38,20.6,796.68

56,13:45-14:00,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,6.9,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.27,82.38,20.6,796.7399999999999

57,14:00-14:15,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,7.39,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.27,82.38,20.6,797.2299999999999

58,14:15-14:30,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,10.66,42.64,0,7.72,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.27,82.38,20.6,797.56

59,14:30-14:45,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,8.72,42.64,0,7.55,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.27,82.38,20.6,795.4499999999999

60,14:45-15:00,0,3.88,163.36,0,30.05,8.81,48.46,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,8.63,42.64,0,5.5,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.27,82.38,20.6,793.31

61,15:00-15:15,0,3.88,163.36,0,30.05,8.81,32.44,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,8.53,42.64,0,3.54,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.46,82.38,20.6,775.42

62,15:15-15:30,0,3.88,163.36,0,30.05,8.81,32.44,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,8.53,42.64,0,3.2,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.46,82.38,20.6,775.08

63,15:30-15:45,0,3.88,163.36,0,30.05,8.81,32.44,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,8.43,42.64,0,3.39,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.46,82.38,20.6,775.17

64,15:45-16:00,0,3.88,163.36,0,30.05,8.81,32.44,0,0,4.85,48.46,26.43,12.6,26.43,0.97,26.43,84.49,91.1,8.14,42.64,0,5.91,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.46,82.38,20.6,777.4

65,16:00-16:15,0,3.88,163.36,0,30.05,8.81,32.44,0,0,4.85,48.46,26.43,12.6,26.43,0.87,26.43,84.49,91.1,7.85,42.64,0,5.2,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.64,82.38,20.6,776.48

66,16:15-16:30,0,3.88,163.36,0,30.05,8.81,32.44,0,0,4.85,48.46,26.43,12.6,26.43,0.87,26.43,84.49,91.1,7.66,37.02,0,4.51,8.81,0,0,17.52,0,18.51,0,2.13,0,0,10.64,82.38,20.6,769.9799999999999

67,16:30-16:45,0,3.88,163.36,0,30.05,8.81,32.44,0,0,4.85,48.46,26.43,12.6,26.43,0.87,26.43,84.49,91.1,7.27,29.37,0,3.58,8.81,0,0,17.52,0,18.51,0,2.13,0,30,10.64,82.38,20.6,791.01

68,16:45-17:00,0,3.88,163.36,0,30.05,8.81,32.44,0,0,4.85,48.46,26.43,12.6,26.43,0.87,26.43,84.49,91.1,6.78,21.9,0,2.67,8.81,0,0,17.52,0,18.51,0,2.13,0,30,10.64,82.38,20.6,782.1399999999999

69,17:00-17:15,0,3.88,163.36,38.77,30.05,8.81,48.46,137.63,0,4.85,48.46,26.43,12.6,26.43,0.82,26.43,84.49,91.1,0,0,0,2.02,8.81,0,0,17.52,0,18.51,0,2.13,0,30,10.91,82.38,20.6,945.4499999999999

70,17:15-17:30,0,3.88,163.36,38.77,30.05,8.81,48.46,137.63,0,4.85,48.46,26.43,12.6,26.43,0.82,26.43,84.49,91.1,0,0,0,1.42,8.81,0,0,17.52,0,18.51,0,2.13,0,30,10.91,82.38,20.6,944.8499999999999

71,17:30-17:45,0,3.88,163.36,38.77,30.05,8.81,48.46,137.63,0,4.85,48.46,26.43,12.6,26.43,0.82,26.43,84.49,91.1,0,0,0,1,8.81,0,0,17.52,0,18.51,0,2.13,0,30,10.91,82.38,20.6,944.43

72,17:45-18:00,0,3.88,163.36,38.77,30.05,8.81,48.46,137.63,0,4.85,48.46,26.43,12.6,26.43,0.82,26.43,84.49,91.1,0,0,0,0.65,8.81,0,0,17.52,0,18.51,0,2.13,0,30,10.91,82.38,20.6,944.0799999999999

73,18:00-18:15,0,3.88,163.36,38.77,30.05,8.81,48.46,137.63,0,4.85,48.46,26.43,11.63,26.43,0.82,26.43,84.49,91.1,0,0,0,0.29,8.81,0,0,17.52,0,18.51,0,2.13,0,30,11.11,82.38,20.6,942.9499999999999

74,18:15-18:30,0,3.88,163.36,38.77,30.05,8.81,48.46,137.63,0,4.85,48.46,26.43,11.63,26.43,0.82,26.43,84.49,91.1,0,0,0,0.02,8.81,0,0,17.52,0,18.51,0,2.13,0,30,11.11,82.38,20.6,942.68

75,18:30-18:45,16.33,3.88,163.36,38.77,30.05,8.81,48.46,137.63,0,4.85,48.46,26.43,11.63,26.43,0.82,26.43,84.49,91.1,0,0,0,0.01,8.81,96.92,0,17.52,0,18.51,0,2.13,0,30,11.11,82.38,20.6,1055.9199999999996

76,18:45-19:00,17.47,3.88,163.36,38.77,30.05,8.81,48.46,137.63,0,4.85,48.46,26.43,11.63,26.43,0.82,26.43,84.49,91.1,0,0,0,0.01,8.81,96.92,0,17.52,0,18.51,0,2.13,0,30,11.11,82.38,20.6,1057.0599999999997

77,19:00-19:15,17.34,3.88,163.36,38.77,30.05,8.81,48.46,137.63,0,4.85,48.46,26.43,11.63,26.43,0.82,26.43,84.49,91.1,0,0,30,0.01,8.81,96.92,0,17.52,0,18.51,42.06,2.13,0,30,11.11,82.38,20.6,1128.9899999999998

78,19:15-19:30,15.58,3.88,163.36,38.77,30.05,8.81,48.46,137.63,0,4.85,48.46,26.43,11.63,26.43,0.82,26.43,84.49,91.1,0,0,30,0,8.81,96.92,0,17.52,0,18.51,42.06,2.13,0,30,11.11,82.38,20.6,1127.2199999999998

79,19:30-19:45,14.95,3.88,163.36,38.77,30.05,8.81,48.46,137.63,0,4.85,48.46,26.43,11.63,26.43,0.82,26.43,84.49,91.1,0,0,30,0,8.81,96.92,0,17.52,0,18.51,42.06,2.13,0,30,11.11,82.38,20.6,1126.5899999999997

80,19:45-20:00,16.69,3.88,163.36,38.77,30.05,8.81,48.46,137.63,0,4.85,48.46,26.43,11.63,26.43,0.82,26.43,84.49,91.1,0,0,30,0,8.81,96.92,0,17.52,0,18.51,42.06,2.13,0,30,11.11,82.38,20.6,1128.33

81,20:00-20:15,16.32,3.88,163.36,38.77,30.05,8.81,48.46,137.63,0,4.85,48.46,26.43,11.63,26.43,0.78,26.43,84.49,91.1,0,0,30,0,8.81,96.92,0,17.52,0,18.51,42.06,2.13,0,30,11.11,82.38,20.6,1127.9199999999996

82,20:15-20:30,15.78,3.88,163.36,38.77,30.05,8.81,48.46,137.63,0,4.85,48.46,26.43,11.63,26.43,0.78,26.43,84.49,91.1,0,0,30,0,8.81,96.92,0,17.52,0,18.51,42.06,2.13,0,30,11.11,82.38,20.6,1127.3799999999997

83,20:30-20:45,17.67,3.88,163.36,38.77,30.05,8.81,48.46,89.17,0,4.85,48.46,26.43,11.63,26.43,0.78,26.43,84.49,91.1,0,0,30,0,8.81,96.92,0,17.52,0,18.51,42.06,2.13,0,30,11.11,82.38,20.6,1080.81

84,20:45-21:00,21.02,3.88,163.36,38.77,30.05,8.81,48.46,89.17,0,4.85,48.46,26.43,11.63,26.43,0.78,26.43,84.49,91.1,0,0,30,0,8.81,96.92,0,17.52,0,18.51,42.06,2.13,0,30,11.11,82.38,20.6,1084.1599999999999

