Time,Block,NR/2023/11154/F,NR/2023/11341/F,NR/2023/11102/F,NR/2023/11099/F,NR/2023/10486/A,NR/2023/11781/C,NR/2023/11096/F,NR/2023/10181/A,NR/2023/11100/F,NR/2023/11097/F,NR/2023/11771/D,NR/2023/11785/C,NR/2023/10182/A,NR/2023/11792/C,NR/2023/11368/F,NR/2023/11786/C,NR/2023/11095/F,NR/2023/11343/F,NR/2023/11166/F,NR/2023/11369/F,NR/2023/11221/F,NR/2023/11791/C,NR/2023/10197/A,NR/2023/11104/F,NR/2023/11367/F,NR/2023/11775/D,NR/2023/11773/D,NER/2023/775/C,NR/2023/11776/D,Total

3,00:30-00:45,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,40.440000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.770000,49.830000,0.450000,0.310000,0,0,0.000000,0,512.66

4,00:45-01:00,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,40.440000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.770000,49.830000,0.450000,0.310000,0,0,0.000000,0,512.66

5,01:00-01:15,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,40.440000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.770000,49.830000,0.450000,0.310000,0,0,0.000000,0,512.66

6,01:15-01:30,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,40.440000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.770000,49.830000,0.450000,0.310000,0,0,0.000000,0,512.66

7,01:30-01:45,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,40.440000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.770000,49.830000,0.450000,0.310000,0,0,0.000000,0,512.66

8,01:45-02:00,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,40.440000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.770000,49.830000,0.450000,0.310000,0,0,0.000000,0,512.66

9,02:00-02:15,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.670000,49.830000,0.450000,0.310000,0,0,0.000000,0,472.12

10,02:15-02:30,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.670000,49.830000,0.450000,0.310000,0,0,0.000000,0,472.12

11,02:30-02:45,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.670000,49.830000,0.450000,0.310000,0,0,0.000000,0,472.12

12,02:45-03:00,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.670000,49.830000,0.450000,0.310000,0,0,0.000000,0,472.12

13,03:00-03:15,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.670000,49.830000,0.450000,0.310000,0,0,0.000000,0,472.12

14,03:15-03:30,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.670000,49.830000,0.450000,0.310000,0,0,0.000000,0,472.12

15,03:30-03:45,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.670000,49.830000,0.450000,0.310000,0,0,0.000000,0,472.12

16,03:45-04:00,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.670000,49.830000,0.450000,0.310000,0,0,0.000000,0,472.12

17,04:00-04:15,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.580000,49.830000,0.450000,0.310000,0,0,0.000000,0,472.03

18,04:15-04:30,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.580000,49.830000,0.450000,0.310000,0,0,0.000000,0,472.03

19,04:30-04:45,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.580000,49.830000,0.450000,0.310000,0,0,0.000000,0,472.03

20,04:45-05:00,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.580000,49.830000,0.450000,0.310000,0,0,0.000000,0,472.03

21,05:00-05:15,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.580000,49.830000,0.450000,0.310000,0,0,0.000000,0,472.03

22,05:15-05:30,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.580000,49.830000,0.450000,0.310000,0,0,0.000000,0,472.03

23,05:30-05:45,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.580000,49.830000,0.450000,0.310000,0,0,0.000000,0,472.03

24,05:45-06:00,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.580000,49.830000,0.450000,0.310000,0,0,0.000000,0,472.03

25,06:00-06:15,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.490000,49.830000,0.450000,0.310000,0,0,0.000000,0,471.94

26,06:15-06:30,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.490000,49.830000,0.450000,0.310000,0,0,0.000000,0,471.94

27,06:30-06:45,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.490000,49.830000,0.450000,0.310000,0,0,0.000000,0,471.94

28,06:45-07:00,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.490000,49.830000,0.450000,0.310000,3.5,1.5,0.000000,0.38,477.32

29,07:00-07:15,9.630000,115.550000,0.600000,0.360000,20.560000,27.520000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.400000,49.830000,0.450000,0.310000,11.2,4.8,0.000000,0.68,487.52

30,07:15-07:30,9.630000,115.550000,0.600000,0.360000,20.560000,27.520000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.400000,49.830000,0.450000,0.310000,23.8,10.2,0.000000,0.83,505.67

31,07:30-07:45,9.630000,115.550000,0.600000,0.360000,20.560000,27.520000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.400000,49.830000,0.450000,0.310000,37.8,16.2,0.000000,1.16,526

32,07:45:08:00,9.630000,115.550000,0.600000,0.360000,20.560000,27.520000,0.530000,99.660000,0.530000,0.360000,0.000000,0.000000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.400000,49.830000,0.450000,0.310000,49,21,0.000000,2.16,543

33,08:00-08:15,9.630000,115.550000,0.590000,0.350000,20.560000,27.520000,0.560000,99.660000,0.560000,0.350000,0.000000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.220000,49.830000,0.440000,0.310000,61.6,26.4,0.000000,2.69,561.36

34,08:15-08:30,9.630000,115.550000,0.590000,0.350000,20.560000,27.520000,0.560000,99.660000,0.560000,0.350000,0.000000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.220000,49.830000,0.440000,0.310000,81.2,34.8,0.000000,3.23,589.9

35,08:30-08:45,9.630000,115.550000,0.590000,0.350000,20.560000,27.520000,0.560000,99.660000,0.560000,0.350000,0.000000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.220000,49.830000,0.440000,0.310000,98,42,0.000000,3.8,614.47

36,08:45:09:00,9.630000,115.550000,0.590000,0.350000,20.560000,27.520000,0.560000,99.660000,0.560000,0.350000,0.000000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.220000,49.830000,0.440000,0.310000,112,48,0.000000,4.61,635.28

37,09:00:09:15,9.630000,115.550000,0.590000,0.350000,20.560000,27.520000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.120000,49.830000,0.440000,0.310000,127.4,54.6,20.000000,5.26,701.9

38,09:15-09:30,9.630000,115.550000,0.590000,0.350000,20.560000,27.520000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.120000,49.830000,0.440000,0.310000,134.4,57.6,20.000000,5.47,712.11

39,09:30-09:45,9.630000,115.550000,0.590000,0.350000,20.560000,27.520000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.120000,49.830000,0.440000,0.310000,143.5,61.5,20.000000,5.75,725.39

40,09:45-10:00,9.630000,115.550000,0.590000,0.350000,20.560000,27.520000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.120000,49.830000,0.440000,0.310000,157.5,67.5,20.000000,5.73,745.37

41,10:00-10:15,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.030000,49.830000,0.440000,0.310000,169.4,72.6,20.000000,4.63,760.16

42,10:15-10:30,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.030000,49.830000,0.440000,0.310000,176.4,75.6,20.000000,6.76,772.29

43,10:30-10:45,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.030000,49.830000,0.440000,0.310000,183.4,78.6,20.000000,6.61,782.14

44,10:45-11:00,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.030000,49.830000,0.440000,0.310000,185.5,79.5,20.000000,6.96,785.49

45,11:00-11:15,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.940000,49.830000,0.440000,0.310000,185.5,79.5,20.000000,7.3,785.74

46,11:15-11:30,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.940000,49.830000,0.440000,0.310000,185.5,79.5,20.000000,7.81,786.25

47,11:30-11:45,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.940000,49.830000,0.440000,0.310000,185.5,79.5,20.000000,7.98,786.42

48,11:45-12:00,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.940000,49.830000,0.440000,0.310000,185.5,79.5,20.000000,7.98,786.42

49,12:00-12:15,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.840000,49.830000,0.440000,0.310000,185.5,79.5,20.000000,7.98,786.32

50,12:15-12:30,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.840000,49.830000,0.440000,0.310000,185.5,79.5,20.000000,7.98,786.32

51,12:30-12:45,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.840000,49.830000,0.440000,0.310000,185.5,79.5,20.000000,7.98,786.32

52,12:45-13:00,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.840000,49.830000,0.440000,0.310000,185.5,79.5,20.000000,7.98,786.32

53,13:00-13:15,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.840000,49.830000,0.440000,0.310000,185.5,79.5,20.000000,7.98,786.32

54,13:15-13:30,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.840000,49.830000,0.440000,0.310000,185.5,79.5,20.000000,7.98,786.32

55,13:30-13:45,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.840000,49.830000,0.440000,0.310000,183.4,78.6,20.000000,7.98,783.32

56,13:45-14:00,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.840000,49.830000,0.440000,0.310000,182,78,20.000000,7.69,781.03

57,14:00-14:15,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.760000,49.830000,0.440000,0.310000,178.5,76.5,20.000000,7.3,775.56

58,14:15-14:30,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.760000,49.830000,0.440000,0.310000,175,75,20.000000,6.92,770.18

59,14:30-14:45,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.760000,49.830000,0.440000,0.310000,177.1,75.9,20.000000,6.63,772.89

60,14:45-15:00,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.760000,49.830000,0.440000,0.310000,169.4,72.6,20.000000,6.24,761.5

61,15:00-15:15,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.760000,49.830000,0.440000,0.310000,159.6,68.4,20.000000,6.05,747.31

62,15:15-15:30,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.760000,49.830000,0.440000,0.310000,150.5,64.5,20.000000,5.19,733.45

63,15:30-15:45,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.760000,49.830000,0.440000,0.310000,140,60,20.000000,4.32,717.58

64,15:45-16:00,9.630000,115.550000,0.590000,0.350000,20.560000,26.500000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.760000,49.830000,0.440000,0.310000,128.8,55.2,20.000000,4.23,701.49

65,16:00-16:15,9.630000,115.550000,0.590000,0.350000,20.560000,29.550000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.660000,49.830000,0.440000,0.310000,115.5,49.5,0.000000,3.46,664.67

66,16:15-16:30,9.630000,115.550000,0.590000,0.350000,20.560000,29.550000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.660000,49.830000,0.440000,0.310000,100.8,43.2,0.000000,2.59,642.8

67,16:30-16:45,9.630000,115.550000,0.590000,0.350000,20.560000,29.550000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.660000,49.830000,0.440000,0.310000,88.2,37.8,0.000000,2.31,624.52

68,16:45-17:00,9.630000,115.550000,0.590000,0.350000,20.560000,29.550000,0.560000,99.660000,0.560000,0.350000,24.070000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.660000,49.830000,0.440000,0.310000,73.5,31.5,0.000000,2.16,603.37

69,17:00-17:15,9.630000,115.550000,0.590000,0.350000,20.560000,30.570000,0.560000,99.660000,0.560000,0.350000,0.000000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.570000,49.830000,0.440000,0.310000,59.5,25.5,0.000000,1.74,559.81

70,17:15-17:30,9.630000,115.550000,0.590000,0.350000,20.560000,30.570000,0.560000,99.660000,0.560000,0.350000,0.000000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.570000,49.830000,0.440000,0.310000,44.1,18.9,0.000000,1.65,537.72

71,17:30-17:45,9.630000,115.550000,0.590000,0.350000,20.560000,30.570000,0.560000,99.660000,0.560000,0.350000,0.000000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.570000,49.830000,0.440000,0.310000,28,12,0.000000,1.36,514.43

72,17:45-18:00,9.630000,115.550000,0.590000,0.350000,20.560000,30.570000,0.560000,99.660000,0.560000,0.350000,0.000000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.570000,49.830000,0.440000,0.310000,24.5,10.5,0.000000,0.93,509

73,18:00-18:15,9.630000,115.550000,0.590000,0.350000,20.560000,30.570000,0.560000,99.660000,0.560000,0.350000,0.000000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.570000,49.830000,0.440000,0.310000,21,9,0.000000,0.45,503.52

74,18:15-18:30,9.630000,115.550000,0.590000,0.350000,20.560000,30.570000,0.560000,99.660000,0.560000,0.350000,0.000000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.570000,49.830000,0.440000,0.310000,7,3,0.000000,0,483.07

75,18:30-18:45,9.630000,115.550000,0.590000,0.350000,20.560000,30.570000,0.560000,99.660000,0.560000,0.350000,0.000000,0.000000,49.830000,0.000000,0.300000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,10.570000,49.830000,0.440000,0.310000,3.5,1.5,0.000000,0,478.07

76,18:45-19:00,9.630000,115.550000,0.590000,0.350000,20.560000,30.570000,0.560000,99.660000,0.560000,0.350000,0.000000,0.000000,49.830000,0.000000,0.300000,34.660000,2.890000,48.140000,14.440000,0.610000,17.330000,10.570000,49.830000,0.440000,0.310000,0,0,0.000000,0,507.73

77,19:00-19:15,9.630000,115.550000,0.690000,0.410000,20.560000,30.570000,0.660000,99.660000,0.660000,0.410000,0.000000,0.000000,49.830000,0.000000,0.360000,43.330000,2.890000,48.140000,14.440000,0.720000,17.330000,10.570000,49.830000,0.520000,0.340000,0,0,0.000000,0,517.1

78,19:15-19:30,9.630000,115.550000,0.690000,0.410000,20.560000,30.570000,0.660000,99.660000,0.660000,0.410000,0.000000,0.000000,49.830000,0.000000,0.360000,33.700000,2.890000,48.140000,14.440000,0.720000,17.330000,10.570000,49.830000,0.520000,0.340000,0,0,0.000000,0,507.47

79,19:30-19:45,9.630000,115.550000,0.690000,0.410000,20.560000,30.570000,0.660000,99.660000,0.660000,0.410000,0.000000,0.000000,49.830000,0.000000,0.360000,24.070000,2.890000,48.140000,14.440000,0.720000,17.330000,10.570000,49.830000,0.520000,0.340000,0,0,0.000000,0,497.84

