Time,Block,NR/2023/15784/C,NR/2023/12422/A,NR/2023/12052/A,NR/2023/12167/A,NR/2023/12591/A,NR/2023/15057/F,NR/2023/12347/A,NR/2023/15309/F,NR/2023/13635/A,NR/2023/14895/A,NR/2023/14737/A,NR/2023/12168/A,NR/2023/15303/F,NR/2023/12592/A,NR/2023/15412/F,NR/2023/12431/A,NR/2023/15776/C,NR/2023/15304/F,NR/2023/15767/D,NR/2023/14746/A,NR/2023/15771/C,NR/2023/14898/A,NR/2023/12053/A,NR/2023/15306/F,NR/2023/15798/C,NR/2023/15402/F,NR/2023/15296/F,NR/2023/15774/C,NR/2023/13862/A,NR/2023/15766/D,NR/2023/14745/A,NR/2023/12148/A,ER/2023/9755/C,ER/2023/9748/C,NR/2023/15764/D,NR/2023/15785/C,WR/2023/17898/C,ER/2023/9752/C,Total
9,02:00-02:15,0.000000,33.390000,63.140000,24.190000,42.570000,0.580000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,5.040000,23.160000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,150.000000,0.000000,1313.2

10,02:15-02:30,0.000000,33.390000,63.140000,24.190000,42.570000,0.580000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,5.040000,23.160000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,150.000000,0.000000,1313.2

11,02:30-02:45,0.000000,33.390000,63.140000,24.190000,42.570000,0.580000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,5.040000,23.160000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,150.000000,0.000000,1313.2

12,02:45-03:00,0.000000,33.390000,63.140000,24.190000,42.570000,0.580000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,6.060000,23.160000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,150.000000,0.000000,1314.22

13,03:00-03:15,0.000000,33.390000,63.140000,24.190000,42.570000,0.530000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,6.060000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,150.000000,0.000000,1254.5

14,03:15-03:30,0.000000,33.390000,63.140000,24.190000,42.570000,0.530000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,6.060000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,150.000000,0.000000,1254.5

15,03:30-03:45,0.000000,33.390000,63.140000,24.190000,42.570000,0.530000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,6.060000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,150.000000,0.000000,1254.5

16,03:45-04:00,0.000000,33.390000,63.140000,24.190000,42.570000,0.530000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,6.060000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,150.000000,0.000000,1254.5

17,04:00-04:15,0.000000,33.390000,63.140000,24.190000,42.570000,0.530000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,6.060000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,150.000000,0.000000,1254.5

18,04:15-04:30,0.000000,33.390000,63.140000,24.190000,42.570000,0.530000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,6.060000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,150.000000,0.000000,1254.5

19,04:30-04:45,0.000000,33.390000,63.140000,24.190000,42.570000,0.530000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,6.060000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,150.000000,0.000000,1254.5

20,04:45-05:00,0.000000,33.390000,63.140000,24.190000,42.570000,0.530000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,6.060000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,150.000000,0.000000,1254.5

21,05:00-05:15,0.000000,33.390000,63.140000,24.190000,42.570000,0.530000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,5.040000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,125.000000,0.000000,1129.77

22,05:15-05:30,0.000000,33.390000,63.140000,24.190000,42.570000,0.530000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,5.040000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,125.000000,0.000000,1129.77

23,05:30-05:45,0.000000,33.390000,63.140000,24.190000,42.570000,0.530000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,5.040000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,125.000000,0.000000,1129.77

24,05:45-06:00,0.000000,33.390000,63.140000,24.190000,42.570000,0.530000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,5.040000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,125.000000,0.000000,1129.77

25,06:00-06:15,0.000000,0.000000,63.140000,24.190000,42.570000,0.680000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,5.040000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,125.000000,0.000000,1018.63

26,06:15-06:30,0.000000,0.000000,63.140000,24.190000,42.570000,0.680000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,5.040000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,125.000000,0.000000,1018.63

27,06:30-06:45,0.000000,0.000000,63.140000,24.190000,42.570000,0.680000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,5.040000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0.15,0,125.000000,0.000000,1018.78

28,06:45-07:00,0.000000,0.000000,63.140000,24.190000,42.570000,0.680000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,5.040000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0.51,0,125.000000,0.000000,1019.14

29,07:00-07:15,0.000000,0.000000,63.140000,24.190000,42.570000,0.680000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,5.040000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,0.73,0,125.000000,0.000000,1019.36

30,07:15-07:30,0.000000,0.000000,63.140000,24.190000,42.570000,0.680000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,5.040000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,1.18,0,125.000000,0.000000,1019.81

31,07:30-07:45,0.000000,0.000000,63.140000,24.190000,42.570000,0.680000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,5.040000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,2.1,0,125.000000,0.000000,1020.73

32,07:45:08:00,0.000000,0.000000,63.140000,24.190000,42.570000,0.680000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,5.040000,0.000000,0.000000,24.190000,22.260000,0.000000,0.000000,2.43,0,125.000000,0.000000,1021.06

33,08:00-08:15,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,38.710000,0.000000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,5.040000,0.000000,12.580000,24.190000,22.260000,27.700000,0.000000,2.85,0,125.000000,0.000000,1100.76

34,08:15-08:30,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,38.710000,0.000000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,6.060000,0.000000,12.580000,24.190000,22.260000,27.700000,0.000000,3.49,0,125.000000,0.000000,1102.42

35,08:30-08:45,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,38.710000,0.000000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,6.060000,0.000000,12.580000,24.190000,22.260000,27.700000,0.000000,4.17,0,125.000000,0.000000,1103.1

36,08:45:09:00,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,38.710000,0.000000,0.000000,70.160000,0.000000,0.930000,0.000000,0.000000,0.970000,6.060000,0.000000,12.580000,24.190000,22.260000,27.700000,0.000000,4.5,0,125.000000,0.000000,1103.43

37,09:00:09:15,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,16.400000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,6.060000,0.000000,12.580000,24.190000,22.260000,27.700000,100.000000,5.14,17.42,125.000000,50.000000,1304.7

38,09:15-09:30,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,16.400000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,100.000000,4.81,17.42,125.000000,50.000000,1306.38

39,09:30-09:45,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,16.400000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,100.000000,5.43,17.42,125.000000,50.000000,1307

40,09:45-10:00,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,0.000000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,16.400000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,100.000000,6.12,17.42,125.000000,50.000000,1307.69

41,10:00-10:15,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,90.960000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,16.400000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,100.000000,4.84,17.42,125.000000,50.000000,1397.37

42,10:15-10:30,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,90.960000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,16.400000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,100.000000,6.47,17.42,125.000000,50.000000,1399

43,10:30-10:45,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,90.960000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,16.400000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,100.000000,7.59,17.42,125.000000,50.000000,1400.12

44,10:45-11:00,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,90.960000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,16.400000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,100.000000,7.9,17.42,125.000000,50.000000,1400.43

45,11:00-11:15,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,90.960000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,16.400000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,100.000000,7.04,17.42,125.000000,50.000000,1399.57

46,11:15-11:30,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,90.960000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,16.400000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,100.000000,4.88,17.42,125.000000,50.000000,1397.41

47,11:30-11:45,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,90.960000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,16.400000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,100.000000,3.59,17.42,125.000000,50.000000,1396.12

48,11:45-12:00,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,90.960000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,100.220000,16.400000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,100.000000,3.42,17.42,125.000000,50.000000,1387.3

49,12:00-12:15,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,90.960000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,92.420000,18.990000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,0.000000,5.86,17.42,0.000000,50.000000,1159.53

50,12:15-12:30,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,90.960000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,81.500000,18.990000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,0.000000,8.79,17.42,0.000000,50.000000,1151.54

51,12:30-12:45,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,90.960000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,67.810000,18.990000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,0.000000,6.27,17.42,0.000000,50.000000,1135.33

52,12:45-13:00,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,90.960000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,53.510000,18.990000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,0.000000,5.84,17.42,0.000000,50.000000,1120.6

53,13:00-13:15,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,90.960000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,18.760000,18.990000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,0.000000,5.44,17.42,0.000000,50.000000,1085.45

54,13:15-13:30,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,90.960000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,1.370000,18.990000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,0.000000,3.93,17.42,0.000000,50.000000,1066.55

55,13:30-13:45,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,90.960000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,0.000000,18.990000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,0.000000,5.71,17.42,0.000000,50.000000,1066.96

56,13:45-14:00,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,90.960000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,20.240000,18.990000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,27.700000,0.000000,5.8,17.42,0.000000,50.000000,1087.29

57,14:00-14:15,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,106.450000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,44.440000,18.990000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,23.160000,12.580000,24.190000,22.260000,27.700000,0.000000,5.55,17.42,0.000000,0.000000,1099.89

58,14:15-14:30,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,106.450000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,54.350000,18.990000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,23.160000,12.580000,24.190000,22.260000,27.700000,0.000000,4.56,17.42,0.000000,0.000000,1108.81

