Column1,Block,NR/2025/25642/C,NR/2025/25518/A/58597,GNARE/NR/2024/12/20/3668,NR/2025/25641/C,NR/2025/25516/A/58592,NR/2025/25517/A/58594,GNA/NR/2025/03/01/3469,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/5143,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/2563,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/9482,WR/2025/26426/A/58562,GNA/NR/2025/03/01/8036,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/6891,NR/2025/25159/A/58467,WR/2025/26427/A/58563,GNA/WR/2025/01/01/9606,WR/2025/26582/A/58633,WR/2025/26499/A/58637,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/4651,Total
20,04:45-05:00,0,0,0,0,0,0,8.64,26.91,3.58,190.26,0,15.4,0,25.91,28.79,167.53,15.4,42,63.42,0.43,24,0,24,0,26.91,0,663.1799999999998

21,05:00-05:15,0,0,0,0,0,0,8.64,32,3.58,190.26,0,15.4,0,25.91,28.79,167.53,15.4,42,63.42,0.48,24,0,24,0,25.61,0,667.02

22,05:15-05:30,0,0,0,0,0,0,8.64,32,3.58,190.26,0,15.4,0,25.91,28.79,167.53,15.4,42,63.42,0.48,24,0,24,0,25.61,0,667.02

23,05:30-05:45,0,0,0,0,0,0,8.64,32,3.58,190.26,0,15.4,0,25.91,28.79,167.53,15.4,42,63.42,0.48,24,0,24,0,25.61,0,667.02

24,05:45-06:00,0,0,0,0,0,0,8.64,32,3.58,190.26,0,15.4,0,25.91,28.79,167.53,15.4,42,63.42,0.48,24,0,24,0,12.6,0,654.01

25,06:00-06:15,0,0,0,0,0,0,8.64,32,3.58,0,0,15.4,0,25.91,28.79,167.53,15.4,42,0,0.53,0,0,0,0,12.6,0,352.38

26,06:15-06:30,0,0,0,0,0,0,8.64,32,3.58,0,0,15.4,0,25.91,28.79,167.53,15.4,42,0,0.53,0,0,0,0,12.6,0,352.38

27,06:30-06:45,0,0,0.56,0,0,0,8.64,32,3.58,0,0,15.4,0,25.91,28.79,167.53,15.4,42,0,0.53,0,0,0,0,32,0,372.3399999999999

28,06:45-07:00,0,0,0.33,0,0,0,8.64,32,3.58,0,0,15.4,0,25.91,28.79,167.53,15.4,42,0,0.53,0,0,0,0,32,0,372.10999999999996

29,07:00-07:15,0,0,0.76,0,0,0,8.64,32,3.58,0,0,17.21,0,39.35,28.79,167.53,17.21,0,0,0.58,0,0,0,40.31,32,0,387.96

30,07:15-07:30,0,0,3.32,0,0,0,8.64,32,3.58,0,0,18.48,0,39.35,28.79,167.53,18.48,0,0,0.58,0,0,0,40.31,32,0,393.06

31,07:30-07:45,0,0,8.88,0,0,0,8.64,32,3.58,0,0,22.3,0,39.35,28.79,167.53,22.3,0,0,0.58,0,0,0,40.31,32,0,406.26

32,07:45-08:00,0,0.01,14.55,0,0.02,0.02,8.64,32,3.58,0,0,22.3,0,39.35,28.79,167.53,22.3,0,0,0.58,0,0,0,40.31,32,0,411.97999999999996

33,08:00-08:15,0,0.1,24.71,0,0.19,0.14,8.64,32,3.58,0,0,24.17,0,39.35,28.79,0,24.17,0,0,0.96,0,0,0,40.31,32,0,259.11

34,08:15-08:30,0,0.24,32.5,0,0.39,0.35,8.64,32,3.58,0,0,24.17,0,39.35,28.79,0,24.17,0,0,0.96,0,0,0,40.31,32,0,267.45000000000005

35,08:30-08:45,0,0.36,40.57,0,0.63,0.63,8.64,32,3.58,0,0,24.17,0,39.35,28.79,0,24.17,0,0,0.96,0,0,0,40.31,32,0,276.15999999999997

36,08:45-09:00,0,0.46,50.12,0,0.84,0.74,8.64,32,3.58,0,0,24.17,0,39.35,28.79,0,24.17,0,0,0.96,0,0,0,40.31,32,0,286.13

37,09:00-09:15,38.39,0.48,58.48,14.4,0.86,0.77,8.64,32,3.49,0,0,16.54,0,25.91,28.79,0,16.54,0,0,0.91,0,0,0,40.31,32,0,318.51

38,09:15-09:30,38.39,0.48,66.88,14.4,0.96,0.77,8.64,32,3.49,0,0,16.54,0,25.91,28.79,0,16.54,0,0,0.91,0,0,0,40.31,32,0,327.01

39,09:30-09:45,38.39,0.38,70.46,14.4,0.96,0.77,8.64,32,3.49,0,0,16.54,0,28.79,28.79,0,16.54,0,0,0.91,0,0,0,40.31,32,0,333.37

40,09:45-10:00,38.39,0.48,77.13,14.4,0.96,0.77,8.64,32,3.49,0,0,16.54,0,31.67,28.79,0,16.54,0,0,0.91,0,0,0,40.31,32,0,343.02000000000004

41,10:00-10:15,38.39,0.48,84.14,14.4,0.96,0.77,8.64,32,3.49,0,0,16.54,0,34.55,28.79,0,16.54,0,0,0.91,0,0,0,40.31,32,0,352.9100000000001

42,10:15-10:30,38.39,0.48,89.05,14.4,0.96,0.86,8.64,32,3.49,0,0,16.54,0,37.43,28.79,0,16.54,0,0,0.91,0,0,0,40.31,32,0,360.7900000000001

43,10:30-10:45,38.39,0.48,91.67,14.4,0.96,0.86,8.64,32,3.49,0,0,16.54,0,39.35,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,358.6400000000001

44,10:45-11:00,38.39,0.48,93.33,14.4,0.96,0.77,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,361.1700000000001

45,11:00-11:15,38.39,0.48,95,14.4,1.06,0.67,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,362.84000000000003

46,11:15-11:30,38.39,0.48,95,14.4,1.06,0.77,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,362.94000000000005

47,11:30-11:45,38.39,0.48,95,14.4,1.06,0.77,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,362.94000000000005

48,11:45-12:00,38.39,0.48,95,14.4,1.06,0.77,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,362.94000000000005

49,12:00-12:15,38.39,0.48,95,14.4,1.06,0.77,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,362.94000000000005

50,12:15-12:30,38.39,0.48,95,14.4,1.06,0.77,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,362.94000000000005

51,12:30-12:45,38.39,0.48,95,14.4,1.06,0.77,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,362.94000000000005

52,12:45-13:00,38.39,0.38,95,14.4,1.06,0.77,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,362.8400000000001

53,13:00-13:15,38.39,0.48,95,14.4,1.06,0.77,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,362.94000000000005

54,13:15-13:30,38.39,0.48,95,14.4,1.06,0.77,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,362.94000000000005

55,13:30-13:45,38.39,0.48,95,14.4,1.06,0.77,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,362.94000000000005

56,13:45-14:00,38.39,0.48,95,14.4,1.06,0.77,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,362.94000000000005

57,14:00-14:15,38.39,0.48,95,13.34,1.15,0.77,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,361.9700000000001

58,14:15-14:30,38.39,0.58,95,12.67,1.15,0.86,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,361.49000000000007

59,14:30-14:45,38.39,0.48,95,12.19,1.15,0.86,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,360.9100000000001

60,14:45-15:00,38.39,0.48,93.33,12.19,1.06,0.77,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.91,0,0,0,40.31,25.31,0,359.06000000000006

61,15:00-15:15,38.39,0.48,91.67,12.29,1.15,0.77,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.67,0,0,0,40.31,25.31,0,357.35

62,15:15-15:30,38.39,0.48,90,12.38,1.06,0.77,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.67,0,0,0,40.31,25.31,0,355.68000000000006

63,15:30-15:45,38.39,0.48,86.67,12.67,1.06,0.86,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.67,0,0,0,40.31,25.31,0,352.73

64,15:45-16:00,38.39,0.48,82.67,12.96,1.06,0.86,8.64,32,3.49,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.67,0,0,0,40.31,25.31,0,349.02000000000004

65,16:00-16:15,38.39,0.48,73.44,13.15,1.06,0.96,8.64,32,3.58,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.53,0,0,0,40.31,25.31,0,340.03000000000003

66,16:15-16:30,38.39,0.48,67.2,13.34,1.15,0.86,8.64,32,3.58,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.53,0,0,0,40.31,25.31,0,333.96999999999997

67,16:30-16:45,38.2,0.48,56.69,13.73,1.15,0.86,8.64,32,3.58,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.53,0,0,0,40.31,25.31,0,323.65999999999997

68,16:45-17:00,30.23,0.38,49.79,22.08,0.92,0.61,8.64,32,3.58,0,0,16.54,0,40.31,28.79,0,16.54,0,0,0.53,0,0,0,40.31,25.31,0,316.56

69,17:00-17:15,0,0.19,40.12,0,0.57,0.33,8.64,32,3.58,0,100,25.4,0,43.19,28.79,0,25.4,0,0,0.53,0,0,0,40.31,25.31,0,374.35999999999996

70,17:15-17:30,0,0.13,33.71,0,0.33,0.19,8.64,32,3.58,0,100,25.4,0,43.19,28.79,0,25.4,0,0,0.53,0,0,0,40.31,25.31,0,367.50999999999993

71,17:30-17:45,0,0.04,23.84,0,0.1,0.08,8.64,32,3.58,0,100,25.4,0,43.19,28.79,0,25.4,0,0,0.53,0,0,0,40.31,25.31,0,357.21

72,17:45-18:00,0,0,18.99,0,0,0,8.64,32,3.58,0,100,25.4,0,43.19,28.79,0,25.4,0,0,0.53,0,0,0,40.31,25.31,0,352.13999999999993

73,18:00-18:15,0,0,12.65,0,0,0,8.64,32,3.68,0,100,22.96,0,43.19,28.79,0,22.96,0,0,0.53,0,50,0,40.31,32,0,397.71

74,18:15-18:30,0,0,0.39,0,0,0,8.64,32,3.68,0,100,22.96,0,43.19,28.79,0,22.96,0,0,0.53,0,50,0,40.31,32,0,385.45

75,18:30-18:45,0,0,0.39,0,0,0,12.48,31,3.68,0,100,22.96,50,43.19,28.79,0,22.96,0,0,0.53,0,50,0,40.31,31,12.48,449.77000000000004

76,18:45-19:00,0,0,0.39,0,0,0,12.48,31,3.68,0,100,22.96,50,43.19,28.79,0,22.96,0,0,0.53,0,50,0,40.31,31,12.48,449.77000000000004

77,19:00-19:15,0,0,0.39,0,0,0,12.48,31,3.68,0,100,22.96,50,43.19,28.79,0,22.96,0,0,0.62,0,50,0,40.31,31,12.48,449.86000000000007

78,19:15-19:30,0,0,0.39,0,0,0,12.48,31,3.68,0,100,22.96,50,43.19,28.79,0,22.96,0,0,0.62,0,50,0,40.31,31,12.48,449.86000000000007

79,19:30-19:45,0,0,0,0,0,0,12.48,31,3.68,0,100,22.96,50,43.19,28.79,0,22.96,0,0,0.62,0,50,0,40.31,31,12.48,449.47

80,19:45-20:00,0,0,0,0,0,0,12.48,31,3.68,0,100,22.96,50,43.19,28.79,0,22.96,0,0,0.62,0,50,0,40.31,31,12.48,449.47

81,20:00-20:15,0,0,0,0,0,0,12.48,31,3.76,0,100,22.96,50,43.19,28.79,47.99,22.96,0,0,0.62,0,75,0,40.31,31,12.48,522.54

82,20:15-20:30,0,0,0,0,0,0,12.48,31,3.76,0,100,22.96,50,43.19,28.79,47.99,22.96,0,0,0.62,0,75,0,40.31,31,12.48,522.54

83,20:30-20:45,0,0,0,0,0,0,12.48,32,3.76,0,100,22.96,50,43.19,28.79,47.99,22.96,0,0,0.62,0,75,0,40.31,32,12.48,524.54

84,20:45-21:00,0,0,0,0,0,0,12.48,32,3.76,0,100,22.96,50,43.19,28.79,47.99,22.96,0,0,0.62,0,75,0,40.31,32,12.48,524.54

85,21:00-21:15,0,0,0,0,0,0,12.48,32,3.76,0,100,22.96,50,43.19,28.79,47.99,22.96,0,0,0.62,0,75,0,40.31,32,12.48,524.54

86,21:15-21:30,0,0,0,0,0,0,12.48,32,3.76,0,100,22.96,50,43.19,28.79,47.99,22.96,0,0,0.62,0,75,0,40.31,32,12.48,524.54

87,21:30-21:45,0,0,0,0,0,0,12.48,26.99,3.76,0,100,22.96,50,43.19,28.79,47.99,22.96,0,0,0.62,0,75,0,40.31,26.99,12.48,514.52

88,21:45-22:00,0,0,0,0,0,0,12.48,26.99,3.76,0,100,22.96,50,43.19,28.79,47.99,22.96,0,0,0.62,0,75,0,40.31,26.99,12.48,514.52

89,22:00-22:15,0,0,0,0,0,0,12.48,26.91,3.68,190.26,100,22.96,50,43.19,28.79,47.99,22.96,0,63.42,0.53,24,75,24,40.31,26.91,12.48,815.87

90,22:15-22:30,0,0,0,0,0,0,12.48,26.91,3.68,190.26,100,22.96,50,43.19,28.79,47.99,22.96,0,63.42,0.53,24,75,24,40.31,26.91,12.48,815.87

91,22:30-22:45,0,0,0,0,0,0,12.48,24.85,3.68,190.26,100,22.96,50,43.19,28.79,47.99,22.96,0,63.42,0.53,24,75,24,40.31,24.85,12.48,811.7499999999999

92,22:45-23:00,0,0,0,0,0,0,12.48,24.85,3.68,190.26,100,22.96,50,43.19,28.79,47.99,22.96,0,63.42,0.53,24,75,24,40.31,24.85,12.48,811.7499999999999

93,23:00-23:15,0,0,0,0,0,0,12.48,26.91,3.68,190.26,0,14.9,50,43.19,28.79,47.99,14.9,0,63.42,0.48,24,75,24,40.31,26.91,12.48,699.6999999999999

94,23:15-23:30,0,0,0,0,0,0,12.48,26.91,3.68,190.26,0,14.9,50,43.19,28.79,47.99,14.9,0,63.42,0.48,24,75,24,40.31,26.91,12.48,699.6999999999999

95,23:30-23:45,0,0,0,0,0,0,12.48,26.91,3.68,190.26,0,14.9,50,43.19,28.79,47.99,14.9,0,63.42,0.48,24,75,24,40.31,26.91,12.48,699.6999999999999

96,23:45-24:00,0,0,0,0,0,0,12.48,26.91,3.68,190.26,0,14.9,50,43.19,28.79,47.99,14.9,0,63.42,0.48,24,75,24,40.31,26.91,12.48,699.6999999999999

