Time,Block,NR/2023/14847/C,NR/2023/13983/F,NR/2023/14856/C,NR/2023/11469/A,NR/2023/11325/A,NR/2023/14855/C,NR/2023/13284/A,NR/2023/12646/A,NR/2023/14874/C,NR/2023/14841/D,NR/2023/11470/A,NR/2023/14688/F,NR/2023/13858/A,NR/2023/11203/A,NR/2023/14886/C,NR/2023/14187/F,NR/2023/11458/A,NR/2023/13283/A,NR/2023/11954/A,NR/2023/14837/D,NR/2023/13983/F/II,NR/2023/11315/A,NR/2023/11739/A,NR/2023/14848/C,NR/2023/11654/A,NR/2023/14839/D,NR/2023/13573/A,NR/2023/14688/F/II,NR/2023/11328/A,NR/2023/11697/A,WR/2023/17245/C,NR/2023/14878/C,NR/2023/14834/D,NR/2023/13859/A,NR/2023/14833/D,NR/2023/14835/D,Total

3,00:30-00:45,0.000000,0.630000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,0.000000,193.080000,21.230000,0.000000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,36.420000,0.000000,0.240000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,24.140000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1365.02

4,00:45-01:00,0.000000,0.630000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,0.000000,193.080000,21.230000,0.000000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,36.420000,0.000000,0.240000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,24.140000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1365.02

5,01:00-01:15,0.000000,0.490000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,0.000000,193.080000,21.230000,0.000000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,36.420000,0.000000,0.180000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,24.140000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1364.82

6,01:15-01:30,0.000000,0.490000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,0.000000,193.080000,21.230000,0.000000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,36.420000,0.000000,0.180000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,24.140000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1364.82

7,01:30-01:45,0.000000,0.490000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,0.000000,193.080000,21.230000,0.000000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,36.420000,0.000000,0.180000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,24.140000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1364.82

8,01:45-02:00,0.000000,0.490000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,0.000000,193.080000,21.230000,0.000000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,36.420000,0.000000,0.180000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,24.140000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1364.82

9,02:00-02:15,0.000000,0.420000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,0.000000,193.080000,21.230000,0.000000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,36.420000,0.000000,0.150000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,24.140000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1364.72

10,02:15-02:30,0.000000,0.420000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,0.000000,193.080000,21.230000,0.000000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,36.420000,0.000000,0.150000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,24.140000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1364.72

11,02:30-02:45,0.000000,0.420000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,0.000000,193.080000,21.230000,0.000000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,36.420000,0.000000,0.150000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,24.140000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1364.72

12,02:45-03:00,0.000000,0.420000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,0.000000,193.080000,21.230000,0.000000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,36.420000,0.000000,0.150000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,24.140000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1364.72

13,03:00-03:15,0.000000,0.530000,14.580000,84.940000,24.140000,6.760000,85.820000,0.000000,0.000000,193.080000,21.230000,20.270000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,3.860000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1305.15

14,03:15-03:30,0.000000,0.530000,14.580000,84.940000,24.140000,6.760000,85.820000,0.000000,0.000000,193.080000,21.230000,20.270000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,3.860000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1305.15

15,03:30-03:45,0.000000,0.530000,14.580000,84.940000,24.140000,6.760000,85.820000,0.000000,0.000000,193.080000,21.230000,20.270000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,3.860000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1305.15

16,03:45-04:00,0.000000,0.530000,14.580000,84.940000,24.140000,6.760000,85.820000,0.000000,0.000000,193.080000,21.230000,20.270000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,3.860000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1305.15

17,04:00-04:15,0.000000,0.530000,14.580000,84.940000,24.140000,6.760000,85.820000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1305.16

18,04:15-04:30,0.000000,0.530000,14.580000,84.940000,24.140000,6.760000,85.820000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1305.16

19,04:30-04:45,0.000000,0.530000,14.580000,84.940000,24.140000,6.760000,85.820000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1305.16

20,04:45-05:00,0.000000,0.530000,14.580000,84.940000,24.140000,6.760000,85.820000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1305.16

21,05:00-05:15,0.000000,0.530000,14.580000,84.940000,24.140000,6.760000,85.820000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1206.69

22,05:15-05:30,0.000000,0.530000,14.580000,84.940000,24.140000,6.760000,85.820000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1206.69

23,05:30-05:45,0.000000,0.530000,14.580000,84.940000,24.140000,6.760000,85.820000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1206.69

24,05:45-06:00,0.000000,0.530000,14.580000,84.940000,24.140000,6.760000,85.820000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1206.69

25,06:00-06:15,0.000000,0.680000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0,181.010000,1.4,0.6,1086.24

26,06:15-06:30,0.000000,0.680000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0.13,181.010000,6.3,2.7,1093.37

27,06:30-06:45,0.000000,0.680000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0.52,181.010000,10.5,4.5,1099.76

28,06:45-07:00,0.000000,0.680000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0.77,181.010000,17.5,7.5,1110.01

29,07:00-07:15,0.000000,0.680000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,0,1.16,181.010000,31.5,13.5,1127.51

30,07:15-07:30,0.000000,0.680000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,0,1.67,181.010000,38.5,16.5,1138.02

31,07:30-07:45,0.000000,0.680000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,0,2.07,181.010000,49,21,1153.42

32,07:45:08:00,0.000000,0.680000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,0,2.37,181.010000,56.7,24.3,1164.72

33,08:00-08:15,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,2.54,181.010000,63,27,1182.87

34,08:15-08:30,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,2.6,181.010000,73.5,31.5,1197.93

35,08:30-08:45,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,2.67,181.010000,80.5,34.5,1208

36,08:45:09:00,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,2.87,181.010000,93.1,39.9,1226.2

37,09:00:09:15,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,0.000000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,3.82,181.010000,101.5,43.5,1263.29

38,09:15-09:30,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,0.000000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,4.71,181.010000,114.1,48.9,1282.18

39,09:30-09:45,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,0.000000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,4.96,181.010000,122.5,52.5,1294.43

40,09:45-10:00,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,0.000000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,4.61,181.010000,129.5,55.5,1304.08

41,10:00-10:15,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,90.750000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,4.5,181.010000,143.5,61.5,1414.72

42,10:15-10:30,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,90.750000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,3.69,181.010000,151.9,65.1,1425.91

43,10:30-10:45,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,90.750000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,4.16,181.010000,161,69,1439.38

44,10:45-11:00,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,90.750000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,6.38,181.010000,171.5,73.5,1456.6

45,11:00-11:15,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,90.750000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,5.1,181.010000,175,75,1460.32

46,11:15-11:30,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,90.750000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,4.66,181.010000,175,75,1459.88

47,11:30-11:45,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,90.750000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,6.27,181.010000,175,75,1461.49

48,11:45-12:00,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,90.750000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,6.74,181.010000,175,75,1461.96

49,12:00-12:15,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,90.750000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,6.18,181.010000,175,75,1461.4

50,12:15-12:30,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,90.750000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,7.21,181.010000,175,75,1462.43

51,12:30-12:45,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,90.750000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,7.59,181.010000,175,75,1462.81

52,12:45-13:00,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,90.750000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,7.82,181.010000,175,75,1463.04

53,13:00-13:15,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,90.750000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,7.33,181.010000,171.5,73.5,1457.55

54,13:15-13:30,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,90.750000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,7.25,181.010000,164.5,70.5,1447.47

55,13:30-13:45,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,90.750000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,6.73,181.010000,157.5,67.5,1436.95

56,13:45-14:00,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,90.750000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,6.42,181.010000,154,66,1431.64

57,14:00-14:15,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,23.100000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,106.190000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,4.72,181.010000,150.5,64.5,1463.48

58,14:15-14:30,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,23.100000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,106.190000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,6.47,181.010000,150.5,64.5,1465.23

59,14:30-14:45,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,23.100000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,106.190000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,5.63,181.010000,150.5,64.5,1464.39

60,14:45-15:00,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,23.100000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,106.190000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,4.33,181.010000,147,63,1458.09

61,15:00-15:15,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,23.100000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,106.190000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,4.51,181.010000,136.5,58.5,1443.27

62,15:15-15:30,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,23.100000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,106.190000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,5.36,181.010000,124.6,53.4,1427.12

63,15:30-15:45,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,23.100000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,106.190000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,3.46,181.010000,117.6,50.4,1415.22

