Time,Block,NR/2023/17165/A,NR/2023/17402/F,NR/2023/14875/A,NR/2023/17791/C,NR/2023/17496/F,NR/2023/17404/F,WR/2023/17681/A,WR/2023/17681/A/II,NR/2023/17793/C,NR/2023/17344/F,NR/2023/17263/F,WR/2023/19090/A,Total
,,NVVNL,MANIKARAN,APPCPL,TPDDL,IEXL,MANIKARAN,MANIKARAN,MANIKARAN,NVVNL,ITCLH,APPCPL,TPTCL,Total

,,NA,DELHI,DELHI,HIMACHAL PRADESH,KARNATAKA,DELHI,DELHI,DELHI,NA,ANDHRA PRADESH,DELHI,DELHI,
,,SKS Raigarh,BRPL,BYPL,CHANJUII,NSLSUGAR,BRPL,BYPL,BYPL,SOLAPUR_SOLAR,ITCWIND,BRPL,BYPL,
,,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,DELHI,DELHI,HIMACHAL PRADESH,MAHARASHTRA,
,,NDMC,HP,HP,TPDDL,MES (Delhi),HP,AEML,AEML,MES (Delhi),ITCLH,HP,TPC MSEB,
,,West-North,North-North,North-North,North-North,South-East-North,North-North,North-West,North-East-West,West-North,South-West-North,North-North,North-West,
63,15:30-15:45,62.820000,201.890000,0.000000,5.910000,6.770000,20.400000,0.000000,100.000000,3.66,0.970000,0.000000,0.000000,402.42

64,15:45-16:00,62.820000,201.890000,0.000000,5.910000,6.770000,20.400000,0.000000,100.000000,3.46,0.970000,0.000000,0.000000,402.22

65,16:00-16:15,62.820000,201.890000,0.000000,5.910000,6.770000,20.400000,0.000000,100.000000,2.96,0.870000,0.000000,0.000000,401.62

66,16:15-16:30,62.820000,201.890000,0.000000,5.910000,6.770000,20.400000,0.000000,100.000000,2.44,0.870000,0.000000,0.000000,401.1

67,16:30-16:45,62.820000,201.890000,0.000000,5.910000,6.770000,20.400000,0.000000,100.000000,1.81,0.870000,0.000000,0.000000,400.47

68,16:45-17:00,62.820000,201.890000,0.000000,5.910000,6.770000,20.400000,0.000000,100.000000,1.37,0.870000,0.000000,0.000000,400.03

69,17:00-17:15,62.820000,201.890000,0.000000,6.000000,6.770000,20.400000,0.000000,100.000000,1.01,0.770000,0.000000,0.000000,399.66

70,17:15-17:30,62.820000,201.890000,0.000000,6.000000,6.770000,20.400000,0.000000,100.000000,0.73,0.770000,0.000000,0.000000,399.38

71,17:30-17:45,62.820000,201.890000,0.000000,6.000000,6.770000,20.400000,0.000000,100.000000,0.4,0.770000,0.000000,0.000000,399.05

72,17:45-18:00,62.820000,201.890000,0.000000,6.000000,6.770000,20.400000,0.000000,100.000000,0.12,0.770000,0.000000,0.000000,398.77

73,18:00-18:15,62.820000,0.000000,0.000000,6.090000,6.770000,20.400000,100.000000,0.000000,0,0.720000,0.000000,100.000000,296.8

74,18:15-18:30,62.820000,0.000000,0.000000,6.090000,6.770000,20.400000,100.000000,0.000000,0,0.720000,0.000000,100.000000,296.8

75,18:30-18:45,62.820000,0.000000,0.000000,6.090000,6.770000,20.400000,100.000000,0.000000,0,0.720000,0.000000,100.000000,296.8

76,18:45-19:00,62.820000,0.000000,0.000000,6.090000,6.770000,20.400000,100.000000,0.000000,0,0.720000,0.000000,100.000000,296.8

77,19:00-19:15,62.820000,0.000000,0.000000,6.190000,6.770000,20.400000,100.000000,0.000000,0,0.720000,0.000000,100.000000,296.9

78,19:15-19:30,62.820000,0.000000,0.000000,6.190000,6.770000,20.400000,100.000000,0.000000,0,0.720000,0.000000,100.000000,296.9

79,19:30-19:45,62.820000,0.000000,0.000000,6.190000,6.770000,20.400000,100.000000,0.000000,0,0.720000,0.000000,100.000000,296.9

80,19:45-20:00,62.820000,0.000000,0.000000,6.190000,6.770000,20.400000,100.000000,0.000000,0,0.720000,0.000000,100.000000,296.9

