Time,Block,NR/2024/19043/A/15041,NR/2024/18936/A/14967,NR/2024/18935/A/14966,NR/2024/18996/A/15540,NR/2024/19075/A/15028,NR/2024/19024/A/15091,NR/2024/19121/A/15317,NR/2024/18977/A/14977,NR/2024/18978/A/14978,NR/2024/19441/C,NR/2024/19172/A/15668,NR/2024/18934/A/14965,NR/2024/18855/A/15319,NR/2024/19444/C,NR/2024/19337/A/15083,NR/2024/19030/A/15049,NR/2024/19454/C,NR/2024/19143/A/15062,NR/2024/19245/A/15086,NR/2024/18919/A/15519,NR/2024/18986/A/14996,NR/2024/19290/A/15667,NR/2024/19445/C,NR/2024/19462/C,NR/2024/18976/A/14976,NR/2024/19115/A/15066,NR/2024/19440/C,Total

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,20.300000,1.930000,0.000000,72.500000,2.000000,0.000000,9.670000,0.530000,67.670000,29.000000,38.670000,0.000000,0.000000,0,482.58

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,20.300000,1.930000,0.000000,72.500000,2.000000,0.000000,9.670000,0.530000,67.670000,29.000000,38.670000,0.000000,0.000000,0,482.58

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,72.500000,2.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,394.56

6,01:15-01:30,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,72.500000,2.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,394.56

7,01:30-01:45,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,72.500000,2.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,394.56

8,01:45-02:00,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,72.500000,2.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,394.56

9,02:00-02:15,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,322.06

10,02:15-02:30,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,322.06

11,02:30-02:45,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,322.06

12,02:45-03:00,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,322.06

13,03:00-03:15,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,322.06

14,03:15-03:30,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,322.06

15,03:30-03:45,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,322.06

16,03:45-04:00,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,322.06

17,04:00-04:15,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,322.06

18,04:15-04:30,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,322.06

19,04:30-04:45,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,322.06

20,04:45-05:00,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,52.590000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,322.06

21,05:00-05:15,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,320.06

22,05:15-05:30,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,320.06

23,05:30-05:45,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,320.06

24,05:45-06:00,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,9.670000,0.480000,67.670000,0.000000,0.000000,0.000000,0.000000,0,320.06

25,06:00-06:15,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530000,67.670000,0.000000,0.000000,0.000000,0.000000,0,310.44

26,06:15-06:30,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530000,67.670000,0.000000,0.000000,0.000000,0.000000,0,310.44

27,06:30-06:45,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530000,67.670000,0.000000,0.000000,0.000000,0.000000,0.23,310.67

28,06:45-07:00,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530000,67.670000,0.000000,0.000000,0.000000,0.000000,0.51,310.95

29,07:00-07:15,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,67.670000,0.000000,0.000000,0.000000,0.000000,0.82,311.36

30,07:15-07:30,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,67.670000,0.000000,0.000000,0.000000,0.000000,0.89,311.43

31,07:30-07:45,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,67.670000,0.000000,0.000000,0.000000,0.000000,1.45,311.99

32,07:45:08:00,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,67.670000,0.000000,0.000000,0.000000,0.000000,2.19,312.73

33,08:00-08:15,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.670000,0.000000,0.000000,0.000000,0.000000,3.17,314.05

34,08:15-08:30,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.670000,0.000000,0.000000,0.000000,0.000000,3.49,314.37

35,08:30-08:45,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.670000,0.000000,0.000000,0.000000,0.000000,2.34,313.22

36,08:45:09:00,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.670000,0.000000,0.000000,0.000000,0.000000,1.96,312.84

37,09:00:09:15,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.670000,0.000000,0.000000,0.000000,0.000000,2.93,313.81

38,09:15-09:30,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.670000,0.000000,0.000000,0.000000,0.000000,2.63,313.51

39,09:30-09:45,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.670000,0.000000,0.000000,0.000000,0.000000,3.86,314.74

40,09:45-10:00,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,66.890000,0.000000,0.000000,52.590000,116.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.670000,0.000000,0.000000,0.000000,0.000000,8.54,319.42

41,10:00-10:15,46.400000,6.770000,5.800000,48.340000,0.000000,4.830000,66.890000,58.000000,0.000000,45.050000,116.000000,4.830000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.670000,0.000000,0.000000,0.000000,48.340000,7.4,529.22

42,10:15-10:30,46.400000,6.770000,5.800000,48.340000,0.000000,4.830000,66.890000,58.000000,0.000000,45.050000,116.000000,4.830000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.670000,0.000000,0.000000,0.000000,48.340000,8.3,530.12

43,10:30-10:45,46.400000,6.770000,5.800000,48.340000,0.000000,4.830000,66.890000,58.000000,0.000000,45.050000,116.000000,4.830000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.670000,0.000000,0.000000,0.000000,48.340000,8.68,530.5

44,10:45-11:00,46.400000,6.770000,5.800000,48.340000,0.000000,4.830000,66.890000,58.000000,0.000000,45.050000,116.000000,4.830000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.670000,0.000000,0.000000,0.000000,48.340000,9.09,530.91

45,11:00-11:15,46.400000,6.770000,5.800000,48.340000,0.000000,4.830000,0.000000,58.000000,0.000000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.670000,0.000000,0.000000,0.000000,48.340000,9.15,530.97

46,11:15-11:30,46.400000,6.770000,5.800000,48.340000,0.000000,4.830000,0.000000,58.000000,0.000000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.670000,0.000000,0.000000,0.000000,48.340000,9.25,531.07

47,11:30-11:45,46.400000,6.770000,5.800000,48.340000,0.000000,4.830000,0.000000,58.000000,0.000000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.670000,0.000000,0.000000,0.000000,48.340000,9.28,531.1

48,11:45-12:00,46.400000,6.770000,5.800000,48.340000,0.000000,4.830000,0.000000,58.000000,0.000000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,67.670000,0.000000,0.000000,0.000000,48.340000,9.34,531.16

49,12:00-12:15,46.400000,6.770000,5.800000,48.340000,19.330000,4.830000,0.000000,58.000000,14.500000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.970000,67.670000,0.000000,0.000000,39.630000,48.340000,7.03,604.24

50,12:15-12:30,46.400000,6.770000,5.800000,48.340000,19.330000,4.830000,0.000000,58.000000,14.500000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.970000,67.670000,0.000000,0.000000,39.630000,48.340000,5.44,602.65

51,12:30-12:45,46.400000,6.770000,5.800000,48.340000,19.330000,4.830000,0.000000,58.000000,14.500000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.970000,67.670000,0.000000,0.000000,39.630000,48.340000,6.55,603.76

52,12:45-13:00,46.400000,6.770000,5.800000,48.340000,19.330000,4.830000,0.000000,58.000000,14.500000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.970000,67.670000,0.000000,0.000000,39.630000,48.340000,8.31,605.52

53,13:00-13:15,46.400000,6.770000,5.800000,48.340000,19.330000,4.830000,0.000000,58.000000,14.500000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.970000,67.670000,0.000000,0.000000,39.630000,48.340000,5.14,602.35

54,13:15-13:30,46.400000,6.770000,5.800000,48.340000,19.330000,4.830000,0.000000,58.000000,14.500000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.970000,67.670000,0.000000,0.000000,39.630000,48.340000,5.2,602.41

55,13:30-13:45,46.400000,6.770000,5.800000,48.340000,19.330000,4.830000,0.000000,58.000000,14.500000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.970000,67.670000,0.000000,0.000000,39.630000,48.340000,5.23,602.44

56,13:45-14:00,46.400000,6.770000,5.800000,48.340000,19.330000,4.830000,0.000000,58.000000,14.500000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.970000,67.670000,0.000000,0.000000,39.630000,48.340000,5.82,603.03

57,14:00-14:15,46.400000,6.770000,5.800000,48.340000,19.330000,4.830000,0.000000,58.000000,14.500000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.970000,67.670000,0.000000,0.000000,39.630000,48.340000,7.34,604.55

58,14:15-14:30,46.400000,6.770000,5.800000,48.340000,19.330000,4.830000,0.000000,58.000000,14.500000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.970000,67.670000,0.000000,0.000000,39.630000,48.340000,6.11,603.32

59,14:30-14:45,46.400000,6.770000,5.800000,48.340000,19.330000,4.830000,0.000000,58.000000,14.500000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.970000,67.670000,0.000000,0.000000,39.630000,48.340000,7.18,604.39

60,14:45-15:00,46.400000,6.770000,5.800000,48.340000,19.330000,4.830000,0.000000,58.000000,14.500000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.970000,67.670000,0.000000,0.000000,39.630000,48.340000,5.91,603.12

61,15:00-15:15,46.400000,6.770000,5.800000,48.340000,19.330000,4.830000,0.000000,58.000000,14.500000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.730000,67.670000,0.000000,0.000000,39.630000,48.340000,6.91,603.88

62,15:15-15:30,46.400000,6.770000,5.800000,48.340000,19.330000,4.830000,0.000000,58.000000,14.500000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.730000,67.670000,0.000000,0.000000,39.630000,48.340000,6.31,603.28

63,15:30-15:45,46.400000,6.770000,5.800000,48.340000,19.330000,4.830000,0.000000,58.000000,14.500000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.730000,67.670000,0.000000,0.000000,39.630000,48.340000,5.84,602.81

64,15:45-16:00,46.400000,6.770000,5.800000,48.340000,19.330000,4.830000,0.000000,58.000000,14.500000,45.050000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.730000,67.670000,0.000000,0.000000,39.630000,48.340000,5.29,602.26

65,16:00-16:15,46.400000,6.770000,5.800000,48.340000,0.000000,4.830000,0.000000,58.000000,0.000000,52.590000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.730000,67.670000,0.000000,0.000000,0.000000,48.340000,4.99,536.04

66,16:15-16:30,46.400000,6.770000,5.800000,48.340000,0.000000,4.830000,0.000000,58.000000,0.000000,52.590000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.730000,67.670000,0.000000,0.000000,0.000000,48.340000,4.33,535.38

67,16:30-16:45,46.400000,6.770000,5.800000,48.340000,0.000000,4.830000,0.000000,58.000000,0.000000,52.590000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.730000,67.670000,0.000000,0.000000,0.000000,48.340000,3.62,534.67

68,16:45-17:00,46.400000,6.770000,5.800000,48.340000,0.000000,4.830000,0.000000,58.000000,0.000000,52.590000,116.000000,4.830000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.730000,67.670000,0.000000,0.000000,0.000000,48.340000,3.02,534.07

69,17:00-17:15,0.000000,0.000000,0.000000,48.340000,0.000000,4.830000,0.000000,0.000000,0.000000,108.850000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.680000,67.670000,0.000000,0.000000,0.000000,0.000000,2.42,419.54

70,17:15-17:30,0.000000,0.000000,0.000000,48.340000,0.000000,4.830000,0.000000,0.000000,0.000000,108.850000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.680000,67.670000,0.000000,0.000000,0.000000,0.000000,1.85,418.97

71,17:30-17:45,0.000000,0.000000,0.000000,48.340000,0.000000,4.830000,0.000000,0.000000,0.000000,142.680000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.680000,67.670000,0.000000,0.000000,0.000000,0.000000,1.21,452.16

72,17:45-18:00,0.000000,0.000000,0.000000,48.340000,0.000000,4.830000,0.000000,0.000000,0.000000,142.680000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.680000,67.670000,0.000000,0.000000,0.000000,0.000000,0.86,451.81

73,18:00-18:15,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,167.240000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.680000,67.670000,0.000000,0.000000,0.000000,0.000000,0.53,427.7

74,18:15-18:30,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,167.240000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.680000,67.670000,0.000000,0.000000,0.000000,0.000000,0.24,427.41

75,18:30-18:45,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,167.240000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.680000,67.670000,0.000000,0.000000,0.000000,0.000000,0.1,427.27

76,18:45-19:00,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,167.240000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,0.000000,1.930000,0.000000,0.680000,67.670000,0.000000,0.000000,0.000000,0.000000,0,427.17

77,19:00-19:15,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,167.240000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,1.930000,0.000000,0.680000,67.670000,0.000000,0.000000,0.000000,0.000000,0,429.17

78,19:15-19:30,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,167.240000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,1.930000,0.000000,0.680000,67.670000,0.000000,0.000000,0.000000,0.000000,0,429.17

79,19:30-19:45,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,167.240000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,1.930000,0.000000,0.680000,67.670000,0.000000,0.000000,0.000000,0.000000,0,429.17

80,19:45-20:00,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,167.240000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,1.930000,0.000000,0.680000,67.670000,0.000000,0.000000,0.000000,0.000000,0,429.17

81,20:00-20:15,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,167.240000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,1.930000,0.000000,0.680000,67.670000,0.000000,0.000000,0.000000,0.000000,0,429.17

82,20:15-20:30,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,167.240000,116.000000,0.000000,66.890000,0.000000,1.930000,0.000000,0.000000,2.000000,1.930000,0.000000,0.680000,67.670000,0.000000,0.000000,0.000000,0.000000,0,429.17

