Column1,Block,GNA/NR/2025/05/01/9252,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/26879/A/76507,NR/2025/25967/A/76720,NR/2025/27756/C,NR/2025/27732/C,NR/2025/26827/A/76796,NR/2025/27759/C,NR/2025/26828/A/76794,NR/2025/27657/C,NR/2025/27774/C,NR/2025/26289/A/76766,NR/2025/27658/C,NR/2025/27663/C,NR/2025/27775/C,NR/2025/27692/C,NR/2025/27660/C,NR/2025/27720/C,NR/2025/27758/C,NR/2025/27661/C,NR/2025/27662/C,NR/2025/27773/C,NR/2025/27659/C,NR/2025/26825/A/76797,NR/2025/26829/A/76789,NR/2025/27746/C,NR/2025/26191/A/76452,NR/2025/26232/A/76769,NR/2025/26785/A/76484,NR/2025/26085/A/76341,NR/2025/26233/A/76768,NR/2025/26379/A/76719,NR/2025/27149/A/76490,NR/2025/27750/C,NR/2025/26265/A/76767,NR/2025/26959/A/76489,NR/2025/26336/A/76508,NR/2025/27751/C,NR/2025/27755/C,NR/2025/27757/C,NR/2025/25861/A/76755,NR/2025/26004/A/76456,NR/2025/25860/A/76756,NR/2025/25859/A/76757,NR/2025/26101/A/76546,NR/2025/26153/A/76458,NR/2025/26202/A/76852,NR/2025/26291/A/76765,GNA/NR/2025/05/01/4138,NR/2025/26082/A/76853,NR/2025/26822/A/76798,NR/2025/26005/A/76457,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/9395,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/6160,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/8068,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/76431,NR/2025/26335/A/76509,Total
3,00:30-00:45,13.53,13.23,33.81,164.24,0,62.8,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.77,4.83,77.29,1.93,0,96.61,6.76,111.1,108.55,0,0,0,48.3,144.92,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,0,0,0,164.24,17.56,0,30,14.49,26.26,10.63,0,0,0,2023.51

4,00:45-01:00,13.53,13.23,33.81,164.24,0,62.8,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.77,4.83,77.29,1.93,0,96.61,6.76,111.1,108.55,0,0,0,48.3,144.92,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,0,0,0,164.24,17.56,0,30,14.49,26.26,10.63,0,0,0,2023.51

5,01:00-01:15,13.53,13.23,33.81,164.24,0,62.8,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.68,4.83,77.29,1.93,0,96.61,6.76,111.1,108.55,0,0,0,48.3,144.92,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,0,0,0,164.24,17.56,0,30,14.49,26.26,10.63,0,0,0,2023.4199999999998

6,01:15-01:30,13.53,13.23,33.81,164.24,0,62.8,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.68,4.83,77.29,1.93,0,96.61,6.76,111.1,108.55,0,0,0,48.3,144.92,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,0,0,0,164.24,17.56,0,30,14.49,26.26,10.63,0,0,0,2023.4199999999998

7,01:30-01:45,13.53,13.23,33.81,164.24,0,62.8,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.68,4.83,77.29,1.93,0,96.61,6.76,111.1,108.55,0,0,0,48.3,144.92,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,0,0,0,164.24,17.56,0,30,14.49,26.26,10.63,0,0,0,2023.4199999999998

8,01:45-02:00,13.53,13.23,33.81,164.24,0,0,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.68,4.83,77.29,1.93,0,96.61,6.76,111.1,108.55,0,0,0,48.3,144.92,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,0,0,0,164.24,17.56,0,30,14.49,26.26,10.63,0,0,0,1960.6199999999997

9,02:00-02:15,13.53,13.03,33.81,164.24,0,0,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.63,4.83,77.29,1.93,0,0,6.76,111.1,108.55,0,0,0,48.3,144.92,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,30,14.49,26.26,10.63,0,0,0,1843.4699999999998

10,02:15-02:30,13.53,13.03,33.81,164.24,0,0,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.63,4.83,77.29,1.93,0,0,6.76,111.1,108.55,0,0,0,48.3,144.92,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,30,14.49,26.26,10.63,0,0,0,1843.4699999999998

11,02:30-02:45,13.53,13.03,33.81,164.24,0,0,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.63,4.83,77.29,1.93,0,0,6.76,111.1,108.55,0,0,0,48.3,144.92,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,30,14.49,26.26,10.63,0,0,0,1843.4699999999998

12,02:45-03:00,13.53,13.03,33.81,164.24,0,0,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.63,4.83,77.29,1.93,0,0,6.76,111.1,108.55,0,0,0,48.3,144.92,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,30,14.49,26.26,10.63,0,0,0,1843.4699999999998

13,03:00-03:15,13.53,12.85,33.81,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.48,4.83,77.29,1.93,0,0,6.76,111.1,108.55,0,0,0,48.3,144.92,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,30,14.49,26.26,10.63,0,0,0,1649.44

14,03:15-03:30,13.53,12.85,33.81,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.48,4.83,77.29,1.93,0,0,6.76,111.1,108.55,0,0,0,48.3,144.92,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,30,14.49,26.26,10.63,0,0,0,1649.44

15,03:30-03:45,13.53,12.85,33.81,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.48,4.83,77.29,1.93,0,0,6.76,111.1,108.55,0,0,0,48.3,144.92,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,0,0,0,1647.0400000000002

16,03:45-04:00,13.53,12.85,33.81,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.48,4.83,77.29,1.93,0,0,6.76,111.1,108.55,0,0,0,48.3,144.92,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,0,0,0,1647.0400000000002

17,04:00-04:15,13.53,12.76,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.48,4.83,77.29,1.93,62.8,0,6.76,111.1,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,0,0,0,1531.02

18,04:15-04:30,13.53,12.76,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.48,4.83,77.29,1.93,62.8,0,6.76,111.1,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,0,0,0,1531.02

19,04:30-04:45,13.53,12.76,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.48,4.83,77.29,1.93,62.8,0,6.76,111.1,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,0,0,0,1531.02

20,04:45-05:00,13.53,12.76,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.48,4.83,77.29,1.93,62.8,0,6.76,111.1,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,0,0,0,1531.02

21,05:00-05:15,13.53,12.58,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.48,4.83,77.29,1.93,62.8,0,6.76,0,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,0,0,0,1419.74

22,05:15-05:30,13.53,12.58,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.48,4.83,77.29,1.93,62.8,0,6.76,0,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,0.02,0,0,1419.76

23,05:30-05:45,13.53,12.58,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.48,4.83,77.29,1.93,62.8,0,5.8,0,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,0.11,0,0,1418.8899999999999

24,05:45-06:00,13.53,12.58,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.48,4.83,77.29,1.93,62.8,0,5.8,0,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,0.13,0,0,1418.91

25,06:00-06:15,13.53,12.48,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.58,4.83,77.29,1.93,62.8,0,5.8,0,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,0.67,0,1,1420.45

26,06:15-06:30,13.53,12.48,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.58,4.83,77.29,1.93,62.8,0,5.8,0,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,1.41,0,4,1424.19

27,06:30-06:45,13.53,12.48,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.58,4.83,77.29,1.93,62.8,0,5.8,0,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,4.68,0,7,1430.46

28,06:45-07:00,13.53,12.48,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.58,4.83,77.29,1.93,62.8,0,5.8,0,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,7.81,0,14,1440.59

29,07:00-07:15,13.53,12.39,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.68,4.83,77.29,1.93,62.8,0,5.8,0,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,11.75,0,25,1455.54

30,07:15-07:30,13.53,12.39,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.68,4.83,77.29,1.93,62.8,0,5.8,0,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,16.85,0,35,1470.6399999999999

31,07:30-07:45,13.53,12.39,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.68,4.83,77.29,1.93,62.8,0,5.8,0,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,22.91,0,53,1494.7

32,07:45-08:00,13.53,12.39,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.68,4.83,77.29,1.93,62.8,0,5.8,0,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,96.61,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,29.65,0,67,1515.44

33,08:00-08:15,13.53,12.3,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.97,4.83,77.29,1.93,62.8,96.61,5.8,0,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,36.89,7.73,77,1540.6100000000001

34,08:15-08:30,13.53,12.3,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.97,4.83,77.29,1.93,62.8,96.61,5.8,0,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,44.19,7.73,91,1561.91

35,08:30-08:45,13.53,12.3,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.97,4.83,77.29,1.93,62.8,96.61,5.8,0,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,51.47,7.73,105,1583.19

36,08:45-09:00,13.53,12.3,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.97,4.83,77.29,1.93,62.8,96.61,5.8,0,108.55,0,0,0,48.3,0,67.63,0,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.93,14.49,26.93,10.63,58.9,7.73,119,1604.6200000000001

37,09:00-09:15,13.53,12.2,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,2.9,62.8,0,6.76,0,108.55,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.94,14.49,26.94,10.63,66.11,10.63,133,1683.7200000000003

38,09:15-09:30,13.53,12.2,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,2.9,62.8,0,6.76,0,108.55,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.94,14.49,26.94,10.63,72.26,10.63,147,1703.8700000000003

39,09:30-09:45,13.53,12.2,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,2.9,62.8,0,6.76,0,108.55,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.94,14.49,26.94,10.63,78.16,10.63,158,1720.7700000000004

