Block,Time Block,NJPC,MAPS,NAPP,NLCEXP,KUDGI,KISHANGANGA,KHSTPP-I,JHAJJAR,KGSU1AND2,KGSU3AND4,FSTPP I & II,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KOTESHWR,DULHASTI,DADRT2,CHAMERA1,BSIUL,CHAMERA3,CHAMERA2,DHAULIGNGA,BRBCL,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,RIHAND2,NLCIIST1,SALAL,NLCIIST2,RIHAND1,NLCTS2EXP,RAMPUR,RSTPSU1TO6,NNTPP,RAPPC,NTPL,RSTPSU7,PARBATI3,RIHAND3,RAPPB,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,VALLURNTECL,TelanganaSTPP,SINGRAULI_HYDRO,SEWA2,SASAN,SIMHST2,SIMHST1,SINGRAULI,TALST2,TANAKPUR,TANDA2,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
10,02:15-02:30,0,0,40.34,0,0,0,44.17,536.46,0,0,17.54,142.43,0,0,0,6.18,15.88,552.37,0,12.57,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,40.85,34.05,0,19.25,0,32.02,25.35,0,0,0.76,4.88,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,40.34,0,0,0,44.17,536.46,0,0,17.54,142.43,0,0,0,6.18,15.88,552.37,0,12.57,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,68.31,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,40.85,34.05,0,19.25,0,32.02,25.35,0,0,0.76,4.88,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,0,40.34,0,0,0,44.17,536.46,0,0,17.54,142.43,0,0,0,6.18,15.88,552.37,0,12.57,0,0,0,13.84,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,68.31,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,40.85,34.05,0,19.25,0,32.02,25.35,0,0,0.76,4.94,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,0,40.34,0,0,0,44.17,536.46,0,0,17.54,142.43,0,0,0,6.18,15.88,552.39,0,12.57,0,0,0,15.11,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,68.31,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,40.85,34.05,0,19.25,0,30.74,25.35,0,0,0.76,5.01,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,0,40.34,0,0,0,44.17,536.46,0,0,17.54,142.43,0,0,0,6.18,15.88,552.39,0,12.57,0,0,0,17.71,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,68.31,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,40.85,34.05,0,19.25,0,30.74,25.35,0,0,0.76,10.15,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,0,40.34,0,0,0,44.17,536.46,0,0,17.54,142.43,0,0,0,6.18,15.88,545.59,0,12.57,0,0,0,16.49,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,68.31,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,40.85,34.05,0,19.25,0,30.74,25.35,0,0,0.76,10.15,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,0,40.34,0,0,0,44.17,536.46,0,0,17.54,142.43,0,0,0,6.18,15.88,545.59,0,12.57,0,0,0,17.42,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,68.31,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,40.85,34.05,0,19.25,0,30.74,25.35,0,0,0.76,10.15,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,0,40.34,0,0,0,44.17,529.08,0,0,14.05,142.43,0,0,0,6.18,15.88,541.53,0,12.57,0,0,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,33.36,34.05,0,15.33,0,30.74,20.81,0,0,0.76,10.15,400.05,0,0,94.54,0,6.04,0,0,0,0,0,0,0

18,04:15-04:30,0,0,40.34,0,0,0,44.17,529.08,0,0,14.05,142.43,0,0,0,6.18,15.88,541.64,0,12.57,0,0,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,33.36,34.05,0,15.33,0,30.74,20.81,0,0,0.76,10.15,400.05,0,0,94.54,0,6.04,0,0,0,0,0,0,0

19,04:30-04:45,0,0,40.34,0,0,0,44.17,529.01,0,0,14.05,142.43,0,0,0,6.18,15.88,541.61,0,12.57,0,0,8.81,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,33.36,34.05,0,15.33,0,30.74,20.81,0,0,0.76,10.15,400.05,0,0,94.54,0,6.04,0,0,0,0,0,0,0

20,04:45-05:00,0,0,40.34,0,0,0,44.17,529.01,0,0,14.05,142.43,0,0,0,6.18,15.88,541.61,0,12.57,0,0,8.81,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,33.36,34.05,10.01,15.33,0,30.74,20.81,0,0,0.76,10.15,400.05,0,0,94.54,0,6.04,0,0,0,0,0,0,0

21,05:00-05:15,0,0,40.34,0,0,0,44.17,529.01,0,0,14.05,142.43,0,0,0,6.18,15.88,541.61,0,12.57,0,0,8.81,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,33.36,34.05,10.01,15.33,0,30.74,20.81,0,0,0.72,10.15,400.05,0,0,94.54,0,6.04,0,0,0,0,0,0,0

22,05:15-05:30,22.54,0,40.34,0,0,0,44.17,528.85,0,0,14.05,142.43,0,0,0,6.18,15.88,535.95,11.81,12.57,0,0,8.81,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,33.36,34.05,20.04,15.33,0,30.74,20.81,0,0,0.72,15.24,400.05,0,0,94.54,0,6.04,0,0,0,0,0,0,0

23,05:30-05:45,22.54,0,40.34,0,0,0,44.17,528.84,0,0,14.05,142.43,0,0,0,6.18,15.88,535.99,11.81,12.57,0,0,17.6,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,33.36,34.05,21.01,15.33,0,30.74,20.81,0,0,0.72,15.24,400.05,0,0,94.54,0,6.04,0,0,0,0,0,0,0

24,05:45-06:00,45.08,0,40.34,0,0,0,44.17,486.2,0,0,14.05,142.43,0,0,0,6.18,15.88,535.99,11.81,12.57,0,3.22,17.6,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,33.36,34.05,31.51,15.33,0,30.74,20.81,0,0,0.72,15.24,400.05,0,0,94.54,0,6.04,0,0,0,0,0,0,0

25,06:00-06:15,58.41,0,40.34,0,0,0,44.17,486.2,0,0,17.54,142.43,0,0,0,6.18,15.88,481.45,11.81,12.57,9.33,12.69,17.6,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,3.68,119.82,0,40.11,38.31,31.51,19.19,0,30.74,25.35,0,0,0.72,15.24,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

26,06:15-06:30,58.41,0,40.34,0,0,0,44.17,486.2,0,0,17.54,142.43,0,0,0,17.11,31.76,450.28,27.03,12.57,18.65,15.42,17.6,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,15.94,119.82,0,40.11,38.31,31.51,19.19,0,30.74,25.35,0,0,0.72,15.24,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

27,06:30-06:45,112.34,0,40.34,0,0,0,44.17,462.94,0,0,17.54,142.43,0,0,0,37.63,47.64,437.06,40.62,18.85,28.01,38.08,17.61,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,15.94,119.82,0,40.85,38.31,41.16,19.25,0,30.74,25.35,0,0,0.72,15.24,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

28,06:45-07:00,112.7,0,40.34,0,0,0,44.17,462.94,0,0,17.54,142.43,0,0,0,37.63,47.64,437.06,40.62,18.85,28.01,38.08,26.42,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,15.94,119.82,0,40.85,38.31,41.16,19.25,0,30.74,25.35,0,0,0.72,15.24,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

29,07:00-07:15,135.26,0,40.34,0,0,0,44.17,532.97,0,0,17.54,142.43,0,0,0,37.63,47.64,437.06,40.62,18.85,28.01,38.08,26.42,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,15.94,119.82,0,40.85,34.05,41.16,19.25,0,30.74,25.35,0,0,0.72,15.24,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

30,07:15-07:30,135.26,0,40.34,0,0,0,44.17,464.66,0,0,17.54,142.43,0,0,0,37.63,47.64,432.86,40.62,18.85,28.01,38.08,26.42,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,15.94,119.82,0,40.85,34.05,41.16,19.25,0,30.74,25.35,0,0,0.72,15.24,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

31,07:30-07:45,112.7,0,40.34,0,0,0,44.17,373.55,0,0,14.05,142.43,0,0,0,37.63,47.64,417.59,40.62,18.85,28.01,38.08,26.42,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,15.94,119.82,0,33.36,34.05,41.16,15.33,0,30.74,20.81,0,0,0.7,15.24,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

32,07:45-08:00,112.7,0,40.34,0,0,0,44.17,345.56,0,0,14.05,142.43,0,0,0,17.11,31.76,446.62,40.62,6.28,9.33,25.38,17.6,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,14.72,119.82,0,33.36,34.05,41.16,15.33,0,30.74,20.81,0,0,0.7,15.24,400.05,0,0,94.54,0,0,0,0,0,0,0,0,0

33,08:00-08:15,112.7,0,40.34,0,0,0,37.36,347.1,0,0,12.75,120.27,0,0,0,8.55,15.88,410.86,23.6,6.28,9.33,25.38,17.6,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,3.44,119.82,0,26.62,34.05,41.16,12.32,0,30.74,16.95,0,0,0.7,15.24,403.25,0,0,94.54,0,0,0,0,0,0,0,0,0

34,08:15-08:30,90.16,0,40.34,0,0,0,37.36,347.1,0,0,11.55,120.27,0,0,0,8.55,15.88,362.35,22.84,6.28,9.33,25.38,8.81,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,22.46,38.31,31.51,11.44,0,30.74,13.99,0,0,0.7,15.24,403.57,0,0,94.54,0,0,0,0,0,0,0,0,0

35,08:30-08:45,67.62,0,40.34,0,0,0,37.36,347.1,0,0,11.55,120.27,0,0,0,8.55,15.88,362.35,22.84,12.57,9.33,12.69,8.81,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,22.46,38.31,31.51,11.44,0,30.74,13.99,0,0,0.7,15.24,403.57,0,0,94.54,0,0,0,0,0,0,0,0,0

36,08:45-09:00,45.08,0,40.34,0,0,0,37.36,347.1,0,0,11.55,120.27,0,0,0,8.55,15.88,362.35,11.42,12.57,9.33,12.69,8.81,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,22.46,38.31,20.15,11.44,0,30.74,13.99,0,0,0.7,10.15,403.57,0,0,94.54,0,0,0,0,0,0,0,0,0

37,09:00-09:15,22.17,0,40.34,0,0,0,37.36,347.1,0,0,11.55,120.27,0,0,0,8.55,15.88,362.35,0,12.57,9.33,12.69,8.81,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,22.46,38.31,20.15,11.44,0,30.74,16.48,0,0,0.7,10.15,403.57,0,0,94.54,0,0,0,0,0,0,0,0,0

38,09:15-09:30,0,0,40.34,0,0,0,37.36,347.1,0,0,11.55,120.27,0,0,0,8.55,15.88,362.35,0,12.57,9.33,12.69,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,9.71,11.44,0,30.74,16.48,0,0,0.7,10.15,403.57,0,0,94.54,0,0,0,0,0,0,0,0,0

39,09:30-09:45,0,0,40.34,0,0,0,36.14,347.1,0,0,11.55,109.7,0,0,0,8.55,15.88,362.35,0,12.57,9.33,12.69,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,9.71,11.44,0,30.74,16.48,0,0,0.7,5.08,403.57,0,0,94.54,0,0,0,0,0,0,0,0,0

40,09:45-10:00,0,0,40.34,0,0,0,31.93,347.1,0,0,11.55,111.04,0,0,0,8.55,15.88,362.35,0,12.57,9.33,12.69,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,25.76,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,9.71,11.44,0,30.74,16.48,0,0,0.7,5.08,403.57,0,0,94.54,0,0,0,0,0,0,0,0,0

41,10:00-10:15,0,0,40.34,0,0,0,31.93,347.1,0,0,11.55,100.35,0,0,0,8.55,15.88,362.35,0,12.57,9.33,12.69,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,12.88,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,0,11.44,0,30.74,16.48,0,0,0.7,5.08,403.57,0,0,94.54,0,0,0,0,0,0,0,0,0

42,10:15-10:30,0,0,40.34,0,0,0,31.72,347.1,0,0,11.55,100.69,0,0,0,8.55,15.88,362.35,0,12.57,9.33,12.69,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,12.88,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,0,11.44,0,30.74,16.48,0,0,0.7,5.08,403.57,0,0,94.54,0,0,0,0,0,0,0,0,0

43,10:30-10:45,0,0,40.34,0,0,0,31.72,347.1,0,0,11.55,100.69,0,0,0,8.55,15.88,362.35,0,12.57,0,12.69,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,12.88,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,0,13.59,0,30.74,16.48,0,0,0.7,0,403.57,0,0,94.54,0,1.98,0,0,0,0,0,0,0

44,10:45-11:00,0,0,40.34,0,0,0,31.72,347.1,0,0,11.55,100.69,0,0,0,8.55,15.88,362.35,0,12.57,0,12.69,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,12.88,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,9.71,13.59,0,30.74,16.48,0,0,0.7,0,403.57,0,0,94.54,0,1.98,0,0,0,0,0,0,0

45,11:00-11:15,0,0,40.34,0,0,0,31.72,347.1,0,0,11.55,100.69,0,0,0,8.55,15.88,362.35,0.38,12.57,0,12.69,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,12.88,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,9.71,13.59,0,30.74,16.48,0,0,0.7,0,403.57,0,0,94.54,0,1.98,0,0,0,0,0,0,0

46,11:15-11:30,0,0,40.34,0,0,0,31.72,347.1,0,0,11.55,100.69,0,0,0,8.55,15.88,362.35,12.6,12.57,0,12.69,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,12.88,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,9.71,13.59,0,30.74,16.48,0,0,0.7,0,403.57,0,0,94.54,0,1.98,0,0,0,0,0,0,0

47,11:30-11:45,0,0,40.34,0,0,0,31.72,347.1,0,0,11.55,100.69,0,0,0,8.55,15.88,362.35,1.24,12.57,0,12.69,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,12.88,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,0,13.59,0,27.87,16.48,0,0,0.7,0,403.57,0,0,94.54,0,1.48,0,0,0,0,0,0,0

48,11:45-12:00,0,0,40.34,0,0,0,31.72,347.1,0,0,11.55,100.69,0,0,0,8.55,15.88,362.35,0,12.57,0,12.69,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,12.88,0,88.66,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,0,13.59,0,27.87,16.48,0,0,0.7,0,403.57,0,0,94.54,0,1.48,0,0,0,0,0,0,0

49,12:00-12:15,0,0,40.34,0,0,0,31.05,347.1,0,0,11.55,97.4,0,0,0,8.55,0,362.35,0,12.57,0,0,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,12.88,0,80.65,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,0,13.59,0,27.87,16.48,0,0,0.7,0,403.57,0,0,94.54,0,1.48,0,0,0,0,0,0,0

50,12:15-12:30,0,0,40.34,0,0,0,31.05,347.1,0,0,11.55,97.4,0,0,0,8.55,0,362.35,0,12.57,0,0,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,12.88,0,80.65,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,0,13.59,0,27.87,16.48,0,0,0.7,0,403.57,0,0,94.54,0,1.48,0,0,0,0,0,0,0

51,12:30-12:45,0,0,40.34,0,0,0,30.4,347.1,0,0,11.55,94.28,0,0,0,8.55,0,304.53,0,12.57,0,0,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,12.88,0,74.42,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,0,13.59,0,27.87,16.48,0,0,0.7,0,403.57,0,0,94.54,0,1.48,0,0,0,0,0,0,0

52,12:45-13:00,0,0,40.34,0,0,0,30.4,347.1,0,0,11.55,94.28,0,0,0,8.55,0,304.53,0,12.57,0,0,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,114.45,0,12.88,0,74.42,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,0,13.59,0,27.87,16.48,0,0,0.7,0,403.57,0,0,94.54,0,1.48,0,0,0,0,0,0,0

53,13:00-13:15,0,0,40.34,0,0,0,30.4,347.1,0,0,11.55,94.26,0,0,0,8.55,0,304.53,0,6.28,0,0,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,98.64,0,12.88,0,68.39,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,0,13.59,0,30.74,16.48,0,0,0.7,0,403.57,0,0,82.46,0,1.48,0,0,0,0,0,0,0

54,13:15-13:30,0,0,40.34,0,0,0,30.4,347.1,0,0,11.55,94.26,0,0,0,8.55,0,304.53,0,6.28,0,0,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,98.64,0,12.88,0,68.39,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,0,13.59,0,30.74,16.48,0,0,0.7,0,403.57,0,0,82.46,0,1.48,0,0,0,0,0,0,0

55,13:30-13:45,0,0,40.34,0,0,0,30.4,347.1,0,0,11.55,94.26,0,0,0,8.55,0,304.53,0,6.28,0,0,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,83.55,0,12.88,0,62.56,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,0,13.59,0,30.46,16.48,0,0,0.7,0,403.57,0,0,74.39,0,1.48,0,0,0,0,0,0,0

56,13:45-14:00,0,0,40.34,0,0,0,30.4,347.1,0,0,11.55,94.26,0,0,0,8.55,0,304.53,0,6.28,0,0,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,83.55,0,12.88,0,62.56,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,0,13.59,0,30.46,16.48,0,0,0.7,0,403.57,0,0,74.39,0,1.48,0,0,0,0,0,0,0

57,14:00-14:15,0,0,40.34,0,0,0,30.23,347.1,0,0,11.55,91.39,0,0,0,8.55,0,304.53,0,6.28,0,0,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,98.16,0,12.88,0,62.56,0,0,0,0,49.16,0,0,0,119.82,0,22.46,34.05,0,13.59,0,30.46,16.48,0,0,0.7,0,403.57,0,0,86.46,0,1.48,0,0,0,0,0,0,0

58,14:15-14:30,0,0,40.34,0,0,0,30.23,347.1,0,0,11.55,91.39,0,0,0,8.55,0,304.53,0,6.28,0,0,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,98.16,0,12.88,0,62.56,0,0,0,0,49.16,0,0,0,119.82,0,25.74,34.05,0,13.59,0,30.46,16.95,0,0,0.7,0,403.57,0,0,86.46,0,1.48,0,0,0,0,0,0,0

59,14:30-14:45,0,0,40.34,0,0,0,29.07,347.1,0,0,11.55,89.64,0,0,0,8.55,0,304.53,0,6.28,0,0,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,98.12,0,12.88,0,61.93,0,0,0,0,49.16,0,0,0,119.82,0,25.74,34.05,0,11.64,0,30.46,16.95,0,0,0.7,0,403.57,0,0,86.46,0,1.48,0,0,0,0,0,0,0

60,14:45-15:00,0,0,40.34,0,0,0,29.07,347.1,0,0,11.55,89.64,0,0,0,8.55,0,304.53,0,6.28,0,0,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,98.12,0,12.88,0,61.93,0,0,0,0,49.16,0,0,0,119.82,0,25.74,34.05,0,11.64,0,30.46,16.95,0,0,0.7,0,403.57,0,0,86.46,0,1.48,0,0,0,0,0,0,0

