Block,Time,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,NR/01112023/30112023/HP-09,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01112023/30112023/HP-10,NR/01102023/30042040/GNA_LT_36,NR/01102023/25122043/GNA_MEJA_DELHI,NR/03112023/30112023/IEX-231101-05680,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/02112023/15112023/D20231102NR21539,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01102023/23072042/L_NR_2012_04,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,SR/01112023/30112023/KSEB_BYPL-NOV23,SR/01102023/07102043/L_NR_2018_61,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13
6,01:15-01:30,0.000000,96.680000,76.850000,2.250000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,261.620000,27.070000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.44,6.66,145.02,7.21,21.87,21.87,0,0,0,8.45,0,0,0,0,0,0,0,0,25.33,0,0

7,01:30-01:45,0.000000,96.680000,76.850000,2.250000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,261.620000,27.070000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.59,6.66,145.02,7.21,21.24,21.24,0,0,0,8.59,0,0,0,0,0,0,0,0,25.78,0,0

8,01:45-02:00,0.000000,96.680000,76.850000,2.250000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,261.620000,27.070000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.99,6.66,145.02,7.21,20.99,20.99,0,0,0,8.98,0,0,0,0,0,0,0,0,26.97,0,0

9,02:00-02:15,0.000000,96.680000,76.850000,2.250000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,261.620000,26.100000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.85,6.66,145.02,7.21,21.97,21.97,0,0,0,8.85,0,0,0,0,0,0,0,0,26.56,0,0

10,02:15-02:30,0.000000,92.330000,76.850000,2.250000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,261.620000,26.100000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.75,6.66,145.02,7.21,22.48,22.48,0,0,0,8.74,0,0,0,0,0,0,0,0,26.24,0,0

11,02:30-02:45,0.000000,87.980000,76.850000,2.250000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,261.620000,26.100000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.81,6.66,145.02,7.21,18.23,18.23,0,0,0,8.8,0,0,0,0,0,0,0,0,26.43,0,0

12,02:45-03:00,0.000000,87.980000,76.850000,2.250000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,261.620000,26.100000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.69,6.66,145.02,7.21,18.84,18.84,0,0,0,8.68,0,0,0,0,0,0,0,0,26.06,0,0

13,03:00-03:15,0.000000,71.930000,76.850000,2.250000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,225.180000,26.100000,59.120000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.6,6.66,145.02,7.21,19.44,19.44,0,0,0,8.6,0,0,0,0,0,0,0,0,25.8,0,0

14,03:15-03:30,0.000000,71.930000,76.850000,2.250000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,225.180000,26.100000,59.120000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.56,6.66,145.02,7.21,21.44,21.44,0,0,0,8.55,0,0,0,0,0,0,0,0,25.68,0,0

15,03:30-03:45,0.000000,71.930000,76.850000,2.250000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,215.510000,26.100000,59.120000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.48,6.66,145.02,7.21,20.78,20.78,0,0,0,8.48,0,0,0,0,0,0,0,0,25.44,0,0

16,03:45-04:00,0.000000,71.930000,76.850000,2.250000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,215.510000,26.100000,59.120000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.45,6.66,145.02,7.21,20.06,20.06,0,0,0,8.43,0,0,0,0,0,0,0,0,25.34,0,0

17,04:00-04:15,0.000000,71.930000,76.850000,2.180000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,215.510000,26.100000,59.120000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.54,6.66,145.02,7.21,19.57,19.57,0,0,0,8.54,0,0,0,0,0,0,0,0,25.63,0,0

18,04:15-04:30,0.000000,80.630000,76.850000,2.180000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,261.620000,26.100000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.61,6.66,145.02,7.21,18.84,18.84,0,0,0,8.6,0,0,0,0,0,0,0,0,25.83,0,0

19,04:30-04:45,0.000000,89.330000,76.850000,2.180000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,261.620000,26.100000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.73,6.66,145.02,7.21,17.96,17.96,0,0,0,8.72,0,0,0,0,0,0,0,0,26.18,0,0

20,04:45-05:00,0.000000,67.680000,76.850000,2.180000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,2.000000,261.620000,26.100000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.84,6.66,145.02,7.21,17.15,17.15,0,0,0,8.85,0,0,0,0,0,0,0,0,26.53,0,0

21,05:00-05:15,0.000000,67.680000,76.850000,2.180000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,1.920000,261.620000,26.100000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,8.97,6.66,145.02,7.21,16.54,16.54,0,0,0,8.95,0,0,0,0,0,0,0,0,26.9,0,0

22,05:15-05:30,0.000000,76.380000,76.850000,2.180000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,1.920000,261.620000,26.100000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,9.05,5,145.02,7.21,16.02,16.02,0,0,0,9.04,0,0,0,0,0,0,0,0,27.15,0,0

23,05:30-05:45,0.000000,85.080000,76.850000,2.180000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,1.920000,261.620000,26.100000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,9.39,5,145.02,7.21,15.99,15.99,0,0,0,9.37,0,0,0,0,0,0,0,0,28.16,0,0

24,05:45-06:00,0.000000,118.340000,76.850000,2.180000,26.090000,101.260000,48.340000,49.320000,0.000000,0.000000,48.340000,1.920000,261.620000,26.100000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,9.5,5,145.02,7.21,15.21,15.21,0,0,0,9.48,0,0,0,0,0,0,0,0,28.49,0,0

25,06:00-06:15,0.000000,118.340000,0.000000,2.180000,23.470000,101.260000,48.340000,231.420000,0.000000,0.000000,48.340000,1.920000,261.620000,27.070000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,9.58,5,145.02,7.21,23.84,23.84,0,0,0,9.58,0,0,0,0,0,0,0,0,28.75,0,0

26,06:15-06:30,0.000000,118.340000,0.000000,2.180000,23.470000,101.260000,48.340000,231.420000,0.000000,0.000000,48.340000,1.920000,261.620000,27.070000,74.130000,48.340000,0.000000,26.090000,2.650000,271.910000,0,9.63,5,145.02,7.21,23.22,23.22,0,0,0,9.63,0,0,1,0,0,0,0,0,28.9,0,0

27,06:30-06:45,0.010000,118.340000,0.000000,2.180000,23.470000,101.260000,48.340000,231.420000,0.010000,0.000000,48.340000,1.920000,261.620000,27.070000,74.130000,48.340000,0.010000,23.470000,2.650000,271.910000,0,9.68,5,145.02,7.21,22.77,22.77,0,0,0,9.69,3,0,5,0,2.841744,0.32,0,0,29.05,1,0

28,06:45-07:00,0.040000,118.340000,0.000000,2.180000,23.470000,101.260000,48.340000,231.420000,0.040000,0.000000,48.340000,1.920000,261.620000,26.100000,74.130000,48.340000,0.040000,23.470000,2.650000,271.910000,1.5,9.79,9.18,145.02,7.21,22.12,22.12,0.33,0,1,9.78,15,0,10,1.29,12.972756,1.08,3.5,0,29.37,7.64,0.26

29,07:00-07:15,0.280000,118.340000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,0.280000,0.000000,48.340000,1.920000,261.620000,26.100000,74.130000,48.340000,0.280000,26.090000,2.650000,271.910000,3,9.58,9.03,145.02,13.47,21.39,21.39,2.33,0,1,9.56,31.67,0,18,4.68,23.16216,2.55,7,1,28.73,20,0.94

30,07:15-07:30,0.750000,118.340000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,0.770000,0.000000,48.340000,1.920000,261.620000,26.100000,74.130000,48.340000,0.750000,26.090000,2.650000,271.910000,4.5,9.39,9.03,145.02,13.37,20.91,20.91,5,0,4,9.4,27.97,0,27,13.57,32.573004,5,10.5,2,28.18,27.98,2.71

31,07:30-07:45,1.540000,118.340000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,1.580000,0.000000,48.340000,1.920000,261.620000,26.100000,74.130000,48.340000,1.540000,26.090000,2.650000,271.910000,9,9.03,8.9,145.02,12.93,25.22,25.22,4.42,0,9,9.03,29.99,0,29.98,23.56,42.791604,9,21,5,27.1,29.98,4.71

32,07:45:08:00,2.540000,118.340000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,2.600000,0.000000,48.340000,1.920000,261.620000,26.100000,74.130000,48.340000,2.540000,26.090000,2.650000,271.910000,15,11.77,8.9,145.02,12.53,24.95,24.95,10.92,0,16,11.77,30.49,0,30.48,39.63,53.652516,12,35,8,35.31,30.48,7.92

33,08:00-08:15,3.630000,118.340000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,3.710000,0.000000,48.340000,1.920000,261.620000,26.100000,74.130000,48.340000,3.630000,26.090000,2.650000,271.910000,22.2,11.64,8.8,145.02,12.05,23.93,23.93,18,0,24,11.65,30.99,0,30.98,66.17,64.9611,17,51.8,12,34.93,30.98,13.23

34,08:15-08:30,4.730000,118.340000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,4.850000,0.000000,48.340000,1.920000,261.620000,27.070000,74.130000,48.340000,4.730000,26.090000,2.650000,271.910000,29.7,11.28,11.84,145.02,11.45,23.18,23.18,25.4,0,33,11.26,31.31,0,31.32,85.72,75.491124,21.5,69.3,16,33.83,31.32,17.14

35,08:30-08:45,5.900000,118.340000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,6.050000,0.000000,48.340000,1.920000,261.620000,27.070000,74.130000,48.340000,5.900000,26.090000,2.650000,271.910000,37.2,11.06,11.34,145.02,8.06,21.69,21.69,33.03,0,41,11.06,32.16,0,32.17,104.94,84.999288,25,86.8,21,33.17,32.17,20.99

36,08:45:09:00,7.000000,118.340000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,7.170000,0.000000,48.340000,1.920000,261.620000,27.070000,74.130000,48.340000,7.000000,26.090000,2.650000,271.910000,44.1,10.71,11.01,145.02,7.8,20.82,20.82,40.54,0,49,10.71,32.16,0,32.17,123.78,93.680232,27.8,102.9,24,32.12,32.17,24.75

37,09:00:09:15,8.050000,118.340000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,8.250000,0.000000,48.340000,2.020000,261.620000,27.070000,74.130000,48.340000,8.050000,26.090000,2.600000,271.910000,50.4,13.41,10.01,145.02,7.5,19.84,19.84,47.46,0,56,13.4,32.34,0,32.33,140.99,88.51254,30.5,117.6,28,40.23,32.33,28.2

38,09:15-09:30,9.020000,118.340000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,9.250000,0.000000,48.340000,2.020000,261.620000,28.040000,74.130000,48.340000,9.020000,26.090000,2.600000,271.910000,56.1,13.04,6.66,145.02,7.4,18.86,18.86,53.83,0,61,13.02,32.34,0,32.33,157.1,96.05484,33,130.9,30,39.11,32.33,31.42

39,09:30-09:45,9.920000,118.340000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,10.170000,0.000000,48.340000,2.020000,261.620000,29.000000,74.130000,48.340000,9.920000,26.090000,2.600000,271.910000,59.7,12.54,6.66,145.02,7.26,17.63,17.63,59.95,0,65,12.52,32.34,0,32.33,174.22,103.149468,36,139.3,32,37.61,32.33,34.84

40,09:45-10:00,10.800000,118.340000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,11.070000,0.000000,48.340000,2.020000,261.620000,29.000000,74.130000,48.340000,10.800000,26.090000,2.600000,271.910000,64.2,11.73,6.66,145.02,7.2,16.67,16.67,65.28,0,68,11.74,32.34,0,32.33,189.64,109.397412,37.5,149.8,34,35.2,32.33,37.93

41,10:00-10:15,11.530000,118.340000,0.000000,2.100000,26.090000,101.260000,48.340000,231.420000,11.810000,0.000000,48.340000,1.920000,261.620000,29.000000,74.130000,48.340000,11.530000,26.090000,2.600000,271.910000,68.4,10.85,6.66,145.02,7.21,15,15,70.22,0,70,10.85,32.34,0,32.33,201.86,114.866796,39,159.6,35,32.56,32.33,40.37

42,10:15-10:30,12.200000,118.340000,0.000000,2.100000,26.090000,101.260000,48.340000,231.420000,12.500000,0.000000,48.340000,1.920000,261.620000,29.000000,74.130000,48.340000,12.200000,26.090000,2.600000,271.910000,72,10.25,6.66,145.02,7.21,13.33,13.33,73.21,0,77,10.25,32.34,0,32.33,213.06,119.596548,42,168,39,30.76,32.33,42.61

43,10:30-10:45,12.890000,118.340000,0.000000,2.100000,26.090000,101.260000,48.340000,231.420000,13.220000,0.000000,48.340000,1.920000,261.620000,29.000000,74.130000,48.340000,12.890000,26.090000,2.600000,271.910000,74.7,9.25,6.66,145.02,7.21,13.33,13.33,76.29,0,75,9.26,32.34,0,32.33,220.75,121.270452,43,174.3,38,27.76,32.33,44.15

44,10:45-11:00,13.260000,118.340000,0.000000,2.100000,26.090000,101.260000,48.340000,231.420000,13.590000,0.000000,48.340000,1.920000,261.620000,28.040000,74.130000,48.340000,13.260000,26.090000,2.600000,271.910000,77.1,8.73,6.66,145.02,7.21,13.33,13.33,78.89,0,78,8.72,32.34,0,32.33,229.17,125.59146,43.5,179.9,39,26.18,32.33,45.83

45,11:00-11:15,13.490000,118.340000,0.000000,2.100000,26.090000,101.260000,48.340000,231.420000,13.830000,0.000000,48.340000,2.000000,261.620000,28.040000,74.130000,48.340000,13.490000,26.090000,2.600000,271.910000,79.5,8.2,6.66,145.02,7.21,11.67,11.67,81.06,0,78,8.19,32.34,0,32.33,229.17,128.832216,44,185.5,39,24.6,32.33,45.83

46,11:15-11:30,13.490000,118.340000,0.000000,2.100000,26.090000,101.260000,48.340000,231.420000,13.830000,0.000000,48.340000,2.000000,261.620000,28.040000,74.130000,48.340000,13.490000,26.090000,2.600000,271.910000,81,7.67,6.66,145.02,7.21,11.67,11.67,82.96,0,81,7.67,32.34,0,32.33,229.17,131.586372,46,189,40,23.01,32.33,45.83

47,11:30-11:45,13.490000,118.340000,0.000000,2.100000,26.090000,101.260000,48.340000,231.420000,13.830000,0.000000,48.340000,2.000000,261.620000,28.040000,74.130000,48.340000,13.490000,26.090000,2.600000,271.910000,81,7.14,6.66,145.02,7.21,11.67,11.67,84.03,0,80,7.14,32.34,0,32.33,229.17,133.844196,46,189,40,21.43,32.33,45.83

48,11:45-12:00,13.490000,118.340000,0.000000,2.100000,26.090000,101.260000,48.340000,231.420000,13.830000,0.000000,48.340000,2.000000,261.620000,29.000000,74.130000,48.340000,13.490000,26.090000,2.600000,271.910000,81,6.67,6.66,145.02,7.21,11.67,11.67,84.6,0,83,6.66,32.34,0,32.33,229.17,135.294264,46,189,42,20,32.33,45.83

49,12:00-12:15,13.490000,118.340000,0.000000,2.180000,30.940000,101.260000,48.340000,231.420000,13.830000,0.000000,48.340000,2.080000,261.620000,29.000000,74.130000,48.340000,13.490000,25.540000,2.600000,271.910000,81,6.67,6.66,145.02,7.21,11.67,11.67,85,0,83,6.66,32.34,0,32.33,229.17,135.333192,46,189,42,20,32.33,45.83

50,12:15-12:30,13.490000,118.340000,0.000000,2.180000,30.940000,101.260000,48.340000,231.420000,13.830000,0.000000,48.340000,2.080000,261.620000,29.000000,74.130000,48.340000,13.490000,25.540000,2.600000,271.910000,81,6.67,6.66,145.02,7.21,11.67,11.67,84.67,0,83,6.66,32.34,0,32.33,229.17,133.445184,45,189,42,20,32.33,45.83

51,12:30-12:45,13.490000,118.340000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,13.830000,0.000000,48.340000,2.080000,261.620000,29.000000,74.130000,48.340000,13.490000,25.540000,2.600000,271.910000,81,6.67,6.66,145.02,7.21,11.67,11.67,84.88,0,83,6.66,32.34,0,32.33,229.17,130.525584,45,189,42,20,32.33,45.83

52,12:45-13:00,13.490000,96.680000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,13.830000,0.000000,48.340000,2.080000,261.620000,29.000000,74.130000,48.340000,13.490000,25.540000,2.600000,271.910000,81,6.67,6.66,145.02,7.21,11.67,11.67,84.22,0,83,6.66,32.34,0,32.33,229.17,127.216704,45,189,42,20,32.33,45.83

53,13:00-13:15,13.490000,67.680000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,13.830000,0.000000,48.340000,2.080000,261.620000,29.000000,74.130000,48.340000,13.490000,25.540000,2.650000,271.910000,81,6.67,6.66,145.02,7.21,11.67,11.67,83.2,0,80,6.66,32.34,0,32.33,229.17,123.927288,43.5,189,40,20,32.33,45.83

54,13:15-13:30,13.490000,67.680000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,13.830000,0.000000,48.340000,2.080000,261.620000,29.000000,74.130000,48.340000,13.490000,25.540000,2.650000,271.910000,81,6.67,6.66,145.02,7.21,11.67,11.67,81.67,0,75,6.66,32.34,0,32.33,229.17,120.637872,43.5,189,38,20,32.33,45.83

55,13:30-13:45,13.490000,67.680000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,13.830000,0.000000,48.340000,2.080000,261.620000,29.000000,74.130000,48.340000,13.490000,25.540000,2.650000,271.910000,79.5,6.67,6.66,145.02,7.21,11.67,11.67,79.64,0,75,6.66,32.34,0,32.33,229.17,112.881468,41,185.5,37,20,32.33,45.83

56,13:45-14:00,13.490000,67.680000,0.000000,2.180000,26.090000,101.260000,48.340000,231.420000,13.830000,0.000000,48.340000,2.080000,261.620000,29.000000,74.130000,48.340000,13.490000,25.540000,2.650000,271.910000,76.2,6.67,6.66,145.02,7.21,11.67,11.67,78.3,0,71,6.66,32.34,0,32.33,228.88,108.005736,40,177.8,36,20,32.33,45.78

57,14:00-14:15,13.110000,96.680000,0.000000,2.250000,26.090000,101.260000,48.340000,231.420000,13.440000,0.000000,48.340000,2.080000,261.620000,29.970000,74.130000,48.340000,13.110000,25.540000,2.650000,271.910000,72.9,6.67,6.66,145.02,7.21,11.67,11.67,76.18,0,65,6.66,32.34,0,32.33,221.9,102.799116,39,170.1,33,20,32.33,44.38

58,14:15-14:30,12.630000,118.340000,0.000000,2.250000,26.090000,101.260000,48.340000,231.420000,12.940000,0.000000,48.340000,2.080000,261.620000,29.970000,74.130000,48.340000,12.630000,25.540000,2.650000,271.910000,68.4,6.67,6.66,145.02,7.21,11.67,11.67,73.33,0,62,6.66,32.34,0,32.33,212.31,95.383332,37,159.6,31,20,32.33,42.46

59,14:30-14:45,12.230000,118.340000,0.000000,2.250000,26.090000,101.260000,48.340000,231.420000,12.540000,0.000000,48.340000,2.080000,261.620000,29.970000,74.130000,48.340000,12.230000,25.540000,2.650000,271.910000,64.5,6.67,6.66,145.02,11.11,11.67,11.67,69.78,0,58,6.66,32.34,0,32.33,199.81,86.342304,34.5,150.5,29,20,32.33,39.96

60,14:45-15:00,11.740000,118.340000,0.000000,2.250000,26.090000,101.260000,48.340000,231.420000,12.030000,0.000000,48.340000,2.080000,261.620000,31.900000,74.130000,48.340000,11.740000,25.540000,2.650000,271.910000,60,6.67,6.66,145.02,10.98,11.67,11.67,66.01,0,54,6.66,32.34,0,32.33,187.31,77.145564,31.5,140,27,20,32.33,37.46

61,15:00-15:15,11.140000,118.340000,0.000000,2.250000,18.750000,101.260000,48.340000,231.420000,11.410000,0.000000,48.340000,2.160000,261.620000,31.900000,74.130000,48.340000,11.140000,30.940000,2.650000,271.910000,53.7,6.67,6.66,145.02,10.4,11.67,11.67,61.01,0,50,6.66,32.5,0,32.5,155.85,74.342748,27,125.3,25,20,32.5,31.17

62,15:15-15:30,8.700000,118.340000,0.000000,2.250000,0.000000,101.260000,48.340000,231.420000,8.920000,0.000000,48.340000,2.160000,261.620000,31.900000,74.130000,48.340000,8.700000,30.940000,2.650000,271.910000,48.9,6.67,6.66,145.02,10.2,12.31,12.31,55.66,0,45,6.66,32.5,0,32.5,138.86,65.389308,26,114.1,22,20,32.5,27.77

63,15:30-15:45,8.130000,118.340000,0.000000,2.250000,0.000000,101.260000,48.340000,231.420000,8.330000,0.000000,48.340000,2.160000,261.620000,31.900000,74.130000,48.340000,8.130000,30.940000,2.650000,271.910000,42.6,6.67,6.66,145.02,8.06,12.79,12.79,49.82,0,39,6.66,32.5,0,32.5,121.86,55.978464,21.5,99.4,20,20,32.5,24.37

64,15:45-16:00,7.530000,118.340000,0.000000,2.250000,0.000000,101.260000,48.340000,231.420000,7.720000,0.000000,48.340000,2.160000,261.620000,31.900000,74.130000,48.340000,7.530000,30.940000,2.650000,271.910000,35.7,6.67,6.66,145.02,7.66,13.16,13.16,43.52,0,33,6.66,32.5,0,32.5,110.63,45.993432,19.5,83.3,16,20,32.5,22.12

65,16:00-16:15,6.670000,118.340000,0.000000,2.330000,0.000000,101.260000,48.340000,231.420000,6.830000,0.000000,48.340000,2.160000,261.620000,31.900000,74.130000,48.340000,6.670000,30.940000,2.700000,271.910000,29.4,6.67,6.66,145.02,7.41,14.67,14.67,36.74,0,27,6.66,32.66,0,32.67,99.38,35.901348,16,68.6,13,20,32.67,19.88

66,16:15-16:30,5.770000,118.340000,0.000000,2.330000,0.000000,101.260000,48.340000,231.420000,5.910000,0.000000,48.340000,2.160000,261.620000,31.900000,74.130000,48.340000,5.770000,30.940000,2.700000,271.910000,22.5,6.67,6.66,145.02,7.41,14.67,14.67,29.89,0,22,6.66,32.66,0,32.67,81.66,26.344524,12,52.5,11,20,32.67,16.33

67,16:30-16:45,4.820000,118.340000,0.000000,2.330000,0.000000,101.260000,48.340000,231.420000,4.940000,0.000000,48.340000,2.160000,261.620000,31.900000,74.130000,48.340000,4.820000,30.940000,2.700000,271.910000,16.5,6.67,6.66,145.02,7.41,14.67,14.67,22.66,0,14,6.66,24.41,0,30,63.93,16.826628,9,38.5,7,20,30.27,12.78

