Block,Time,TANDA2,DADRI_RF,RIHAND1,UNCHAHAR3,RAPPB,SALAL,KOTESHWR,CHAMERA3,PARBATI3,DADRI_CRF,JHAJJAR,DADRI_LF,UNCHAHAR4,URI,BSIUL,ANTA_GF,DULHASTI,CHAMERA2,TANAKPUR,AURY_CRF,SINGRAULI,ANTA_LF,UNCHAHAR1,DHAULIGNGA,AURY_RF,URI2,RAMPUR,ANTA_CRF,RIHAND3,KOLDAM,AURY_LF,CHAMERA1,TEHRI,SINGRAULI_HYDRO,NAPP,AURY_GF,ANTA_RF,DADRT2,SEWA2,RIHAND2,DADRI_GF,NJPC,RAPPC,UNCHAHAR2,SASAN,KHSTPP-II,BRBCL,TALA,FSTPP I & II,KUDGI,KHSTPP-I,KISHANGANGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
31,07:30-07:45,1.348441,0.000000,90.352424,13.809196,0.000000,76.840806,16.948064,29.601353,16.207617,0.053154,346.636167,0.000000,0.392894,45.962390,12.690778,0.000000,50.334016,40.533274,10.542246,0.000000,137.484400,0.000000,11.003358,37.155045,0.000000,32.796320,1.710502,0.000000,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.768810,5.364617,115.787038,0.000000,154.929110,53.835345,12.650404,398.656350,116.436507,19.363991,18.502302,8.815267,14.52,12.431688,2.114992,0,0,0,0,0

32,07:45:08:00,1.348441,0.000000,90.352424,13.809196,0.000000,76.840806,16.948064,29.601353,16.207617,0.053154,346.636167,0.000000,0.392894,45.962390,12.690778,0.000000,50.334016,40.533274,10.542246,0.000000,137.484400,0.000000,11.003358,37.155045,0.000000,32.796320,1.710502,0.000000,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.768810,5.364617,115.787038,0.000000,154.929110,53.835345,13.212293,398.656350,97.582748,19.363991,18.502302,8.815267,14.52,12.431688,2.114992,0,0,0,0,0

33,08:00-08:15,1.348441,0.000000,90.352424,13.971075,0.000000,76.840806,16.948064,29.601353,16.207617,0.053154,346.636167,0.000000,0.393657,45.962390,12.690778,0.000000,50.334016,40.533274,8.061717,0.000000,137.484400,0.000000,11.006462,37.155045,0.000000,32.796320,1.710502,0.000000,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.881915,5.364617,115.787038,0.000000,154.929110,53.835345,19.047256,398.656350,97.582748,19.363991,18.502302,8.815267,18.40,12.431688,2.114992,0,0,0,0,0

34,08:15-08:30,1.348441,0.000000,90.352424,13.971075,0.000000,76.840806,16.948064,29.601353,16.207617,0.053154,346.636167,0.000000,0.393657,45.962390,12.690778,0.000000,50.334016,40.533274,8.061717,0.000000,137.484400,0.000000,11.006462,37.155045,0.000000,32.796320,1.710502,0.000000,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.875768,5.364617,115.787038,0.000000,154.929110,53.835345,19.047256,398.656350,97.582748,19.126000,18.502302,8.815267,18.40,12.431688,2.114992,0,0,0,0,0

35,08:30-08:45,1.348441,0.000000,90.352424,13.971075,0.000000,76.840806,16.948064,29.601353,16.207617,0.053154,346.636167,0.000000,0.393657,45.962390,12.690778,0.000000,50.334016,40.533274,4.340925,0.000000,137.484400,0.000000,11.006462,37.155045,0.000000,32.796320,1.710502,8.646972,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.857326,5.364617,115.787038,0.000000,154.929110,53.835345,19.047256,395.388675,49.378200,19.363991,14.232540,2.904600,45.51,12.431688,2.114992,0,0,0,0,0

36,08:45:09:00,1.348441,0.000000,90.352424,13.971075,0.000000,76.840806,16.948064,29.601353,16.207617,0.053154,346.636167,0.000000,0.393657,45.962390,12.690778,0.000000,50.334016,40.533274,4.340925,0.000000,137.484400,0.000000,11.006462,37.155045,0.000000,32.796320,1.710502,8.646972,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.875768,5.364617,115.787038,0.000000,154.929110,53.835345,19.047256,395.388675,49.378200,19.363991,14.232540,2.904600,61.96,12.431688,2.114992,0,0,0,0,0

37,09:00:09:15,1.348441,0.000000,90.352424,13.971075,0.000000,75.378243,16.948064,29.601353,16.207617,0.119476,346.636167,0.000000,0.393657,45.962390,12.690778,0.000000,50.334016,40.533274,2.480528,0.000000,137.484400,0.000000,10.983702,37.155045,0.000000,32.796320,1.710502,0.965323,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.903552,5.364617,115.787038,0.000000,154.929110,53.835345,19.047256,395.388675,50.693720,19.363991,14.232540,8.815267,57.40,12.431688,2.114992,0,0,0,0,0

38,09:15-09:30,1.348441,0.000000,90.352424,13.971075,0.000000,75.378243,16.948064,29.601353,16.207617,0.119476,346.636167,0.000000,0.393657,45.962390,12.690778,0.000000,50.334016,40.533274,2.480528,0.000000,137.484400,0.000000,10.983702,37.155045,0.000000,32.796320,1.710502,0.000000,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.903552,5.364617,115.787038,0.000000,154.929110,53.835345,19.047256,395.388675,68.179145,18.457168,14.232540,8.815267,71.92,12.431688,2.114992,0,0,0,0,0

39,09:30-09:45,1.348441,0.000000,90.352424,13.971075,0.000000,75.378243,16.948064,29.601353,16.207617,0.119476,346.636167,0.000000,0.393657,45.962390,12.690778,0.000000,50.334016,40.533274,2.480528,0.000000,137.484400,0.000000,10.983702,37.155045,0.000000,32.796320,1.710502,0.000000,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.903552,5.364617,115.787038,0.000000,154.929110,53.835345,19.047256,395.388675,123.970748,17.617084,15.655794,8.815267,83.27,12.431688,2.114992,0,0,0,0,0

40,09:45-10:00,1.348441,0.000000,90.352424,13.971075,0.000000,75.378243,16.948064,29.601353,16.207617,0.119476,346.636167,0.000000,0.393657,45.962390,12.690778,0.000000,50.334016,40.533274,2.480528,0.000000,137.484400,0.000000,10.983702,37.069087,0.000000,32.796320,1.710502,0.000000,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.903552,5.364617,115.787038,0.000000,154.929110,53.835345,19.047256,395.388675,123.970748,16.944157,15.655794,8.815267,93.92,12.431688,2.114992,0,0,0,0,0

41,10:00-10:15,1.348441,0.000000,90.352424,13.971075,0.000000,75.378243,16.948064,29.601353,16.207617,0.119476,346.636167,0.000000,0.393657,45.962390,12.690778,0.000000,50.334016,40.533274,2.480528,0.000000,137.484400,0.000000,11.595507,37.069087,0.000000,32.796320,1.710502,0.000000,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.956401,5.364617,115.787038,0.000000,154.929110,53.835345,19.047256,395.388675,97.030874,15.899556,15.655794,8.815267,103.60,12.431688,2.114992,0,0,0,0,0

42,10:15-10:30,1.348441,0.000000,90.352424,13.971075,0.000000,75.378243,16.948064,29.601353,16.207617,0.119476,346.636167,0.000000,0.393657,45.962390,12.690778,0.000000,50.334016,40.533274,2.480528,0.000000,137.484400,0.000000,11.595507,37.069087,0.000000,32.796320,1.710502,0.000000,121.310901,2.595375,0.000000,40.807771,34.178727,1.053942,40.559605,0.000000,0.000000,364.957645,5.364617,115.787038,0.000000,154.929110,53.835345,19.047256,395.388675,97.030874,18.257972,15.655794,8.815267,107.47,12.431688,2.114992,0,0,0,0,0

