Time,Block,NR/2023/14953/C,NR/2023/11470/A,NR/2023/14945/C,NR/2023/12646/A,NR/2023/11954/A,NR/2023/14957/C,NR/2023/14688/F,NR/2023/14688/F/II,NR/2023/14942/C,NR/2023/13573/A,NR/2023/11697/A,NR/2023/13283/A,NR/2023/14958/C,NR/2023/14934/D,NR/2023/14976/C,NR/2023/13859/A,NR/2023/11654/A,NR/2023/11739/A,NR/2023/11203/A,NR/2023/11458/A,NR/2023/13983/F,NR/2023/11325/A,NR/2023/11328/A,NR/2023/13983/F/II,NR/2023/14955/C,NR/2023/14949/C,NR/2023/14959/C,NR/2023/11469/A,NR/2023/14954/C,NR/2023/13284/A,NR/2023/14187/F,NR/2023/13858/A,NR/2023/11315/A,NR/2023/14935/D,NR/2023/14936/D,NR/2023/14938/D,Total

3,00:30-00:45,48.270000,21.230000,0.970000,23.100000,36.420000,69.510000,0.000000,24.140000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.630000,24.140000,48.270000,0.240000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1396.04

4,00:45-01:00,48.270000,21.230000,0.970000,23.100000,36.420000,35.720000,0.000000,24.140000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.630000,24.140000,48.270000,0.240000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1362.25

5,01:00-01:15,0.000000,21.230000,0.970000,23.100000,36.420000,47.300000,0.000000,24.140000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.490000,24.140000,48.270000,0.180000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1325.36

6,01:15-01:30,0.000000,21.230000,0.970000,23.100000,36.420000,13.520000,0.000000,24.140000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.490000,24.140000,48.270000,0.180000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1291.58

7,01:30-01:45,0.000000,21.230000,0.970000,23.100000,36.420000,0.000000,0.000000,24.140000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.490000,24.140000,48.270000,0.180000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1278.06

8,01:45-02:00,0.000000,21.230000,0.970000,23.100000,36.420000,0.000000,0.000000,24.140000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.490000,24.140000,48.270000,0.180000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1278.06

9,02:00-02:15,0.000000,21.230000,0.970000,23.100000,36.420000,0.000000,0.000000,24.140000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.420000,24.140000,48.270000,0.160000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1277.97

10,02:15-02:30,0.000000,21.230000,0.970000,23.100000,36.420000,0.000000,0.000000,24.140000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.420000,24.140000,48.270000,0.160000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1277.97

11,02:30-02:45,0.000000,21.230000,0.970000,23.100000,36.420000,0.000000,0.000000,24.140000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.420000,24.140000,48.270000,0.160000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1277.97

12,02:45-03:00,0.000000,21.230000,0.970000,23.100000,36.420000,0.000000,0.000000,24.140000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.420000,24.140000,48.270000,0.160000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1277.97

13,03:00-03:15,0.000000,21.230000,0.970000,0.000000,0.000000,0.000000,20.270000,3.860000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.530000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1218.39

14,03:15-03:30,0.000000,21.230000,0.970000,0.000000,0.000000,0.000000,20.270000,3.860000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.530000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1218.39

15,03:30-03:45,0.000000,21.230000,0.970000,0.000000,0.000000,0.000000,20.270000,3.860000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.530000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1218.39

16,03:45-04:00,0.000000,21.230000,0.970000,0.000000,0.000000,0.000000,20.270000,3.860000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.530000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1218.39

17,04:00-04:15,0.000000,21.230000,0.970000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.530000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1218.4

18,04:15-04:30,0.000000,21.230000,0.970000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.530000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1218.4

19,04:30-04:45,0.000000,21.230000,0.970000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.530000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1218.4

20,04:45-05:00,0.000000,21.230000,0.970000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,98.470000,0.530000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1218.4

21,05:00-05:15,0.000000,21.230000,0.970000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.530000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1119.93

22,05:15-05:30,0.000000,21.230000,0.970000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.530000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1119.93

23,05:30-05:45,0.000000,21.230000,0.970000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.530000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1119.93

24,05:45-06:00,0.000000,21.230000,0.970000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,36.780000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.530000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1119.93

25,06:00-06:15,0.000000,21.230000,0.970000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.680000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,0.6,0,1.4,999.48

26,06:15-06:30,0.000000,21.230000,0.970000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.680000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,2.7,0,6.3,1006.48

27,06:30-06:45,0.000000,21.230000,0.970000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.680000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,4.5,0,10.5,1012.48

28,06:45-07:00,0.000000,21.230000,0.970000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.680000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,7.5,0,17.5,1022.48

29,07:00-07:15,0.000000,21.230000,3.860000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.680000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,13.5,0.26,31.5,1042.74

30,07:15-07:30,0.000000,21.230000,3.860000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.680000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,16.5,0.49,38.5,1052.97

31,07:30-07:45,0.000000,21.230000,3.860000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.680000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,21,0.72,49,1068.2

32,07:45:08:00,0.000000,21.230000,3.860000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.680000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,24.3,0.82,56.7,1079.3

33,08:00-08:15,0.000000,21.230000,3.860000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.970000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,27,0.97,63,1088.74

34,08:15-08:30,0.000000,21.230000,3.860000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.970000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,31.5,1.45,73.5,1104.22

35,08:30-08:45,0.000000,21.230000,6.760000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.970000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,36,1.93,84,1122.6

36,08:45:09:00,0.000000,21.230000,6.760000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.970000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,39.6,2.1,92.4,1134.77

37,09:00:09:15,0.000000,21.230000,6.760000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.970000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,42.6,2.12,99.4,1168.93

38,09:15-09:30,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.970000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,45.9,2.12,107.1,1180.89

39,09:30-09:45,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.970000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,48,2.41,112,1188.18

40,09:45-10:00,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,0.000000,0.970000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,49.5,2.65,115.5,1193.42

41,10:00-10:15,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,90.750000,0.970000,24.140000,48.270000,0.000000,17.270000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,50.4,2.7,117.6,1284.89

42,10:15-10:30,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,90.750000,0.970000,24.140000,48.270000,0.000000,17.270000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,51.6,2.9,120.4,1289.09

43,10:30-10:45,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,90.750000,0.970000,24.140000,48.270000,0.000000,17.270000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,52.5,3.38,122.5,1292.57

44,10:45-11:00,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,90.750000,0.970000,24.140000,48.270000,0.000000,17.270000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,53.7,3.67,125.3,1296.86

45,11:00-11:15,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,90.750000,0.970000,24.140000,48.270000,0.000000,17.270000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,54.9,3.86,128.1,1301.05

46,11:15-11:30,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,90.750000,0.970000,24.140000,48.270000,0.000000,17.270000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,57,3.91,133,1308.1

47,11:30-11:45,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,90.750000,0.970000,24.140000,48.270000,0.000000,17.270000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,60,3.96,140,1318.15

48,11:45-12:00,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,90.750000,0.970000,24.140000,48.270000,0.000000,17.270000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,66.6,4.01,155.4,1340.2

49,12:00-12:15,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,90.750000,0.970000,24.140000,48.270000,0.000000,17.270000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,71.1,4.05,165.9,1355.24

50,12:15-12:30,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,90.750000,0.970000,24.140000,48.270000,0.000000,17.270000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,72,4.1,168,1358.29

51,12:30-12:45,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,90.750000,0.970000,24.140000,48.270000,0.000000,17.270000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,72,4.15,168,1358.34

52,12:45-13:00,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,90.750000,0.970000,24.140000,48.270000,0.000000,17.270000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,72,4.2,168,1358.39

53,13:00-13:15,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,90.750000,0.970000,24.140000,48.270000,0.000000,17.270000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,72,4.34,168,1358.53

54,13:15-13:30,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,90.750000,0.970000,24.140000,48.270000,0.000000,17.270000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,72,3.38,168,1357.57

55,13:30-13:45,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,90.750000,0.970000,24.140000,48.270000,0.000000,17.270000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,70.5,2.9,164.5,1352.09

56,13:45-14:00,0.000000,21.230000,7.720000,0.000000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,90.750000,0.970000,24.140000,48.270000,0.000000,17.270000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,70.5,2.7,164.5,1351.89

57,14:00-14:15,0.000000,21.230000,7.720000,23.100000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,106.190000,0.970000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,67.5,2.41,157.5,1382.47

58,14:15-14:30,0.000000,21.230000,7.720000,23.100000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,106.190000,0.970000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,61.8,2.24,144.2,1363.3

59,14:30-14:45,0.000000,21.230000,7.720000,23.100000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,106.190000,0.970000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,58.5,2.11,136.5,1352.17

60,14:45-15:00,0.000000,21.230000,7.720000,23.100000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,106.190000,0.970000,24.140000,48.270000,0.000000,19.600000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,54.9,1.93,128.1,1339.99

61,15:00-15:15,0.000000,21.230000,7.720000,23.100000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,106.190000,0.970000,24.140000,48.270000,0.000000,14.530000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,51,1.83,119,1321.82

62,15:15-15:30,0.000000,21.230000,7.720000,23.100000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,106.190000,0.970000,24.140000,48.270000,0.000000,14.530000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,45.9,1.74,107.1,1304.73

63,15:30-15:45,0.000000,21.230000,8.690000,23.100000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,106.190000,0.970000,24.140000,48.270000,0.000000,14.530000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,42,1.45,98,1292.41

