Column1,Block,NR/2024/23159/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23122/A/37843,NR/2024/22803/A/37848,NR/2024/22874/A/37847,NR/2024/22848/A/37837,NR/2024/23153/C,NR/2024/23118/A/37842,NR/2024/21658/A/37586,NR/30092023/26122029/SH-06,NR/2024/23158/C,NR/2024/22754/A/37812,NR/2024/22820/A/37580,NR/2024/23119/A/37844,NR/2024/23121/A/37845,NR/2024/23017/A/37617,NR/2024/23038/A/37576,NR/2024/22835/A/37884,NR/2024/23115/A/37770,NR/2024/23157/C,NR/2024/23116/A/37774,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/6566,NR/30092023/31122025/SH-07,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7119,Total
33,08:00-08:15,28.11,10.27,26.43,96.92,48.46,84.49,0,8.81,0.97,32,165.01,0,4.85,26.43,26.43,8.72,3.88,91.1,0,1.69,0,8.81,82.38,18.51,2.13,20.6,0,0,0,17.52,814.52

34,08:15-08:30,28.11,10.27,26.43,96.92,48.46,84.49,0,8.81,0.97,32,165.01,0,4.85,26.43,26.43,8.72,3.88,91.1,0,1.96,0,8.81,82.38,18.51,2.13,20.6,0,0,0,17.52,814.79

35,08:30-08:45,28.11,10.27,26.43,96.92,48.46,84.49,0,8.81,0.97,0,165.01,0,4.85,26.43,26.43,8.72,3.88,91.1,0,2.44,0,8.81,82.38,18.51,2.13,20.6,0,0,0,17.52,783.2700000000001

36,08:45-09:00,28.11,10.27,26.43,96.92,48.46,84.49,0,8.81,0.97,0,165.01,0,4.85,26.43,26.43,9.69,3.88,91.1,0,6.35,0,8.81,82.38,18.51,2.13,20.6,0,0,0,17.52,788.1500000000001

37,09:00-09:15,28.11,10.27,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,9.69,3.88,91.1,42.64,6.44,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,889.2100000000003

38,09:15-09:30,28.11,10.27,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,11.63,3.88,91.1,42.64,7.05,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,891.7600000000001

39,09:30-09:45,28.11,10.27,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,11.63,3.88,91.1,42.64,7.6,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,892.3100000000002

40,09:45-10:00,28.11,10.27,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,11.63,3.88,91.1,42.64,7.11,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,891.8200000000002

41,10:00-10:15,28.11,10.09,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,11.63,3.88,91.1,42.64,7.26,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,891.7900000000001

42,10:15-10:30,28.11,10.09,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,8.24,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,893.7400000000001

43,10:30-10:45,28.11,10.09,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,8.88,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,894.3800000000001

44,10:45-11:00,28.11,10.09,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,8.54,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,894.0400000000001

45,11:00-11:15,28.11,9.99,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,8.66,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,894.0600000000002

46,11:15-11:30,28.11,9.99,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,7.54,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,892.9400000000002

47,11:30-11:45,28.11,9.99,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,8,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,893.4000000000002

48,11:45-12:00,28.11,9.99,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,8.72,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,894.1200000000002

49,12:00-12:15,28.11,9.99,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,9.27,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,894.6700000000002

50,12:15-12:30,28.11,9.99,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,7.68,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,893.0800000000002

51,12:30-12:45,28.11,9.99,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,7.91,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,893.3100000000002

52,12:45-13:00,28.11,9.99,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,7.27,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,892.6700000000002

53,13:00-13:15,28.11,9.99,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,7.63,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,893.0300000000002

54,13:15-13:30,28.11,9.99,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,5.16,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,890.5600000000002

55,13:30-13:45,28.11,9.99,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,9.04,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,894.4400000000002

56,13:45-14:00,28.11,9.99,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,7.14,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,892.5400000000002

57,14:00-14:15,28.11,9.99,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,7.05,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,892.4500000000002

58,14:15-14:30,28.11,9.99,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,6.91,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,892.3100000000002

59,14:30-14:45,28.11,9.99,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,6.51,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,891.9100000000002

60,14:45-15:00,28.11,9.99,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,7.14,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,892.5400000000002

61,15:00-15:15,28.11,10.09,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,6.42,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,891.9200000000001

62,15:15-15:30,28.11,10.09,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,5.6,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,891.1000000000001

63,15:30-15:45,28.11,10.09,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,4.15,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,889.6500000000001

64,15:45-16:00,28.11,10.09,37.44,96.92,48.46,84.49,0,12.48,0.97,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,4.51,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,890.0100000000001

65,16:00-16:15,28.11,10.09,37.44,96.92,48.46,84.49,0,12.48,0.87,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,3.37,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,888.7700000000002

66,16:15-16:30,28.11,10.09,37.44,96.92,48.46,84.49,0,12.48,0.87,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,42.64,3.37,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,888.7700000000002

67,16:30-16:45,28.11,10.09,37.44,96.92,48.46,84.49,0,12.48,0.87,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,35.86,3.69,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,882.3100000000003

68,16:45-17:00,28.11,10.09,37.44,96.92,48.46,84.49,0,12.48,0.87,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,27.14,2.93,10.66,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,872.8300000000002

69,17:00-17:15,28.11,10.27,37.44,96.92,48.46,84.49,38.77,12.48,0.82,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,0,2.29,0,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,873.2900000000001

70,17:15-17:30,28.11,10.27,37.44,96.92,48.46,84.49,38.77,12.48,0.82,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,0,0,0,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,871.0000000000001

71,17:30-17:45,28.11,10.27,37.44,96.92,48.46,84.49,38.77,12.48,0.82,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,0,0,0,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,871.0000000000001

72,17:45-18:00,28.11,10.27,37.44,96.92,48.46,84.49,38.77,12.48,0.82,0,165.01,0,4.85,37.44,37.44,12.6,3.88,91.1,0,0,0,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,871.0000000000001

73,18:00-18:15,28.11,12.31,37.44,96.92,48.46,84.49,38.77,12.48,0.82,0,165.01,0,4.85,37.44,37.44,11.63,3.88,91.1,0,0,0,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,872.07

74,18:15-18:30,28.11,12.31,37.44,96.92,48.46,84.49,38.77,12.48,0.82,0,165.01,0,4.85,37.44,37.44,11.63,3.88,91.1,0,0,0,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,872.07

75,18:30-18:45,28.11,12.31,37.44,96.92,48.46,84.49,38.77,12.48,0.82,0,165.01,0,4.85,37.44,37.44,11.63,3.88,91.1,0,0,0,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,872.07

76,18:45-19:00,28.11,12.31,37.44,96.92,48.46,84.49,38.77,12.48,0.82,0,165.01,0,4.85,37.44,37.44,11.63,3.88,91.1,0,0,0,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,872.07

77,19:00-19:15,28.11,12.31,37.44,96.92,48.46,84.49,38.77,12.48,0.82,0,165.01,0,4.85,37.44,37.44,11.63,3.88,91.1,0,0,0,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,872.07

78,19:15-19:30,28.11,12.31,37.44,96.92,48.46,84.49,38.77,12.48,0.82,0,165.01,0,4.85,37.44,37.44,11.63,3.88,91.1,0,0,0,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,872.07

79,19:30-19:45,28.11,12.31,37.44,96.92,48.46,84.49,38.77,12.48,0.82,0,165.01,0,4.85,37.44,37.44,11.63,3.88,91.1,0,0,0,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,872.07

80,19:45-20:00,28.11,12.31,37.44,96.92,48.46,84.49,38.77,12.48,0.82,0,165.01,0,4.85,37.44,37.44,11.63,3.88,91.1,0,0,0,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,872.07

81,20:00-20:15,28.11,12.31,37.44,96.92,48.46,84.49,38.77,12.48,0.78,0,165.01,0,4.85,37.44,37.44,11.63,3.88,91.1,0,0,0,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,872.0300000000001

82,20:15-20:30,28.11,12.31,37.44,96.92,48.46,84.49,38.77,12.48,0.78,0,165.01,0,4.85,37.44,37.44,11.63,3.88,91.1,0,0,0,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,872.0300000000001

83,20:30-20:45,28.11,12.31,37.44,96.92,48.46,84.49,38.77,12.48,0.78,0,165.01,0,4.85,37.44,37.44,11.63,3.88,91.1,0,0,0,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,872.0300000000001

84,20:45-21:00,28.11,12.31,37.44,96.92,48.46,84.49,38.77,12.48,0.78,0,165.01,0,4.85,37.44,37.44,11.63,3.88,91.1,0,0,0,12.48,82.38,18.51,2.13,20.6,0,0,0,24.82,872.0300000000001

85,21:00-21:15,28.11,12.31,26.43,96.92,48.46,84.49,38.77,8.81,0.78,0,165.01,0,4.85,26.43,26.43,11.63,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,0,0,0,17.52,824.3599999999998

86,21:15-21:30,28.11,12.31,26.43,96.92,48.46,84.49,38.77,8.81,0.78,0,165.01,0,4.85,26.43,26.43,11.63,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,0,0,0,17.52,824.3599999999998

87,21:30-21:45,28.11,12.31,26.43,96.92,48.46,84.49,38.77,8.81,0.78,0,165.01,0,4.85,26.43,26.43,11.63,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,0,0,0,17.52,824.3599999999998

88,21:45-22:00,28.11,12.31,26.43,96.92,48.46,84.49,38.77,8.81,0.78,0,165.01,0,4.85,26.43,26.43,11.63,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,0,0,0,17.52,824.3599999999998

89,22:00-22:15,28.11,12.31,26.43,96.92,48.46,84.49,38.77,8.81,0.78,0,165.01,48.46,4.85,26.43,26.43,10.66,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,0,145.38,0,17.52,1017.2299999999998

90,22:15-22:30,28.11,12.31,26.43,96.92,48.46,84.49,38.77,8.81,0.78,0,165.01,48.46,4.85,26.43,26.43,10.66,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,0,145.38,0,17.52,1017.2299999999998

91,22:30-22:45,28.11,12.31,26.43,96.92,48.46,84.49,38.77,8.81,0.78,0,165.01,48.46,4.85,26.43,26.43,9.69,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,0,145.38,0,17.52,1016.2599999999999

92,22:45-23:00,28.11,12.31,26.43,96.92,48.46,84.49,38.77,8.81,0.78,0,165.01,48.46,4.85,26.43,26.43,9.69,3.88,91.1,0,0,0,8.81,82.38,18.51,2.13,20.6,0,145.38,0,17.52,1016.2599999999999

93,23:00-23:15,28.11,12.31,26.43,96.92,48.46,84.49,38.77,8.81,0.78,0,165.01,48.46,4.85,26.43,26.43,9.69,3.88,94.4,0,0,0,8.81,82.38,18.51,2.13,20.6,0,145.38,0,17.52,1019.5599999999998

94,23:15-23:30,28.11,12.31,26.43,96.92,48.46,84.49,38.77,8.81,0.78,0,165.01,48.46,4.85,26.43,26.43,9.69,3.88,94.4,0,0,0,8.81,82.38,18.51,2.13,20.6,0,145.38,0,17.52,1019.5599999999998

95,23:30-23:45,28.11,12.31,26.43,96.92,48.46,84.49,38.77,8.81,0.78,0,165.01,48.46,4.85,26.43,26.43,9.69,3.88,94.4,0,0,0,8.81,82.38,18.51,2.13,20.6,0,145.38,0,17.52,1019.5599999999998

