Column1,Block,NER/2024/2820/A/47842,WR/2024/25501/A/47849,NR/2024/24418/A/47598,NR/2024/24507/A/47879,NR/2024/24435/A/47626,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3945,SR/2024/15456/A/47723,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/6775,NR/2025/24648/C,NR/2024/24566/A/47604,NR/2025/24649/C,NR/2025/24650/C,NR/2024/24508/A/47875,GNA/NR/2025/01/01/3733,NR/2024/24614/A/47869,NR/2025/24660/C,NR/2025/24661/C,NR/2024/24434/A/47627,NR/2025/24659/C,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/5531,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/02/1250,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/8058,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3925,Total
42,10:15-10:30,0,0,0.86,28.82,16.33,0,43.24,0,1.74,36.51,36.51,78.79,5.76,0,0,7.87,20.18,6.54,20.95,4.8,4.8,27.09,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,568.5

43,10:30-10:45,0,0,0.86,28.82,16.33,0,28.82,0,1.74,28.82,28.82,98,5.76,0,0,7.87,20.18,6.54,14.41,4.8,4.8,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,557.9100000000001

44,10:45-11:00,0,0,0.86,28.82,16.33,0,28.82,0,1.74,28.82,28.82,98,5.76,0,0,7.87,20.18,6.54,14.41,4.8,4.8,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,557.9100000000001

45,11:00-11:15,0,0,0.86,28.82,16.33,0,28.82,0,1.74,28.82,28.82,0,5.76,0,0,14.41,20.18,0,14.41,4.8,6.73,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,461.84

46,11:15-11:30,0,0,0.86,28.82,16.33,0,28.82,0,1.74,28.82,28.82,0,5.76,0,0,14.41,20.18,0,14.41,4.8,6.73,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,461.84

47,11:30-11:45,0,0,0.86,28.82,16.33,0,28.82,0,1.74,28.82,28.82,0,5.76,0,0,14.41,20.18,0,14.41,4.8,6.73,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,461.84

48,11:45-12:00,0,0,0.86,28.82,16.33,0,28.82,0,1.74,28.82,28.82,0,5.76,0,0,14.41,20.18,0,14.41,4.8,6.73,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,461.84

49,12:00-12:15,0,0,0.86,28.82,16.33,0,28.82,0,1.65,28.82,28.82,0,5.76,0,0,14.41,20.18,0,14.41,4.8,6.73,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,461.75

50,12:15-12:30,0,0,0.86,28.82,16.33,0,28.82,0,1.65,28.82,28.82,0,5.76,0,0,14.41,20.18,0,14.41,4.8,6.73,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,461.75

51,12:30-12:45,0,0,0.86,28.82,16.33,0,28.82,0,1.65,28.82,28.82,0,5.76,0,0,14.41,20.18,0,14.41,4.8,6.73,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,461.75

52,12:45-13:00,0,0,0.86,28.82,16.33,0,28.82,0,1.65,28.82,28.82,0,5.76,0,0,14.41,20.18,0,14.41,4.8,6.73,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,461.75

53,13:00-13:15,0,0,0.77,28.82,16.33,0,24.98,0,1.65,24.98,24.98,0,5.76,0,0,14.41,20.18,0,14.41,4.8,5.76,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,449.17

54,13:15-13:30,0,0,0.77,28.82,16.33,0,24.98,0,1.65,24.98,24.98,0,5.76,0,0,14.41,20.18,0,14.41,4.8,5.76,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,449.17

55,13:30-13:45,0,0,0.77,28.82,16.33,0,24.98,0,1.65,24.98,24.98,0,5.76,0,0,14.41,20.18,0,14.41,4.8,5.76,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,449.17

56,13:45-14:00,0,0,0.77,28.82,16.33,0,24.98,0,1.65,24.98,24.98,0,5.76,0,0,14.41,20.18,0,14.41,4.8,5.76,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,449.17

57,14:00-14:15,0,0,0.77,28.82,16.33,0,24.98,0,1.65,24.98,24.98,0,5.76,0,0,14.41,20.18,0,14.41,4.8,4.8,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,448.21000000000004

58,14:15-14:30,0,0,0.77,28.82,16.33,0,24.98,0,1.65,24.98,24.98,0,5.76,0,0,14.41,20.18,0,14.41,4.8,4.8,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,448.21000000000004

59,14:30-14:45,0,0,0.77,28.82,16.33,0,24.98,0,1.65,24.98,24.98,0,5.76,0,0,14.41,20.18,0,14.41,4.8,4.8,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,448.21000000000004

60,14:45-15:00,0,0,0.77,28.82,16.33,0,24.98,0,1.65,24.98,24.98,0,5.76,0,0,14.41,20.18,0,14.41,4.8,4.8,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,448.21000000000004

61,15:00-15:15,0,0,0.67,28.82,16.33,0,24.98,0,1.74,24.98,24.98,0,5.76,0,0,14.41,20.18,0,14.41,4.8,4.8,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,448.20000000000005

62,15:15-15:30,0,0,0.67,28.82,16.33,0,24.98,0,1.74,24.98,24.98,0,5.76,0,0,14.41,20.18,0,14.41,4.8,4.8,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,448.20000000000005

63,15:30-15:45,0,0,0.67,28.82,16.33,0,24.98,0,1.74,24.98,24.98,0,5.76,0,0,14.41,20.18,0,14.41,4.8,4.8,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,448.20000000000005

64,15:45-16:00,0,0,0.67,28.82,16.33,0,24.98,0,1.74,24.98,24.98,0,5.76,0,0,14.41,20.18,0,14.41,4.8,4.8,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,448.20000000000005

65,16:00-16:15,0,0,0.48,28.82,16.33,0,24.98,0,1.74,24.98,24.98,0,5.76,0,0,14.41,20.18,0,14.41,4.8,2.88,33.63,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,446.09000000000003

66,16:15-16:30,0,0,0.48,28.82,16.33,0,24.98,0,1.74,24.98,24.98,0,5.76,0,0,14.41,20.18,0,15.37,4.8,2.88,32.67,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,446.09000000000003

67,16:30-16:45,0,0,0.48,28.82,16.33,0,24.98,0,1.74,24.98,24.98,0,5.76,0,0,14.41,20.18,0,17.68,4.8,2.88,23.92,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,439.65000000000003

68,16:45-17:00,0,0,0.48,28.82,16.33,0,24.98,0,1.74,24.98,24.98,0,5.76,0,0,14.41,20.18,0,12.87,4.8,2.88,16.62,19.22,28.82,0,0,48.04,8.65,48.04,0,26.9,0,48.04,427.54

69,17:00-17:15,0,0,0.48,28.82,16.33,0,43.24,0,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0.96,0,19.22,28.82,0,0,48.04,14.41,48.04,0,26.9,0,48.04,438.41

70,17:15-17:30,0,0,0.48,28.82,16.33,0,43.24,0,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0.96,0,19.22,28.82,0,0,48.04,14.41,48.04,0,26.9,0,48.04,438.41

71,17:30-17:45,0,0,0.48,28.82,16.33,0,43.24,0,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0.96,0,19.22,28.82,0,0,48.04,14.41,48.04,0,26.9,0,48.04,438.41

72,17:45-18:00,0,0,0.48,28.82,16.33,0,43.24,0,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0.96,0,19.22,28.82,0,0,48.04,14.41,48.04,0,26.9,0,48.04,438.41

73,18:00-18:15,38.43,38.43,0.48,28.82,16.33,50,43.24,67.26,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,14.41,48.04,30,26.9,0,48.04,711.5699999999999

74,18:15-18:30,38.43,38.43,0.48,28.82,16.33,50,43.24,67.26,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,14.41,48.04,30,26.9,0,48.04,711.5699999999999

75,18:30-18:45,38.43,38.43,0.48,28.82,16.33,50,43.24,67.26,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,14.41,48.04,30,26.9,0,48.04,711.5699999999999

76,18:45-19:00,38.43,38.43,0.48,28.82,16.33,50,43.24,67.26,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,14.41,48.04,30,26.9,0,48.04,711.5699999999999

77,19:00-19:15,38.43,38.43,0.58,28.82,16.33,50,43.24,67.26,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,14.41,48.04,30,26.9,0,48.04,711.6699999999998

78,19:15-19:30,38.43,38.43,0.58,28.82,16.33,50,43.24,67.26,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,14.41,48.04,30,26.9,0,48.04,711.6699999999998

79,19:30-19:45,38.43,38.43,0.58,28.82,16.33,50,43.24,67.26,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,14.41,48.04,30,26.9,0,48.04,711.6699999999998

80,19:45-20:00,38.43,38.43,0.58,28.82,16.33,50,43.24,67.26,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,14.41,48.04,30,26.9,0,48.04,711.6699999999998

81,20:00-20:15,38.43,38.43,0.58,28.82,16.33,50,43.24,105.69,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,8.65,48.04,30,26.9,0,48.04,744.3399999999999

82,20:15-20:30,38.43,38.43,0.58,28.82,16.33,50,43.24,105.69,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,8.65,48.04,30,26.9,0,48.04,744.3399999999999

83,20:30-20:45,38.43,38.43,0.58,28.82,16.33,50,43.24,105.69,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,8.65,48.04,30,26.9,0,48.04,744.3399999999999

84,20:45-21:00,38.43,38.43,0.58,28.82,16.33,50,43.24,105.69,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,8.65,48.04,30,26.9,0,48.04,744.3399999999999

85,21:00-21:15,0,38.43,0.58,28.82,16.33,50,36.51,230.59,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,8.65,48.04,30,26.9,0,48.04,824.0799999999999

86,21:15-21:30,0,38.43,0.58,28.82,16.33,50,36.51,230.59,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,8.65,48.04,30,26.9,0,48.04,824.0799999999999

87,21:30-21:45,0,38.43,0.58,28.82,16.33,50,36.51,230.59,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,8.65,48.04,30,26.9,0,48.04,824.0799999999999

88,21:45-22:00,0,38.43,0.58,28.82,16.33,50,36.51,230.59,1.74,36.51,36.51,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,8.65,48.04,30,26.9,0,48.04,824.0799999999999

89,22:00-22:15,0,38.43,0.48,28.82,16.33,0,28.82,288.24,1.74,28.82,28.82,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,8.65,48.04,30,26.9,0,48.04,808.56

90,22:15-22:30,0,38.43,0.48,28.82,16.33,0,28.82,288.24,1.74,28.82,28.82,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,8.65,48.04,30,26.9,0,48.04,808.56

91,22:30-22:45,0,38.43,0.48,28.82,16.33,0,28.82,288.24,1.74,28.82,28.82,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,8.65,48.04,30,26.9,0,48.04,808.56

92,22:45-23:00,0,38.43,0.48,28.82,16.33,0,28.82,288.24,1.74,28.82,28.82,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,8.65,48.04,30,26.9,0,48.04,808.56

93,23:00-23:15,0,38.43,0.48,28.82,16.33,0,28.82,288.24,1.74,28.82,28.82,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,8.65,48.04,30,26.9,0,48.04,808.56

94,23:15-23:30,0,38.43,0.48,28.82,16.33,0,28.82,288.24,1.74,28.82,28.82,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,8.65,48.04,30,26.9,0,48.04,808.56

95,23:30-23:45,0,38.43,0.48,28.82,16.33,0,28.82,288.24,1.74,28.82,28.82,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,8.65,48.04,30,26.9,0,48.04,808.56

96,23:45-24:00,0,38.43,0.48,28.82,16.33,0,28.82,288.24,1.74,28.82,28.82,0,5.76,0,0,14.41,20.18,0,0,0,0,0,19.22,28.82,50,0,48.04,8.65,48.04,30,26.9,0,48.04,808.56

